Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],"Reworking comment (1= <1%, 2=light 1-10%, 3= >10%)",Group abundance,Comment (general),Preservation,Globigerinoides ruber (pink),Globorotalia tosaensis,Globigerinoides fistulosus,Globorotalia truncatulinoides,Globigerinoides extremus,Globorotalia miocenica,Globorotalia limbata,Globorotalia multicamerata,Dentoglobigerina altispira,Sphaeroidinellopsis seminulina,Pulleniatina primalis,Sphaeroidinella dehiscens,Globorotalia tumida,Globorotalia margaritae,Globoturborotalita nepenthes,Globorotalia merotumida,Globoquadrina dehiscens,Globorotalia lenguaensis,Neogloboquadrina acostaensis,Paragloborotalia mayeri,Fohsella fohsi,Fohsella robusta,Fohsella lobata,Fohsella peripheroacuta,Fohsella peripheroronda,Praeorbulina sicana,Globigerinatella insueta,Orbulina suturalis,Praeorbulina glomerosa,Catapsydrax dissimilis,Globigerina ciperoensis,Globigerinoides trilobus,Paragloborotalia kugleri,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
359-U1466B-45R-CC-PAL-FORAM >150,0,5,688.0,688.05,,,,VP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,359,U1466,B,45,R,CC,P
359-U1466B-46R-CC-PAL-FORAM >150,0,5,693.32,693.37,,,,VP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,359,U1466,B,46,R,CC,P
359-U1466B-47R-CC-PAL-FORAM >150,0,5,705.93,705.98,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,B,47,R,CC,P
359-U1466B-48R-2-PAL-FORAM >150,0,4,714.25,714.29,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,B,48,R,2,P
359-U1466B-48R-CC-PAL-FORAM >150,0,5,715.29,715.34,,,,VP,,,,,,,,,R,,,,,,,,R,,,,,,,,,,,,,,,R,,,,,359,U1466,B,48,R,CC,P
359-U1466B-49R-CC-PAL-FORAM >150,0,5,723.08,723.13,,,,VP,,,,,,,,,R,,,,,,,,R,,,,,,,,,,,,,,,R,,,,,359,U1466,B,49,R,CC,P
359-U1466B-50R-CC-PAL-FORAM >150,0,5,732.67,732.72,,,,VP,,,,,,,,,R,,,,,,,,R,,,,,,,,,,P,,,,,R,,,,,359,U1466,B,50,R,CC,P
359-U1466B-51R-CC-PAL-FORAM >150,0,5,743.81,743.86,,,,VP,,,,,,,,,R,,,,,,,,R,,,,,,,,,,P,,,,,R,,,,,359,U1466,B,51,R,CC,P
359-U1466B-52R-CC-PAL-FORAM >150,0,5,757.0,757.05,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,359,U1466,B,52,R,CC,P
359-U1466B-53R-CC-PAL-FORAM >150,0,5,764.14,764.19,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,C,,,,359,U1466,B,53,R,CC,P
359-U1466B-54R-3-PAL-FORAM >150,0,1,772.24,772.25,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,359,U1466,B,54,R,3,P
359-U1466B-54R-CC-PAL-FORAM >150,0,5,773.15,773.2,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,R,,,,359,U1466,B,54,R,CC,P
359-U1466B-55R-CC-PAL-FORAM >150,0,5,781.7,781.75,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,359,U1466,B,55,R,CC,P
359-U1466B-56R-CC-PAL-FORAM >150,0,5,792.06,792.11,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,B,56,R,CC,P
