Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],"Reworking comment (1= <1%, 2=light 1-10%, 3= >10%)",Group abundance,Comment (general),Preservation,Globigerinoides ruber (pink),Globorotalia tosaensis,Globigerinoides fistulosus,Globorotalia truncatulinoides,Globigerinoides extremus,Globorotalia miocenica,Globorotalia limbata,Globorotalia multicamerata,Dentoglobigerina altispira,Sphaeroidinellopsis seminulina,Pulleniatina primalis,Sphaeroidinella dehiscens,Globorotalia tumida,Globorotalia margaritae,Globoturborotalita nepenthes,Globorotalia merotumida,Globoquadrina dehiscens,Globorotalia lenguaensis,Neogloboquadrina acostaensis,Paragloborotalia mayeri,Fohsella fohsi,Fohsella robusta,Fohsella lobata,Fohsella peripheroacuta,Fohsella peripheroronda,Praeorbulina sicana,Globigerinatella insueta,Orbulina suturalis,Praeorbulina glomerosa,Catapsydrax dissimilis,Globigerina ciperoensis,Globigerinoides trilobus,Paragloborotalia kugleri,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data,Zone name,Zone name (short)
359-U1471E-28R-4-PAL-FORAM >150,0,5,853.04,853.09,,,,VP,,,,,,,,,P,,,,,,,,,,,P,,,,P,,,,,,,,P,,,,,359,U1471,E,28,R,4,PAL,,,
359-U1471E-29R-3-PAL-FORAM >150,0,4,861.53,861.57,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1471,E,29,R,3,PAL,,,
359-U1471E-30R-3-W 62/64-FORAM >150,0,2,871.43,871.45,,,,VP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,359,U1471,E,30,R,3,W,,,
359-U1471E-31R-2-W 78/80-FORAM >150,0,2,879.79,879.81,,,,VP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,359,U1471,E,31,R,2,W,,,
359-U1471E-32R-3-PAL-FORAM >150,0,2,890.04,890.06,,,,VP,,,,,,,,,,,,,,,,,,,,P,,,,P,,,,P,,,,P,,,,,359,U1471,E,32,R,3,PAL,,,
359-U1471E-33R-3-PAL-FORAM >150,0,2,900.61,900.63,,,,VP,,,,,,,,,,,,,,,,,,,,P,,,,,,,,P,,,,P,,,,,359,U1471,E,33,R,3,PAL,,,
359-U1471E-34R-2-W 0/5-FORAM >150,0,5,908.02,908.07,,,,P,,,,,,,,,P,,,,,,,,,,,C,P,,,P,,,,P,,,,P,,,,,359,U1471,E,34,R,2,W,,,
359-U1471E-34R-CC-PAL-FORAM >150,0,5,913.93,913.98,,,,M,,,,,,,,,R,,,,,,,,,,,C,P,,,P,,,,P,,,,P,,,,,359,U1471,E,34,R,CC,PAL,,,
359-U1471E-35R-CC-PAL-FORAM >150,0,1,921.19,921.2,,,,P,,,,,,,,,P,,,,,,,,,,,C,P,,,P,,,,P,,,,P,,,,,359,U1471,E,35,R,CC,PAL,,,
359-U1471E-36R-1-W 1/3-FORAM >150,0,2,926.11,926.13,,,,P,,,,,,,,,P,,,,,,,,,,,C,,,,R,P,,,,,,,P,,,,,359,U1471,E,36,R,1,W,,,
359-U1471E-36R-CC-PAL-FORAM >150,0,5,931.23,931.28,,,,P,,,,,,,,,P,,,,,,,,,,,A,,,,,P,,,P,,,,P,,,,,359,U1471,E,36,R,CC,PAL,,,
359-U1471E-37R-CC-PAL-FORAM >150,0,1,939.98,939.99,,,,VP,,,,,,,,,P,,,,,,,,,,,R,,,,,,,,P,,,,P,,,,,359,U1471,E,37,R,CC,PAL,,,
359-U1471E-38R-CC-PAL-FORAM >150,0,1,950.73,950.74,,,,VP,,,,,,,,,P,,,,,,,,P,,,R,,,,P,P,P,,P,,,,P,,,,,359,U1471,E,38,R,CC,PAL,,,
359-U1471E-39R-3-PAL-FORAM >150,0,1,959.11,959.12,,,,VP,,,,,,,,,P,,,,,,,,P,,,R,,,,,,P,,,,,,P,,,,,359,U1471,E,39,R,3,PAL,,,
359-U1471E-40R-CC-PAL-FORAM >150,0,1,969.02,969.03,,,,VP,,,,,,,,,P,,,,,,,,,,,C,,,,P,P,P,,P,,,,P,,,,,359,U1471,E,40,R,CC,PAL,,,
359-U1471E-41R-CC-PAL-FORAM >150,0,5,973.11,973.16,,,,P,,,,,,,,,P,,,,,,,,,,,R,,,,R,,P,,,,,,,,,,,359,U1471,E,41,R,CC,PAL,,,
359-U1471E-42R-CC-PAL-FORAM >150,0,5,980.2,980.25,,,,VP,,,,,,,,,P,,,,,,,,,,,R,,,,P,,P,,,,,,P,,,,,359,U1471,E,42,R,CC,PAL,,,
359-U1471E-43R-CC-PAL-FORAM >150,0,5,991.31,991.36,,,,VP,,,,,,,,,P,,,,,,,,,,,P,,,,,,,,,,,,,,,,,359,U1471,E,43,R,CC,PAL,,,
359-U1471E-44R-5-PAL-FORAM >150,0,2,999.93,999.95,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1471,E,44,R,5,PAL,,,
359-U1471E-44R-5-PAL-PAL,0,2,999.93,999.95,,,,P,,,,,,,,,P,,,,,,,,,,,C,,,,P,,R,,,,,,P,,,,,359,U1471,E,44,R,5,PAL,,,
