Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum type,Datum region,Datum name generic,Datum comment,Datum age average [Ma],Zone name (short),Zone name,Zone comment,Upper boundary age av. [Ma],Lower boundary age av. [Ma],Preservation,Group abundance,Percentage of planktic forams in total foram assemblage [%],Fragmentation,Fragmentation rank [auto-pop],"Reworking comment (1= <1%, 2=light 1-10%, 3= >10%)",Aspect comment (etching),Comment (general),Beella digitata,Beella praedigitata,Candeina nitida,Dentoglobigerina altispira,Dentoglobigerina globosa,Globigerina bulloides,Globigerina conglomerata,Globigerina eamesi,Globigerina falconensis,Globigerinella aequilateralis,Globigerinella calida,Globigerinella obesa,Globigerinella pseudobesa,Globigerinita glutinata,Globigerinita uvula,Globigerinoides conglobatus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides immaturus,Globigerinoides kennetti,Globigerinoides obliquus,Globigerinoides quadrilobatus,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides sacculifer,Globigerinoides subquadratus,Globigerinoides tenellus,Globigerinoides trilobus,Globoquadrina dehiscens,Globoquadrina venezuelana,Globorotalia crassaformis,Globorotalia crassula,Globorotalia exilis,Globorotalia flexuosa,Globorotalia hessi,Globorotalia hirsuta,Globorotalia inflata,Globorotalia lenguaensis,Globorotalia limbata,Globorotalia margaritae,Globorotalia menardii,Globorotalia miocenica,Globorotalia multicamerata,Globorotalia pertenuis,Globorotalia plesiotumida,Globorotalia praemenardii,Globorotalia puncticulata,Globorotalia scitula,Globorotalia theyeri,Globorotalia tosaensis,Globorotalia truncatulinoides,Globorotalia tumida,Globorotalia ungulata,Globorotaloides hexagona,Globorotaloides variabilis,Globoturborotalita apertura,Globoturborotalita decoraperta,Globoturborotalita nepenthes,Globoturborotalita rubescens,Globoturborotalita woodi,Neogloboquadrina acostaensis,Neogloboquadrina dutertrei,Neogloboquadrina humerosa,Neogloboquadrina incompta (dextral),Neogloboquadrina pachyderma (sin.),Orbulina suturalis,Orbulina universa,Pulleniatina (D),Pulleniatina (S),Pulleniatina finalis,Pulleniatina obliquiloculata,Pulleniatina primalis,Pulleniatina spectabilis,Sphaeroidinella dehiscens,Sphaeroidinellopsis kochi,Sphaeroidinellopsis seminulina,Turborotalita humilis,Turborotalita quinqueloba,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
353-U1445A-11H-CC-PAL-FORAMP,0,5,101.7,101.75,,,,,,,,,,0.61,,G,D,97.22,,,,,307,,,,,,C,,,,R,R,,,F,,R,,,,,,,,F,R,,,F,,,,,,,,,,,,,F,,,,,,,,,,,,,R,,,,,,,,F,,R,,,F,,,,F,,,R,,,,,,,,353,U1445,A,11,H,CC,PAL,
353-U1445A-12H-CC-PAL-FORAMP,0,5,112.18,112.23,,,,,,,,,,,,M,A,75.0,,,,,576,,,R,,,C,,,,R,R,,,F,,,,,,,,,,F,R,,,F,,,,,,,,,,,,,R,,,,,,,,,,,R,,R,,,,,,,,F,,,,,F,,,,F,,,,,,,,,,,353,U1445,A,12,H,CC,PAL,
353-U1445A-13H-CC-PAL-FORAMP,0,5,121.38,121.43,,,,,,,,,,1.3,,G,D,94.39,,,,,192,,,,,,C,,,,F,R,,,A,,F,,,,,R,,,A,A,,,C,,,,,,,,,,,,,F,,,,,,,,,,,F,,F,,,,,,,,F,,,,,F,,,,C,,,,,,,,,,,353,U1445,A,13,H,CC,PAL,
353-U1445A-14H-CC-PAL-FORAMP,0,5,131.14,131.19,,,,,,,,,,,,G,D,93.46,,,,,448,,,,,,F,,,,F,,,,C,,R,,,,,,,,A,C,,,F,,,,,,,,,,,,,F,,,,,,,,,,,C,,F,,,,,,,,C,,R,,,F,,,,C,,,R,,,,,,,,353,U1445,A,14,H,CC,PAL,
353-U1445A-15H-CC-PAL-FORAMP,0,5,140.53,140.58,,,,,,,,,,1.98,,M,D,73.21,,,1,,1616,,,,,,C,,,,,,,,A,,,R,,,,R,,,C,C,,,C,,,,,,,,,,,,,F,,,,,,,,,R,,F,,C,,,,,,,R,C,,,,,R,,,,C,,,R,,,,,,,,353,U1445,A,15,H,CC,PAL,
353-U1445A-16H-CC-PAL-FORAMP,0,5,149.74,149.79,,,,,,,,,,1.98,,M,D,91.43,,,,,200,,,,,,C,,,,R,R,,,C,,R,F,R,,,,,,A,F,,,F,,,,,,,,,,,,,F,,,,,,,,,,,C,,C,,,,,,,,F,,R,,,R,,,,A,,,F,,,,,,,,353,U1445,A,16,H,CC,PAL,
353-U1445A-17H-CC-PAL-FORAMP36,0,5,158.94,158.99,,,,,,,,,,1.98,,M,D,95.86,,,1,,136,,,,,,C,,,,F,R,,,A,,F,R,,,,,,,A,C,,,C,,,,,,F,,,,,,,,,,,,,,R,,R,,F,,C,,,R,,,R,,F,,R,,,F,,,,A,,,F,,,,,,,,353,U1445,A,17,H,CC,PAL,
353-U1445A-18H-CC-PAL-FORAMP,0,5,168.95,169.0,,,,,,,,,,1.98,3.35,M,A,40.12,,,2,,4064,,,,,,F,,,,R,,,,F,,,R,,,,R,,,A,A,,,A,,,,,,F,,,,,,,,,,,,,,,,R,,F,,F,,,R,,,R,,F,,R,,,F,,,,A,,,C,,,,,,,,353,U1445,A,18,H,CC,PAL,
353-U1445A-19H-CC-PAL-FORAMP,0,5,178.11,178.16,,,,,,,,,,1.98,,M,A,21.36,,,,,19200,,,,,,A,,,,C,,,,A,,,R,,,,,,,A,F,,,C,,,,,,,,,,,,,,,,,,,,,,,,,R,F,,,,,R,,,C,,,,,F,,,,C,,,,,,,,,,,353,U1445,A,19,H,CC,PAL,
353-U1445A-20H-CC-PAL-FORAMP,0,5,188.14,188.19,,,,,,,,,,,,M,C,68.31,,,,,93,,,,,,C,,,,F,,,,C,,,,,,,,,,A,,,,A,,,,,,,,,,,,,,,,,,,,,,,,F,,C,,,,,,,,C,,,R,,,,,,A,,,R,,,,,,,,353,U1445,A,20,H,CC,PAL,
353-U1445A-21H-CC-PAL-FORAMP,0,5,196.8,196.85,,,,,,,,,,,,M,F,75.0,,,1,,35,,,,,,R,R,,,,,,,,,,,,,,,,,C,R,,,R,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,R,F,F,,,,,,,F,,,R,,,,,,,,353,U1445,A,21,H,CC,PAL,
353-U1445A-22H-CC-PAL-FORAMP,0,5,206.64,206.69,,,,,,,,,,,,M,C,45.93,,,1,,350,,,,,,F,,,,,R,,,F,,R,,,,,,,,F,R,,,R,,,,,,,,,,,,,R,,,,,,,R,,,,,,R,,,,,,,,R,R,R,,,,,,,R,,,R,,,,,,,,353,U1445,A,22,H,CC,PAL,
353-U1445A-23H-CC-PAL-FORAMP,0,5,216.35,216.4,,,,,,,,,,2.3,,M,C,44.55,,,,,878,,,,,,C,,,,,,,,F,,R,R,R,,,R,,,F,R,,,R,,,,,,,,,,,,,R,,,,,,,R,,,,,,R,,,,,,R,,F,F,R,,,R,,,,R,,,R,,,,,,,,353,U1445,A,23,H,CC,PAL,
353-U1445A-24H-CC-PAL-FORAMP,0,5,225.02,225.07,,,,,,,,,,2.39,,M,C,81.25,,,2,,115,,,,,,F,,,,,R,,,,,R,R,R,,,R,,,F,R,,,R,,,,,,,,,,,R,,R,R,,,,,,R,,,,,,,,,,,,,,R,F,F,,,R,,,,F,,,R,,,,,,,,353,U1445,A,24,H,CC,PAL,
353-U1445A-25X-CC-PAL-FORAMP,0,5,232.01,232.06,,,,,,,,,,,,M,F,68.0,,,1,,10,,,,,,R,,,,,R,,,,,R,R,,,,,,,F,,,,F,,,,,,,,,,,,,R,,,,,,,,,,,R,,R,,,,,,,,,,,,,R,,,,F,,,R,,,,,,,,353,U1445,A,25,X,CC,PAL,
353-U1445A-26X-CC-PAL-FORAMP,0,5,243.45,243.5,,,,,,,,,,,,G,C,77.89,,,,,168,,,,,,F,,,,,R,,,,,R,,R,,,,,,F,R,,,C,,,,,,,,,,,R,,R,R,,,,,,,,,,R,,R,,,,,,,F,F,F,,,R,R,,,,F,,,R,,,,,,,,353,U1445,A,26,X,CC,PAL,
353-U1445A-27X-CC-PAL-FORAMP,0,5,252.63,252.68,,,,,,,,,,,,M,R,71.26,,,2,,20,,,,,,,,,,,,,,,,,R,,,,R,,,R,R,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,F,,,,,,,,353,U1445,A,27,X,CC,PAL,
353-U1445A-28X-CC-PAL-FORAMP,0,5,261.46,261.51,,,,,,,,,,,,M,A,36.79,,,1,,1930,,,,,,R,,,,R,,,,F,,,F,,,,F,,,F,F,,,C,,,,,,,,,,,,,,,,,,,,,,,,R,,R,,,,,,,F,F,R,R,,,,,,,R,,,R,,,,,,,,353,U1445,A,28,X,CC,PAL,
353-U1445A-29X-CC-PAL-FORAMP,0,5,271.18,271.23,,,,,,,,,,,,P,F,52.17,,,1,,79,,,,,,,,,,R,,,,,,,R,,,,,,,R,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,R,R,,,,,,,,,,R,,,,,,,,353,U1445,A,29,X,CC,PAL,
353-U1445A-30X-CC-PAL-FORAMP,0,5,280.8,280.85,,,,,,,,,,,,P,C,78.16,,,1,,46,,,,,,R,,,,,,,,,,,F,,,,F,,,F,,,,C,,,,,,,,,,,,,R,,,,,,,,,,,,,R,,,,,,,,,R,R,,,,,,,R,,,R,,,,,,,,353,U1445,A,30,X,CC,PAL,
353-U1445A-31X-CC-PAL-FORAMP,0,5,290.44,290.49,,,,,,,,,,2.3,,G,C,53.52,,,,,264,,,,,,C,,,,,,,,C,,,A,,,,F,,,C,C,,,F,,,,,,,,,,,R,,F,,,,,,,,,,,,,F,,F,,,,F,,,,,,,,,,,C,,,,,,,,,,,353,U1445,A,31,X,CC,PAL,
353-U1445A-32X-CC-PAL-FORAMP,0,4,300.83,300.87,,,,,,,,,,,,G,F,42.99,,,1,,37,,,,,,,,,,,,,,,,,R,,,,F,,,F,,,,R,,,,,,,,,,,,,R,,,,,,,,,,,R,,R,,R,,,,,R,,,,,,,,,,R,,,,,,,,,,,353,U1445,A,32,X,CC,PAL,
353-U1445A-33X-CC-PAL-FORAMP,0,5,311.7,311.75,,,,,,,,,,2.75,,G,R,67.37,,,,,25,,,,,,,,,,R,,,,,,,R,,,,,,,F,,,,R,,,,,,,,,,,,,R,,,,,,,,,,,,,R,,,R,,,R,R,,F,,,,,,,,F,,,R,,,,,,,,353,U1445,A,33,X,CC,PAL,
353-U1445A-34X-CC-PAL-FORAMP,0,5,319.52,319.57,,,,,,,,,,2.75,,M,F,24.0,,,1,,228,,,,,,R,,,,,,,,,,,F,,,,,,,F,R,,,F,,,,,,,,,,,,,R,,,,,,,,,,,,,,,R,R,,,R,,,,R,,,,,,,R,,,,,,,,,,,353,U1445,A,34,X,CC,PAL,
353-U1445A-35X-CC-PAL-FORAMP,0,5,325.82,325.87,,,,,,,,,,2.75,,G,F,45.95,,,,,4,,,,,,,,,,,,,,,,,F,,,,,,,,F,,,C,,,,,,,,,,,,,R,,,,,,,,,,,,,,,R,R,,,C,,,R,F,,,,,,,,,,,,,,,,,,353,U1445,A,35,X,CC,PAL,
353-U1445A-36X-CC-PAL-FORAMP,0,5,332.75,332.8,,,,,,,,,,3.47,,G,F,18.56,,,2,,284,,,,R,,C,,,,,,,,R,,,R,,,,,,,R,,,,R,,,,,,,,,,,,,R,,,,,,,R,,,,,,R,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,353,U1445,A,36,X,CC,PAL,
353-U1445A-37X-CC-PAL-FORAMP,0,5,341.68,341.73,,,,,,,,,,3.58,,M,A,65.14,,,2,,137,,,,C,,R,,,,,,,,,,R,R,,,,,,,F,F,,,C,,,,,,,,,,,R,,F,,,,,,,R,,,,,,R,,R,,,,,,,,F,,,R,,,,R,,,R,,,,,,,,353,U1445,A,37,X,CC,PAL,
353-U1445A-38X-CC-PAL-FORAMP,0,5,351.71,351.76,,,,,,,,,,3.47,,M,C,67.74,,,,,24,,,,F,,R,,,,,,,,,,,R,,,,R,,,R,,,,R,,,,,,,,,,,R,,F,,,,,,,,,,,R,,,,,R,,,,R,,R,,,,,,,,R,,,R,,,,,,,,353,U1445,A,38,X,CC,PAL,
353-U1445A-39X-CC-PAL-FORAMP,0,5,359.32,359.37,,,,,,,,,,3.47,,G,C,59.32,,,,,19,,,,F,,R,,,,,,,,,,,R,,,,,,,R,,,,F,,,,,,,,,,,R,,R,,,,,,,,,,,R,,,,,,,,F,R,,,R,,,,,,,,,,,,,,,,,,353,U1445,A,39,X,CC,PAL,
353-U1445A-40X-CC-PAL-FORAMP,0,5,367.69,367.74,,,,,,,,,,3.47,,G,F,25.17,,,,,43,,,,F,,,,,,,,,,,,R,F,,,,,,,F,C,,,C,,,,,,,,,,,,,R,,,,,,,,,,,,,R,,,,,,F,R,,R,R,,,,,,,,,,F,,,,,,,,353,U1445,A,40,X,CC,PAL,
353-U1445A-41X-CC-PAL-FORAMP,0,5,375.4,375.45,,,,,,,,,,3.47,,G,R,54.46,,,,,9,,,,,F,,,,,,,,,F,,,C,,,,,,,C,F,,,A,,,,,,,,,,,,,F,F,,,,,,,,,,,,F,,,,,,F,F,F,,F,,,,,,,,,,F,,,,,,,,353,U1445,A,41,X,CC,PAL,
353-U1445A-42X-CC-PAL-FORAMP,0,5,384.07,384.12,,,,,,,,,,3.58,,G,R,58.0,,,,,134,,,R,R,,,,,,,,,,,,,R,,,,,,,F,R,,,F,,,,,,,,,,,R,,F,,,,,,,,,,,R,,R,,,,,,,,,,,,,,,,,,,,R,,R,,,,,,353,U1445,A,42,X,CC,PAL,
353-U1445A-43X-CC-PAL-FORAMP,0,5,391.64,391.69,,,,,,,,,,,,G,R,52.78,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,R,,,,F,,,,,,,,,,,,,F,,,,,,,,,,,R,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,353,U1445,A,43,X,CC,PAL,
353-U1445A-44X-CC-PAL-FORAMP,0,5,399.84,399.89,,,,,,,,,,3.58,,G,R,65.0,,,,,21,,,,,R,,,,,,,,,,,,R,,,,R,,,R,R,,,C,,,,,,,,,,,R,,F,R,,,,,,,,,,R,,,,,,,,R,R,,,,,,,,,,,,,,,R,,,,,,353,U1445,A,44,X,CC,PAL,
353-U1445A-45X-CC-PAL-FORAMP,0,5,408.37,408.42,,,,,,,,,,3.77,,G,F,64.34,,,,,41,,,,,F,R,,,,,,,,,,,F,,,,R,,,F,R,,,F,,,,,,,,,,,R,,R,,,,R,,,,,,,R,,R,,,,,,,R,,R,R,,,,,,,,R,,R,,R,,,,,,353,U1445,A,45,X,CC,PAL,
353-U1445A-46X-CC-PAL-FORAMP,0,5,416.05,416.1,,,,,,,,,,,,G,R,44.0,,,,,13,,,,,R,R,,,,,,,,,,,R,,,,,,,,,,,C,,,,,,,,,,,R,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353,U1445,A,46,X,CC,PAL,
353-U1445A-47X-CC-PAL-FORAMP,0,5,423.29,423.34,,,,,,,,,,3.77,,G,R,71.26,,,,,15,,,,,,R,,,,,,,,,,,F,,,,,,,,,,,C,,,,,,,,,,,,,,,,,R,,,,,,,R,,R,,,,,,R,F,,R,F,,,,,,,,,,,,,,,,,,353,U1445,A,47,X,CC,PAL,
353-U1445A-48X-CC-PAL-FORAMP,0,5,432.67,432.72,,,,,,,,,,,,,,,,,,,BARREN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353,U1445,A,48,X,CC,PAL,
353-U1445A-49X-CC-PAL-FORAMP,0,5,438.83,438.88,,,,,,,,,,3.47,,M,R,62.3,,,,,5,,,,R,F,R,,,,,,,,,,,,,,,F,,,,,,,R,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353,U1445,A,49,X,CC,PAL,
353-U1445A-50X-CC-PAL-FORAMP,0,5,448.41,448.46,,,,,,,,,,3.85,5.57,G,A,50.0,,,,,765,,,,F,,A,,,,,,,,A,,,C,,,,,,,,R,,,R,,,,,,,,,,,,R,R,,,,R,,,,,,,R,,,,,,,,F,R,,R,,R,,,,,,,,,,,,,,,,,353,U1445,A,50,X,CC,PAL,
353-U1445A-51X-CC-PAL-FORAMP,0,5,456.99,457.04,,,,,,,,,,3.77,,G,D,87.16,,,,,25,,,,R,F,A,,,,R,,,,,,,R,,,,F,,,,R,,,R,,,,,,,,,,,,R,R,,,,R,,,,,,,,,R,,,,,,R,,,R,F,,,R,,,,,,,,,,,,,,,353,U1445,A,51,X,CC,PAL,
353-U1445A-52X-CC-PAL-FORAMP,0,5,463.94,463.99,,,,,,,,,,3.77,5.57,M,C,80.92,,,,,45,,,,F,F,F,,,,R,,,,,,R,R,,,,F,,,,R,,,R,,,,,,,,,,,,R,,,,,R,,,,,,,R,,R,,,,,,F,R,,,R,,,R,,,,,,,,,R,,,,,,353,U1445,A,52,X,CC,PAL,
353-U1445A-53X-CC-PAL-FORAMP,0,5,472.37,472.42,,,,,,,,,,3.58,5.57,G,R,89.02,,,,,7,,,,,,C,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,R,,,,,,,,,,,R,,R,,,,,,R,,,,F,,,,,,,,,,,,F,,,,,,353,U1445,A,53,X,CC,PAL,
353-U1445A-54X-CC-PAL-FORAMP,0,5,480.7,480.75,,,,,,,,,,3.77,5.57,M,A,22.68,,,,,450,,,,R,R,C,,,,,,,,F,,,R,,,,R,,,,,,,R,,,,,,,,,,,,,R,,,,R,,,,,,,R,,R,,,,,,R,F,,,F,,,,,,,,,,,,,,,,,,353,U1445,A,54,X,CC,PAL,
353-U1445A-55X-CC-PAL-FORAMP,0,5,487.83,487.88,,,,,,,,,,3.77,,G,R,36.0,,,,,51,,,,,,,,,,,,,,,,,R,,,,R,,,,,,,R,,,,,,,,,,,,R,,,,,R,,,,,,,,,,,,,,,F,,,,R,,,,,,,,,,,,,,,,,,353,U1445,A,55,X,CC,PAL,
353-U1445A-56X-CC-PAL-FORAMP,0,3,494.71,494.74,,,,,,,,,,3.77,,G,R,56.67,,,,,5,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,R,,,,R,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,353,U1445,A,56,X,CC,PAL,
353-U1445A-57X-CC-PAL-FORAMP,0,5,503.71,503.76,,,,,,,,,,3.77,5.57,G,C,74.11,,,,,28,,,,A,,F,,,,,,,,F,,R,F,,,,R,,,,C,,,C,,,,,,,,,,,,,F,,,,R,,,,,,,R,,R,,,,,,R,,,,C,,,R,,,,,,,,,,,,,,,353,U1445,A,57,X,CC,PAL,
353-U1445A-58X-CC-PAL-FORAMP,0,5,512.52,512.57,,,,,,,,,,3.85,6.08,G,R,54.29,,,,,6,,,,R,,R,,,,,,,,,,,R,,,,,,,,,,,R,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,353,U1445,A,58,X,CC,PAL,
353-U1445A-59X-CC-PAL-FORAMP,0,5,520.46,520.51,,,,,,,,,,,,G,R,50.7,,,,,7,,,,,F,,,,,,,,,,,,R,,,,R,,,,,,,R,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,F,,,,R,,,,,,,,,,,,,,,,,,353,U1445,A,59,X,CC,PAL,
353-U1445A-60X-CC-PAL-FORAMP,0,5,526.98,527.03,,,,,,,,,,3.85,6.08,G,C,91.88,,,,,8,,,,R,F,F,,,,,,,,,,,F,,,,R,,,,R,,,R,,,,,,,,,,,,R,,R,,,R,,,,,,,,,,,,,,,R,F,,,F,,,R,,,,,,,,,R,,,,,,353,U1445,A,60,X,CC,PAL,
353-U1445A-61X-CC-PAL-FORAMP,0,5,535.75,535.8,,,,,,,,,,3.85,6.08,G,F,83.53,,,,,6,,,,F,F,,,,,,,,,,,R,F,,,,R,,,,R,,,R,,,,,,,,,,,R,R,R,,,,R,,,,,,,,,,,,,R,,F,,,,R,,,R,,,,,,,,,R,,,,,,353,U1445,A,61,X,CC,PAL,
353-U1445A-62X-CC-PAL-FORAMP,0,5,542.73,542.78,,,,,,,,,,4.53,,G,C,79.1,,,,,50,,,,F,R,,,,,,,,,,,,F,,,,R,,,,,,,F,,,,,,,,,,,R,,,R,,,R,,,,,,,,,,,,,R,,F,F,,,,,R,R,,,,,,,,R,R,,,,,,353,U1445,A,62,X,CC,PAL,
353-U1445A-63X-CC-PAL-FORAMP,0,5,552.19,552.24,,,,,,,,,,4.37,,M,F,47.37,,,,,16,,,,R,,,,,,,,,,R,,,C,,,,R,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,F,,,,F,,,,,,,,,,,,,,,,,,353,U1445,A,63,X,CC,PAL,
353-U1445A-64X-CC-PAL-FORAMP,0,5,559.98,560.03,,,,,,,,,,,,G,F,64.37,,,,,37,,,,R,R,R,,,,,,,,,,,R,,,,F,,,,,,,R,,,,,,,,,,,,,R,,,,R,,,,,,,,,R,,,,,,R,,,,F,,,R,,,,,,,,,,,,,,,353,U1445,A,64,X,CC,PAL,
353-U1445A-65X-CC-PAL-FORAMP,0,5,565.24,565.29,,,,,,,,,,4.53,6.08,G,F,86.76,,,,,43,,,,R,R,,,,,,,,,,,,F,,,,F,,,,R,,,F,,,,,,,,,,,,R,R,,,,R,,,,,,,,,R,,,,R,,R,,,,F,,,R,,,,,,,,R,R,,,,,,353,U1445,A,65,X,CC,PAL,
