Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Preservation,Group abundance,Amaurolithus primus,Amaurolithus tricorniculatus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Catinaster calyculus,Catinaster coalitus,Ceratolithus acutus,Ceratolithus larrymayeri,Coccolithus miopelagicus,Coronocyclus nitescens (circular),Coronocyclus nitescens (elliptical),Cyclicargolithus floridanus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster brouweri,Discoaster hamatus,Discoaster kugleri,Discoaster loeblichii,Discoaster neohamatus,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster pentaradiatus,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster spp.,Emiliania huxleyi,Gephyrocapsa aperta,Gephyrocapsa spp. small (<4 microns),Gephyrocapsa caribbeanica (3-4 microns),Gephyrocapsa caribbeanica (4-5.5 microns),Gephyrocapsa ericsonii,Gephyrocapsa oceanica (3-4 microns),Gephyrocapsa oceanica (4-5.5 microns),Gephyrocapsa omega,Gephyrocapsa spp. (large >5.5 microns),Helicosphaera ampliaperta,Helicosphaera inversa,Helicosphaera sellii,Helicosphaera stalis,Helicosphaera walbersdorfensis,Minylitha convallis,Nicklithus amplificus,Pseudoemiliania lacunosa,Reticulofenestra asanoi,Reticulofenestra sp. 1,Reticulofenestra pseudoumbilicus,Reticulofenestra pseudoumbilicus (>7 microns),Reticulofenestra gelida,Reticulofenestra minuta,Reticulofenestra spp. small,Sphenolithus heteromorphus,Sphenolithus spp.,Triquetrorhabdulus rugosus,Braarudosphaera bigelowii,Calcidiscus leptoporus,Calcidiscus pacificanus,Calcidiscus tropicus,Calciosolenia spp.,Coccolithus pelagicus,Discoaster deflandrei,Discoaster druggii,Florisphaera profunda,Helicosphaera carteri,Helicosphaera wallichii,Oolithotus fragilis,Pontosphaera discopora,Pontosphaera japonica,Pontosphaera multipora,Pontosphaera spp.,Rhabdosphaera clavigera,Rhabdosphaera spp.,Scyphosphaera apsteinii,Syracosphaera pulchra,Umbellosphaera tenuis,Umbilicosphaera rotula,Umbilicosphaera sibogae,Umbilicosphaera sibogae var. foliosa,Reworked species,Sample comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
356-U1461B-47F-CC-PAL-NANNO,0,10,323.74,323.84,,,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V,A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1461,B,47,F,CC,PAL
356-U1461B-49F-CC-PAL-NANNO,0,12,332.99,333.11,,,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,R,,,R,,F,,,,,,,,R,,,,,,F,R,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1461,B,49,F,CC,PAL
356-U1461B-51F-CC-PAL-NANNO,0,10,342.62,342.72,,,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,R,,,R,,R,,,,,,,,R,,R,,,,R,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1461,B,51,F,CC,PAL
356-U1461B-55F-CC-PAL-NANNO,0,10,360.96,361.06,,,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,,,,C,,,,,,,,,,F,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1461,B,55,F,CC,PAL
356-U1461B-60X-CC-PAL-NANNO,0,10,384.8,384.9,,,M,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,356,U1461,B,60,X,CC,PAL
356-U1461B-64X-CC-PAL-NANNO,0,10,414.99,415.09,,,M,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,R,,,,,,,,,,,F,,,,,,F,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1461,B,64,X,CC,PAL
356-U1461B-69X-CC-PAL-NANNO,0,3,437.6,437.63,,,G,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,F,,,R,R,,,,,,,,,,R,,,,,,F,F,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1461,B,69,X,CC,PAL
356-U1461B-73X-CC-PAL-NANNO,0,10,461.02,461.12,,,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,F,R,,,,,,,,,,,,,P,,,,,,C,F,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,U1461,B,73,X,CC,PAL
356-U1461B-77X-CC-PAL-NANNO,0,10,482.55,482.65,,,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,F,P,,R,,,,,,,,,,,C,,R,,,,F,C,,,,,F,,,,,,,,P,,,P,,,,,,,P,,,,,,,,,,356,U1461,B,77,X,CC,PAL
356-U1461B-80X-CC-PAL-NANNO,0,10,500.09,500.19,,,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,F,,,,,,,,,,,,,,F,F,,,,,F,C,,,,,R,,,,,,,,R,,,,,,,,,,,,,F,,,,,,,356,U1461,B,80,X,CC,PAL
356-U1461B-83X-CC-PAL-NANNO,0,10,521.92,522.02,,,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V,,,,,,,,,,,,,,,C,,C,,,,,,,,,,F,,,,,,,,F,,,F,,,,,,,,,,F,,,,,,,356,U1461,B,83,X,CC,PAL
356-U1461B-85X-CC-PAL-NANNO,0,10,543.06,543.16,,,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V,,,,,,,,,,,,,,,F,,F,,,,,F,,,,,,,,,,,,,P,,,,,,P,,,,,,,C,,,,,,,356,U1461,B,85,X,CC,PAL
356-U1461B-87X-CC-PAL-NANNO,0,10,562.33,562.43,,,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,F,,,,,,,,,,,,,,R,,P,,,,,F,,,,,F,,,,,,,,P,,,,,,P,,,,,,,F,,,,,,,356,U1461,B,87,X,CC,PAL
356-U1461B-88X-CC-PAL-NANNO,0,10,570.51,570.61,,,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V,A,,,C,R,,,,,,,,,,R,,C,,,,,C,,,,,R,,,,,,,,F,,,F,,,,,P,,P,,,F,,,,,,,356,U1461,B,88,X,CC,PAL
356-U1461B-89X-CC-PAL-NANNO,0,10,574.11,574.21,,,M,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,356,U1461,B,89,X,CC,PAL
356-U1461B-91X-CC-PAL-NANNO,0,10,591.38,591.48,,,G,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,R,,,,,,,,,P,,,,,F,,R,,,,F,C,,,,,F,,,,,,,,R,,,,,,,,,,,,,R,,,,,,,356,U1461,B,91,X,CC,PAL
356-U1461B-92X-CC-PAL-NANNO,0,10,605.84,605.94,,,G,A,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,R,R,,,,,,,,F,,,,,F,,,,,,R,C,,,,P,F,,,,,,,,F,,,P,,,P,,,,,,,R,,,,,,,356,U1461,B,92,X,CC,PAL
356-U1461B-93X-CC-PAL-NANNO,0,10,615.18,615.28,,,G,A,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,P,,,,,,,,R,,,,,F,,,,,,F,C,,,,,C,,,,R,,,,F,,,,R,,,,,,R,,,R,,,,,,,356,U1461,B,93,X,CC,PAL
356-U1461B-95X-CC-PAL-NANNO,0,10,631.72,631.82,,,G,A,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,P,,,,,,,,P,,,,,F,,,,,,A,C,,,,,F,,,,R,,,,F,,,,P,,,,,,R,,,F,,,,,,,356,U1461,B,95,X,CC,PAL
356-U1461B-97X-CC-PAL-NANNO,0,10,656.59,656.69,,,G,A,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,R,,,,,C,,,,,,C,C,,,,,F,,,,R,,,,F,,,,R,,P,,,,R,,,,,,,,,,356,U1461,B,97,X,CC,PAL
356-U1461B-100X-CC-PAL-NANNO,0,10,677.37,677.47,NN18,"NN18 - Discoaster brouweri (Gradstein et al., 2012)",G,A,,,F,,,,,,,,,,,,,,R,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,C,,F,,,,,C,,,,,P,,,,F,,,,C,,,F,,,,,P,,C,,,,,,,,,,356,U1461,B,100,X,CC,PAL
356-U1461B-102X-CC-PAL-NANNO,0,10,693.97,694.07,,,G,A,,,F,,,,,,,,,,,,,,R,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,F,,F,,,,,,,,,P,,,,,,,,,C,,,F,F,,,R,,,,,,,,,,,,,356,U1461,B,102,X,CC,PAL
356-U1461B-104X-CC-PAL-NANNO,0,10,704.84,704.94,,,G,A,,,F,,,,,,,,,,,,,,R,,,,,,,,P,,,,,,V,,,,,,,,,,,,,,,C,,,,,,,,,,,,F,,,,P,,,,C,,,,F,,,,,,,,,,,,,,,,356,U1461,B,104,X,CC,PAL
356-U1461B-106X-CC-PAL-NANNO,0,10,717.27,717.37,,,G,A,,,C,,,,,,,,,,P,,,,C,,,,,,,,,,P,,,,V,,,,,,,,,,,,,,,F,,F,,,,,C,,,,,,,,,,,,,C,,,,C,,,,,,,,,,,,,,,,356,U1461,B,106,X,CC,PAL
356-U1461B-108X-CC-PAL-NANNO,0,10,727.94,728.04,NN16,"NN16 - Discoaster surculus (Gradstein et al., 2012)",G,A,,,F,,,,,,,,,,R,,,,C,,,,,,,,R,,,,,,,,,,,,,,,,R,,,,,C,,,,,,,C,,,,,F,,,,R,,,,F,,,P,R,,,,,,R,,,R,,,,,,,356,U1461,B,108,X,CC,PAL
356-U1461B-110X-CC-PAL-NANNO,0,10,745.68,745.78,,,G,A,,,F,,,,,,,,,,R,,,,C,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,C,,,,,,C,C,,,,,C,,,,R,,,,F,,,,R,,,,P,,R,,,R,,,,,,,356,U1461,B,110,X,CC,PAL
356-U1461B-112X-CC-PAL-NANNO,0,10,763.95,764.05,,,G,C,,,C,,,,,,,,,,R,,,,F,,,,,,,,R,,,,,,F,,,,,,,,,,,,,,,F,,,,,,C,A,,,,,F,,,,,,,,F,,,P,R,,P,,,,R,,,R,,,,,,,356,U1461,B,112,X,CC,PAL
356-U1461B-114X-CC-PAL-NANNO,0,5,772.09,772.14,,,G,C,,,F,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,C,C,,,,,R,,,,,,,,R,,,,R,,,,,,R,,,R,,,,,,,356,U1461,B,114,X,CC,PAL
356-U1461B-115X-7-PAL-NANNO,0,10,785.25,785.35,,,G,A,,,C,,,,,,,,,,F,,,,C,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,C,,,,,,A,A,,,,P,F,,,,R,,,,F,,,,R,,P,,,,R,,,R,,,,,,,356,U1461,B,115,X,7,PAL
356-U1461B-116X-CC-PAL-NANNO,0,11,794.72,794.83,,,G,C,,,F,,,,,,,,,,P,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,C,,,,A,A,,,,,,,,,,,,,F,,,,R,,,,,F,F,,,,,,,,,,356,U1461,B,116,X,CC,PAL
356-U1461B-118X-CC-PAL-NANNO,0,10,810.67,810.77,,,G,D,,,F,,,,,,,,,,,,,,C,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,C,,C,,,,A,V,,,,P,,,,,,,,,P,,,C,C,,,,,F,,,,,,,,,,,356,U1461,B,118,X,CC,PAL
356-U1461B-120X-CC-PAL-NANNO,0,10,826.17,826.27,,,G,D,,,F,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,V,,C,,,,,,,,,,,C,,,C,C,P,,,,F,,,,,,,,,,,356,U1461,B,120,X,CC,PAL
356-U1461B-122X-CC-PAL-NANNO,0,10,834.61,834.71,NN15,"NN15 - Reticulofenestra pseudoumbilicus (Gradstein et al., 2012)",G,A,,,F,,,,,,,,,,F,,,,F,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,C,,,,F,,A,A,,A,,,F,,,,,,,,F,,,F,R,,,,,,R,,,R,,,,,,,356,U1461,B,122,X,CC,PAL
356-U1461B-124X-CC-PAL-NANNO,0,10,851.0,851.1,,,G,A,,,F,,,,,,,,,,R,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,C,,A,C,,A,,,F,,,,,,,,C,,,F,R,,,,,,P,,,,,,,,,,356,U1461,B,124,X,CC,PAL
356-U1461B-126X-CC-PAL-NANNO,0,10,864.25,864.35,,,G,A,,,F,,,,,,,,,,F,,,,C,,,,,P,,,P,,,,,,,,,,,,,,,,,,,,,R,,,,C,,A,C,,A,,,F,,,,,,,,C,,,R,R,,,,,,R,,,R,,,,,,,356,U1461,B,126,X,CC,PAL
356-U1461B-128X-CC-PAL-NANNO,0,9,874.48,874.57,,,G,A,,,F,,,,,,,,,,F,,,,C,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,C,,A,C,,C,,,F,,,,P,,,,C,,,F,F,P,,,,F,P,,,,,,,,,,356,U1461,B,128,X,CC,PAL
356-U1461B-129X-CC-PAL-NANNO,0,10,877.64,877.74,,,G,D,,,C,,,,,,,,,,R,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,V,A,,C,,,P,,,,F,,,,F,,,F,F,,,,,,,,,,,,,,,,356,U1461,B,129,X,CC,PAL
