Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Tuberculodinium vancampoae,Spiniferites ramosus,Spiniferites mirabilis,Spiniferites membranaceus,Spiniferites hyperacanthus,Spiniferites bulloideus,Protoperidinium subinerme,Protoperidinium pentagonum,Protoperidinium conicum,Operculodinium longispinigerum,Operculodinium israelianum,Operculodinium echigoense,Operculodinium centrocarpum,Nematosphaeropsis lemniscata,Lingulodinium machaerophorum,Impagidinium strialatum,Impagidinium sphaericum,Impagidinium sp. A,Impagidinium patulum,Impagidinium paradoxum,Impagidinium aculeatum,Hystrichokolpoma rigaudiae,Cyst type A,Achomosphaera sp.,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,133, 820,A,  5,H, 3,  69.00,     39.3900,McMinn   ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,.0%                       ,.0%                 ,.0%                   ,.0%                      ,3.0%                      ,.0%                    ,.0%                      ,.0%                       ,.0%                    ,.0%                           ,1.0%                      ,.0%                      ,1.0%                       ,.0%                         ,.0%                         ,.0%                    ,.0%                    ,.0%               ,.0%                 ,.0%                   ,.0%                   ,.0%                       ,.0%        ,.0%              ,Total count =  5; from ODP 133 SR Chapter 7 Table 1 p 95
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,133, 820,A,  6,H, 3,  70.00,     48.9000,McMinn   ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,10.5%                     ,.0%                 ,.0%                   ,.0%                      ,21.1%                     ,47.4%                  ,.0%                      ,.0%                       ,.0%                    ,.0%                           ,10.5%                     ,.0%                      ,.0%                        ,.0%                         ,.0%                         ,5.3%                   ,.0%                    ,.0%               ,.0%                 ,.0%                   ,.0%                   ,.0%                       ,5.2%       ,.0%              ,Total count =  19; from ODP 133 SR Chapter 7 Table 1 p 95
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,133, 820,A,  7,H, 3,  67.00,     58.3700,McMinn   ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,18.2%                     ,.0%                 ,.0%                   ,.0%                      ,13.6%                     ,40.9%                  ,.0%                      ,.0%                       ,.0%                    ,9.1%                          ,9.1%                      ,.0%                      ,.0%                        ,.0%                         ,4.6%                        ,4.6%                   ,.0%                    ,.0%               ,.0%                 ,.0%                   ,.0%                   ,.0%                       ,.0%        ,.0%              ,Total count =  22; from ODP 133 SR Chapter 7 Table 1 p 95
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,133, 820,A,  8,H, 3,  67.00,     67.8700,McMinn   ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,55.6%                     ,5.6%                ,.0%                   ,.0%                      ,16.7%                     ,.0%                    ,.0%                      ,.0%                       ,.0%                    ,.0%                           ,5.6%                      ,.0%                      ,11.1%                      ,.0%                         ,.0%                         ,.0%                    ,.0%                    ,.0%               ,.0%                 ,5.6%                  ,.0%                   ,.0%                       ,.0%        ,.0%              ,Total count =  18; from ODP 133 SR Chapter 7 Table 1 p 95
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,133, 820,A,  9,H, 3,  68.00,     77.3800,McMinn   ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,5.3%                      ,5.3%                ,.0%                   ,.0%                      ,44.7%                     ,10.5%                  ,.0%                      ,.0%                       ,.0%                    ,.0%                           ,15.8%                     ,.0%                      ,10.5%                      ,2.6%                        ,.0%                         ,2.6%                   ,.0%                    ,.0%               ,.0%                 ,2.6%                  ,.0%                   ,.0%                       ,.0%        ,.0%              ,Total count =  38; from ODP 133 SR Chapter 7 Table 1 p 95
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,133, 820,A, 10,H, 3,  68.00,     86.8800,McMinn   ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,20.0%                     ,6.7%                ,.0%                   ,.0%                      ,40.0%                     ,.0%                    ,.0%                      ,.0%                       ,.0%                    ,13.3%                         ,13.3%                     ,.0%                      ,6.7%                       ,.0%                         ,.0%                         ,.0%                    ,.0%                    ,.0%               ,.0%                 ,.0%                   ,.0%                   ,.0%                       ,.0%        ,.0%              ,Total count =  15; from ODP 133 SR Chapter 7 Table 1 p 95
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,133, 820,A, 11,H, 3,  67.00,     96.3700,McMinn   ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,5.5%                      ,.0%                 ,.0%                   ,.0%                      ,55.6%                     ,.0%                    ,.0%                      ,.0%                       ,.0%                    ,.0%                           ,22.2%                     ,.0%                      ,5.6%                       ,.0%                         ,.0%                         ,.0%                    ,.0%                    ,11.1%             ,.0%                 ,.0%                   ,.0%                   ,.0%                       ,.0%        ,.0%              ,Total count =  18; from ODP 133 SR Chapter 7 Table 1 p 95
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,133, 820,A, 12,H, 3,  68.00,    105.8800,McMinn   ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,.0%                       ,.0%                 ,.0%                   ,.0%                      ,4.0%                      ,3.0%                   ,.0%                      ,.0%                       ,.0%                    ,.0%                           ,.0%                       ,.0%                      ,.0%                        ,.0%                         ,.0%                         ,.0%                    ,.0%                    ,2.0%              ,.0%                 ,.0%                   ,.0%                   ,.0%                       ,.0%        ,.0%              ,Total count =  9; from ODP 133 SR Chapter 7 Table 1 p 95
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,133, 820,A, 13,H, 3,  68.00,    115.3800,McMinn   ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,4.2%                      ,12.5%               ,.0%                   ,.0%                      ,29.2%                     ,20.8%                  ,.0%                      ,.0%                       ,.0%                    ,.0%                           ,8.3%                      ,.0%                      ,4.2%                       ,.0%                         ,4.2%                        ,.0%                    ,.0%                    ,16.7%             ,.0%                 ,.0%                   ,.0%                   ,.0%                       ,.0%        ,.0%              ,Total count =  24; from ODP 133 SR Chapter 7 Table 1 p 95
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,133, 820,A, 15,H, 3,  68.00,    134.3800,McMinn   ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,2.0%                      ,1.0%                ,.0%                   ,.0%                      ,2.0%                      ,1.0%                   ,.0%                      ,?                         ,.0%                    ,.0%                           ,2.0%                      ,.0%                      ,1.0%                       ,.0%                         ,.0%                         ,.0%                    ,.0%                    ,.0%               ,.0%                 ,.0%                   ,.0%                   ,.0%                       ,.0%        ,.0%              ,Total count =  9; from ODP 133 SR Chapter 7 Table 1 p 95
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
