leg,site,hole,core,section,top interval depth (cm),bottom interval depth (cm),top of core depth(m),top of layer depth (m),bottom of layer depth (m), describer,lithology,color,structures,deformations due to drilling,unusual occurrences,minerals,paleontology,other observations,hardness or induration,z-coding
16,155,,3,4,0.0,150.0,452.00,456.78,458.28,, NANNO MARL CLAY," 10Y3/2-DK.GREYI SH OLIVE,5GY5/1-MED.GREENISH GREY", MOTTLED,," SMALL CALCITIC S TRINGER AT 80 CM,FINE-GRAINED PYR AT 95"," CALCITE,PY R",,, SEMI-INDURATED, 12210000
16,155,,3,5,0.0,150.0,452.00,458.28,459.78,, NANNO MARLY CLAY," 10Y3/2-DK.GREY ISH OLIVE,5GY5/1-MED.GREENISH GREY,5Y6/2-YELLOWISH T O LT.OLIVE GREY"," MOTTLED,SUBHORIZONTAL PYRITE LAYER 80-85 CM,CALCITE STRINGER 100-108 CM",,," PYR,CALCITE",,, SEMI-INDURATED, 12210000
16,155,,3,6,0.0,150.0,452.00,459.78,461.28,, NANNO MARLY CLAY," 5GY4/2-OLIVE G REEN,5Y3/2-OLIVE GREY,5Y6/2-YELLOWISH TO LT.OLIVE GR EY,5GY6/2", MOTTLED,,,,, VOIDS 0-7/132-138/145-146/148- 150 CM, SEMI-INDURATED, 12210000
16,155,,4,1,0.0,10.0,461.00,461.30,461.40,, NANNO MARL, 10Y4/2-GREYISH OLIVE,,,,,,, SEMI-INDURATED, 12210000
16,155,,4,1,10.0,135.0,461.00,461.40,462.65,, CLAYSTONE," 5GY5/1-MED.GREENISH GREY,N 3-DK.GREY,-LT.OLIVE GREY"," MOTTLED AT 25 CM IN LT.OLIVE GREY,N3 LAYER 35-45 CM,SUBHORIZONTAL LOWER CONTACT", MODERATELY DEFORME D THROUGHOUT,, SCATTER ED 0.4 CM XTLS OF BARITE AT CONTACT,, WAXY, INDURATED, 33231000
16,155,,4,1,135.0,150.0,461.00,462.65,462.80,, NANNO CLAYSTONE, 10Y4/2-GREYISH OLIVE,,,,,,, INDURATED, 33231000.1210
16,155,,4,2,0.0,150.0,461.00,462.80,464.30,, NANNO CLAYSTONE," 5GY3/2-GREYISH OLIVE GREEN,5GY4/2-DUSKY TO GREYISH OLIVE GREEN,5GY5/1-ME D.GREENISH GREY"," MI NOR MOTTLING OF DKR AND LTR SHADES,80-150 CM LOWER N ANNO CONTENT AND COLOR CHANGE TO 5GY5/1", MODERATELY DEFORMED 80-150 CM,,,,, INDURATED, 33231000.1210
16,155,,4,3,0.0,80.0,461.00,464.30,465.10,, NANNO CLAYSTONE," 5GY3/2-GREENISH OLIVE GREY,5Y3/2-OLIVE GREY", MI NOR 5Y3/2 MOTTLING, MOD DEFORMED 55-80 C M,,,,, INDURATED, 33231000.1210
16,155,,4,3,80.0,98.0,461.00,465.10,465.28,, CLAYSTONE, N3-DK.GREY, HORIZONTAL LOWER CONTACT, MODERATELY DEFORMED 84-86 CM,,,,, INDURATED, 33231000
16,155,,4,3,98.0,150.0,461.00,465.28,465.80,, NANNO CLAYSTONE," 5GY3/2-GREENISH OLIV E GREY,5Y3/2-OLIVE GREY", 125-130 CM LRG 5Y3/2 MOTTLE CONTAINING FINELY DISSEMINATED PYRITE,, PYR, PYR,,, INDURATED, 33231000.1210
16,155,,4,4,0.0,91.0,461.00,465.80,466.71,, NANNO CLAYSTONE," 5GY3/2-GREYISH OLIVE GREEN,5Y3/2-OLIVE GREY"," MINOR 5Y3/2 MOTTLING,SUBHO RIZONTAL IRREGULAR LOWER CONTACT", MOD DEFORMED 75-8 0 CM,,,,, INDURATED, 33231000.1210
16,155,,4,4,91.0,98.0,461.00,466.71,466.78,, CLAYSTONE, 5Y3/2-OLIVE GREY, HORIZONTAL SHARP LOWER CON TACT,,,,,, INDURATED, 33231000.1210
16,155,,4,4,98.0,150.0,461.00,466.78,467.30,, NANNO CLAYSTONE," 5GY3/2-GREYISH OLIVE GREEN,5Y3/2-OLIVE GREY"," MINOR 5Y3/2 MOTTLING,CALCI TE STRINGER AT 135 CM", MOD DEFORMED 104-112/130-132 CM, CALCITE STRINGER, CALCITE,,, INDURATED, 33231000.1210
16,155,,4,5,0.0,150.0,461.00,467.30,468.80,, NANNO CLAYSTONE," 5GY3/2-GREYISH OLIVE GREEN,5GY4/2-LT.GREYISH OLIVE GREEN,5GY5/2-DUSKY YE LLOW GREEN"," MOTTLED WITH 5 GY5/2,COLOR GRADES FROM 5GY3/2 TO 5GY4/2",, PYRITE AT 102 CM, PYR,,, INDURATED, 33231000.1210
16,155,,4,6,5.0,145.0,461.00,468.85,470.25,, NANNO CLAYSTONE," 5GY3/2-GREYISH OLIVE GREEN,5GY5/2-DUSKY YELLOW GREEN,5Y4/1-OLIVE GREY", MOTTLED WITH 5GY5/2 AND 5Y4/1 BURROWS,,,,,, INDURATED, 33231000.1210
16,155,,5,1,0.0,15.0,470.00,470.20,470.35,, NANNO CHALK, 5Y5/2-LT.OLIVE GREY,,,,,,, SEMI-INDURATED, 11121210
16,155,,5,1,15.0,150.0,470.00,470.35,471.70,, NANNO CLAYSTONE," 5GY3/2-GREYISH OLIVE GREEN,5Y3/2-OLIVE GREY", 5Y3/2 MOTTLING,," 3 CM DIAM PYR NODULE AT 52 CM,BARITE XTLS AT 130 CM"," PYRITE, BARITE",,, INDURATED, 33231000.1210
16,155,,5,2,0.0,150.0,470.00,471.70,473.20,, NANNO MARL," 5GY3/2-GREYISH OLIVE GREEN,5GY5/2-DUSKY YELLOW GREEN,5Y4/1-OLIVE GREY", 5Y4/1 MOTTLING,,,,,, SEMI-INDURATED, 12211210
16,155,,5,3,0.0,110.0,470.00,473.20,474.30,, NANNO CLAYSTONE," 5GY3/2-GREYISH OLIVE GREEN,5Y4/1-OLIVE GREY"," 5Y4/1 MOTTLING,GRADATIONAL LOWER CONTACT",,,,,, INDURATED, 33231000.1210
16,155,,5,3,110.0,150.0,470.00,474.30,474.70,, CLAYSTONE," 5GY4/1-DK.GREENISH GREY,10 YR4/2-DK.YELLOWISH BROWN,10YR3/2-DUSKY YELLOWISH BRO WN,5Y3/2-OLIVE GREY"," PYRITIC LENS 140 -144 CM IS 10YR4/2 TO 10YR3/2,110-140 CM IS 5GY4/1,1 44-150 CM IS 5Y3/2", MODERATE DISTURBANCE THROUGHOU T, PYRITIC LENS 140-144 CM, PYR,,, INDURATED, 33231000
16,155,,5,4,0.0,150.0,470.00,474.70,476.20,, NANNO CLAYSTONE," 5GY3/2-GREYISH OLIVE GREEN,5Y4/1-OLIVE GREY", MOTTLED IN 5Y4/1,, BARITE AT 52/85/110 CM, BARITE,,, INDURATED, 33231000.1210
16,155,,5,5,0.0,70.0,470.00,476.20,476.90,, NANNO CLAYSTONE," 5GY3/2-GREYISH OLIVE GREEN,10YR3/2-DK.TO DUSKY YELLOWISH BROWN", PYRITIC STRINGERS ARE 10YR3/2 IN 10-20CM REGION,, PYR STRIN GERS, PYR,,, INDURATED, 33231000.1210
16,155,,5,5,70.0,112.0,470.00,476.90,477.32,, NANNO MARL," 5GY4/2-GREYISH OLIVE TO DUSKY YELLOW GREEN,10Y3/2-DK.TO DUSKY YELLOWISH BROWN", PYRITE CLAYSTONE LAYERS AND STRINGERS IN 10Y 3/2 90-100 CM,, PYR LAYERS AND STRINGERS, PYR,,, SEMI-INDURATED, 12211210
16,155,,5,5,112.0,150.0,470.00,477.32,477.70,, NANNO CLAYSTONE," 5GY3/1-GREYISH GREEN ,10YR3/2-DK.TO DUSKY YELLOWISH BROWN", 10YR3/2 MOTTL ING,,, PYR ?,,, INDURATED, 33231000.1210
16,155,,5,6,5.0,35.0,470.00,477.75,478.05,, NANNO CLAYSTONE," 5GY3/2-GREYISH OLIVE GREEN,10YR3/2-DK TO DUSKY YELLOWISH GREEN"," MOTTLIN G 10YR3/2,SUBHORIZONTAL SHARP LOWER CONTACT",," BARITE STRINGER AT CONTACT,2MM", BARITE,,, INDURATED, 33231000.1210
16,155,,5,6,35.0,150.0,470.00,478.05,479.20,, NANNO MARL," 5GY5/2-DUSKY YELLOW GREEN,5GY6/2-GREYISH TO DUSKY YELLOW GREEN,5GY3/2-GR EYISH OLIVE GREEN,10YR3/2-DK TO DUSKY YELLOWISH BROW N"," 35-105/130-150 CM PREDOMINANTLY 5GY5/2 WITH MOTT LING 5GY6/2,105-130 CM PREDOMINANTLY 5GY3/2 WITH MOT TLING 10YR3/2",,,,,, SEMI-INDURATED, 12211210
16,155,,6,1,55.0,65.0,479.00,479.55,479.65,, NANNO MARL," 5GY5/2-DUSKY YELLOW GREEN,5GY6/2-GREYISH TO DUSKY YELLOW GREEN", MOTTLIN G IN 5GY6/2,,,,,, SEMI-INDURATED, 12211210
