Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Truncorotalia truncatulinoides (sin.),Truncorotalia truncatulinoides (dex.),Pulleniatina obliquiloculata,Orbulina universa,Neogloboquadrina pachyderma (sinistral),Neogloboquadrina pachyderma (dextral),Neogloboquadrina dutertrei,Globorotalia tumida flexuosa,Globorotalia tumida (right),Globorotalia tumida (left),Globorotalia scitula,Globorotalia menardii,Globorotalia inflata,Globorotalia hexagonus,Globorotalia crassaformis,Globigerinoides trilobus trilobus,Globigerinoides trilobus sacculifer,Globigerinoides ruber (white),Globigerinoides ruber (pink),Globigerinoides ruber (high),Globigerinoides conglobatus,Globigerinita glutinata,Globigerina rubescens,Globigerina quinqueloba,Globigerina calida,Globigerina bulloides,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,Y                 ,              ,155, 930,D,  3,H, 1,   0.00,     13.5000,Showers  ,Planktonic Foraminifers                      ,R              ,M                 ,-                                    ,-                                    ,-                           ,-                ,-                                      ,-                                    ,-                         ,-                           ,-                          ,-                         ,-                   ,-                    ,C                   ,C                     ,R                        ,C                                ,-                                  ,R                            ,C                           ,R                           ,-                          ,-                      ,-                    ,-                      ,-                 ,-                    ,from Leg 155IR p. 107 Table 5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,Y                 ,              ,155, 930,D,  3,H,CC,  27.00,     23.7400,Showers  ,Planktonic Foraminifers                      ,R              ,M                 ,-                                    ,-                                    ,-                           ,-                ,-                                      ,R                                    ,C                         ,-                           ,-                          ,-                         ,-                   ,-                    ,-                   ,-                     ,R                        ,C                                ,C                                  ,-                            ,-                           ,-                           ,-                          ,-                      ,-                    ,-                      ,-                 ,-                    ,from Leg 155IR p. 107 Table 5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,Y                 ,              ,155, 930,D,  4,H,CC,  31.00,     32.8500,Showers  ,Planktonic Foraminifers                      ,R              ,M                 ,-                                    ,-                                    ,-                           ,-                ,-                                      ,-                                    ,A                         ,-                           ,-                          ,-                         ,-                   ,-                    ,-                   ,-                     ,-                        ,A                                ,A                                  ,-                            ,-                           ,-                           ,-                          ,-                      ,-                    ,-                      ,-                 ,-                    ,from Leg 155IR p. 107 Table 5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,Y                 ,              ,155, 930,D,  5,H,CC,  21.00,     42.5000,Showers  ,Planktonic Foraminifers                      ,R              ,M                 ,-                                    ,-                                    ,-                           ,-                ,-                                      ,-                                    ,A                         ,-                           ,-                          ,-                         ,-                   ,-                    ,-                   ,-                     ,-                        ,F                                ,C                                  ,F                            ,-                           ,-                           ,R                          ,-                      ,-                    ,-                      ,-                 ,-                    ,from Leg 155IR p. 107 Table 5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,Y                 ,              ,155, 930,D,  6,H, 1,   0.00,     42.0000,Showers  ,Planktonic Foraminifers                      ,R              ,M                 ,-                                    ,C                                    ,-                           ,-                ,-                                      ,-                                    ,C                         ,-                           ,-                          ,-                         ,-                   ,-                    ,-                   ,-                     ,-                        ,C                                ,F                                  ,R                            ,-                           ,-                           ,R                          ,-                      ,-                    ,-                      ,-                 ,-                    ,from Leg 155IR p. 107 Table 5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,Y                 ,              ,155, 930,D,  6,H,CC,  24.00,     52.0500,Showers  ,Planktonic Foraminifers                      ,C              ,M                 ,-                                    ,C                                    ,-                           ,R                ,-                                      ,-                                    ,C                         ,-                           ,-                          ,-                         ,-                   ,-                    ,-                   ,-                     ,-                        ,C                                ,R                                  ,F                            ,R                           ,-                           ,-                          ,-                      ,-                    ,-                      ,-                 ,-                    ,from Leg 155IR p. 107 Table 5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
