Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Stylosphaera coronata coronata,Spongodiscus sp. A,Lithomespilus mendosa,Entapium regulare,Dorcadospyris sp. A,Stylosphaera sp. B,Spongurus quadratus,Dorcadospyris sp. cf. D. platycantha,Clathrocycloma parcum,Buryella tetradica,Buryella sp. cf. B. clinata,Buryella pentadica,Astrosphaerin sp. F,Astrosphaerin sp. E,Xiphosphaera circularis,Stylosphaera sp. A,Stylosphaera goruna,Phormocyrtis striata exquisita,Lychnocanoma sp. E,Entapium chaenapium,Bekoma campechensis,Bathropyramis sp. cf. B. woodringi,Thecosphaerella ptomatus,Periphaena decora,Lychnocanoma sp. D,Lychnocanoma sp. A,Lithomitra docilis,Entapium sp. A,Cornutella californica,Amphisphaera minor,Theocorys sp. cf. T. phyzella,Stylotrochus alveatus,Siphocampe sp. aff. S. arachnea,Saturnulus sp. A,Lychnocanoma sp. C,Clathrocycloma sp. A,Bekoma sp. aff. B. campechensis,Amphymenium splendiarmatum,Amphiternis sp. cf. ?Stichomitra alamedaensis,?Lithochytris sp. A,Buryella sp. A,Ceratospyris sp. aff. C. articulata,Bekoma divaricata,Velicucullus sp.,Stylotrochus nitidus,Pterocodon (?) ampla,Dorcadospyris sp. B,Dictyomitra andersoni,Theocorys phyzella,Lychnocanoma sp. B,Heliostylus sp,Dictyoceras caia,?Lychnocanoma sp. F,Phormocyrtis striata striata,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Paleocene        ,                 ,B. campechensis   ,              ,122, 761,B, 16,X, 4,  97.00,    128.1700,Blome    ,Radiolarians                                 ,R              ,M                 ,R                             ,                  ,                     ,                 ,                   ,                  ,                   ,                                    ,                     ,R                 ,                           ,R                 ,                   ,                   ,                       ,R                 ,                   ,                              ,                  ,                   ,                   ,                                  ,                        ,                 ,                  ,                  ,                  ,              ,                      ,                  ,                             ,                     ,                               ,                ,                  ,                    ,                               ,                          ,                                             ,                   ,              ,                                   ,                 ,                ,                    ,                    ,                   ,                     ,                  ,                  ,              ,                ,                   ,                            ,from ODP Leg 122 Chapter 37 Tables 1-2 p 636-641
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Paleocene        ,                 ,B. campechensis   ,              ,122, 761,B, 16,X,CC,  42.00,    129.1200,Blome    ,Radiolarians                                 ,A              ,G                 ,C                             ,R                 ,                     ,C                ,C                  ,F                 ,F                  ,F                                   ,F                    ,C                 ,C                          ,F                 ,F                  ,F                  ,                       ,C                 ,F                  ,C                             ,                  ,F                  ,F                  ,F                                 ,                        ,                 ,F                 ,F                 ,F                 ,F             ,F                     ,F                 ,C                            ,F                    ,                               ,R               ,C                 ,F                   ,F                              ,                          ,F                                            ,F                  ,              ,F                                  ,                 ,                ,                    ,                    ,F                  ,                     ,F                 ,A                 ,              ,                ,                   ,F                           ,from ODP Leg 122 Chapter 37 Tables 1-2 p 636-641
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Paleocene        ,                 ,B. campechensis   ,              ,122, 761,B, 17,X, 1,  67.00,    132.8700,Blome    ,Radiolarians                                 ,A              ,G                 ,C                             ,F                 ,F                    ,C                ,C                  ,F                 ,C                  ,C                                   ,F                    ,C                 ,C                          ,C                 ,F                  ,                   ,F                      ,F                 ,C                  ,F                             ,                  ,F                  ,F                  ,C                                 ,F                       ,F                ,F                 ,C                 ,F                 ,F             ,F                     ,F                 ,C                            ,F                    ,F                              ,R               ,C                 ,F                   ,F                              ,F                         ,                                             ,F                  ,F             ,F                                  ,F                ,R               ,F                   ,                    ,F                  ,                     ,F                 ,A                 ,              ,                ,F                  ,                            ,from ODP Leg 122 Chapter 37 Tables 1-2 p 636-641
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Paleocene        ,                 ,B. campechensis   ,              ,122, 761,B, 17,X, 1, 133.00,    133.5300,Blome    ,Radiolarians                                 ,A              ,G                 ,C                             ,F                 ,                     ,C                ,C                  ,                  ,C                  ,C                                   ,F                    ,C                 ,C                          ,C                 ,F                  ,F                  ,C                      ,F                 ,C                  ,F                             ,F                 ,F                  ,C                  ,C                                 ,                        ,F                ,F                 ,F                 ,C                 ,F             ,C                     ,C                 ,F                            ,F                    ,C                              ,R               ,C                 ,C                   ,C                              ,C                         ,                                             ,F                  ,F             ,                                   ,F                ,R               ,                    ,                    ,F                  ,                     ,C                 ,C                 ,              ,                ,F                  ,F                           ,from ODP Leg 122 Chapter 37 Tables 1-2 p 636-641
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Paleocene        ,                 ,B. campechensis   ,              ,122, 761,B, 17,X, 2,  67.00,    134.3700,Blome    ,Radiolarians                                 ,A              ,G                 ,C                             ,C                 ,                     ,C                ,C                  ,F                 ,F                  ,C                                   ,F                    ,C                 ,C                          ,C                 ,C                  ,                   ,C                      ,F                 ,C                  ,F                             ,F                 ,F                  ,F                  ,F                                 ,C                       ,F                ,F                 ,F                 ,C                 ,C             ,F                     ,C                 ,C                            ,F                    ,F                              ,R               ,C                 ,C                   ,F                              ,F                         ,F                                            ,F                  ,              ,                                   ,                 ,R               ,                    ,                    ,F                  ,                     ,C                 ,C                 ,F             ,                ,                   ,                            ,from ODP Leg 122 Chapter 37 Tables 1-2 p 636-641
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Paleocene        ,                 ,B. campechensis   ,              ,122, 761,B, 17,X, 2, 133.00,    135.0300,Blome    ,Radiolarians                                 ,A              ,G                 ,C                             ,F                 ,F                    ,F                ,C                  ,                  ,C                  ,C                                   ,F                    ,A                 ,C                          ,C                 ,F                  ,                   ,F                      ,F                 ,C                  ,F                             ,F                 ,F                  ,F                  ,F                                 ,C                       ,F                ,F                 ,C                 ,C                 ,F             ,F                     ,F                 ,F                            ,F                    ,F                              ,R               ,C                 ,C                   ,F                              ,F                         ,                                             ,F                  ,              ,F                                  ,                 ,R               ,                    ,                    ,F                  ,                     ,F                 ,F                 ,F             ,F               ,                   ,                            ,from ODP Leg 122 Chapter 37 Tables 1-2 p 636-641
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Paleocene        ,                 ,B. campechensis   ,              ,122, 761,B, 17,X, 3,  67.00,    135.8700,Blome    ,Radiolarians                                 ,C              ,M                 ,C                             ,C                 ,F                    ,C                ,C                  ,                  ,C                  ,C                                   ,                     ,C                 ,C                          ,C                 ,F                  ,F                  ,F                      ,                  ,C                  ,C                             ,                  ,F                  ,                   ,C                                 ,C                       ,F                ,F                 ,                  ,C                 ,F             ,F                     ,F                 ,C                            ,C                    ,F                              ,                ,C                 ,C                   ,                               ,F                         ,                                             ,C                  ,F             ,                                   ,                 ,R               ,                    ,                    ,F                  ,R                    ,                  ,F                 ,F             ,F               ,                   ,                            ,from ODP Leg 122 Chapter 37 Tables 1-2 p 636-641
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Paleocene        ,                 ,B. campechensis   ,              ,122, 761,B, 17,X, 3, 133.00,    136.5300,Blome    ,Radiolarians                                 ,C              ,M                 ,C                             ,C                 ,F                    ,F                ,C                  ,                  ,C                  ,C                                   ,                     ,C                 ,C                          ,C                 ,F                  ,F                  ,C                      ,                  ,C                  ,C                             ,                  ,F                  ,R                  ,F                                 ,F                       ,F                ,F                 ,                  ,C                 ,F             ,F                     ,F                 ,C                            ,C                    ,F                              ,R               ,C                 ,C                   ,                               ,F                         ,                                             ,C                  ,F             ,                                   ,                 ,                ,                    ,                    ,F                  ,                     ,                  ,F                 ,F             ,F               ,                   ,                            ,from ODP Leg 122 Chapter 37 Tables 1-2 p 636-641
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Paleocene        ,                 ,B. campechensis   ,              ,122, 761,B, 17,X, 4,  67.00,    137.3700,Blome    ,Radiolarians                                 ,C              ,M                 ,C                             ,C                 ,F                    ,F                ,C                  ,                  ,F                  ,C                                   ,                     ,C                 ,C                          ,C                 ,C                  ,F                  ,C                      ,                  ,C                  ,C                             ,F                 ,F                  ,                   ,C                                 ,F                       ,F                ,F                 ,F                 ,C                 ,F             ,F                     ,F                 ,C                            ,C                    ,                               ,R               ,A                 ,F                   ,                               ,F                         ,R                                            ,C                  ,F             ,                                   ,                 ,                ,                    ,                    ,F                  ,                     ,F                 ,F                 ,F             ,F               ,R                  ,                            ,from ODP Leg 122 Chapter 37 Tables 1-2 p 636-641
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Paleocene        ,                 ,B. campechensis   ,              ,122, 761,B, 17,X, 5,  67.00,    138.8700,Blome    ,Radiolarians                                 ,C              ,M                 ,C                             ,F                 ,F                    ,C                ,C                  ,F                 ,F                  ,C                                   ,                     ,C                 ,C                          ,C                 ,F                  ,F                  ,F                      ,F                 ,C                  ,F                             ,F                 ,F                  ,                   ,F                                 ,F                       ,F                ,F                 ,                  ,F                 ,F             ,C                     ,F                 ,F                            ,F                    ,                               ,                ,C                 ,F                   ,                               ,C                         ,R                                            ,C                  ,F             ,                                   ,                 ,                ,                    ,R                   ,F                  ,                     ,                  ,                  ,              ,                ,                   ,                            ,from ODP Leg 122 Chapter 37 Tables 1-2 p 636-641
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Paleocene        ,                 ,B. campechensis   ,              ,122, 761,B, 17,X, 6,  67.00,    140.3700,Blome    ,Radiolarians                                 ,C              ,M                 ,C                             ,C                 ,R                    ,F                ,C                  ,F                 ,F                  ,F                                   ,                     ,C                 ,C                          ,F                 ,C                  ,C                  ,F                      ,F                 ,C                  ,F                             ,F                 ,F                  ,                   ,R                                 ,C                       ,                 ,F                 ,                  ,F                 ,F             ,C                     ,F                 ,C                            ,C                    ,                               ,                ,C                 ,F                   ,                               ,F                         ,R                                            ,C                  ,R             ,                                   ,                 ,                ,                    ,F                   ,                   ,R                    ,                  ,                  ,              ,                ,                   ,                            ,from ODP Leg 122 Chapter 37 Tables 1-2 p 636-641
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Paleocene        ,                 ,B. campechensis   ,              ,122, 761,B, 17,X, 6, 133.00,    141.0300,Blome    ,Radiolarians                                 ,C              ,M                 ,C                             ,C                 ,F                    ,C                ,C                  ,F                 ,F                  ,F                                   ,R                    ,A                 ,C                          ,C                 ,F                  ,C                  ,C                      ,                  ,C                  ,F                             ,R                 ,F                  ,                   ,R                                 ,C                       ,R                ,                  ,                  ,R                 ,R             ,F                     ,R                 ,F                            ,C                    ,                               ,                ,C                 ,R                   ,                               ,F                         ,                                             ,F                  ,F             ,                                   ,                 ,                ,                    ,F                   ,                   ,                     ,                  ,                  ,              ,                ,                   ,                            ,from ODP Leg 122 Chapter 37 Tables 1-2 p 636-641
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Paleocene        ,                 ,B. campechensis   ,              ,122, 761,B, 17,X,CC,  36.00,    141.9100,Blome    ,Radiolarians                                 ,C              ,M                 ,C                             ,C                 ,F                    ,C                ,C                  ,F                 ,C                  ,F                                   ,R                    ,A                 ,C                          ,C                 ,F                  ,C                  ,C                      ,                  ,C                  ,C                             ,F                 ,F                  ,                   ,F                                 ,C                       ,R                ,R                 ,                  ,R                 ,R             ,C                     ,F                 ,F                            ,C                    ,R                              ,R               ,C                 ,F                   ,                               ,F                         ,                                             ,C                  ,F             ,                                   ,                 ,                ,                    ,C                   ,                   ,R                    ,                  ,                  ,              ,                ,                   ,                            ,from ODP Leg 122 Chapter 37 Tables 1-2 p 636-641
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Paleocene        ,                 ,B. campechensis   ,              ,122, 761,B, 18,X, 1,  67.00,    142.3700,Blome    ,Radiolarians                                 ,C              ,M                 ,C                             ,C                 ,F                    ,C                ,C                  ,F                 ,C                  ,C                                   ,F                    ,C                 ,C                          ,F                 ,R                  ,C                  ,C                      ,                  ,F                  ,C                             ,F                 ,F                  ,                   ,R                                 ,F                       ,F                ,F                 ,                  ,                  ,R             ,F                     ,R                 ,C                            ,C                    ,R                              ,                ,C                 ,R                   ,                               ,F                         ,                                             ,C                  ,              ,                                   ,                 ,                ,                    ,F                   ,R                  ,                     ,                  ,                  ,              ,                ,                   ,                            ,from ODP Leg 122 Chapter 37 Tables 1-2 p 636-641
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Paleocene        ,                 ,B. campechensis   ,              ,122, 761,B, 18,X, 2,  67.00,    143.8700,Blome    ,Radiolarians                                 ,C              ,M                 ,C                             ,F                 ,F                    ,C                ,C                  ,F                 ,F                  ,C                                   ,                     ,C                 ,C                          ,C                 ,R                  ,F                  ,F                      ,F                 ,C                  ,C                             ,F                 ,F                  ,R                  ,R                                 ,C                       ,C                ,R                 ,                  ,                  ,R             ,F                     ,R                 ,C                            ,F                    ,                               ,R               ,C                 ,R                   ,                               ,F                         ,                                             ,C                  ,R             ,R                                  ,                 ,                ,                    ,F                   ,                   ,                     ,                  ,                  ,              ,                ,                   ,                            ,from ODP Leg 122 Chapter 37 Tables 1-2 p 636-641
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Paleocene        ,                 ,B. campechensis   ,              ,122, 761,B, 18,X, 3,  67.00,    145.3700,Blome    ,Radiolarians                                 ,C              ,M                 ,F                             ,                  ,                     ,F                ,C                  ,R                 ,F                  ,F                                   ,R                    ,C                 ,C                          ,F                 ,R                  ,F                  ,C                      ,                  ,F                  ,F                             ,F                 ,F                  ,R                  ,                                  ,F                       ,                 ,                  ,                  ,F                 ,R             ,F                     ,R                 ,F                            ,                     ,R                              ,R               ,C                 ,F                   ,                               ,F                         ,R                                            ,F                  ,F             ,                                   ,                 ,                ,                    ,F                   ,R                  ,                     ,                  ,                  ,              ,                ,                   ,                            ,from ODP Leg 122 Chapter 37 Tables 1-2 p 636-641
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Paleocene        ,                 ,B. campechensis   ,              ,122, 761,B, 18,X, 4,  67.00,    146.8700,Blome    ,Radiolarians                                 ,A              ,G                 ,C                             ,A                 ,F                    ,C                ,A                  ,F                 ,C                  ,C                                   ,A                    ,A                 ,A                          ,A                 ,C                  ,F                  ,C                      ,C                 ,C                  ,F                             ,F                 ,C                  ,C                  ,F                                 ,C                       ,                 ,R                 ,                  ,C                 ,F             ,C                     ,C                 ,C                            ,C                    ,C                              ,F               ,A                 ,C                   ,C                              ,C                         ,R                                            ,C                  ,C             ,F                                  ,                 ,R               ,F                   ,F                   ,R                  ,                     ,                  ,                  ,              ,                ,                   ,                            ,from ODP Leg 122 Chapter 37 Tables 1-2 p 636-641
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Paleocene        ,                 ,B. campechensis   ,              ,122, 761,B, 18,X, 5,  67.00,    148.3700,Blome    ,Radiolarians                                 ,A              ,G                 ,A                             ,C                 ,F                    ,C                ,C                  ,F                 ,C                  ,C                                   ,A                    ,A                 ,C                          ,C                 ,F                  ,C                  ,C                      ,C                 ,C                  ,C                             ,F                 ,F                  ,F                  ,F                                 ,C                       ,                 ,                  ,                  ,F                 ,F             ,F                     ,C                 ,C                            ,C                    ,C                              ,F               ,A                 ,F                   ,C                              ,C                         ,F                                            ,C                  ,C             ,R                                  ,R                ,                ,                    ,                    ,                   ,                     ,                  ,                  ,              ,                ,                   ,                            ,from ODP Leg 122 Chapter 37 Tables 1-2 p 636-641
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Paleocene        ,                 ,B. campechensis   ,              ,122, 761,B, 18,X, 6,  67.00,    149.8700,Blome    ,Radiolarians                                 ,A              ,G                 ,A                             ,C                 ,F                    ,C                ,C                  ,C                 ,C                  ,C                                   ,A                    ,A                 ,C                          ,C                 ,C                  ,C                  ,C                      ,F                 ,C                  ,C                             ,C                 ,F                  ,R                  ,C                                 ,C                       ,                 ,F                 ,                  ,F                 ,F             ,F                     ,F                 ,C                            ,C                    ,F                              ,R               ,C                 ,F                   ,R                              ,F                         ,R                                            ,C                  ,F             ,                                   ,                 ,                ,                    ,                    ,                   ,                     ,                  ,                  ,              ,                ,                   ,                            ,from ODP Leg 122 Chapter 37 Tables 1-2 p 636-641
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Paleocene        ,                 ,B. campechensis   ,              ,122, 761,B, 18,X,CC,  32.00,    151.2000,Blome    ,Radiolarians                                 ,A              ,G                 ,A                             ,C                 ,F                    ,C                ,C                  ,C                 ,C                  ,C                                   ,A                    ,C                 ,C                          ,C                 ,C                  ,C                  ,F                      ,F                 ,C                  ,C                             ,F                 ,F                  ,R                  ,C                                 ,C                       ,                 ,F                 ,                  ,F                 ,F             ,F                     ,F                 ,C                            ,F                    ,F                              ,R               ,C                 ,F                   ,R                              ,F                         ,R                                            ,F                  ,              ,                                   ,                 ,                ,                    ,                    ,                   ,                     ,                  ,                  ,              ,                ,                   ,                            ,from ODP Leg 122 Chapter 37 Tables 1-2 p 636-641
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Paleocene        ,                 ,B. campechensis   ,              ,122, 761,B, 19,X, 1,  74.00,    151.9400,Blome    ,Radiolarians                                 ,C              ,G                 ,C                             ,F                 ,F                    ,R                ,F                  ,                  ,F                  ,F                                   ,C                    ,C                 ,F                          ,F                 ,F                  ,F                  ,R                      ,C                 ,C                  ,                              ,F                 ,                   ,F                  ,R                                 ,R                       ,F                ,R                 ,F                 ,F                 ,F             ,R                     ,F                 ,                             ,                     ,                               ,                ,                  ,                    ,                               ,                          ,                                             ,                   ,              ,                                   ,                 ,                ,                    ,                    ,                   ,                     ,                  ,                  ,              ,                ,                   ,                            ,from ODP Leg 122 Chapter 37 Tables 1-2 p 636-641
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Paleocene        ,                 ,B. campechensis   ,              ,122, 761,B, 19,X, 1, 134.00,    152.5400,Blome    ,Radiolarians                                 ,R              ,M                 ,C                             ,                  ,F                    ,R                ,F                  ,R                 ,                   ,F                                   ,R                    ,F                 ,                           ,R                 ,R                  ,R                  ,R                      ,F                 ,F                  ,F                             ,R                 ,R                  ,F                  ,R                                 ,                        ,                 ,                  ,                  ,                  ,              ,                      ,                  ,                             ,                     ,                               ,                ,                  ,                    ,                               ,                          ,                                             ,                   ,              ,                                   ,                 ,                ,                    ,                    ,                   ,                     ,                  ,                  ,              ,                ,                   ,                            ,from ODP Leg 122 Chapter 37 Tables 1-2 p 636-641
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Paleocene        ,                 ,B. campechensis   ,              ,122, 761,B, 19,X, 2,  72.00,    153.4200,Blome    ,Radiolarians                                 ,R              ,M                 ,R                             ,R                 ,R                    ,                 ,R                  ,R                 ,R                  ,R                                   ,R                    ,R                 ,R                          ,R                 ,R                  ,R                  ,                       ,                  ,                   ,                              ,                  ,                   ,                   ,                                  ,                        ,                 ,                  ,                  ,                  ,              ,                      ,                  ,                             ,                     ,                               ,                ,                  ,                    ,                               ,                          ,                                             ,                   ,              ,                                   ,                 ,                ,                    ,                    ,                   ,                     ,                  ,                  ,              ,                ,                   ,                            ,from ODP Leg 122 Chapter 37 Tables 1-2 p 636-641
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Paleocene        ,                 ,B. campechensis   ,              ,122, 761,B, 19,X,CC,  50.00,    157.9300,Blome    ,Radiolarians                                 ,R              ,P                 ,R                             ,R                 ,R                    ,R                ,R                  ,                  ,                   ,                                    ,                     ,                  ,                           ,                  ,                   ,                   ,                       ,                  ,                   ,                              ,                  ,                   ,                   ,                                  ,                        ,                 ,                  ,                  ,                  ,              ,                      ,                  ,                             ,                     ,                               ,                ,                  ,                    ,                               ,                          ,                                             ,                   ,              ,                                   ,                 ,                ,                    ,                    ,                   ,                     ,                  ,                  ,              ,                ,                   ,                            ,from ODP Leg 122 Chapter 37 Tables 1-2 p 636-641
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
