Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Stichocorys peregrina,Lamprocyrtis heteroporos,Dictyophimus splendens,Clathrocyclas bicornis,Anthocyrtidium pliocenica,Lychnocanoma nipponica sakaii,Pseudocubus warreni,Stylatractus universus,Sphaeropyle robusta,Stichocorys delmontensis,Phormostichoartus crustula,Eucyrtidium erythromystax,Eucyrtidium calvertense,Dictyophimus crisiae,Actinomma popofskii,Pterocanium auritum,Lamprocyrtis neoheteroporos,Lamprocyclas hadros,Botryostrobus praetumidulus,Sphaeropyle langii,Cycladophora davisiana davisiana,Botryostrobus aquilonaris,Cycladophora bicincta,Eucyrtidium matuyamai,Stylacontarium acquilonium,Lamprocyrtis nigriniae,Botryostrobus tumidulus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,S. universus      ,              ,167,1016,B,  5,H,CC,  23.00,     40.1100,Caulet   ,Radiolarians                                 ,C              ,M                 ,                     ,                        ,                      ,                      ,                         ,R                            ,R                  ,                      ,                   ,                        ,                          ,                         ,                       ,R                   ,                   ,                   ,                           ,T                  ,C                          ,R                 ,A                               ,C                        ,                     ,                     ,                          ,T                     ,                       ,from IR. Ch 10. Tables 8 and 9.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,E. matuyamai (N Pac),              ,167,1016,B,  6,H,CC,  24.00,     49.3500,Caulet   ,Radiolarians                                 ,A              ,G                 ,                     ,                        ,                      ,A                     ,                         ,                             ,                   ,R                     ,T                  ,                        ,                          ,                         ,                       ,R                   ,                   ,R                  ,C                          ,                   ,F                          ,R                 ,A                               ,                         ,C                    ,R                    ,                          ,                      ,                       ,from IR. Ch 10. Tables 8 and 9.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,E. matuyamai (N Pac),              ,167,1016,B,  7,H,CC,  19.00,     59.1100,Caulet   ,Radiolarians                                 ,A              ,G                 ,                     ,F                       ,                      ,C                     ,                         ,F                            ,                   ,R                     ,                   ,                        ,                          ,                         ,                       ,F                   ,C                  ,F                  ,A                          ,R                  ,                           ,R                 ,A                               ,C                        ,C                    ,C                    ,F                         ,                      ,                       ,from IR. Ch 10. Tables 8 and 9.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,E. matuyamai (N Pac),              ,167,1016,B,  8,H,CC,  22.00,     68.6200,Caulet   ,Radiolarians                                 ,A              ,G                 ,                     ,R                       ,                      ,                      ,                         ,                             ,                   ,R                     ,                   ,                        ,                          ,                         ,                       ,R                   ,C                  ,                   ,A                          ,                   ,C                          ,R                 ,A                               ,                         ,                     ,R                    ,                          ,                      ,                       ,from IR. Ch 10. Tables 8 and 9.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pliocene         ,                 ,S. langii (N Pac) ,              ,167,1016,B,  9,H,CC,  49.00,     77.5400,Caulet   ,Radiolarians                                 ,A              ,G                 ,                     ,A                       ,                      ,C                     ,                         ,                             ,                   ,R                     ,                   ,                        ,                          ,                         ,                       ,                    ,                   ,R                  ,R                          ,                   ,                           ,R                 ,A                               ,                         ,R                    ,                     ,                          ,                      ,                       ,from IR. Ch 10. Tables 8 and 9.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pliocene         ,                 ,S. langii (N Pac) ,              ,167,1016,B, 10,H,CC,  21.00,     87.6100,Caulet   ,Radiolarians                                 ,A              ,G                 ,                     ,A                       ,                      ,                      ,                         ,                             ,                   ,F                     ,                   ,                        ,F                         ,R                        ,                       ,R                   ,A                  ,                   ,A                          ,                   ,                           ,R                 ,A                               ,F                        ,                     ,                     ,                          ,                      ,                       ,from IR. Ch 10. Tables 8 and 9.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pliocene         ,                 ,S. langii (N Pac) ,              ,167,1016,B, 11,H,CC,  25.00,     97.2600,Caulet   ,Radiolarians                                 ,A              ,G                 ,                     ,A                       ,                      ,C                     ,                         ,T                            ,T                  ,R                     ,R                  ,                        ,T                         ,T                        ,                       ,R                   ,                   ,                   ,C                          ,                   ,R                          ,                  ,A                               ,                         ,                     ,                     ,                          ,                      ,                       ,from IR. Ch 10. Tables 8 and 9.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pliocene         ,                 ,S. langii (N Pac) ,              ,167,1016,B, 12,H,CC,  20.00,    106.6300,Caulet   ,Radiolarians                                 ,A              ,G                 ,                     ,R                       ,                      ,A                     ,                         ,R                            ,R                  ,F                     ,C                  ,                        ,                          ,R                        ,R                      ,                    ,A                  ,                   ,C                          ,                   ,                           ,                  ,A                               ,                         ,                     ,                     ,                          ,                      ,                       ,from IR. Ch 10. Tables 8 and 9.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pliocene         ,                 ,S. langii (N Pac) ,              ,167,1016,B, 13,H,CC,  27.00,    116.0800,Caulet   ,Radiolarians                                 ,C              ,M                 ,                     ,R                       ,T                     ,C                     ,                         ,                             ,                   ,F                     ,                   ,                        ,                          ,                         ,T                      ,                    ,                   ,                   ,A                          ,                   ,                           ,                  ,                                ,                         ,                     ,                     ,                          ,                      ,                       ,from IR. Ch 10. Tables 8 and 9.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pliocene         ,                 ,S. langii (N Pac) ,              ,167,1016,B, 14,H,CC,  19.00,    125.7000,Caulet   ,Radiolarians                                 ,C              ,M                 ,R                    ,F                       ,                      ,C                     ,                         ,                             ,R                  ,A                     ,                   ,                        ,                          ,                         ,C                      ,                    ,                   ,                   ,A                          ,                   ,C                          ,R                 ,                                ,                         ,                     ,                     ,                          ,                      ,                       ,from IR. Ch 10. Tables 8 and 9.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pliocene         ,                 ,S. peregrina (N Pac),              ,167,1016,B, 15,H,CC,  13.00,    134.6100,Caulet   ,Radiolarians                                 ,A              ,G                 ,R                    ,C                       ,                      ,C                     ,                         ,                             ,                   ,C                     ,                   ,                        ,R                         ,                         ,R                      ,T                   ,C                  ,                   ,                           ,C                  ,C                          ,                  ,                                ,                         ,                     ,                     ,                          ,                      ,                       ,from IR. Ch 10. Tables 8 and 9.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,Early Pliocene   ,S. peregrina (N Pac),              ,167,1016,B, 16,H,CC,  29.00,    144.8500,Caulet   ,Radiolarians                                 ,A              ,G                 ,R                    ,A                       ,                      ,C                     ,                         ,R                            ,                   ,                      ,R                  ,                        ,                          ,                         ,C                      ,                    ,                   ,R                  ,A                          ,                   ,                           ,                  ,                                ,                         ,                     ,                     ,                          ,                      ,                       ,from IR. Ch 10. Tables 8 and 9.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,Early Pliocene   ,S. peregrina (N Pac),              ,167,1016,B, 17,H,CC,  22.00,    154.1300,Caulet   ,Radiolarians                                 ,A              ,G                 ,                     ,C                       ,                      ,C                     ,                         ,R                            ,                   ,C                     ,R                  ,                        ,R                         ,T                        ,C                      ,T                   ,C                  ,                   ,                           ,                   ,                           ,                  ,                                ,                         ,                     ,                     ,                          ,                      ,                       ,from IR. Ch 10. Tables 8 and 9.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,Early Pliocene   ,S. peregrina (N Pac),              ,167,1016,B, 18,H,CC,  20.00,    163.6500,Caulet   ,Radiolarians                                 ,F              ,M                 ,R                    ,R                       ,                      ,C                     ,R                        ,                             ,                   ,                      ,                   ,T                       ,                          ,                         ,                       ,                    ,                   ,                   ,                           ,                   ,                           ,                  ,                                ,                         ,                     ,                     ,                          ,                      ,                       ,from IR. Ch 10. Tables 8 and 9.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,Early Pliocene   ,S. peregrina (N Pac),              ,167,1016,B, 19,H,CC,  16.00,    173.1000,Caulet   ,Radiolarians                                 ,A              ,G                 ,F                    ,A                       ,                      ,                      ,F                        ,T                            ,T                  ,F                     ,T                  ,                        ,                          ,                         ,                       ,                    ,                   ,                   ,                           ,                   ,                           ,                  ,                                ,                         ,                     ,                     ,                          ,                      ,                       ,from IR. Ch 10. Tables 8 and 9.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,Early Pliocene   ,S. peregrina (N Pac),              ,167,1016,B, 20,H,CC,  19.00,    182.6900,Caulet   ,Radiolarians                                 ,C              ,G                 ,R                    ,C                       ,                      ,F                     ,C                        ,                             ,T                  ,                      ,                   ,                        ,                          ,                         ,                       ,                    ,                   ,                   ,                           ,                   ,                           ,                  ,                                ,                         ,                     ,                     ,                          ,                      ,                       ,from IR. Ch 10. Tables 8 and 9.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,Early Pliocene   ,S. peregrina (N Pac),              ,167,1016,B, 21,H,CC,  22.00,    192.2300,Caulet   ,Radiolarians                                 ,C              ,G                 ,R                    ,C                       ,                      ,C                     ,R                        ,R                            ,                   ,                      ,                   ,                        ,                          ,                         ,                       ,                    ,                   ,                   ,                           ,                   ,                           ,                  ,                                ,                         ,                     ,                     ,                          ,                      ,                       ,from IR. Ch 10. Tables 8 and 9.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,Early Pliocene   ,S. peregrina (N Pac),              ,167,1016,B, 22,H,CC,  22.00,    201.7500,Caulet   ,Radiolarians                                 ,F              ,G                 ,C                    ,A                       ,T                     ,                      ,R                        ,                             ,                   ,                      ,                   ,                        ,                          ,                         ,                       ,                    ,                   ,                   ,                           ,                   ,                           ,                  ,                                ,                         ,                     ,                     ,                          ,                      ,                       ,from IR. Ch 10. Tables 8 and 9.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,Early Pliocene   ,S. peregrina (N Pac),              ,167,1016,B, 23,H,CC,  21.00,    211.1800,Caulet   ,Radiolarians                                 ,F              ,G                 ,R                    ,A                       ,T                     ,C                     ,R                        ,                             ,                   ,                      ,                   ,                        ,                          ,                         ,                       ,                    ,                   ,                   ,                           ,                   ,                           ,                  ,                                ,                         ,                     ,                     ,                          ,                      ,                       ,from IR. Ch 10. Tables 8 and 9.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
