Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zeaglobigerina rubescens,Zeaglobigerina nepenthes,Zeaglobigerina decoraperta,Pulleniatina primalis,Neogloboquadrina acostaensis,Globorotalia scitula,Globorotalia menardii,Globigerinoides trilobus,Globigerinoides ruber,Globigerinoides obliquus,Globigerinoides extremus,Dentoglobigerina altispira,Globorotalia limbata,Globorotalia juanai,Globoquadrina venezuelana,Globigerinoides sacculifer,Dentoglobigerina globosa,Sphaeroidinella dehiscens,Pulleniatina obliquiloculata,Globorotalia tumida,Globigerinoides tenellus,Globigerinoides conglobatus,Zeaglobigerina apertura,Neogloboquadrina humerosa,Globorotalia multicamerata,Neogloboquadrina dutertrei,Globorotalia theyeri,Globorotaloides hexagona,Globorotalia tosaensis,Globigerinoides quadrilobatus,Globigerinella aequilateralis,Globorotalia inflata,Globigerinoides immaturus,Globigerina bulloides,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,170,1041,A,  6,X,CC,  36.00,     41.2300,Ibaraki  ,Planktonic Foraminifers                      ,R              ,P                 ,                        ,                        ,                          ,                     ,                            ,R                   ,R                    ,                        ,R                    ,R                       ,                        ,                          ,                    ,                   ,                         ,R                         ,                        ,                         ,                            ,                   ,                        ,                           ,                       ,                         ,                          ,R                         ,                    ,                        ,                      ,                             ,R                            ,                    ,                         ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,170,1041,A,  7,X,CC,  31.00,     50.7000,Ibaraki  ,Planktonic Foraminifers                      ,R              ,M                 ,                        ,                        ,                          ,                     ,                            ,                    ,R                    ,                        ,R                    ,                        ,rR                      ,                          ,                    ,                   ,                         ,                          ,                        ,                         ,                            ,R                  ,                        ,                           ,                       ,                         ,                          ,R                         ,                    ,                        ,                      ,R                            ,                             ,                    ,                         ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,170,1041,A,  8,X,CC,  31.00,     60.4600,Ibaraki  ,Planktonic Foraminifers                      ,R              ,M                 ,                        ,                        ,                          ,                     ,                            ,                    ,                     ,                        ,R                    ,                        ,                        ,                          ,                    ,                   ,                         ,R                         ,                        ,                         ,R                           ,R                  ,                        ,                           ,                       ,                         ,                          ,R                         ,                    ,                        ,                      ,                             ,                             ,                    ,                         ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,170,1041,A,  9,X,CC,  31.00,     69.2200,Ibaraki  ,Planktonic Foraminifers                      ,R              ,M                 ,                        ,                        ,                          ,                     ,                            ,R                   ,                     ,R                       ,R                    ,                        ,rR                      ,                          ,                    ,                   ,                         ,                          ,                        ,R                        ,                            ,R                  ,                        ,                           ,                       ,R                        ,                          ,R                         ,                    ,R                       ,                      ,                             ,                             ,                    ,                         ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,170,1041,A, 10,X,CC,  41.00,     76.2300,Ibaraki  ,Planktonic Foraminifers                      ,R              ,M                 ,                        ,                        ,                          ,                     ,                            ,                    ,R                    ,R                       ,R                    ,                        ,rR                      ,                          ,                    ,                   ,                         ,R                         ,                        ,                         ,                            ,                   ,R                       ,                           ,                       ,R                        ,                          ,R                         ,                    ,R                       ,R                     ,                             ,                             ,                    ,                         ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,170,1041,A, 11,X,CC,  36.00,     84.9900,Ibaraki  ,Planktonic Foraminifers                      ,R              ,M                 ,                        ,                        ,                          ,                     ,                            ,R                   ,R                    ,R                       ,R                    ,R                       ,R                       ,                          ,                    ,                   ,                         ,R                         ,                        ,                         ,                            ,R                  ,                        ,                           ,                       ,R                        ,                          ,R                         ,                    ,R                       ,                      ,                             ,                             ,                    ,                         ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,170,1041,A, 13,X,CC,  16.00,    100.7800,Ibaraki  ,Planktonic Foraminifers                      ,R              ,M                 ,                        ,                        ,                          ,                     ,                            ,                    ,R                    ,                        ,R                    ,                        ,                        ,                          ,                    ,                   ,                         ,R                         ,                        ,                         ,R                           ,R                  ,                        ,                           ,                       ,                         ,                          ,R                         ,                    ,R                       ,R                     ,                             ,                             ,                    ,                         ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N21           ,170,1041,A, 14,X,CC,   0.00,    112.1800,Ibaraki  ,Planktonic Foraminifers                      ,R              ,M                 ,                        ,                        ,                          ,                     ,                            ,                    ,R                    ,                        ,                     ,                        ,                        ,                          ,                    ,                   ,                         ,                          ,                        ,                         ,R                           ,                   ,                        ,                           ,                       ,                         ,                          ,R                         ,R                   ,                        ,                      ,                             ,                             ,                    ,                         ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Pliocene   ,                  ,N19           ,170,1041,A, 15,X,CC,  40.00,    125.0900,Ibaraki  ,Planktonic Foraminifers                      ,F              ,M                 ,                        ,                        ,                          ,R                    ,                            ,                    ,R                    ,R                       ,R                    ,                        ,R                       ,                          ,                    ,                   ,                         ,R                         ,                        ,                         ,                            ,                   ,                        ,                           ,P                      ,R                        ,P                         ,                          ,                    ,                        ,                      ,                             ,                             ,                    ,                         ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Pliocene   ,                  ,N19           ,170,1041,A, 16,X,CC,  19.00,    134.2500,Ibaraki  ,Planktonic Foraminifers                      ,R              ,M                 ,                        ,                        ,R                         ,R                    ,R                           ,                    ,                     ,                        ,R                    ,                        ,R                       ,                          ,                    ,                   ,                         ,R                         ,                        ,R                        ,R                           ,R                  ,R                       ,R                          ,                       ,                         ,                          ,                          ,                    ,                        ,                      ,                             ,                             ,                    ,                         ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Pliocene   ,                  ,N19           ,170,1041,A, 17,X,CC,  23.00,    137.4800,Ibaraki  ,Planktonic Foraminifers                      ,R              ,P                 ,                        ,P                       ,                          ,                     ,                            ,                    ,                     ,                        ,                     ,R                       ,R                       ,R                         ,R                   ,P                  ,R                        ,R                         ,R                       ,                         ,                            ,                   ,                        ,                           ,                       ,                         ,                          ,                          ,                    ,                        ,                      ,                             ,                             ,                    ,                         ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Pliocene   ,                  ,N19           ,170,1041,A, 18,X,CC,  14.00,    151.4800,Ibaraki  ,Planktonic Foraminifers                      ,R              ,M                 ,R                       ,P                       ,R                         ,R                    ,R                           ,R                   ,R                    ,R                       ,R                    ,R                       ,R                       ,R                         ,                    ,                   ,                         ,                          ,                        ,                         ,                            ,                   ,                        ,                           ,                       ,                         ,                          ,                          ,                    ,                        ,                      ,                             ,                             ,                    ,                         ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
