path,type,expedition,site,taxon_group
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/133/820/HOLE_B/Age_Model_Post_Moratorium.csv,age,133,820,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/133/820/HOLE_A/Age_Model_Post_Moratorium.csv,age,133,820,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/133/816/HOLE_A/Age_Model_Post_Moratorium.csv,age,133,816,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/133/811/HOLE_A/Age_Model_Post_Moratorium.csv,age,133,811,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/133/817/HOLE_A/Age_Model_Post_Moratorium.csv,age,133,817,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/133/821/HOLE_B/Age_Model_Post_Moratorium.csv,age,133,821,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/133/821/HOLE_A/Age_Model_Post_Moratorium.csv,age,133,821,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/133/819/HOLE_A/Age_Model_Post_Moratorium.csv,age,133,819,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/133/823/HOLE_B/Age_Model_Post_Moratorium.csv,age,133,823,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/133/823/HOLE_C/Age_Model_Post_Moratorium.csv,age,133,823,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/133/823/HOLE_A/Age_Model_Post_Moratorium.csv,age,133,823,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/133/824/HOLE_B/Age_Model_Post_Moratorium.csv,age,133,824,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/133/824/HOLE_A/Age_Model_Post_Moratorium.csv,age,133,824,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/133/812/HOLE_C/Age_Model_Post_Moratorium.csv,age,133,812,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/133/812/HOLE_A/Age_Model_Post_Moratorium.csv,age,133,812,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/133/815/HOLE_A/Age_Model_Post_Moratorium.csv,age,133,815,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/133/814/HOLE_A/Age_Model_Post_Moratorium.csv,age,133,814,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/133/813/HOLE_A/Age_Model_Post_Moratorium.csv,age,133,813,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/133/825/HOLE_B/Age_Model_Post_Moratorium.csv,age,133,825,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/133/825/HOLE_A/Age_Model_Post_Moratorium.csv,age,133,825,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/133/822/HOLE_A/Age_Model_Post_Moratorium.csv,age,133,822,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/134/827/HOLE_B/Age_Model_Post_Moratorium.csv,age,134,827,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/134/829/HOLE_A/Age_Model_Post_Moratorium.csv,age,134,829,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/134/828/HOLE_B/Age_Model_Post_Moratorium.csv,age,134,828,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/134/828/HOLE_A/Age_Model_Post_Moratorium.csv,age,134,828,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/134/832/HOLE_B/Age_Model_Post_Moratorium.csv,age,134,832,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/134/832/HOLE_A/Age_Model_Post_Moratorium.csv,age,134,832,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/134/833/HOLE_B/Age_Model_Post_Moratorium.csv,age,134,833,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/134/833/HOLE_A/Age_Model_Post_Moratorium.csv,age,134,833,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/134/830/HOLE_A/Age_Model_Post_Moratorium.csv,age,134,830,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/160/965/HOLE_A/Age_Model_Shipboard.csv,age,160,965,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/160/963/HOLE_B/Age_Model_Shipboard.csv,age,160,963,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/160/963/HOLE_C/Age_Model_Shipboard.csv,age,160,963,
