Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Reticulofenestra umbilica	Reticulofenestra dictyoda	Coccolithus formosus	Chiasmolithus solitus	Chiasmolithus grandis	Zygrhablithus bijugatus	Discoaster saipanensis	Dictyococcites bisectus	Cribrocentrum reticulatum	Coccolithus eopelagicus	Chiasmolithus oamaruensis	Chiasmolithus expansus	Sphenolithus moriformis	Discoaster nodifer	Discoaster barbadiensis	Isthmolithus recurvus	Dictyococcites scrippsae	Chiasmolithus altus	Discoaster tanii ornatus	Coccolithus pelagicus	Clausicoccus subdistichus	Cyclicargolithus floridanus	Cyclicargolithus abisectus	Dictyococcites antarcticus	Braarudosphaera bigelowii	Helicosphaera euphratis	Sphenolithus capricornutus	Micrantholithus entaster	Discoaster tanii	Discoaster deflandrei	Coccolithus miopelagicus	Rhabdosphaera procera	Calcidiscus leptoporus	Helicosphaera carteri	Sphenolithus belemnos	Sphenolithus heteromorphus	Scyphosphaera spp.	Reticulofenestra pseudoumbilicus	Discoaster variabilis	Calcidiscus premacintyrei	Triquetrorhabdulus rugosus	Sphenolithus abies	Discoaster exilis	Coronocyclus nitescens	Reticulofenestra minuta	Helicosphaera rhomba	Calcidiscus macintyrei	Reticulofenestra gelida	Reticulofenestra haqii	Minylitha convallis	Discoaster pentaradiatus	Discoaster neohamatus	Discoaster brouweri	Sphenolithus neoabies	Amaurolithus ninae	Discoaster surculus	Discoaster quinqueramus	Amaurolithus tricorniculatus	Rhabdosphaera clavigera	Discoaster triradiatus	Pseudoemiliania lacunosa	Dictyococcites productus	Small Gephyrocapsa spp.	Pontosphaera japonica	Umbilicosphaera sibogae	Syracosphaera pulchra	Scapholithus fossilis	Rhabdosphaera stylifera	Helicosphaera kamptneri	Gephyrocapsa aperta	Reticulofenestra minutula	Oolithotus fragilis	Gephyrocapsa caribbeanica	Comment

  IR	                 	                 	                  	NN11          	182	1134	A	 10	H	CC	  16.00	     90.1900	Shafik   	Nannofossils                                 	C              	M                 	                         	                         	                    	                     	                     	                       	                      	                       	                         	                       	                         	                      	                       	                  	                       	                     	                        	                   	                        	C                    	                         	                           	                          	                          	                         	                       	                          	                        	                	                     	                        	                     	C                     	C                    	                     	                          	C                 	A                               	C                    	                         	                          	                  	                 	                      	C                      	R                   	C                     	C                      	C                     	                   	R                       	R                    	R                  	                     	R                 	R                  	R                      	R                           	                       	                      	                        	                        	                       	                     	                       	                     	                     	                       	                       	                   	                         	                   	                         	       

  IR	                 	Late Miocene     	NN11              	NN11          	182	1134	A	 11	H	CC	  16.00	     99.9600	Shafik   	Nannofossils                                 	C              	M                 	                         	                         	                    	                     	                     	                       	                      	                       	                         	                       	                         	                      	                       	                  	                       	                     	                        	                   	                        	C                    	                         	                           	                          	                          	                         	                       	                          	                        	                	                     	                        	                     	C                     	F                    	                     	                          	C                 	A                               	C                    	                         	                          	F                 	                 	                      	                       	R                   	C                     	C                      	                      	                   	                        	                     	                   	F                    	R                 	                   	                       	                            	                       	                      	                        	                        	                       	                     	                       	                     	                     	                       	                       	                   	                         	                   	                         	       

  IR	                 	Late Miocene     	NN10              	NN10          	182	1134	A	 12	H	CC	  11.00	    108.3500	Shafik   	Nannofossils                                 	C              	M                 	                         	                         	                    	                     	                     	                       	                      	                       	                         	                       	                         	                      	                       	                  	                       	                     	                        	                   	                        	C                    	                         	                           	                          	                          	                         	                       	                          	                        	                	                     	                        	                     	C                     	C                    	                     	                          	C                 	C                               	C                    	                         	R                         	                  	                 	                      	C                      	                    	C                     	C                      	                      	R                  	R                       	R                    	F                  	                     	                  	                   	                       	                            	                       	                      	                        	                        	                       	                     	                       	                     	                     	                       	                       	                   	                         	                   	                         	       

  IR	                 	Middle Miocene   	                  	NN6           	182	1134	A	 13	H	CC	  10.00	    118.5400	Shafik   	Nannofossils                                 	C              	M                 	                         	                         	                    	                     	                     	                       	                      	                       	                         	                       	                         	                      	                       	                  	                       	                     	                        	                   	                        	C                    	                         	                           	                          	                          	                         	                       	                          	                        	                	                     	                        	                     	C                     	C                    	                     	                          	F                 	C                               	C                    	                         	F                         	                  	                 	                      	C                      	                    	C                     	C                      	C                     	                   	                        	                     	                   	                     	                  	                   	                       	                            	                       	                      	                        	                        	                       	                     	                       	                     	                     	                       	                       	                   	                         	                   	                         	       

  IR	                 	                 	                  	NN6           	182	1134	A	 14	H	CC	  16.00	    126.1500	Shafik   	Nannofossils                                 	C              	M                 	                         	                         	                    	                     	                     	                       	                      	                       	                         	                       	                         	                      	                       	                  	                       	                     	                        	                   	                        	F                    	                         	A                          	                          	C                         	F                        	                       	                          	                        	                	F                    	                        	                     	C                     	C                    	                     	                          	F                 	C                               	C                    	C                        	F                         	                  	F                	                      	                       	R                   	C                     	                       	C                     	                   	                        	                     	                   	                     	                  	                   	                       	                            	                       	                      	                        	                        	                       	                     	                       	                     	                     	                       	                       	                   	                         	                   	                         	       
