Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)		Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Tranolithus orionatus	Prediscosphaera columnata	Eiffellithus turriseiffelii	Eiffellithus monechiae	Eprolithus floralis	Gartnerago stenostaurion	Axopodorhabdus albianus	Uniplanarius trifidus	Eiffellithus eximius	Ceratolithoides aculeus	Micula staurophora	Arkhangelskiella cymbiformis	Uniplanarius sissinghii	Micula murus	Lithraphidites quadratus	Micula prinsii	Ceratolithoides kamptneri	Fasciculithus ulii	Cruciplacolithus tenuis	Chiasmolithus danicus	Fasciculithus tympaniformis	Ericsonia robusta	Discoaster multiradiatus	Tribrachiatus orthostylus	Discoaster lodoensis	Discoaster kuepperi	Discoaster barbadiensis	Discoaster tanii	Discoaster sublodoensis	Discoaster tamalis	Discoaster surculus	Discoaster pentaradiatus	Ceratolithus rugosus	Amaurolithus spp.	Gephyrocapsa oceanica	Calcidiscus macintyrei	Pseudoemiliania lacunosa	Discoaster triradiatus	Discoaster brouweri	Gephyrocapsa omega	Gephyrocapsa (small)	Gephyrocapsa parallela	Gephyrocapsa margerelii	Gephyrocapsa caribbeanica	Comment
  IR	                 	                 	CN12a             	CN12a         		198	1212	B	  5	H	CC	  19.00	     45.1900	nannos   	Nannofossils                                 	A              	M                 	                     	                         	                           	                      	                   	                        	                       	                     	                    	                       	                  	                            	                       	            	                        	              	                         	                  	                       	                     	                           	                 	                        	                         	                    	                   	                       	                	                       	C                 	C                  	C                       	                    	                 	C                    	C                     	                        	                      	                   	                  	                    	                      	                       	                         	       

  IR	                 	                 	CN10b             	CN10b         		198	1212	B	  6	H	CC	  26.00	     54.6800	nannos   	Nannofossils                                 	A              	M                 	                     	                         	                           	                      	                   	                        	                       	                     	                    	                       	                  	                            	                       	            	                        	              	                         	                  	                       	                     	                           	                 	                        	                         	                    	                   	                       	                	                       	C                 	C                  	C                       	F                   	F                	                     	                      	                        	                      	                   	                  	                    	                      	                       	                         	       

  IR	                 	                 	CP12              	CP12          		198	1212	B	  7	H	CC	  19.00	     63.9200	nannos   	Nannofossils                                 	A              	M                 	                     	                         	                           	                      	                   	                        	                       	                     	                    	                       	                  	                            	                       	            	                        	              	                         	                  	                       	                     	                           	+                	                        	                         	C                   	C                  	C                      	C               	C                      	                  	                   	                        	                    	                 	                     	                      	                        	                      	                   	                  	                    	                      	                       	                         	       

  IR	                 	                 	CP11              	CP14b         		198	1212	B	  8	H	CC	  13.00	     73.4000	nannos   	Nannofossils                                 	A              	M                 	                     	                         	                           	                      	                   	                        	                       	                     	                    	                       	                  	                            	                       	            	                        	              	                         	                  	                       	                     	                           	+                	                        	C                        	C                   	C                  	C                      	                	                       	                  	                   	                        	                    	                 	                     	                      	                        	                      	                   	                  	                    	                      	                       	                         	       

  IR	                 	                 	CP7               	CP7           		198	1212	B	  9	H	CC	  10.00	     83.1400	nannos   	Nannofossils                                 	A              	M                 	                     	                         	                           	                      	                   	                        	                       	                     	                    	                       	                  	                            	                       	            	                        	              	                         	                  	                       	                     	C                          	C                	R                       	                         	                    	                   	                       	                	                       	                  	                   	                        	                    	                 	                     	                      	                        	                      	                   	                  	                    	                      	                       	                         	       

  IR	                 	                 	CP3               	CP3           		198	1212	B	 10	H	CC	  11.00	     92.4500	nannos   	Nannofossils                                 	A              	M                 	                     	                         	                           	                      	                   	                        	                       	                     	                    	                       	                  	                            	                       	            	                        	              	                         	C                 	C                      	C                    	                           	                 	                        	                         	                    	                   	                       	                	                       	                  	                   	                        	                    	                 	                     	                      	                        	                      	                   	                  	                    	                      	                       	                         	       

  IR	                 	                 	CC26              	CC26          		198	1212	B	 11	H	CC	  10.00	    101.8500	nannos   	Nannofossils                                 	A              	M                 	                     	                         	                           	                      	                   	                        	                       	                     	                    	F                      	C                 	C                           	                       	C           	                        	C             	F                        	                  	                       	                     	                           	                 	                        	                         	                    	                   	                       	                	                       	                  	                   	                        	                    	                 	                     	                      	                        	                      	                   	                  	                    	                      	                       	                         	       

  IR	                 	                 	CC25              	CC25          		198	1212	B	 12	H	CC	  12.00	    111.4600	nannos   	Nannofossils                                 	               	                  	                     	                         	                           	                      	                   	                        	                       	                     	                    	F                      	                  	F                           	                       	F           	F                       	              	                         	                  	                       	                     	                           	                 	                        	                         	                    	                   	                       	                	                       	                  	                   	                        	                    	                 	                     	                      	                        	                      	                   	                  	                    	                      	                       	                         	       

  IR	                 	                 	CC25              	CC25          		198	1212	B	 13	H	CC	  11.00	    120.8800	nannos   	Nannofossils                                 	               	                  	                     	                         	                           	                      	                   	                        	                       	                     	                    	F                      	                  	F                           	                       	F           	                        	              	                         	                  	                       	                     	                           	                 	                        	                         	                    	                   	                       	                	                       	                  	                   	                        	                    	                 	                     	                      	                        	                      	                   	                  	                    	                      	                       	                         	       

  IR	                 	                 	CC25              	CC25          		198	1212	B	 14	H	CC	   2.00	    120.7200	nannos   	Nannofossils                                 	               	                  	                     	                         	                           	                      	                   	                        	                       	                     	                    	F                      	                  	                            	                       	F           	F                       	              	                         	                  	                       	                     	                           	                 	                        	                         	                    	                   	                       	                	                       	                  	                   	                        	                    	                 	                     	                      	                        	                      	                   	                  	                    	                      	                       	                         	       

  IR	                 	                 	CC25              	CC25          		198	1212	B	 15	H	CC	   7.00	    128.5700	nannos   	Nannofossils                                 	               	                  	                     	                         	                           	                      	                   	                        	                       	                     	                    	F                      	                  	F                           	                       	            	                        	              	                         	                  	                       	                     	                           	                 	                        	                         	                    	                   	                       	                	                       	                  	                   	                        	                    	                 	                     	                      	                        	                      	                   	                  	                    	                      	                       	                         	       

  IR	                 	                 	CC25              	CC25          		198	1212	B	 17	H	CC	   7.00	    143.4200	nannos   	Nannofossils                                 	A              	M                 	                     	                         	                           	                      	                   	                        	                       	                     	                    	F                      	F                 	F                           	                       	            	                        	              	                         	                  	                       	                     	                           	                 	                        	                         	                    	                   	                       	                	                       	                  	                   	                        	                    	                 	                     	                      	                        	                      	                   	                  	                    	                      	                       	                         	       

  IR	                 	                 	CC23              	CC23          		198	1212	B	 18	H	CC	  12.00	    152.3400	nannos   	Nannofossils                                 	A              	M                 	R                    	                         	                           	                      	                   	                        	                       	                     	                    	F                      	F                 	F                           	                       	            	                        	              	                         	                  	                       	                     	                           	                 	                        	                         	                    	                   	                       	                	                       	                  	                   	                        	                    	                 	                     	                      	                        	                      	                   	                  	                    	                      	                       	                         	R. levis(?) and Z. bicrescenticus present

  IR	                 	                 	CC23              	CC23          		198	1212	B	 19	H	CC	   5.00	    162.7400	nannos   	Nannofossils                                 	A              	M                 	F                    	                         	                           	                      	                   	                        	                       	+                    	                    	F                      	F                 	F                           	F                      	            	                        	              	                         	                  	                       	                     	                           	                 	                        	                         	                    	                   	                       	                	                       	                  	                   	                        	                    	                 	                     	                      	                        	                      	                   	                  	                    	                      	                       	                         	R. levis (?) and Z. bicrescenticus present

  IR	                 	                 	UC16              	UC16          		198	1212	B	 20	H	CC	  19.00	    168.9800	nannos   	Nannofossils                                 	A              	M                 	F                    	                         	                           	                      	                   	                        	                       	C                    	                    	F                      	F                 	F                           	F                      	            	                        	              	                         	                  	                       	                     	                           	                 	                        	                         	                    	                   	                       	                	                       	                  	                   	                        	                    	                 	                     	                      	                        	                      	                   	                  	                    	                      	                       	                         	       

  IR	                 	                 	UC16              	UC16          		198	1212	B	 21	H	CC	   6.00	    173.5300	nannos   	Nannofossils                                 	A              	M                 	F                    	                         	                           	                      	                   	                        	                       	C                    	                    	F                      	F                 	F                           	F                      	            	                        	              	                         	                  	                       	                     	                           	                 	                        	                         	                    	                   	                       	                	                       	                  	                   	                        	                    	                 	                     	                      	                        	                      	                   	                  	                    	                      	                       	                         	       

  IR	                 	                 	UC16              	UC16          		198	1212	B	 22	H	CC	  12.00	    176.4400	nannos   	Nannofossils                                 	A              	M                 	F                    	                         	                           	                      	                   	                        	                       	C                    	                    	F                      	F                 	F                           	+                      	            	                        	              	                         	                  	                       	                     	                           	                 	                        	                         	                    	                   	                       	                	                       	                  	                   	                        	                    	                 	                     	                      	                        	                      	                   	                  	                    	                      	                       	                         	Possible E. eximius here

  IR	                 	                 	UC16              	UC16          		198	1212	B	 23	H	CC	   9.00	    188.0100	nannos   	Nannofossils                                 	A              	M                 	F                    	                         	                           	                      	                   	                        	                       	C                    	                    	F                      	F                 	F                           	                       	            	                        	              	                         	                  	                       	                     	                           	                 	                        	                         	                    	                   	                       	                	                       	                  	                   	                        	                    	                 	                     	                      	                        	                      	                   	                  	                    	                      	                       	                         	Possible E. eximius here

  IR	                 	                 	CC22(Perch-Nielsen)	CC22(Perch-Nielsen)	198	1212	B	 24	H	CC	   7.00	    197.6100	nannos   	Nannofossils                                 	A              	M                 	F                    	                         	                           	                      	                   	                        	                       	R                    	F                   	F                      	                  	                            	                       	            	                        	              	                         	                  	                       	                     	                           	                 	                        	                         	                    	                   	                       	                	                       	                  	                   	                        	                    	                 	                     	                      	                        	                      	                   	                  	                    	                      	                       	                         	       

  IR	                 	                 	NC10a             	NC10a         		198	1212	B	 25	H	CC	   7.00	    199.9000	nannos   	Nannofossils                                 	A              	G                 	F                    	C                        	A                          	                      	R                  	R                       	R                      	                     	                    	                       	                  	                            	                       	            	                        	              	                         	                  	                       	                     	                           	                 	                        	                         	                    	                   	                       	                	                       	                  	                   	                        	                    	                 	                     	                      	                        	                      	                   	                  	                    	                      	                       	                         	       

  IR	                 	                 	NC10a             	NC10a         		198	1212	B	 26	H	 1	  79.00	    204.2900	nannos   	Nannofossils                                 	C              	M                 	F                    	F                        	C                          	                      	R                  	                        	                       	                     	                    	                       	                  	                            	                       	            	                        	              	                         	                  	                       	                     	                           	                 	                        	                         	                    	                   	                       	                	                       	                  	                   	                        	                    	                 	                     	                      	                        	                      	                   	                  	                    	                      	                       	                         	       

  IR	                 	                 	NC10a             	NC10a         		198	1212	B	 27	H	 1	  25.00	    207.3500	nannos   	Nannofossils                                 	A              	G                 	C                    	C                        	C                          	C                     	                   	                        	                       	                     	                    	                       	                  	                            	                       	            	                        	              	                         	                  	                       	                     	                           	                 	                        	                         	                    	                   	                       	                	                       	                  	                   	                        	                    	                 	                     	                      	                        	                      	                   	                  	                    	                      	                       	                         	       

