Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),,Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zeugrhabdotus embergeri,Watznaueria barnesae,Tranolithus orionatus,Reinhardtites levis,Quadrum gartneri,Prediscosphaera cretacea,Prediscosphaera columnata,Micula staurophora,Manivitella pemmatoidea,Loxolithus armilla,Eiffellithus turriseiffelii,Eiffellithus eximius,Cylindralithus nudus,Cretarhabdus crenulatus,Cretarhabdus conicus,Assipetra terebrodentarius,Aspidolithus parcus parcus,Arkhangelskiella cymbiformis,Uniplanarius gothicus,Tranolithus gabalus,Lucianorhabdus quadrifidus,Aspidolithus parcus ssp. Expansus,Aspidolithus parcus constrictus,Ceratolithoides aculeus,Prediscosphaera spinosa,Lucianorhabdus arcuatus,Calculites obscurus,Dictyococcites bisectus,Cyclicargolithus floridanus,Sphenolithus heteromorphus,Discoaster exilis,Discoaster deflandrei,Coccolithus miopelagicus,Calcidiscus premacintyrei,Reticulofenestra pseudoumbilicus,Discoaster variabilis,Discoaster hamatus,Discoaster brouweri,Catinaster coalitus,Discoaster pentaradiatus,Minylitha convallis,Discoaster triradiatus,Discoaster challengeri,Discoaster berggrenii,Calcidiscus macintyrei,Discoaster loeblichii,Discoaster bergenii,Discoaster surculus,Calcidiscus tropicus,Amaurolithus spp.,Amaurolithus primus,Amaurolithus amplificus,Discoaster quinqueramus,Ceratolithus cristatus,Gephyrocapsa margerelii,Discoaster asymmetricus,Discoaster tamalis,Pseudoemiliania lacunosa,Discoaster prepentaradiatus,Gephyrocapsa caribbeanica,Reticulofenestra asanoi,Gephyrocapsa oceanica,Helicosphaera sellii,Helicosphaera carteri,Gephyrocapsa parallela,Gephyrocapsa aperta,Emiliania huxleyi,Coccolithus pelagicus (with bar),Coccolithus pelagicus,Ceratolithus acutus,Calcidiscus leptoporus,Calcidiscus carlae,Syracosphaera spp.,Pontosphaera spp.,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN14a             ,CN13b         ,,198,1208,A,  5,H,CC,  14.00,     43.1100,nannos   ,Nannofossils                                 ,A              ,M                 ,                       ,                    ,                     ,                   ,                ,                        ,                         ,                  ,                       ,                  ,                           ,                    ,                    ,                       ,                    ,                          ,                          ,                            ,                     ,                   ,                          ,                                 ,                               ,                       ,                       ,                       ,                   ,                       ,                           ,                          ,                 ,                     ,                        ,                         ,                                ,                     ,                  ,                   ,                   ,                        ,                   ,                      ,                      ,                     ,                      ,                     ,                   ,                   ,                    ,                 ,                   ,                       ,                       ,                      ,                       ,                       ,                  ,C                       ,                           ,                         ,                       ,R                    ,                    ,                     ,                      ,                   ,                 ,                                ,                     ,                   ,                      ,                  ,                  ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN14a             ,CN13b         ,,198,1208,A,  6,H,CC,  26.00,     52.6200,nannos   ,Nannofossils                                 ,A              ,M                 ,                       ,                    ,                     ,                   ,                ,                        ,                         ,                  ,                       ,                  ,                           ,                    ,                    ,                       ,                    ,                          ,                          ,                            ,                     ,                   ,                          ,                                 ,                               ,                       ,                       ,                       ,                   ,                       ,                           ,                          ,                 ,                     ,                        ,                         ,                                ,                     ,                  ,                   ,                   ,                        ,                   ,                      ,                      ,                     ,                      ,                     ,                   ,                   ,                    ,                 ,                   ,                       ,                       ,                      ,                       ,                       ,                  ,F                       ,                           ,R                        ,A                      ,R                    ,                    ,                     ,                      ,                   ,                 ,                                ,                     ,                   ,                      ,                  ,                  ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN14a             ,CN13b         ,,198,1208,A,  7,H,CC,  29.00,     62.1500,nannos   ,Nannofossils                                 ,A              ,M                 ,                       ,                    ,                     ,                   ,                ,                        ,                         ,                  ,                       ,                  ,                           ,                    ,                    ,                       ,                    ,                          ,                          ,                            ,                     ,                   ,                          ,                                 ,                               ,                       ,                       ,                       ,                   ,                       ,                           ,                          ,                 ,                     ,                        ,                         ,                                ,                     ,                  ,                   ,                   ,                        ,                   ,                      ,                      ,                     ,                      ,                     ,                   ,                   ,                    ,                 ,                   ,                       ,                       ,                      ,                       ,                       ,                  ,F                       ,                           ,                         ,C                      ,                     ,                    ,                     ,                      ,                   ,                 ,                                ,                     ,                   ,                      ,                  ,                  ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN13b             ,CN13b         ,,198,1208,A,  8,H,CC,  16.00,     71.6000,nannos   ,Nannofossils                                 ,A              ,G                 ,                       ,                    ,                     ,                   ,                ,                        ,                         ,                  ,                       ,                  ,                           ,                    ,                    ,                       ,                    ,                          ,                          ,                            ,                     ,                   ,                          ,                                 ,                               ,                       ,                       ,                       ,                   ,                       ,                           ,                          ,                 ,                     ,                        ,                         ,                                ,                     ,                  ,                   ,                   ,                        ,                   ,                      ,                      ,                     ,                      ,                     ,                   ,                   ,                    ,                 ,                   ,                       ,                       ,                      ,                       ,                       ,                  ,F                       ,                           ,A                        ,                       ,                     ,                    ,                     ,                      ,                   ,                 ,                                ,                     ,                   ,                      ,                  ,                  ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN13b             ,CN13b         ,,198,1208,A,  9,H,CC,  25.00,     81.0900,nannos   ,Nannofossils                                 ,A              ,G                 ,                       ,                    ,                     ,                   ,                ,                        ,                         ,                  ,                       ,                  ,                           ,                    ,                    ,                       ,                    ,                          ,                          ,                            ,                     ,                   ,                          ,                                 ,                               ,                       ,                       ,                       ,                   ,                       ,                           ,                          ,                 ,                     ,                        ,                         ,                                ,                     ,                  ,                   ,                   ,                        ,                   ,                      ,                      ,                     ,                      ,                     ,                   ,                   ,                    ,                 ,                   ,                       ,                       ,                      ,                       ,                       ,                  ,C                       ,                           ,                         ,                       ,                     ,                    ,                     ,                      ,                   ,                 ,                                ,                     ,                   ,                      ,                  ,                  ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN13b             ,CN13a         ,,198,1208,A, 10,H,CC,  24.00,     90.6200,nannos   ,Nannofossils                                 ,               ,                  ,                       ,                    ,                     ,                   ,                ,                        ,                         ,                  ,                       ,                  ,                           ,                    ,                    ,                       ,                    ,                          ,                          ,                            ,                     ,                   ,                          ,                                 ,                               ,                       ,                       ,                       ,                   ,                       ,                           ,                          ,                 ,                     ,                        ,                         ,                                ,                     ,                  ,                   ,                   ,                        ,                   ,                      ,                      ,                     ,C                     ,                     ,                   ,                   ,                    ,                 ,                   ,                       ,                       ,                      ,                       ,                       ,                  ,F                       ,                           ,                         ,                       ,                     ,                    ,                     ,                      ,                   ,                 ,                                ,                     ,                   ,                      ,                  ,                  ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN12d             ,CN12d         ,,198,1208,A, 11,H,CC,  24.00,    100.1600,nannos   ,Nannofossils                                 ,A              ,M                 ,                       ,                    ,                     ,                   ,                ,                        ,                         ,                  ,                       ,                  ,                           ,                    ,                    ,                       ,                    ,                          ,                          ,                            ,                     ,                   ,                          ,                                 ,                               ,                       ,                       ,                       ,                   ,                       ,                           ,                          ,                 ,                     ,                        ,                         ,                                ,                     ,                  ,R                  ,                   ,                        ,                   ,                      ,                      ,                     ,F                     ,                     ,                   ,                   ,                    ,                 ,                   ,                       ,                       ,                      ,                       ,                       ,                  ,C                       ,                           ,                         ,                       ,                     ,                    ,                     ,                      ,                   ,                 ,                                ,                     ,                   ,                      ,                  ,                  ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN12d             ,CN12d         ,,198,1208,A, 12,H,CC,  13.00,    109.5000,nannos   ,Nannofossils                                 ,A              ,M                 ,                       ,                    ,                     ,                   ,                ,                        ,                         ,                  ,                       ,                  ,                           ,                    ,                    ,                       ,                    ,                          ,                          ,                            ,                     ,                   ,                          ,                                 ,                               ,                       ,                       ,                       ,                   ,                       ,                           ,                          ,                 ,                     ,                        ,                         ,                                ,                     ,                  ,R                  ,                   ,                        ,                   ,                      ,                      ,                     ,C                     ,                     ,                   ,                   ,                    ,                 ,                   ,                       ,                       ,                      ,                       ,                       ,                  ,F                       ,                           ,                         ,                       ,                     ,                    ,                     ,                      ,                   ,                 ,                                ,                     ,                   ,                      ,                  ,                  ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN12b             ,CN12b         ,,198,1208,A, 13,H,CC,  23.00,    119.0800,nannos   ,Nannofossils                                 ,A              ,M                 ,                       ,                    ,                     ,                   ,                ,                        ,                         ,                  ,                       ,                  ,                           ,                    ,                    ,                       ,                    ,                          ,                          ,                            ,                     ,                   ,                          ,                                 ,                               ,                       ,                       ,                       ,                   ,                       ,                           ,                          ,                 ,                     ,                        ,                         ,                                ,                     ,                  ,F                  ,                   ,F                       ,                   ,                      ,                      ,                     ,C                     ,                     ,                   ,F                  ,                    ,                 ,                   ,                       ,                       ,                      ,                       ,                       ,                  ,F                       ,+                          ,                         ,                       ,                     ,                    ,                     ,                      ,                   ,                 ,                                ,                     ,                   ,                      ,                  ,                  ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN12b             ,CN12b         ,,198,1208,A, 14,H,CC,  23.00,    128.7000,nannos   ,Nannofossils                                 ,A              ,G                 ,                       ,                    ,                     ,                   ,                ,                        ,                         ,                  ,                       ,                  ,                           ,                    ,                    ,                       ,                    ,                          ,                          ,                            ,                     ,                   ,                          ,                                 ,                               ,                       ,                       ,                       ,                   ,                       ,                           ,                          ,                 ,                     ,                        ,                         ,                                ,                     ,                  ,F                  ,                   ,F                       ,                   ,                      ,                      ,                     ,C                     ,                     ,                   ,C                  ,                    ,                 ,                   ,                       ,                       ,                      ,                       ,                       ,                  ,F                       ,                           ,                         ,                       ,                     ,                    ,                     ,                      ,                   ,                 ,                                ,                     ,                   ,                      ,                  ,                  ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN12a             ,CN12a         ,,198,1208,A, 15,H,CC,  26.00,    138.2000,nannos   ,Nannofossils                                 ,A              ,G                 ,                       ,                    ,                     ,                   ,                ,                        ,                         ,                  ,                       ,                  ,                           ,                    ,                    ,                       ,                    ,                          ,                          ,                            ,                     ,                   ,                          ,                                 ,                               ,                       ,                       ,                       ,                   ,                       ,                           ,                          ,                 ,                     ,                        ,                         ,                                ,                     ,                  ,F                  ,                   ,F                       ,                   ,R                     ,                      ,                     ,C                     ,                     ,                   ,F                  ,                    ,                 ,                   ,                       ,                       ,                      ,                       ,F                      ,F                 ,F                       ,                           ,                         ,                       ,                     ,                    ,                     ,                      ,                   ,                 ,                                ,                     ,                   ,                      ,                  ,                  ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN12a             ,CN12a         ,,198,1208,A, 16,H,CC,  23.00,    147.7700,nannos   ,Nannofossils                                 ,A              ,M                 ,                       ,                    ,                     ,                   ,                ,                        ,                         ,                  ,                       ,                  ,                           ,                    ,                    ,                       ,                    ,                          ,                          ,                            ,                     ,                   ,                          ,                                 ,                               ,                       ,                       ,                       ,                   ,                       ,                           ,                          ,                 ,                     ,                        ,                         ,                                ,                     ,                  ,F                  ,                   ,F                       ,                   ,R                     ,                      ,                     ,C                     ,                     ,                   ,F                  ,                    ,                 ,                   ,                       ,                       ,                      ,+                      ,F                      ,F                 ,F                       ,                           ,                         ,                       ,                     ,                    ,                     ,                      ,                   ,                 ,                                ,                     ,                   ,                      ,                  ,                  ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN11              ,CN12a         ,,198,1208,A, 17,H,CC,  26.00,    157.2100,nannos   ,Nannofossils                                 ,A              ,P                 ,                       ,                    ,                     ,                   ,                ,                        ,                         ,                  ,                       ,                  ,                           ,                    ,                    ,                       ,                    ,                          ,                          ,                            ,                     ,                   ,                          ,                                 ,                               ,                       ,                       ,                       ,                   ,                       ,                           ,                          ,                 ,                     ,                        ,                         ,R                               ,                     ,                  ,F                  ,                   ,F                       ,                   ,                      ,                      ,                     ,C                     ,                     ,                   ,C                  ,                    ,                 ,                   ,                       ,                       ,                      ,C                      ,F                      ,R                 ,                        ,                           ,                         ,                       ,                     ,                    ,                     ,                      ,                   ,                 ,                                ,                     ,                   ,                      ,                  ,                  ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN11              ,CN11          ,,198,1208,A, 18,H,CC,  26.00,    166.6600,nannos   ,Nannofossils                                 ,A              ,M                 ,                       ,                    ,                     ,                   ,                ,                        ,                         ,                  ,                       ,                  ,                           ,                    ,                    ,                       ,                    ,                          ,                          ,                            ,                     ,                   ,                          ,                                 ,                               ,                       ,                       ,                       ,                   ,                       ,                           ,                          ,                 ,                     ,                        ,                         ,C                               ,                     ,                  ,F                  ,                   ,F                       ,                   ,                      ,                      ,                     ,C                     ,                     ,                   ,C                  ,                    ,                 ,                   ,                       ,                       ,                      ,C                      ,F                      ,C                 ,                        ,                           ,                         ,                       ,                     ,                    ,                     ,                      ,                   ,                 ,                                ,                     ,                   ,                      ,                  ,                  ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN10c             ,CN10c         ,,198,1208,A, 19,H,CC,  19.00,    176.0900,nannos   ,Nannofossils                                 ,A              ,M                 ,                       ,                    ,                     ,                   ,                ,                        ,                         ,                  ,                       ,                  ,                           ,                    ,                    ,                       ,                    ,                          ,                          ,                            ,                     ,                   ,                          ,                                 ,                               ,                       ,                       ,                       ,                   ,                       ,                           ,                          ,                 ,                     ,                        ,                         ,C                               ,                     ,                  ,F                  ,                   ,F                       ,                   ,                      ,                      ,                     ,C                     ,                     ,                   ,C                  ,                    ,R                ,R                  ,                       ,                       ,R                     ,C                      ,F                      ,                  ,                        ,                           ,                         ,                       ,                     ,                    ,                     ,                      ,                   ,                 ,                                ,                     ,                   ,                      ,                  ,                  ,                 ,lots of R.pseudoumbilicus w/small central area
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN10c             ,CN10c         ,,198,1208,A, 20,H,CC,  17.00,    185.6500,nannos   ,Nannofossils                                 ,A              ,M                 ,                       ,                    ,                     ,                   ,                ,                        ,                         ,                  ,                       ,                  ,                           ,                    ,                    ,                       ,                    ,                          ,                          ,                            ,                     ,                   ,                          ,                                 ,                               ,                       ,                       ,                       ,                   ,                       ,                           ,                          ,                 ,                     ,                        ,                         ,C                               ,                     ,                  ,F                  ,                   ,F                       ,                   ,                      ,                      ,                     ,C                     ,                     ,                   ,F                  ,                    ,R                ,R                  ,                       ,                       ,R                     ,                       ,                       ,                  ,                        ,                           ,                         ,                       ,                     ,                    ,                     ,                      ,                   ,                 ,                                ,                     ,                   ,                      ,                  ,                  ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN10c             ,CN10c         ,,198,1208,A, 21,X,CC,  13.00,    191.0700,nannos   ,Nannofossils                                 ,A              ,M                 ,                       ,                    ,                     ,                   ,                ,                        ,                         ,                  ,                       ,                  ,                           ,                    ,                    ,                       ,                    ,                          ,                          ,                            ,                     ,                   ,                          ,                                 ,                               ,                       ,                       ,                       ,                   ,                       ,                           ,                          ,                 ,                     ,                        ,                         ,A                               ,                     ,                  ,C                  ,                   ,C                       ,                   ,                      ,                      ,                     ,F                     ,                     ,                   ,C                  ,                    ,R                ,R                  ,                       ,                       ,R                     ,                       ,                       ,                  ,                        ,                           ,                         ,                       ,                     ,                    ,                     ,                      ,                   ,                 ,                                ,                     ,                   ,                      ,                  ,                  ,                 ,1 poorly preserved D. quinqueramus; reworking (?)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN10c             ,CN10c         ,,198,1208,A, 22,X,CC,  23.00,    199.9900,nannos   ,Nannofossils                                 ,A              ,M                 ,                       ,                    ,                     ,                   ,                ,                        ,                         ,                  ,                       ,                  ,                           ,                    ,                    ,                       ,                    ,                          ,                          ,                            ,                     ,                   ,                          ,                                 ,                               ,                       ,                       ,                       ,                   ,                       ,                           ,                          ,                 ,                     ,                        ,                         ,C                               ,                     ,                  ,R                  ,                   ,C                       ,                   ,                      ,                      ,                     ,                      ,                     ,                   ,F                  ,                    ,R                ,R                  ,                       ,                       ,                      ,                       ,                       ,                  ,                        ,                           ,                         ,                       ,                     ,                    ,                     ,                      ,                   ,                 ,                                ,                     ,                   ,                      ,                  ,                  ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN9d              ,CN9b          ,,198,1208,A, 23,X,CC,  23.00,    208.1800,nannos   ,Nannofossils                                 ,A              ,M                 ,                       ,                    ,                     ,                   ,                ,                        ,                         ,                  ,                       ,                  ,                           ,                    ,                    ,                       ,                    ,                          ,                          ,                            ,                     ,                   ,                          ,                                 ,                               ,                       ,                       ,                       ,                   ,                       ,                           ,                          ,                 ,                     ,                        ,                         ,C                               ,                     ,                  ,R                  ,                   ,C                       ,                   ,                      ,                      ,                     ,F                     ,                     ,                   ,R                  ,                    ,R                ,R                  ,                       ,F                      ,                      ,                       ,                       ,                  ,                        ,                           ,                         ,                       ,                     ,                    ,                     ,                      ,                   ,                 ,                                ,                     ,                   ,                      ,                  ,                  ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN9c              ,CN9c          ,,198,1208,A, 24,X,CC,  16.00,    218.7400,nannos   ,Nannofossils                                 ,A              ,M                 ,                       ,                    ,                     ,                   ,                ,                        ,                         ,                  ,                       ,                  ,                           ,                    ,                    ,                       ,                    ,                          ,                          ,                            ,                     ,                   ,                          ,                                 ,                               ,                       ,                       ,                       ,                   ,                       ,                           ,                          ,                 ,                     ,                        ,                         ,C                               ,                     ,                  ,R                  ,                   ,C                       ,                   ,                      ,                      ,                     ,                      ,                     ,                   ,F                  ,                    ,R                ,R                  ,R                      ,                       ,                      ,                       ,                       ,                  ,                        ,                           ,                         ,                       ,                     ,                    ,                     ,                      ,                   ,                 ,                                ,                     ,                   ,                      ,                  ,                  ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
