Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Triquetrorhabdulus carinatus,Sphenolithus moriformis,Sphenolithus dissimilis,Reticulofenestra gartneri,Reticulofenestra daviesii,Discoaster deflandrei,Dictyococcites bisectus,Cyclicargolithus floridanus,Cyclicargolithus abisectus,Coronocyclus nitescens,Coccolithus pelagicus,Sphenolithus conicus,Helicosphaera euphratis,Pyrocyclus orangensis,Triquetrorhabdulus milowii,Sphenolithus belemnos,Helicosphaera intermedia,Discoaster druggii,Sphenolithus heteromorphus,Reticulofenestra spp. small,Helicosphaera granulata,Helicosphaera ampliaperta,Discoaster variabilis,Discoaster adamanteus,Cyclolithella rotula,Discoaster exilis,Calcidiscus macintyrei,Dictyococcites perplexus,Reticulofenestra pseudoumbilica,Sphenolithus abies/neoabies,Triquetrorhabdulus rugosus,Discoaster bollii,Discoaster kugleri,Discoaster challengeri,Coccolithus miopelagicus,Calcidiscus leptoporus,Helicosphaera kamptneri,Catinaster coalitus,Discoaster prepentaradiatus,Discoaster neohamatus,Discoaster hamatus,Discoaster bellus,Catinaster calyculus,Discoaster neorectus,Discoaster loeblichii,Discoaster calcaris,Discoaster brouweri,Discoaster quinqueramus,Discoaster berggrenii,Reticulofenestra doronicoides,Discoaster pentaradiatus,Amaurolithus primus,Discoaster surculus,Amaurolithus delicatus,Ceratolithus acutus,Amaurolithus amplificus,Ceratolithus rugosus,Amaurolithus tricorniculatus,Rhabdosphaera clavigera,Discoaster asymmetricus,Discoaster tamalis,Pseudoemiliania lacunosa,Pontosphaera japonica,Helicosphaera sellii,Syracosphaera pulchra,Syracosphaera histrica,Rhabdosphaera stylifera,Ceratolithus cristatus,Discoaster triradiatus,Oolithotus antillarum,Pontosphaera syracusana,Gephyrocapsa caribbeanica,Gephyrocapsa oceanica,Umbilicosphaera sibogae,Ceratolithus telesmus,Umbilicosphaera mirabilis,Thoracosphaera sp.,Emiliania huxleyi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN14b             ,CN15          ,108, 659,A,  2,H, 3,  28.00,     11.0800,Manivit  ,Nannofossils                                 ,A              ,G                 ,                            ,                       ,                       ,                         ,                         ,                     ,                       ,                           ,                          ,                      ,F                    ,                    ,                       ,                     ,                          ,                     ,                        ,                  ,                          ,                           ,                       ,                         ,                     ,                     ,                    ,                 ,                      ,                        ,                               ,                           ,                          ,                 ,                  ,                      ,                        ,F                     ,F                      ,                   ,                           ,                     ,                  ,                 ,                    ,                    ,                     ,                   ,                   ,                       ,                     ,R                            ,                        ,                   ,                   ,                      ,                   ,                       ,                    ,                            ,                       ,                       ,                  ,                        ,                     ,                    ,F                    ,                      ,R                      ,                      ,                      ,                     ,R                      ,A                        ,A                    ,R                      ,                     ,R                        ,                  ,                 ,from ODP Leg 108 SR Chapter 4 Table 5 p 44-47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN14b             ,              ,108, 659,A,  2,H, 4,  23.00,     12.5300,Manivit  ,Nannofossils                                 ,A              ,M                 ,                            ,                       ,                       ,                         ,                         ,                     ,                       ,                           ,                          ,                      ,F                    ,                    ,                       ,                     ,                          ,                     ,                        ,                  ,                          ,                           ,                       ,                         ,                     ,                     ,                    ,                 ,                      ,                        ,                               ,                           ,                          ,                 ,                  ,                      ,                        ,F                     ,F                      ,                   ,                           ,                     ,                  ,                 ,                    ,                    ,                     ,                   ,                   ,                       ,                     ,R                            ,                        ,                   ,                   ,                      ,                   ,                       ,                    ,                            ,                       ,                       ,                  ,                        ,R                    ,                    ,F                    ,R                     ,F                      ,                      ,                      ,                     ,                       ,C                        ,A                    ,R                      ,R                    ,                         ,                  ,                 ,from ODP Leg 108 SR Chapter 4 Table 5 p 44-47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN14a             ,CN14b         ,108, 659,A,  2,H, 5,  20.00,     14.0000,Manivit  ,Nannofossils                                 ,A              ,M                 ,                            ,                       ,                       ,                         ,                         ,                     ,                       ,                           ,                          ,                      ,F                    ,                    ,                       ,                     ,                          ,                     ,                        ,                  ,                          ,                           ,                       ,                         ,                     ,                     ,                    ,                 ,                      ,                        ,                               ,                           ,                          ,                 ,                  ,                      ,                        ,F                     ,C                      ,                   ,                           ,                     ,                  ,                 ,                    ,                    ,                     ,                   ,                   ,                       ,                     ,R                            ,                        ,                   ,                   ,                      ,                   ,                       ,                    ,                            ,R                      ,                       ,                  ,R                       ,R                    ,                    ,F                    ,F                     ,F                      ,R                     ,                      ,                     ,F                      ,C                        ,A                    ,                       ,                     ,                         ,                  ,                 ,from ODP Leg 108 SR Chapter 4 Table 5 p 44-47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN14a             ,CN14b         ,108, 659,A,  2,H,CC,   2.00,     14.6400,Manivit  ,Nannofossils                                 ,A              ,M                 ,                            ,                       ,                       ,                         ,                         ,                     ,                       ,                           ,                          ,                      ,F                    ,                    ,                       ,                     ,                          ,                     ,                        ,                  ,                          ,                           ,                       ,                         ,                     ,                     ,                    ,                 ,                      ,                        ,                               ,                           ,                          ,                 ,                  ,                      ,                        ,F                     ,C                      ,                   ,                           ,                     ,                  ,                 ,                    ,                    ,                     ,                   ,                   ,                       ,                     ,F                            ,                        ,                   ,                   ,                      ,                   ,                       ,                    ,                            ,R                      ,                       ,                  ,F                       ,F                    ,                    ,F                    ,                      ,F                      ,R                     ,                      ,                     ,F                      ,C                        ,A                    ,                       ,                     ,                         ,                  ,                 ,from ODP Leg 108 SR Chapter 4 Table 5 p 44-47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN14a             ,              ,108, 659,A,  3,H,CC,   4.00,     26.3300,Manivit  ,Nannofossils                                 ,A              ,M                 ,                            ,                       ,                       ,                         ,                         ,                     ,                       ,                           ,                          ,                      ,F                    ,                    ,                       ,                     ,                          ,                     ,                        ,                  ,                          ,                           ,                       ,                         ,                     ,                     ,                    ,                 ,                      ,                        ,                               ,                           ,                          ,                 ,                  ,                      ,                        ,F                     ,C                      ,                   ,                           ,                     ,                  ,                 ,                    ,                    ,                     ,                   ,                   ,                       ,                     ,R                            ,                        ,                   ,                   ,                      ,                   ,                       ,                    ,                            ,R                      ,                       ,                  ,F                       ,F                    ,                    ,F                    ,                      ,F                      ,                      ,                      ,                     ,                       ,A                        ,A                    ,                       ,                     ,                         ,                  ,                 ,from ODP Leg 108 SR Chapter 4 Table 5 p 44-47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN13b             ,              ,108, 659,A,  4,H, 1, 130.00,     28.1000,Manivit  ,Nannofossils                                 ,A              ,M                 ,                            ,                       ,                       ,                         ,                         ,                     ,                       ,                           ,                          ,                      ,F                    ,                    ,                       ,                     ,                          ,                     ,                        ,                  ,                          ,                           ,                       ,                         ,                     ,                     ,                    ,                 ,                      ,                        ,                               ,                           ,                          ,                 ,                  ,                      ,                        ,C                     ,F                      ,                   ,                           ,                     ,                  ,                 ,                    ,                    ,                     ,                   ,                   ,                       ,                     ,F                            ,                        ,                   ,                   ,                      ,                   ,                       ,                    ,                            ,F                      ,                       ,                  ,A                       ,F                    ,                    ,R                    ,R                     ,R                      ,R                     ,                      ,                     ,R                      ,A                        ,                     ,                       ,                     ,                         ,                  ,                 ,from ODP Leg 108 SR Chapter 4 Table 5 p 44-47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN13a             ,              ,108, 659,A,  5,H, 2, 145.00,     39.2500,Manivit  ,Nannofossils                                 ,A              ,M                 ,                            ,                       ,                       ,                         ,                         ,                     ,                       ,                           ,                          ,                      ,R                    ,                    ,                       ,                     ,                          ,                     ,                        ,                  ,                          ,                           ,                       ,                         ,                     ,                     ,                    ,                 ,                      ,                        ,                               ,                           ,                          ,                 ,                  ,                      ,                        ,C                     ,F                      ,                   ,                           ,                     ,                  ,                 ,                    ,                    ,                     ,                   ,                   ,                       ,                     ,C                            ,                        ,                   ,                   ,                      ,                   ,                       ,                    ,                            ,                       ,                       ,                  ,F                       ,R                    ,                    ,F                    ,R                     ,                       ,R                     ,                      ,                     ,                       ,                         ,                     ,                       ,                     ,                         ,                  ,                 ,from ODP Leg 108 SR Chapter 4 Table 5 p 44-47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN12d             ,CN13a         ,108, 659,A,  5,H, 5, 143.00,     43.7300,Manivit  ,Nannofossils                                 ,A              ,M                 ,                            ,                       ,                       ,                         ,                         ,                     ,                       ,                           ,                          ,                      ,R                    ,                    ,                       ,                     ,                          ,                     ,                        ,                  ,                          ,                           ,                       ,                         ,                     ,                     ,                    ,                 ,R                     ,                        ,                               ,                           ,                          ,                 ,                  ,                      ,                        ,C                     ,R                      ,                   ,                           ,                     ,                  ,                 ,                    ,                    ,                     ,                   ,                   ,                       ,                     ,C                            ,                        ,                   ,                   ,                      ,                   ,                       ,                    ,                            ,R                      ,                       ,                  ,F                       ,                     ,R                   ,                     ,                      ,R                      ,                      ,                      ,R                    ,                       ,                         ,                     ,                       ,                     ,                         ,                  ,                 ,from ODP Leg 108 SR Chapter 4 Table 5 p 44-47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12d             ,CN13a         ,108, 659,A,  7,H, 1,   4.00,     55.3400,Manivit  ,Nannofossils                                 ,A              ,M                 ,                            ,                       ,                       ,                         ,                         ,                     ,                       ,                           ,                          ,                      ,F                    ,                    ,                       ,                     ,                          ,                     ,                        ,                  ,                          ,C                          ,                       ,                         ,                     ,                     ,                    ,                 ,R                     ,                        ,                               ,                           ,                          ,                 ,                  ,                      ,                        ,C                     ,F                      ,                   ,                           ,                     ,                  ,                 ,                    ,                    ,                     ,                   ,R                  ,                       ,                     ,C                            ,                        ,                   ,                   ,                      ,                   ,                       ,R                   ,                            ,C                      ,                       ,                  ,C                       ,                     ,F                   ,                     ,                      ,                       ,                      ,R                     ,R                    ,                       ,                         ,                     ,                       ,                     ,                         ,                  ,                 ,from ODP Leg 108 SR Chapter 4 Table 5 p 44-47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12d             ,CN13a         ,108, 659,A,  7,H, 3,   5.00,     58.3500,Manivit  ,Nannofossils                                 ,A              ,M                 ,                            ,                       ,                       ,                         ,                         ,                     ,                       ,                           ,                          ,                      ,C                    ,                    ,                       ,                     ,                          ,                     ,                        ,                  ,                          ,A                          ,                       ,                         ,                     ,                     ,                    ,                 ,F                     ,                        ,                               ,                           ,                          ,                 ,                  ,                      ,                        ,F                     ,C                      ,                   ,                           ,                     ,                  ,                 ,                    ,                    ,                     ,                   ,F                  ,                       ,                     ,C                            ,                        ,                   ,                   ,                      ,                   ,                       ,                    ,                            ,C                      ,                       ,                  ,C                       ,R                    ,F                   ,                     ,R                     ,                       ,                      ,R                     ,                     ,                       ,                         ,                     ,                       ,                     ,                         ,                  ,                 ,from ODP Leg 108 SR Chapter 4 Table 5 p 44-47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12d             ,CN13a         ,108, 659,A,  7,H, 4,   5.00,     59.8500,Manivit  ,Nannofossils                                 ,A              ,M                 ,                            ,                       ,                       ,                         ,                         ,                     ,                       ,                           ,                          ,                      ,C                    ,                    ,                       ,                     ,                          ,                     ,                        ,                  ,                          ,A                          ,                       ,                         ,                     ,                     ,                    ,                 ,F                     ,                        ,                               ,                           ,                          ,                 ,                  ,                      ,                        ,F                     ,C                      ,                   ,                           ,                     ,                  ,                 ,                    ,                    ,                     ,                   ,F                  ,                       ,                     ,C                            ,                        ,                   ,                   ,                      ,                   ,                       ,                    ,                            ,F                      ,                       ,                  ,A                       ,                     ,F                   ,R                    ,F                     ,R                      ,R                     ,R                     ,F                    ,                       ,                         ,                     ,                       ,                     ,                         ,                  ,                 ,from ODP Leg 108 SR Chapter 4 Table 5 p 44-47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12d             ,              ,108, 659,A,  7,H, 6,   5.00,     62.8500,Manivit  ,Nannofossils                                 ,A              ,M                 ,                            ,                       ,                       ,                         ,                         ,                     ,                       ,                           ,                          ,                      ,C                    ,                    ,                       ,                     ,                          ,                     ,                        ,                  ,                          ,A                          ,                       ,                         ,                     ,                     ,                    ,                 ,F                     ,                        ,                               ,                           ,                          ,                 ,                  ,                      ,                        ,C                     ,C                      ,                   ,                           ,                     ,                  ,                 ,                    ,                    ,                     ,                   ,F                  ,                       ,                     ,F                            ,                        ,                   ,                   ,                      ,                   ,                       ,                    ,                            ,C                      ,                       ,                  ,A                       ,                     ,F                   ,                     ,                      ,                       ,R                     ,F                     ,R                    ,                       ,                         ,                     ,                       ,                     ,                         ,                  ,                 ,from ODP Leg 108 SR Chapter 4 Table 5 p 44-47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12a             ,CN12d         ,108, 659,A,  7,H,CC,  15.00,     64.8800,Manivit  ,Nannofossils                                 ,A              ,M                 ,                            ,                       ,                       ,                         ,                         ,                     ,                       ,                           ,                          ,                      ,C                    ,                    ,                       ,                     ,                          ,                     ,                        ,                  ,                          ,A                          ,                       ,                         ,                     ,                     ,                    ,                 ,F                     ,                        ,                               ,                           ,                          ,                 ,                  ,                      ,                        ,C                     ,C                      ,                   ,                           ,                     ,                  ,                 ,                    ,                    ,                     ,                   ,F                  ,                       ,                     ,C                            ,                        ,                   ,                   ,                      ,                   ,                       ,R                   ,                            ,C                      ,                       ,                  ,A                       ,                     ,F                   ,                     ,F                     ,                       ,                      ,F                     ,                     ,                       ,                         ,                     ,                       ,                     ,                         ,                  ,                 ,from ODP Leg 108 SR Chapter 4 Table 5 p 44-47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12a             ,CN12d         ,108, 659,A,  8,H, 3,   5.00,     67.8500,Manivit  ,Nannofossils                                 ,A              ,M                 ,                            ,                       ,                       ,                         ,                         ,                     ,                       ,                           ,                          ,                      ,F                    ,                    ,                       ,                     ,                          ,                     ,                        ,                  ,                          ,A                          ,                       ,                         ,                     ,                     ,                    ,                 ,F                     ,                        ,                               ,                           ,                          ,                 ,                  ,                      ,                        ,F                     ,F                      ,                   ,                           ,                     ,                  ,                 ,                    ,                    ,                     ,                   ,C                  ,                       ,                     ,F                            ,                        ,                   ,                   ,                      ,                   ,                       ,                    ,                            ,                       ,                       ,                  ,C                       ,                     ,F                   ,                     ,                      ,                       ,R                     ,R                     ,                     ,                       ,                         ,                     ,                       ,                     ,                         ,                  ,                 ,from ODP Leg 108 SR Chapter 4 Table 5 p 44-47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12a             ,CN12d         ,108, 659,A,  8,H, 4,   5.00,     69.3500,Manivit  ,Nannofossils                                 ,A              ,M                 ,                            ,                       ,                       ,                         ,                         ,                     ,                       ,                           ,                          ,                      ,C                    ,                    ,                       ,                     ,                          ,                     ,                        ,                  ,                          ,A                          ,                       ,                         ,                     ,                     ,                    ,                 ,F                     ,                        ,                               ,                           ,                          ,                 ,                  ,                      ,                        ,F                     ,F                      ,                   ,                           ,                     ,                  ,                 ,                    ,                    ,                     ,                   ,C                  ,                       ,                     ,C                            ,                        ,                   ,                   ,                      ,                   ,                       ,                    ,                            ,R                      ,                       ,                  ,F                       ,                     ,R                   ,R                    ,                      ,                       ,                      ,R                     ,                     ,                       ,                         ,                     ,                       ,                     ,                         ,                  ,                 ,from ODP Leg 108 SR Chapter 4 Table 5 p 44-47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12a             ,CN12d         ,108, 659,A,  8,H, 5,   5.00,     70.8500,Manivit  ,Nannofossils                                 ,A              ,M                 ,                            ,                       ,                       ,                         ,                         ,                     ,                       ,                           ,                          ,                      ,C                    ,                    ,                       ,                     ,                          ,                     ,                        ,                  ,                          ,A                          ,                       ,                         ,                     ,                     ,                    ,                 ,F                     ,                        ,                               ,                           ,                          ,                 ,                  ,                      ,                        ,F                     ,F                      ,                   ,                           ,                     ,                  ,                 ,                    ,                    ,                     ,                   ,C                  ,                       ,                     ,C                            ,                        ,                   ,                   ,                      ,                   ,                       ,R                   ,                            ,                       ,                       ,                  ,C                       ,R                    ,R                   ,                     ,R                     ,R                      ,R                     ,                      ,                     ,                       ,                         ,                     ,                       ,                     ,                         ,                  ,                 ,from ODP Leg 108 SR Chapter 4 Table 5 p 44-47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12a             ,CN12d         ,108, 659,A,  8,H, 6,   5.00,     72.3500,Manivit  ,Nannofossils                                 ,A              ,M                 ,                            ,                       ,                       ,                         ,                         ,                     ,                       ,                           ,                          ,                      ,C                    ,                    ,                       ,                     ,                          ,                     ,                        ,                  ,                          ,A                          ,                       ,                         ,                     ,                     ,                    ,                 ,F                     ,                        ,                               ,                           ,                          ,                 ,                  ,                      ,                        ,R                     ,F                      ,                   ,                           ,                     ,                  ,                 ,                    ,                    ,                     ,                   ,C                  ,                       ,                     ,F                            ,R                       ,                   ,R                  ,                      ,                   ,                       ,                    ,                            ,R                      ,                       ,                  ,F                       ,                     ,R                   ,R                    ,                      ,                       ,                      ,                      ,                     ,                       ,                         ,                     ,                       ,                     ,                         ,                  ,                 ,from ODP Leg 108 SR Chapter 4 Table 5 p 44-47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
