Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Triquetrorhabdulus milowii	Triquetrorhabdulus carinatus	Sphenolithus moriformis	Sphenolithus dissimilis	Sphenolithus delphix	Sphenolithus compactus	Ericsonia obruta	Discoaster variabilis	Discoaster deflandrei	Cyclicargolithus floridanus	Coccolithus pelagicus	Coccolithus miopelagicus	Calcidiscus macintyrei	Calcidiscus leptoporus	Sphenolithus conicus	Helicosphaera intermedia	Hayaster perplexus	Coronocyclus nitescens	Coccolithus streckerii	Reticulofenestra minuta	Reticulofenestra haqii	Helicosphaera granulata	Pontosphaera spp.	Discoaster exilis	Reticulofenestra minutula	Discoaster adamanteus	Cyclolithella annula	Reticulofenestra pseudoumbilica	Reticulofenestra gelida	Triquetrorhabdulus rugosus	Calcidiscus premacintyrei	Coccolithus eopelagicus	Tetralithoides symeonidesii	Discoaster spp.	Discoaster druggii	Sphenolithus abies	Discoaster moorei	Dictyococcites productus	Sphenolithus belemnos	Sphenolithus heteromorphus	Discoaster formosus	Solidopons petrae	Scyphosphaera spp.	Helicosphaera carteri	Discoaster brouweri	Discoaster kugleri	Discoaster calcaris	Discoaster braarudii	Discoaster neohamatus	Discoaster triradiatus	Discoaster challengeri	Catinaster coalitus	Discoaster surculus	Discoaster pseudovariabilis	Discoaster hamatus	Discoaster bellus	Catinaster calyculus	Discoaster prepentaradiatus	Discoaster pentaradiatus	Discoaster neorectus	Discoaster loeblichii	Discoaster berggrenii	Discoaster quinqueramus	Helicosphaera wallichii	Discoaster asymmetricus	Sphenolithus grandis	Amaurolithus primus	Discoaster pansus	Discoaster blackstockae	Amaurolithus delicatus	Amaurolithus amplificus	Discoaster intercalaris	Reticulofenestra asanoi	Ceratolithus acutus	Umbilicosphaera sibogae	Syracosphaera pulchra	Helicosphaera neogranulata	Ceratolithus rugosus	Amaurolithus tricorniculatus	Scapholithus fossilis	Helicosphaera sellii	Oolithotus fragilis	Discoaster tristellifer	Pseudoemiliania lacunosa	Discoaster quadramus	Catinaster altus	Gephyrocapsa sp. (small)	Gephyrocapsa aperta	Discoaster decorus	Discoaster tamalis	Comment

  SR	                 	                 	NN13              	NN15          	130	 805	B	  9	H	CC	  21.00	     83.2700	Takayama 	Nannofossils                                 	               	                  	                          	                            	                       	                       	                    	                      	                	T                    	                     	                           	                     	                        	T                     	15                    	                    	                        	T                 	                      	                      	126                    	                      	                       	T                	                 	3                        	                     	T                   	12                             	3                      	                          	                         	                       	T                          	               	                  	35                	                 	                        	                     	                          	                   	                 	T                 	5                    	1                  	                  	                   	                    	                     	                      	                      	                   	T                  	                           	                  	                 	                    	                           	T                       	                    	                     	                     	                       	                       	?                      	                    	                   	                 	                       	                      	                       	                       	                       	                   	                       	                     	?                         	T                   	                            	                     	T                   	                   	                       	?                       	T                   	                	                        	                   	                  	                  	from 130SR.Chapter 11.Table 16.pages 208-213.

  SR	                 	                 	NN13              	NN15          	130	 805	B	 10	H	 4	 123.00	     88.4300	Takayama 	Nannofossils                                 	               	                  	                          	                            	                       	                       	                    	                      	                	T                    	                     	                           	                     	                        	1                     	12                    	                    	                        	T                 	                      	                      	133                    	1                     	                       	?                	                 	16                       	                     	5                   	T                              	T                      	                          	                         	                       	4                          	               	                  	23                	                 	3                       	                     	                          	                   	                 	                  	T                    	1                  	                  	                   	                    	                     	T                     	                      	                   	T                  	                           	                  	                 	                    	                           	T                       	?                   	                     	                     	                       	                       	                       	                    	                   	                 	                       	                      	                       	                       	                       	                   	                       	?                    	?                         	?                   	                            	                     	?                   	                   	                       	1                       	                    	                	                        	                   	                  	                  	from 130SR.Chapter 11.Table 16.pages 208-213.

  SR	                 	                 	NN13              	NN15          	130	 805	B	 10	H	CC	  23.00	     92.7900	Takayama 	Nannofossils                                 	               	                  	                          	                            	                       	                       	                    	                      	                	                     	                     	                           	                     	                        	1                     	26                    	                    	                        	T                 	                      	                      	117                    	                      	                       	                 	                 	12                       	                     	2                   	2                              	5                      	?                         	                         	                       	1                          	               	                  	30                	                 	1                       	                     	                          	                   	                 	                  	                     	2                  	                  	                   	                    	                     	T                     	?                     	                   	T                  	                           	                  	                 	                    	                           	1                       	                    	                     	                     	                       	?                      	T                      	                    	                   	                 	?                      	                      	                       	                       	T                      	                   	                       	                     	?                         	T                   	                            	                     	                    	T                  	T                      	                        	                    	                	                        	                   	                  	                  	from 130SR.Chapter 11.Table 16.pages 208-213.

  SR	                 	                 	NN13              	NN15          	130	 805	B	 11	H	 3	  23.00	     95.4300	Takayama 	Nannofossils                                 	               	                  	                          	                            	                       	                       	                    	                      	                	                     	                     	                           	1                    	                        	3                     	13                    	                    	                        	T                 	                      	                      	107                    	4                     	                       	T                	                 	27                       	                     	T                   	14                             	11                     	                          	                         	                       	1                          	               	                  	14                	                 	                        	                     	                          	                   	                 	T                 	3                    	2                  	                  	                   	                    	                     	T                     	                      	                   	T                  	                           	                  	                 	                    	                           	T                       	?                   	                     	                     	                       	?                      	?                      	                    	                   	                 	                       	                      	                       	                       	                       	                   	                       	                     	?                         	T                   	T                           	T                    	?                   	                   	                       	                        	                    	                	                        	                   	                  	                  	from 130SR.Chapter 11.Table 16.pages 208-213.

  SR	                 	                 	NN13              	NN15          	130	 805	B	 11	H	CC	  16.00	    102.0700	Takayama 	Nannofossils                                 	               	                  	                          	                            	                       	                       	                    	                      	                	?                    	                     	                           	1                    	                        	10                    	6                     	                    	                        	                  	?                     	                      	49                     	10                    	                       	T                	                 	25                       	                     	2                   	42                             	21                     	?                         	                         	                       	1                          	               	                  	24                	                 	                        	                     	                          	                   	                 	T                 	2                    	1                  	                  	                   	                    	                     	                      	                      	                   	2                  	                           	                  	                 	                    	                           	T                       	?                   	                     	?                    	                       	2                      	?                      	                    	                   	                 	                       	                      	                       	                       	                       	                   	1                      	T                    	1                         	T                   	T                           	                     	                    	                   	                       	                        	                    	                	                        	                   	                  	                  	from 130SR.Chapter 11.Table 16.pages 208-213.

  SR	                 	                 	NN12              	              	130	 805	B	 12	H	 4	  23.00	    106.4300	Takayama 	Nannofossils                                 	               	                  	                          	                            	                       	                       	                    	                      	                	                     	                     	                           	?                    	                        	T                     	11                    	                    	                        	T                 	?                     	                      	74                     	28                    	?                      	                 	                 	18                       	                     	3                   	10                             	11                     	                          	                         	                       	                           	               	                  	39                	                 	4                       	                     	                          	                   	                 	T                 	1                    	T                  	                  	                   	                    	                     	                      	                      	                   	T                  	                           	                  	                 	                    	                           	T                       	                    	                     	                     	                       	                       	                       	                    	                   	                 	                       	                      	                       	                       	                       	T                  	                       	                     	                          	                    	                            	                     	                    	                   	                       	                        	                    	                	                        	                   	                  	                  	Miscellaneous taxa = 1.from 130SR.Chapter 11.Table 16.pages 208-213.

  SR	                 	                 	NN12              	              	130	 805	B	 12	H	CC	  15.00	    111.2300	Takayama 	Nannofossils                                 	               	                  	                          	                            	                       	                       	                    	                      	                	T                    	                     	                           	3                    	                        	3                     	13                    	                    	                        	                  	                      	T                     	10                     	33                    	?                      	T                	                 	60                       	                     	4                   	37                             	13                     	                          	                         	                       	                           	               	                  	21                	                 	1                       	                     	                          	                   	                 	1                 	1                    	T                  	                  	                   	                    	                     	                      	?                     	                   	T                  	                           	                  	                 	                    	                           	T                       	                    	                     	                     	                       	                       	T                      	                    	                   	                 	                       	                      	                       	?                      	?                      	T                  	                       	                     	                          	                    	                            	                     	                    	                   	                       	                        	                    	                	                        	                   	                  	                  	from 130SR.Chapter 11.Table 16.pages 208-213.

  SR	                 	                 	NN12              	              	130	 805	B	 13	H	 3	 123.00	    115.4300	Takayama 	Nannofossils                                 	               	                  	                          	                            	                       	                       	                    	                      	                	?                    	                     	                           	T                    	                        	3                     	16                    	                    	                        	T                 	                      	                      	6                      	26                    	T                      	T                	                 	60                       	                     	3                   	9                              	3                      	                          	                         	                       	2                          	               	                  	64                	                 	2                       	                     	                          	                   	                 	1                 	T                    	T                  	                  	                   	                    	                     	?                     	                      	                   	3                  	                           	                  	                 	                    	                           	T                       	                    	                     	                     	                       	T                      	?                      	                    	                   	                 	                       	                      	                       	                       	                       	T                  	                       	                     	                          	                    	                            	                     	                    	                   	                       	                        	                    	                	                        	                   	                  	                  	Miscellaneous taxa = 2.from 130SR.Chapter 11.Table 16.pages 208-213.

  SR	                 	                 	NN12              	              	130	 805	B	 13	H	CC	  10.00	    121.0600	Takayama 	Nannofossils                                 	               	                  	                          	                            	                       	                       	                    	                      	                	1                    	                     	                           	1                    	                        	6                     	7                     	                    	                        	T                 	                      	                      	7                      	44                    	T                      	T                	                 	55                       	                     	T                   	36                             	11                     	T                         	                         	                       	?                          	               	                  	22                	                 	4                       	                     	                          	                   	                 	T                 	3                    	T                  	                  	                   	                    	                     	                      	T                     	                   	T                  	                           	                  	                 	                    	                           	T                       	                    	                     	                     	                       	1                      	                       	                    	                   	                 	                       	                      	                       	                       	                       	                   	                       	                     	                          	                    	                            	                     	                    	                   	                       	                        	                    	                	                        	                   	                  	                  	Miscellaneous taxa = 2.from 130SR.Chapter 11.Table 16.pages 208-213.

  SR	                 	                 	NN11              	              	130	 805	B	 14	H	 4	  23.00	    125.4300	Takayama 	Nannofossils                                 	               	                  	                          	                            	                       	                       	                    	                      	                	T                    	                     	                           	T                    	                        	6                     	24                    	                    	                        	T                 	                      	?                     	25                     	25                    	?                      	T                	                 	93                       	                     	3                   	3                              	5                      	T                         	T                        	                       	T                          	2              	                  	8                 	                 	2                       	                     	                          	                   	                 	T                 	1                    	T                  	                  	                   	                    	                     	T                     	                      	                   	T                  	                           	                  	                 	                    	                           	T                       	                    	                     	T                    	3                      	?                      	?                      	                    	                   	?                	T                      	                      	                       	                       	?                      	                   	                       	                     	                          	                    	                            	                     	                    	                   	                       	                        	                    	                	                        	                   	                  	                  	from 130SR.Chapter 11.Table 16.pages 208-213.

  SR	                 	                 	NN11              	              	130	 805	B	 14	H	CC	  17.00	    130.5800	Takayama 	Nannofossils                                 	               	                  	                          	                            	1                      	                       	                    	                      	                	T                    	                     	                           	3                    	                        	3                     	6                     	                    	                        	T                 	?                     	?                     	40                     	11                    	2                      	T                	                 	69                       	                     	1                   	5                              	3                      	T                         	T                        	                       	T                          	               	                  	53                	                 	                        	                     	                          	                   	                 	                  	1                    	T                  	                  	                   	                    	                     	                      	?                     	                   	T                  	                           	                  	                 	                    	                           	T                       	                    	?                    	T                    	1                      	?                      	                       	1                   	                   	                 	                       	                      	                       	                       	                       	                   	                       	                     	                          	                    	                            	                     	                    	                   	                       	                        	                    	                	                        	                   	                  	                  	from 130SR.Chapter 11.Table 16.pages 208-213.

  SR	                 	                 	NN11              	              	130	 805	B	 15	H	 4	  23.00	    134.9300	Takayama 	Nannofossils                                 	               	                  	                          	                            	                       	                       	                    	                      	                	T                    	                     	                           	                     	                        	3                     	12                    	                    	                        	T                 	                      	                      	86                     	27                    	T                      	                 	                 	34                       	                     	3                   	1                              	6                      	?                         	                         	                       	                           	1              	                  	27                	                 	                        	                     	                          	                   	                 	T                 	T                    	T                  	                  	                   	                    	                     	                      	                      	                   	T                  	                           	                  	                 	                    	                           	                        	                    	                     	T                    	T                      	?                      	                       	                    	                   	                 	                       	                      	                       	?                      	                       	                   	                       	                     	                          	                    	                            	                     	                    	                   	                       	                        	                    	                	                        	                   	                  	                  	from 130SR.Chapter 11.Table 16.pages 208-213.

  SR	                 	                 	NN11              	              	130	 805	B	 15	H	CC	  26.00	    139.9400	Takayama 	Nannofossils                                 	               	                  	                          	                            	                       	                       	                    	                      	                	T                    	                     	                           	1                    	                        	?                     	14                    	                    	                        	1                 	                      	                      	76                     	11                    	T                      	T                	                 	65                       	                     	1                   	1                              	2                      	T                         	T                        	                       	                           	1              	                  	26                	                 	T                       	                     	                          	                   	                 	                  	T                    	T                  	                  	                   	                    	                     	T                     	T                     	                   	T                  	                           	                  	                 	                    	                           	T                       	                    	                     	T                    	1                      	?                      	                       	                    	                   	                 	                       	                      	                       	?                      	                       	                   	                       	                     	                          	                    	                            	                     	                    	                   	                       	                        	                    	                	                        	                   	                  	                  	from 130SR.Chapter 11.Table 16.pages 208-213.

  SR	                 	                 	NN11              	              	130	 805	B	 16	H	 4	  23.00	    144.4300	Takayama 	Nannofossils                                 	               	                  	                          	                            	                       	                       	                    	                      	                	?                    	                     	                           	T                    	                        	?                     	3                     	                    	                        	T                 	                      	                      	113                    	5                     	T                      	T                	?                	32                       	                     	2                   	T                              	2                      	T                         	1                        	                       	T                          	               	                  	36                	                 	                        	                     	                          	                   	                 	T                 	1                    	1                  	                  	                   	                    	1                    	1                     	?                     	                   	T                  	                           	                  	                 	                    	                           	T                       	                    	                     	1                    	1                      	T                      	T                      	                    	                   	T                	T                      	?                     	?                      	                       	                       	                   	                       	                     	                          	                    	                            	                     	                    	                   	                       	                        	                    	                	                        	                   	                  	                  	from 130SR.Chapter 11.Table 16.pages 208-213.

  SR	                 	                 	NN11              	              	130	 805	B	 16	H	CC	  17.00	    149.7300	Takayama 	Nannofossils                                 	               	                  	                          	                            	                       	                       	                    	                      	                	?                    	                     	                           	4                    	                        	2                     	40                    	                    	                        	                  	                      	                      	49                     	6                     	T                      	                 	                 	7                        	                     	5                   	16                             	17                     	T                         	2                        	                       	T                          	               	                  	49                	                 	1                       	                     	                          	                   	                 	1                 	T                    	T                  	                  	                   	                    	                     	?                     	                      	                   	1                  	                           	                  	                 	                    	                           	                        	                    	                     	T                    	T                      	                       	                       	?                   	                   	                 	                       	                      	                       	                       	                       	                   	                       	                     	                          	                    	                            	                     	                    	                   	                       	                        	                    	                	                        	                   	                  	                  	from 130SR.Chapter 11.Table 16.pages 208-213.
