Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Reticulofenestra pseudoumbilicus,Helicosphaera sellii,Discoaster surculus,Discoaster pentaradiatus,Calcidiscus macintyrei (>11 um),Calcidiscus leptoporus,Amaurolithus spp.,Discoaster brouweri,Coccolithus pelagicus,Pseudoemiliania lacunosa,Discoaster tamalis,Discoaster asymmetricus,Helicosphaera carteri,Gephyrocapsa (small),Braarudosphaera spp.,Gephyrocapsa oceanica s.l.,Gephyrocapsa caribbeanica,Gephyrocapsa large,Emiliania huxleyi,Comment
  IR,                 ,                 ,CN13b             ,CN14a         ,167,1020,B,  6,H,CC,  33.00,     55.9300,Fornaciari,Nannofossils                                 ,A              ,G                 ,                                ,                    ,                   ,                        ,                               ,R                     ,                 ,                   ,                     ,C                       ,                  ,                       ,                     ,A                   ,                    ,R                         ,                         ,                  ,                 ,from IR. Ch 14. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN13b             ,CN14a         ,167,1020,B,  8,H,CC,  33.00,     74.8700,Fornaciari,Nannofossils                                 ,F/C            ,M                 ,                                ,                    ,                   ,                        ,                               ,                      ,                 ,                   ,R                    ,+                       ,                  ,                       ,                     ,A                   ,                    ,                          ,                         ,                  ,                 ,from IR. Ch 14. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN13b             ,CN14a         ,167,1020,B,  9,H,CC,  30.00,     84.3600,Fornaciari,Nannofossils                                 ,F/C            ,G                 ,                                ,                    ,                   ,                        ,                               ,                      ,                 ,                   ,R                    ,                        ,                  ,                       ,                     ,A                   ,                    ,RR                        ,                         ,                  ,                 ,from IR. Ch 14. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,167,1020,B, 10,H,CC,  23.00,     93.7100,Fornaciari,Nannofossils                                 ,RR             ,P                 ,                                ,                    ,                   ,                        ,                               ,F                     ,                 ,                   ,                     ,                        ,                  ,                       ,                     ,R                   ,                    ,                          ,                         ,                  ,                 ,from IR. Ch 14. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,167,1020,B, 11,H,CC,  31.00,    103.3900,Fornaciari,Nannofossils                                 ,RR             ,P                 ,                                ,                    ,                   ,                        ,                               ,                      ,                 ,                   ,                     ,R                       ,                  ,                       ,                     ,                    ,                    ,                          ,                         ,                  ,                 ,from IR. Ch 14. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,167,1020,B, 12,H,CC,  34.00,    112.7500,Fornaciari,Nannofossils                                 ,RR             ,P                 ,                                ,                    ,                   ,                        ,                               ,                      ,                 ,                   ,+                    ,+                       ,                  ,                       ,                     ,                    ,                    ,                          ,                         ,                  ,                 ,from IR. Ch 14. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN13b             ,              ,167,1020,B, 13,H, 3,  20.00,    115.5000,Fornaciari,Nannofossils                                 ,C              ,M/G               ,                                ,C                   ,                   ,                        ,                               ,R                     ,                 ,                   ,                     ,C                       ,                  ,                       ,                     ,                    ,R                   ,A                         ,C                        ,R                 ,                 ,from IR. Ch 14. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN13b             ,              ,167,1020,B, 13,H, 5,  21.00,    118.5100,Fornaciari,Nannofossils                                 ,F/C            ,M                 ,                                ,                    ,                   ,                        ,                               ,F                     ,                 ,                   ,F                    ,C                       ,                  ,                       ,                     ,                    ,                    ,C                         ,C                        ,+                 ,                 ,from IR. Ch 14. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN13b             ,              ,167,1020,B, 13,H,CC,  23.00,    122.3300,Fornaciari,Nannofossils                                 ,F              ,P/M               ,                                ,                    ,                   ,                        ,                               ,R/F                   ,                 ,                   ,R                    ,C                       ,                  ,                       ,                     ,                    ,                    ,R                         ,C                        ,                  ,                 ,from IR. Ch 14. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN13b             ,              ,167,1020,B, 14,H, 3,  20.00,    125.0000,Fornaciari,Nannofossils                                 ,C              ,P/M               ,                                ,                    ,                   ,                        ,                               ,+                     ,                 ,                   ,                     ,R                       ,                  ,                       ,                     ,+                   ,                    ,C                         ,C                        ,                  ,                 ,from IR. Ch 14. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN13b             ,              ,167,1020,B, 14,H, 5,  20.00,    128.0000,Fornaciari,Nannofossils                                 ,F              ,P/M               ,                                ,                    ,                   ,                        ,                               ,R                     ,                 ,                   ,+                    ,                        ,                  ,                       ,                     ,                    ,                    ,+                         ,C                        ,                  ,                 ,from IR. Ch 14. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN13b             ,              ,167,1020,B, 14,H,CC,  28.00,    131.6900,Fornaciari,Nannofossils                                 ,A              ,P/M               ,                                ,R                   ,                   ,                        ,                               ,+                     ,                 ,                   ,+                    ,                        ,                  ,                       ,                     ,                    ,                    ,C                         ,                         ,RR                ,                 ,from IR. Ch 14. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN13b             ,              ,167,1020,B, 15,H, 3,  20.00,    134.5000,Fornaciari,Nannofossils                                 ,C              ,P/M               ,                                ,                    ,                   ,                        ,                               ,R                     ,                 ,                   ,                     ,C                       ,                  ,                       ,                     ,C                   ,                    ,+                         ,C                        ,                  ,                 ,from IR. Ch 14. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN13b             ,              ,167,1020,B, 15,H, 5,  20.00,    137.5000,Fornaciari,Nannofossils                                 ,F/C            ,M                 ,                                ,                    ,                   ,                        ,                               ,R                     ,                 ,                   ,                     ,R                       ,                  ,                       ,                     ,                    ,                    ,+                         ,C                        ,                  ,                 ,from IR. Ch 14. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN13b             ,              ,167,1020,B, 15,H,CC,  25.00,    141.2300,Fornaciari,Nannofossils                                 ,R              ,P                 ,                                ,                    ,                   ,                        ,                               ,+                     ,                 ,                   ,                     ,                        ,                  ,                       ,                     ,                    ,                    ,R                         ,+                        ,                  ,                 ,from IR. Ch 14. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN12              ,CN13a         ,167,1020,B, 16,H,CC,  37.00,    150.8300,Fornaciari,Nannofossils                                 ,A              ,P/M               ,                                ,                    ,                   ,                        ,                               ,F                     ,                 ,                   ,C                    ,A                       ,                  ,                       ,                     ,                    ,                    ,                          ,                         ,                  ,                 ,from IR. Ch 14. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN12              ,CN13a         ,167,1020,B, 17,H,CC,  54.00,    160.4600,Fornaciari,Nannofossils                                 ,R              ,P                 ,                                ,+                   ,                   ,                        ,                               ,R                     ,                 ,                   ,                     ,+                       ,                  ,                       ,                     ,                    ,+                   ,                          ,                         ,                  ,                 ,from IR. Ch 14. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN12              ,CN13a         ,167,1020,B, 18,H,CC,  60.00,    169.9400,Fornaciari,Nannofossils                                 ,C              ,P/M               ,                                ,R/F                 ,                   ,                        ,                               ,C                     ,                 ,                   ,C                    ,C                       ,                  ,                       ,                     ,+                   ,                    ,                          ,                         ,                  ,                 ,from IR. Ch 14. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN12              ,CN13a         ,167,1020,B, 19,X,CC,  33.00,    178.8900,Fornaciari,Nannofossils                                 ,F              ,P/M               ,                                ,F/C                 ,                   ,                        ,                               ,                      ,                 ,                   ,C                    ,C                       ,                  ,                       ,R                    ,                    ,                    ,                          ,                         ,                  ,                 ,from IR. Ch 14. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN12              ,CN13a         ,167,1020,B, 20,X,CC,  35.00,    180.2300,Fornaciari,Nannofossils                                 ,C/A            ,P/M               ,                                ,+                   ,                   ,                        ,                               ,C                     ,                 ,                   ,C                    ,                        ,                  ,                       ,                     ,                    ,                    ,                          ,                         ,                  ,                 ,from IR. Ch 14. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN12              ,CN13a         ,167,1020,B, 21,X,CC,  15.00,    198.2100,Fornaciari,Nannofossils                                 ,R/F            ,P                 ,                                ,                    ,                   ,                        ,                               ,+                     ,                 ,                   ,+                    ,                        ,                  ,                       ,                     ,                    ,                    ,                          ,                         ,                  ,                 ,from IR. Ch 14. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN12a             ,              ,167,1020,B, 25,X,CC,  15.00,    236.5100,Fornaciari,Nannofossils                                 ,A              ,G                 ,                                ,                    ,+                  ,R                       ,                               ,+                     ,                 ,                   ,F                    ,                        ,R                 ,R                      ,                     ,                    ,                    ,                          ,                         ,                  ,                 ,from IR. Ch 14. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN12a             ,              ,167,1020,B, 26,X,CC,  16.00,    246.2400,Fornaciari,Nannofossils                                 ,A              ,G                 ,                                ,                    ,R                  ,R                       ,R                              ,C                     ,                 ,                   ,                     ,                        ,R                 ,                       ,                     ,                    ,                    ,                          ,                         ,                  ,                 ,from IR. Ch 14. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN12a             ,              ,167,1020,B, 27,X,CC,  28.00,    256.0900,Fornaciari,Nannofossils                                 ,C/A            ,P                 ,                                ,                    ,R                  ,                        ,                               ,R                     ,                 ,                   ,F                    ,R                       ,                  ,                       ,                     ,                    ,                    ,                          ,                         ,                  ,                 ,from IR. Ch 14. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN12a             ,              ,167,1020,B, 28,X,CC,  34.00,    265.7800,Fornaciari,Nannofossils                                 ,A              ,G                 ,                                ,F                   ,F                  ,                        ,R/F                            ,C                     ,                 ,R                  ,C                    ,                        ,                  ,                       ,                     ,                    ,                    ,                          ,                         ,                  ,                 ,from IR. Ch 14. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN11              ,              ,167,1020,B, 29,X,CC,  34.00,    269.3700,Fornaciari,Nannofossils                                 ,C/A            ,M                 ,F                               ,R/F                 ,R                  ,F                       ,C                              ,F                     ,RR               ,                   ,                     ,                        ,                  ,                       ,                     ,                    ,                    ,                          ,                         ,                  ,                 ,from IR. Ch 14. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
