Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Marginotruncana marginata	Hedbergella holmdelensis	Globotruncana orientalis	Globotruncana linneiana	Archaeoglobigerina cretacea	Globoquadrina venezuelana	Globorotalia opima nana	Catapsydrax dissimilis	Globigerina yeguaensis	Globigerina ciperoensis ciperoensis	Catapsydrax unicavus	Globorotalia opima opima	Globorotalia opima nana/continuosa transition	Catapsydrax spp.	Globorotaloides suteri	Globigerina tripartita	Globigerina spp.	Globigerina praebulloides	Globigerina ciperoensis angustiumbilicata	Globigerina ciperoensis angulisuturalis	Globorotaloides spp.	Globigerinoides primordius	Globigerina sellii	Globigerina gortanii	Truncorotaloides rohri	Globorotalia mayeri	Globorotalia obesa	Globigerinoides spp.	Globorotalia siakensis	Globorotalia fohsi peripheroronda	Globoquadrina spp.	Globorotalia kugleri	Globoquadrina dehiscens praedehiscens	Globoquadrina baroemoenensis	Globigerina woodi woodi	Globoquadrina dehiscens dehiscens	Globigerinoides subquadratus	Globigerinita naparimaensis	Globigerina falconensis	Comment
  SR	Early Miocene    	                 	N5                	N6            	149	 899	B	  3	R	CC	   7.00	    253.6300	Gervais  	Planktonic Foraminifers                      	R              	M                 	                         	                        	                        	                       	                           	                         	                       	                      	                      	                                   	                    	                        	                                             	                	                      	                      	                	                         	                                         	                                       	                    	                          	                  	                    	                      	R                  	                  	                    	                      	                                 	                  	                    	                                     	                            	                       	                                 	                            	                           	                       	from 149 SR. Chapter 6. Table 8. page 178.

  SR	Early Miocene    	                 	N5                	N6            	149	 899	B	  4	R	 2	  68.00	    256.1800	Gervais  	Planktonic Foraminifers                      	F              	M                 	                         	                        	                        	                       	                           	                         	                       	R                     	                      	                                   	                    	                        	                                             	                	?                     	                      	R               	                         	                                         	                                       	                    	                          	                  	                    	                      	R                  	R                 	R                   	                      	R                                	                  	                    	                                     	                            	                       	R                                	R                           	R                          	                       	from 149 SR. Chapter 6. Table 8. page 178.

  SR	                 	                 	                  	              	149	 899	B	  5	R	 4	 136.00	    269.5600	Gervais  	Planktonic Foraminifers                      	R              	P                 	                         	                        	                        	                       	                           	                         	                       	R                     	                      	                                   	                    	                        	                                             	                	                      	                      	R               	                         	                                         	                                       	                    	                          	                  	                    	                      	                   	                  	                    	                      	                                 	                  	                    	                                     	                            	                       	                                 	                            	                           	                       	Age and zonal assignment uncertain. from 149 SR. Chapter 6. Table 8. page 178.

  SR	Late Oligocene   	Early Miocene    	N4                	              	149	 899	B	  5	R	CC	  11.00	    272.0900	Gervais  	Planktonic Foraminifers                      	F              	M                 	                         	                        	                        	                       	                           	R                        	                       	R                     	                      	                                   	R                   	                        	                                             	                	                      	                      	                	                         	                                         	                                       	                    	                          	                  	                    	                      	R                  	                  	R                   	F                     	                                 	                  	R                   	R                                    	R                           	R                      	                                 	                            	                           	                       	from 149 SR. Chapter 6. Table 8. page 178.

  SR	Late Oligocene   	Early Miocene    	N4                	              	149	 899	B	  6	R	 3	  91.00	    277.3100	Gervais  	Planktonic Foraminifers                      	C              	M                 	                         	                        	                        	                       	                           	?                        	                       	                      	                      	                                   	                    	                        	R                                            	R               	R                     	                      	R               	F                        	F                                        	                                       	                    	R                         	r                 	                    	r                     	F                  	R                 	                    	R                     	R                                	R                 	                    	                                     	                            	                       	                                 	                            	                           	                       	from 149 SR. Chapter 6. Table 8. page 178.

  SR	Late Oligocene   	Early Miocene    	N4                	              	149	 899	B	  6	R	CC	   5.00	    281.5000	Gervais  	Planktonic Foraminifers                      	A              	M                 	                         	                        	                        	                       	                           	R                        	                       	                      	                      	                                   	R                   	                        	F                                            	                	                      	                      	                	                         	                                         	                                       	                    	                          	                  	                    	                      	F                  	                  	R                   	                      	                                 	                  	                    	                                     	                            	                       	                                 	                            	                           	                       	from 149 SR. Chapter 6. Table 8. page 178.

  SR	Late Oligocene   	                 	P22               	              	149	 899	B	  7	R	 6	 129.00	    291.7900	Gervais  	Planktonic Foraminifers                      	C              	P                 	                         	                        	                        	                       	                           	                         	R                      	                      	                      	R                                  	                    	                        	F                                            	                	                      	                      	                	R                        	F                                        	R                                      	                    	                          	                  	                    	                      	R                  	R                 	                    	                      	                                 	                  	                    	                                     	                            	                       	                                 	                            	                           	                       	from 149 SR. Chapter 6. Table 8. page 178.

  SR	Late Oligocene   	                 	P22               	              	149	 899	B	  8	R	 1	  48.00	    293.0800	Gervais  	Planktonic Foraminifers                      	F              	M                 	                         	                        	                        	                       	                           	R                        	R                      	                      	                      	                                   	                    	                        	                                             	R               	R                     	                      	R               	                         	                                         	                                       	                    	                          	                  	                    	                      	R                  	                  	                    	                      	                                 	                  	                    	                                     	                            	                       	                                 	                            	                           	                       	from 149 SR. Chapter 6. Table 8. page 178.

  SR	Late Oligocene   	                 	P22               	              	149	 899	B	  8	R	 1	 114.00	    293.7400	Gervais  	Planktonic Foraminifers                      	F              	M                 	                         	                        	                        	                       	                           	R                        	R                      	R                     	                      	R                                  	                    	                        	                                             	                	R                     	                      	F               	R                        	R                                        	R                                      	                    	                          	                  	                    	r                     	                   	                  	                    	                      	                                 	                  	                    	                                     	                            	                       	                                 	                            	                           	                       	from 149 SR. Chapter 6. Table 8. page 178.

  SR	Late Oligocene   	                 	P22               	              	149	 899	B	  9	R	 3	  85.00	    306.1500	Gervais  	Planktonic Foraminifers                      	F              	M                 	                         	                        	                        	                       	                           	R                        	                       	R                     	                      	                                   	R                   	                        	R                                            	                	R                     	?                     	R               	R                        	                                         	                                       	R                   	R                         	R                 	R                   	                      	                   	                  	                    	                      	                                 	                  	                    	                                     	                            	                       	                                 	                            	                           	                       	from 149 SR. Chapter 6. Table 8. page 178.

  SR	Late Oligocene   	                 	P22               	              	149	 899	B	  9	R	 4	 124.00	    308.0400	Gervais  	Planktonic Foraminifers                      	A              	M                 	                         	                        	                        	                       	                           	R                        	R                      	R                     	                      	F                                  	R                   	                        	F                                            	                	R                     	R                     	R               	R                        	F                                        	F                                      	                    	                          	                  	                    	                      	                   	                  	                    	                      	                                 	                  	                    	                                     	                            	                       	                                 	                            	                           	                       	from 149 SR. Chapter 6. Table 8. page 178.

  SR	Early Oligocene  	Late Oligocene   	P21               	              	149	 899	B	 10	R	 4	  71.00	    317.2100	Gervais  	Planktonic Foraminifers                      	R              	M                 	                         	                        	                        	                       	                           	R                        	R                      	                      	                      	R                                  	                    	R                       	R                                            	R               	                      	                      	                	                         	                                         	                                       	                    	                          	                  	                    	                      	                   	                  	                    	                      	                                 	                  	                    	                                     	                            	                       	                                 	                            	                           	                       	from 149 SR. Chapter 6. Table 8. page 178.

  SR	Early Oligocene  	                 	P20               	              	149	 899	B	 11	R	 1	  83.00	    322.4300	Gervais  	Planktonic Foraminifers                      	R              	M                 	                         	                        	                        	                       	                           	                         	R                      	                      	R                     	R                                  	R                   	                        	                                             	                	                      	                      	                	                         	                                         	                                       	                    	                          	                  	                    	                      	                   	                  	                    	                      	                                 	                  	                    	                                     	                            	                       	                                 	                            	                           	                       	from 149 SR. Chapter 6. Table 8. page 178.

  SR	Late Eocene      	Early Oligocene  	P15               	P20           	149	 899	B	 12	R	 3	  54.00	    334.7400	Gervais  	Planktonic Foraminifers                      	R              	P                 	                         	                        	                        	                       	                           	                         	                       	R                     	                      	                                   	                    	                        	                                             	                	                      	                      	                	                         	                                         	                                       	                    	                          	                  	                    	                      	                   	                  	                    	                      	                                 	                  	                    	                                     	                            	                       	                                 	                            	                           	                       	from 149 SR. Chapter 6. Table 8. page 178.

  SR	Late Eocene      	Early Oligocene  	P15               	P20           	149	 899	B	 13	R	 2	 120.00	    343.6000	Gervais  	Planktonic Foraminifers                      	R              	P                 	                         	                        	                        	                       	                           	                         	R                      	                      	                      	                                   	                    	                        	                                             	                	                      	                      	                	                         	                                         	                                       	                    	                          	                  	                    	                      	                   	                  	                    	                      	                                 	                  	                    	                                     	                            	                       	                                 	                            	                           	                       	from 149 SR. Chapter 6. Table 8. page 178.

  SR	Eocene           	                 	                  	              	149	 899	B	 14	R	 4	 103.00	    356.1300	Gervais  	Planktonic Foraminifers                      	R              	M                 	                         	                        	                        	                       	                           	R                        	                       	                      	                      	                                   	                    	                        	                                             	                	                      	                      	                	                         	                                         	                                       	                    	                          	                  	                    	                      	                   	                  	                    	                      	                                 	                  	                    	                                     	                            	                       	                                 	                            	                           	                       	Zonal assignment uncertain. from 149 SR. Chapter 6. Table 8. page 178.

  SR	Campanian        	Maestrichtian    	G. elevata - KS25 	G. gansseri   	149	 899	B	 15	R	 3	 147.00	    364.6700	Gervais  	Planktonic Foraminifers                      	R              	P                 	R                        	R                       	R                       	R                      	R                          	                         	                       	                      	                      	                                   	                    	                        	                                             	                	                      	                      	                	                         	                                         	                                       	                    	                          	                  	                    	                      	                   	                  	                    	                      	                                 	                  	                    	                                     	                            	                       	                                 	                            	                           	                       	from 149 SR. Chapter 6. Table 8. page 178.

