Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Ebriopsis antiqua,Corbisema spp.,Hermesinopsis sp. B,Hermesinella spp.,Ebriopsis sp. A,Ebridians (indeterminate taxa),Dictyocha spp.,Corbisema regina,Naviculopsis spp.,Septamesocena  apiculata evexa,Pseudammodochium spp.,Pseudammodochium dictyoides,Hovassebria brevispinosa,Ebriopsis acuta,Distephanus speculum ( fenestrate forms),Dictyocha fibula s.l.,Dictyocha eocaenica,Dictyocha challengeri,Corbisema katharinae,Corbisema elata,Corbisema apiculata,Carduifolia gracilis,Ammodochium spp.,Septamesocena oamaruensis,Septamesocena apiculata apiculata,Pseudammodochium sp. C,Parebriopsis symmetrica,Naviculopsis foliacea,Hermesinopsis spp.,Haplohermesinum cornuta,Ebriopsis crenulata,Distephanus speculum  pentagonus,Dictyocha sp. B,Dictyocha carentis carentis,Corbisema triacantha s.l.,Corbisema cf. triacantha,Naviculopsis aff. constricta,Distephanus antiquus,Corbisema angularis,Hermesinopsis cf. caulleryi,Haplohermesinum spp.,Haplohermesinum hovassei,Distephanus speculum f. speculum,Distephanus speculum (diverse forms),Dictyocha cf. mutabilis,Corbisema spinosa,Corbisema sp. A,Corbisema hexacantha,Ammodochium rectangulare,Naviculopsis constricta,Hermesinopsis aplanata,Dictyocha bryonalis bryonalis,Naviculopsis spp. fragments,Dictyocha sp. A,Ebriopsis spp.,Actiniscus cf. elongatus,Hermesinella cf. transversa,Ammodochium novum,Actiniscus pentasterias s.l.,Actiniscidians indetrminate taxa,Dictyocha fibula,Ammodochium fletcheri,Spongebria miocenica,Spongebria curta,Septamesocena apiculata glabra,Distephanus crux crux,Cannopilus hemisphaericus,Ammodochium serotinum,Ammodochium pyramidale,Comment
  SR,                 ,                 ,C. hexacantha     ,              ,151, 913,B, 26,R, 4, 113.00,    486.7300,Locker   ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,MP                ,R                ,R             ,A                  ,                 ,R              ,C                             ,              ,R               ,                 ,R                             ,                     ,                           ,+                       ,R              ,R                                       ,R                    ,R                  ,R                    ,R                   ,F              ,                   ,F                   ,R               ,                         ,R                                ,                      ,                       ,                     ,                  ,                       ,                   ,                                ,               ,                           ,C                        ,F                       ,                            ,R                   ,R                  ,R                          ,                    ,                        ,                                ,                                    ,                       ,                 ,F              ,                    ,C                       ,                       ,                      ,                             ,+                          ,               ,              ,                        ,                           ,                 ,                            ,                                ,                ,                     ,                    ,                ,                              ,                     ,                         ,                     ,                      ,From LEG 151SR; Ch 6; Tables 4&5; pp. 109-110
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. hexacantha     ,              ,151, 913,B, 26,R, 5, 113.00,    488.2300,Locker   ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,MP                ,                 ,              ,C                  ,                 ,R              ,C                             ,R             ,R               ,                 ,R                             ,                     ,R                          ,+                       ,R              ,R                                       ,R                    ,F                  ,R                    ,F                   ,R              ,R                  ,F                   ,                ,                         ,                                 ,                      ,                       ,                     ,                  ,                       ,                   ,                                ,               ,R                          ,A                        ,                        ,R                           ,                    ,                   ,                           ,F                   ,                        ,                                ,R                                   ,                       ,                 ,C              ,R                   ,A                       ,R                      ,R                     ,R                            ,                           ,               ,              ,                        ,                           ,                 ,                            ,                                ,                ,                     ,                    ,                ,                              ,                     ,                         ,                     ,                      ,From LEG 151SR; Ch 6; Tables 4&5; pp. 109-110
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. hexacantha     ,              ,151, 913,B, 26,R, 6, 110.00,    489.7000,Locker   ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,MG                ,R                ,R             ,A                  ,T                ,R              ,C                             ,              ,C               ,                 ,R                             ,T                    ,R                          ,+                       ,F              ,                                        ,R                    ,R                  ,                     ,F                   ,F              ,C                  ,F                   ,                ,                         ,                                 ,R                     ,R                      ,R                    ,                  ,                       ,                   ,                                ,F              ,                           ,A                        ,                        ,                            ,                    ,R                  ,R                          ,R                   ,R                       ,R                               ,R                                   ,R                      ,R                ,F              ,R                   ,A                       ,                       ,                      ,                             ,                           ,               ,              ,                        ,                           ,                 ,                            ,                                ,                ,                     ,                    ,                ,                              ,                     ,                         ,                     ,                      ,From LEG 151SR; Ch 6; Tables 4&5; pp. 109-110
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,151, 913,B, 26,R,CC,  17.00,    490.8200,Locker   ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,P                 ,                 ,R             ,A                  ,T                ,               ,F                             ,              ,F               ,                 ,R                             ,T                    ,                           ,+                       ,               ,                                        ,R                    ,                   ,                     ,                    ,R              ,                   ,R                   ,R               ,                         ,                                 ,                      ,                       ,                     ,T                 ,                       ,                   ,                                ,R              ,R                          ,F                        ,                        ,R                           ,T                   ,T                  ,                           ,                    ,                        ,                                ,                                    ,                       ,                 ,               ,                    ,                        ,                       ,                      ,                             ,                           ,               ,              ,                        ,                           ,                 ,                            ,                                ,                ,                     ,                    ,                ,                              ,                     ,                         ,                     ,                      ,From LEG 151SR; Ch 6; Tables 4&5; pp. 109-110
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,151, 913,B, 27,R, 1, 113.00,    491.8300,Locker   ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,MG                ,                 ,              ,A                  ,T                ,R              ,F                             ,              ,C               ,                 ,                              ,                     ,R                          ,                        ,R              ,R                                       ,R                    ,R                  ,                     ,R                   ,C              ,R                  ,R                   ,                ,F                        ,R                                ,F                     ,T                      ,R                    ,R                 ,R                      ,R                  ,R                               ,C              ,T                          ,R                        ,C                       ,                            ,                    ,                   ,                           ,                    ,                        ,                                ,                                    ,                       ,                 ,               ,                    ,                        ,                       ,                      ,                             ,                           ,               ,              ,                        ,                           ,                 ,                            ,                                ,                ,                     ,                    ,                ,                              ,                     ,                         ,                     ,                      ,From LEG 151SR; Ch 6; Tables 4&5; pp. 109-110
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
