Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Neogloboquadrina pachyderma (dextral),Neogloboquadrina atlantica (sinistral),Globorotalia scitula,Globorotalia cf. Gr. crassula,Globigerinita uvula,Globigerina quinqueloba,Globigerina bulloides,Orbulina universa,Globigerinita glutinata,Streptochilus tokelaunae,Neogloboquadrina atlantica (dextral),Globigerinoides conglobatus,Neogloboquadrina pachyderma (sinistral),Globorotalia puncticulata,Globorotalia crassaformis,Globigerina aequilateralis,Globigerina decoraperta,Globorotalia margaritae,Globigerina falconensis,Orbulina bilobata,Globorotalia inflata,Globorotalia truncatulinoides,Globigerinoides ruber,Comment
  IR,                 ,Pleistocene      ,                  ,N.pachyderma(s. W&C),162, 981,A,  5,H,CC,  72.00,     44.5900,Flower   ,Planktonic Foraminifers                      ,A              ,G                 ,C                                    ,                                      ,R                   ,                             ,                   ,R                      ,F                    ,                 ,R                      ,                        ,                                    ,                           ,C                                      ,                         ,                         ,                          ,                       ,                       ,                       ,                 ,R/F                 ,                             ,                     ,from 162SR.Ch2.Table4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N.pachyderma(s. W&C),162, 981,A,  6,H,CC,  23.00,     54.3800,Flower   ,Planktonic Foraminifers                      ,A              ,G                 ,R                                    ,                                      ,F                   ,                             ,                   ,T/R                    ,F                    ,R                ,T/R                    ,                        ,                                    ,                           ,R                                      ,                         ,T                        ,T                         ,                       ,                       ,                       ,T                ,C                   ,                             ,                     ,from 162SR.Ch2.Table4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N.pachyderma(s. W&C),162, 981,A,  7,H,CC,  16.00,     63.8100,Flower   ,Planktonic Foraminifers                      ,A              ,G                 ,F                                    ,                                      ,R                   ,                             ,                   ,F                      ,F                    ,                 ,R                      ,                        ,                                    ,                           ,C                                      ,                         ,                         ,                          ,                       ,                       ,                       ,                 ,R                   ,                             ,                     ,from 162SR.Ch2.Table4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N.pachyderma(s. W&C),162, 981,A,  8,H,CC,  21.00,     73.4300,Flower   ,Planktonic Foraminifers                      ,A              ,G                 ,F                                    ,                                      ,F                   ,                             ,                   ,                       ,C                    ,                 ,R                      ,                        ,                                    ,                           ,F                                      ,                         ,                         ,                          ,T                      ,                       ,                       ,                 ,C                   ,F/C                          ,T                    ,from 162SR.Ch2.Table4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N.pachyderma(s. W&C),162, 981,A,  9,H,CC,  24.00,     82.9300,Flower   ,Planktonic Foraminifers                      ,A              ,G                 ,F                                    ,                                      ,F                   ,                             ,                   ,                       ,A                    ,C                ,F                      ,                        ,                                    ,                           ,R                                      ,                         ,                         ,F                         ,                       ,                       ,                       ,                 ,A                   ,                             ,                     ,from 162SR.Ch2.Table4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N.pachyderma(s. W&C),162, 981,A, 10,H,CC,  26.00,     89.2200,Flower   ,Planktonic Foraminifers                      ,A              ,G                 ,R                                    ,                                      ,F                   ,                             ,                   ,                       ,C                    ,                 ,F                      ,                        ,                                    ,                           ,R                                      ,                         ,                         ,C                         ,                       ,                       ,                       ,                 ,C                   ,                             ,                     ,from 162SR.Ch2.Table4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N.pachyderma(s. W&C),162, 981,A, 11,H, 1,  49.00,     92.4900,Flower   ,Planktonic Foraminifers                      ,A              ,G                 ,R                                    ,                                      ,                    ,                             ,                   ,R                      ,C                    ,R                ,F                      ,                        ,                                    ,                           ,C                                      ,                         ,                         ,T                         ,                       ,                       ,                       ,T                ,C/A                 ,                             ,                     ,from 162SR.Ch2.Table4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N.pachyderma(s. W&C),162, 981,A, 11,H, 2,  49.00,     93.9900,Flower   ,Planktonic Foraminifers                      ,A              ,G                 ,R                                    ,                                      ,F                   ,                             ,                   ,                       ,A                    ,                 ,R                      ,                        ,                                    ,                           ,R                                      ,                         ,F                        ,                          ,                       ,                       ,                       ,                 ,C                   ,                             ,                     ,from 162SR.Ch2.Table4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N.pachyderma(s. W&C),162, 981,A, 11,H, 3,  49.00,     95.4900,Flower   ,Planktonic Foraminifers                      ,A              ,G                 ,R                                    ,                                      ,F                   ,                             ,                   ,R                      ,A                    ,F                ,R                      ,                        ,                                    ,                           ,C                                      ,                         ,                         ,T                         ,                       ,                       ,                       ,                 ,C                   ,                             ,                     ,from 162SR.Ch2.Table4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N.pachyderma(s. W&C),162, 981,A, 11,H, 5,   9.00,     98.1100,Flower   ,Planktonic Foraminifers                      ,A              ,G                 ,R                                    ,                                      ,F                   ,                             ,                   ,R                      ,A                    ,R                ,R                      ,                        ,                                    ,                           ,F                                      ,                         ,                         ,                          ,                       ,                       ,                       ,                 ,C                   ,                             ,                     ,from 162SR.Ch2.Table4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Pliocene    ,                  ,Gr. inflata   ,162, 981,A, 11,H, 6, 130.00,    100.8200,Flower   ,Planktonic Foraminifers                      ,A              ,G                 ,F                                    ,                                      ,R                   ,                             ,                   ,                       ,C                    ,R                ,                       ,                        ,                                    ,                           ,                                       ,                         ,                         ,                          ,                       ,                       ,                       ,                 ,A                   ,                             ,                     ,from 162SR.Ch2.Table4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Pliocene    ,                  ,Gr. inflata   ,162, 981,A, 11,H,CC,  19.00,    101.7100,Flower   ,Planktonic Foraminifers                      ,A              ,G                 ,R                                    ,                                      ,F                   ,                             ,                   ,                       ,A                    ,F                ,                       ,                        ,                                    ,                           ,                                       ,                         ,                         ,                          ,                       ,                       ,                       ,                 ,C                   ,                             ,                     ,from 162SR.Ch2.Table4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Pliocene    ,                  ,Gr. inflata   ,162, 981,A, 12,H,CC,  24.00,    111.4700,Flower   ,Planktonic Foraminifers                      ,A              ,G                 ,F                                    ,                                      ,F                   ,                             ,                   ,                       ,A                    ,C                ,F                      ,                        ,                                    ,                           ,                                       ,                         ,F                        ,                          ,                       ,                       ,                       ,                 ,C                   ,                             ,                     ,from 162SR.Ch2.Table4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Pliocene    ,                  ,Gr. inflata   ,162, 981,A, 13,H,CC,  14.00,    120.8200,Flower   ,Planktonic Foraminifers                      ,A              ,G                 ,C                                    ,                                      ,F                   ,                             ,                   ,                       ,                     ,                 ,                       ,                        ,                                    ,                           ,                                       ,                         ,T                        ,                          ,                       ,                       ,                       ,                 ,R                   ,                             ,                     ,from 162SR.Ch2.Table4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Pliocene    ,                  ,Gg. bulloides ,162, 981,A, 14,H, 1,  49.00,    120.9900,Flower   ,Planktonic Foraminifers                      ,A              ,G                 ,C                                    ,                                      ,R                   ,                             ,                   ,                       ,A                    ,F                ,                       ,                        ,                                    ,                           ,R                                      ,                         ,                         ,                          ,                       ,                       ,                       ,T                ,                    ,                             ,                     ,from 162SR.Ch2.Table4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Pliocene    ,                  ,Gg. bulloides ,162, 981,A, 14,H, 2,  49.00,    122.4900,Flower   ,Planktonic Foraminifers                      ,A              ,G                 ,C                                    ,                                      ,R                   ,                             ,                   ,                       ,A                    ,R                ,F                      ,                        ,                                    ,                           ,                                       ,                         ,                         ,T                         ,                       ,                       ,                       ,                 ,                    ,                             ,                     ,from 162SR.Ch2.Table4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Pliocene    ,                  ,Gg. bulloides ,162, 981,A, 14,H,CC,  25.00,    130.4800,Flower   ,Planktonic Foraminifers                      ,A              ,G                 ,C                                    ,                                      ,F                   ,                             ,                   ,                       ,A                    ,A                ,F                      ,                        ,                                    ,                           ,                                       ,                         ,F                        ,T                         ,                       ,                       ,                       ,                 ,                    ,                             ,                     ,from 162SR.Ch2.Table4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Pliocene    ,                  ,Gg. bulloides ,162, 981,A, 15,H,CC,  18.00,    139.8000,Flower   ,Planktonic Foraminifers                      ,A              ,G                 ,C                                    ,                                      ,F                   ,                             ,                   ,                       ,C                    ,F                ,                       ,                        ,                                    ,                           ,                                       ,T                        ,C                        ,                          ,                       ,                       ,                       ,                 ,                    ,                             ,                     ,from 162SR.Ch2.Table4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Pliocene    ,                  ,Gg. bulloides ,162, 981,A, 16,H, 1,  13.00,    139.6300,Flower   ,Planktonic Foraminifers                      ,A              ,G                 ,C                                    ,                                      ,                    ,                             ,                   ,                       ,A                    ,F                ,                       ,                        ,                                    ,                           ,                                       ,                         ,C                        ,T                         ,                       ,                       ,                       ,                 ,                    ,                             ,                     ,from 162SR.Ch2.Table4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Pliocene    ,                  ,Gg. bulloides ,162, 981,A, 16,H, 2,  19.00,    141.1900,Flower   ,Planktonic Foraminifers                      ,A              ,G                 ,                                     ,                                      ,F                   ,                             ,                   ,                       ,A                    ,C                ,R                      ,                        ,                                    ,                           ,                                       ,                         ,C                        ,                          ,                       ,                       ,                       ,                 ,                    ,                             ,                     ,from 162SR.Ch2.Table4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Pliocene    ,                  ,Gg. bulloides ,162, 981,A, 16,H, 3,  19.00,    142.6900,Flower   ,Planktonic Foraminifers                      ,A              ,G                 ,F                                    ,                                      ,F                   ,                             ,                   ,                       ,A                    ,C                ,                       ,                        ,                                    ,                           ,                                       ,                         ,C                        ,                          ,                       ,                       ,                       ,                 ,                    ,                             ,                     ,from 162SR.Ch2.Table4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Pliocene    ,                  ,Gg. bulloides ,162, 981,A, 16,H, 4,  19.00,    144.1900,Flower   ,Planktonic Foraminifers                      ,A              ,G                 ,C                                    ,                                      ,                    ,                             ,                   ,                       ,A                    ,C                ,R                      ,                        ,                                    ,                           ,                                       ,T                        ,C                        ,                          ,                       ,                       ,                       ,                 ,                    ,                             ,                     ,from 162SR.Ch2.Table4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Pliocene    ,                  ,N. atlantica  ,162, 981,A, 16,H, 5,  19.00,    145.6900,Flower   ,Planktonic Foraminifers                      ,A              ,G                 ,F                                    ,C                                     ,R                   ,                             ,                   ,                       ,A                    ,F                ,                       ,                        ,                                    ,                           ,                                       ,                         ,R                        ,                          ,                       ,                       ,                       ,                 ,                    ,                             ,                     ,from 162SR.Ch2.Table4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Pliocene    ,                  ,N. atlantica  ,162, 981,A, 16,H, 6,  19.00,    147.1900,Flower   ,Planktonic Foraminifers                      ,A              ,G                 ,C                                    ,                                      ,                    ,                             ,                   ,                       ,C                    ,R                ,                       ,                        ,D                                   ,                           ,                                       ,                         ,                         ,                          ,                       ,                       ,                       ,                 ,                    ,                             ,                     ,from 162SR.Ch2.Table4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Pliocene    ,                  ,N. atlantica  ,162, 981,A, 16,H, 7,  19.00,    148.6900,Flower   ,Planktonic Foraminifers                      ,A              ,G                 ,F                                    ,A                                     ,R                   ,                             ,                   ,                       ,A                    ,R                ,                       ,                        ,                                    ,                           ,                                       ,R                        ,C                        ,                          ,                       ,                       ,                       ,                 ,                    ,                             ,                     ,from 162SR.Ch2.Table4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Pliocene    ,                  ,N. atlantica  ,162, 981,A, 16,H,CC,  20.00,    149.4200,Flower   ,Planktonic Foraminifers                      ,A              ,G                 ,                                     ,C                                     ,F                   ,                             ,                   ,                       ,F                    ,F                ,R                      ,                        ,                                    ,                           ,                                       ,R                        ,                         ,R                         ,                       ,                       ,                       ,                 ,                    ,                             ,                     ,from 162SR.Ch2.Table4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Pliocene    ,                  ,N. atlantica  ,162, 981,A, 17,H,CC,  21.00,    158.8100,Flower   ,Planktonic Foraminifers                      ,A              ,M                 ,                                     ,A                                     ,R                   ,                             ,                   ,                       ,C                    ,F                ,R                      ,                        ,                                    ,                           ,                                       ,                         ,                         ,                          ,                       ,                       ,                       ,                 ,                    ,                             ,                     ,from 162SR.Ch2.Table4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Pliocene    ,                  ,N. atlantica  ,162, 981,A, 18,H,CC,  28.00,    168.4200,Flower   ,Planktonic Foraminifers                      ,A              ,G                 ,                                     ,A                                     ,                    ,                             ,                   ,                       ,F                    ,F                ,F                      ,                        ,                                    ,                           ,                                       ,                         ,                         ,T                         ,                       ,                       ,                       ,                 ,                    ,                             ,                     ,from 162SR.Ch2.Table4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Pliocene    ,                  ,N. atlantica  ,162, 981,A, 19,H,CC,  25.00,    177.8600,Flower   ,Planktonic Foraminifers                      ,A              ,G                 ,                                     ,                                      ,F                   ,                             ,                   ,                       ,F                    ,F                ,F                      ,                        ,                                    ,                           ,                                       ,R                        ,R                        ,R                         ,                       ,                       ,                       ,                 ,                    ,                             ,                     ,from 162SR.Ch2.Table4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Pliocene    ,                  ,N. atlantica  ,162, 981,A, 20,H,CC,  15.00,    187.2900,Flower   ,Planktonic Foraminifers                      ,A              ,G                 ,                                     ,A                                     ,                    ,                             ,                   ,                       ,C                    ,C                ,R                      ,                        ,                                    ,                           ,                                       ,F                        ,                         ,T                         ,                       ,                       ,                       ,                 ,                    ,                             ,                     ,from 162SR.Ch2.Table4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Pliocene    ,                  ,N. atlantica  ,162, 981,A, 21,H,CC,  17.00,    196.7100,Flower   ,Planktonic Foraminifers                      ,A              ,G                 ,                                     ,F                                     ,F                   ,                             ,                   ,                       ,C                    ,F                ,F                      ,                        ,                                    ,                           ,                                       ,A                        ,                         ,T                         ,                       ,                       ,                       ,                 ,                    ,                             ,                     ,from 162SR.Ch2.Table4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Pliocene    ,                  ,N. atlantica  ,162, 981,A, 22,H,CC,  14.00,    206.3000,Flower   ,Planktonic Foraminifers                      ,A              ,G                 ,                                     ,C                                     ,F                   ,                             ,                   ,                       ,C                    ,F                ,                       ,                        ,                                    ,                           ,                                       ,C                        ,                         ,T                         ,                       ,                       ,                       ,T                ,                    ,                             ,                     ,from 162SR.Ch2.Table4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Pliocene    ,                  ,N. atlantica  ,162, 981,A, 23,H, 1,  30.00,    206.3000,Flower   ,Planktonic Foraminifers                      ,C              ,M                 ,                                     ,F                                     ,                    ,                             ,                   ,                       ,A                    ,C                ,                       ,                        ,                                    ,                           ,F                                      ,C                        ,F                        ,                          ,                       ,R                      ,                       ,                 ,                    ,                             ,                     ,from 162SR.Ch2.Table4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Pliocene   ,                  ,Gr. puncticulata,162, 981,A, 23,H, 2,  30.00,    207.8000,Flower   ,Planktonic Foraminifers                      ,A              ,G                 ,                                     ,                                      ,T                   ,T                            ,                   ,                       ,C                    ,R                ,                       ,                        ,                                    ,                           ,                                       ,C                        ,                         ,T                         ,                       ,T                      ,                       ,                 ,                    ,                             ,                     ,from 162SR.Ch2.Table4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Pliocene   ,                  ,Gr. puncticulata,162, 981,A, 23,H,CC,   9.00,    215.6300,Flower   ,Planktonic Foraminifers                      ,A              ,G                 ,                                     ,R                                     ,F                   ,R                            ,                   ,                       ,A                    ,F                ,F                      ,                        ,                                    ,                           ,                                       ,R                        ,                         ,                          ,                       ,R                      ,T                      ,                 ,                    ,                             ,                     ,from 162SR.Ch2.Table4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Pliocene   ,                  ,Gr. puncticulata,162, 981,A, 24,H,CC,   8.00,    225.1100,Flower   ,Planktonic Foraminifers                      ,A              ,G                 ,                                     ,F                                     ,T                   ,T                            ,                   ,                       ,C/A                  ,T/R              ,R                      ,                        ,                                    ,                           ,                                       ,                         ,                         ,                          ,                       ,                       ,                       ,                 ,                    ,                             ,                     ,from 162SR.Ch2.Table4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Pliocene   ,                  ,Gr. puncticulata,162, 981,A, 25,H,CC,   7.00,    234.8000,Flower   ,Planktonic Foraminifers                      ,A              ,G                 ,                                     ,F/C                                   ,F                   ,R                            ,                   ,                       ,A                    ,F                ,                       ,                        ,                                    ,                           ,                                       ,                         ,                         ,R                         ,                       ,                       ,                       ,                 ,                    ,                             ,                     ,from 162SR.Ch2.Table4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Pliocene   ,                  ,Gr. puncticulata,162, 981,A, 26,H,CC,  15.00,    244.1900,Flower   ,Planktonic Foraminifers                      ,A              ,G                 ,R                                    ,R                                     ,T                   ,T                            ,                   ,                       ,C                    ,                 ,T                      ,                        ,                                    ,                           ,                                       ,R                        ,R                        ,                          ,                       ,                       ,                       ,                 ,                    ,                             ,                     ,from 162SR.Ch2.Table4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Pliocene   ,                  ,Gr. puncticulata,162, 981,A, 27,H,CC,  23.00,    253.8000,Flower   ,Planktonic Foraminifers                      ,A              ,G                 ,R                                    ,F                                     ,R                   ,T/R                          ,                   ,                       ,C                    ,R                ,R                      ,                        ,                                    ,                           ,                                       ,A                        ,                         ,                          ,T                      ,                       ,                       ,                 ,                    ,                             ,                     ,from 162SR.Ch2.Table4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Pliocene   ,                  ,Gr. puncticulata,162, 981,A, 28,H,CC,   8.00,    263.1200,Flower   ,Planktonic Foraminifers                      ,A              ,G                 ,R                                    ,R                                     ,T/R                 ,R                            ,                   ,                       ,C                    ,T/R              ,R                      ,                        ,                                    ,                           ,                                       ,                         ,                         ,                          ,F/C                    ,                       ,                       ,                 ,                    ,                             ,                     ,from 162SR.Ch2.Table4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Pliocene   ,                  ,Gr. puncticulata,162, 981,A, 29,H,CC,  19.00,    272.8100,Flower   ,Planktonic Foraminifers                      ,A              ,G                 ,R                                    ,C                                     ,T/R                 ,T/R                          ,                   ,T/R                    ,C                    ,                 ,T                      ,                        ,                                    ,                           ,                                       ,F                        ,                         ,                          ,                       ,                       ,                       ,                 ,                    ,                             ,                     ,from 162SR.Ch2.Table4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Pliocene   ,                  ,Gr. puncticulata,162, 981,A, 30,H, 2,  80.00,    274.8000,Flower   ,Planktonic Foraminifers                      ,A              ,G                 ,F                                    ,A                                     ,                    ,                             ,                   ,                       ,                     ,F                ,                       ,                        ,                                    ,                           ,R                                      ,C                        ,F                        ,A                         ,                       ,                       ,                       ,                 ,                    ,                             ,                     ,from 162SR.Ch2.Table4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Pliocene   ,                  ,Gr. puncticulata,162, 981,A, 30,H, 3,  70.00,    276.2000,Flower   ,Planktonic Foraminifers                      ,A              ,G                 ,F                                    ,                                      ,F                   ,                             ,                   ,                       ,C                    ,F                ,                       ,                        ,                                    ,                           ,                                       ,A                        ,                         ,                          ,                       ,                       ,                       ,                 ,                    ,                             ,                     ,from 162SR.Ch2.Table4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Pliocene   ,                  ,Gr. puncticulata,162, 981,A, 30,H, 4,  70.00,    277.7000,Flower   ,Planktonic Foraminifers                      ,A              ,G                 ,F                                    ,C                                     ,R                   ,                             ,                   ,                       ,C                    ,F                ,                       ,                        ,                                    ,                           ,R                                      ,A                        ,                         ,                          ,                       ,                       ,                       ,                 ,                    ,                             ,                     ,from 162SR.Ch2.Table4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Pliocene   ,                  ,Gr. margaritae,162, 981,A, 30,H, 5,  70.00,    279.2000,Flower   ,Planktonic Foraminifers                      ,A              ,G                 ,F                                    ,A                                     ,                    ,                             ,                   ,                       ,A                    ,C                ,                       ,                        ,                                    ,                           ,                                       ,                         ,                         ,                          ,                       ,                       ,                       ,                 ,                    ,                             ,                     ,from 162SR.Ch2.Table4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Pliocene   ,                  ,Gr. margaritae,162, 981,A, 30,H, 6,  70.00,    280.7000,Flower   ,Planktonic Foraminifers                      ,C              ,M                 ,                                     ,A                                     ,T                   ,R                            ,                   ,                       ,A                    ,C                ,                       ,                        ,                                    ,                           ,                                       ,                         ,                         ,                          ,                       ,                       ,                       ,                 ,                    ,                             ,                     ,from 162SR.Ch2.Table4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Pliocene   ,                  ,Gr. margaritae,162, 981,A, 30,H,CC,  11.00,    282.3100,Flower   ,Planktonic Foraminifers                      ,A              ,M/G               ,R/F                                  ,F                                     ,T                   ,T                            ,                   ,R                      ,C                    ,F                ,                       ,                        ,                                    ,T                          ,                                       ,                         ,                         ,                          ,                       ,                       ,                       ,                 ,                    ,                             ,                     ,from 162SR.Ch2.Table4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Pliocene   ,                  ,Gr. margaritae,162, 981,A, 31,H,CC,  20.00,    291.8400,Flower   ,Planktonic Foraminifers                      ,A              ,M/G               ,R                                    ,C/A                                   ,R                   ,R                            ,                   ,F                      ,F                    ,                 ,T                      ,R                       ,F                                   ,                           ,                                       ,                         ,                         ,                          ,                       ,                       ,                       ,                 ,                    ,                             ,                     ,from 162SR.Ch2.Table4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
