Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Umbilicosphaera sibogae	Thoracosphaera sp.	Syracosphaera pulchra	Scapholithus fossilis	Rhabdosphaera clavigera	Reticulofenestra minutula	Pseudoemiliania lacunosa	Oolithotus antillarum	Helicosphaera wallichii	Helicosphaera carteri	Gephyrocapsa spp. (small)	Gephyrocapsa oceanica s.l.	Gephyrocapsa oceanica (>5 microns)	Gephyrocapsa margerelii	Dictyococcites productellus	Cyclolithella annula	Ceratolithus cristatus	Calcidiscus leptoporus	Syracosphaera nodosa	Syracosphaera lamina	Reticulofenestra minuta	Discolithina japonica	Discolithina discopora	Gephyrocapsa caribbeanica	Discosphaera tubifera	Ceratolithus telesmus	Umbellosphaera irregularis	Coccolithus pelagicus	Helicosphaera inversa	Emiliania huxleyi	Umbellosphaera tenuis	Helicosphaera hyalina	Comment
  SR	Pleistocene      	                 	NN21              	              	124	 769	A	  3	H	 3	  75.00	     21.6500	Shyu     	Nannofossils                                 	               	                  	F                      	VR                	F                    	F                    	F                      	                         	                        	F                    	                       	F                    	C                        	A                         	                                  	                       	F                          	R                   	                      	F                     	                    	F                   	VR                     	                     	                      	                         	VR                   	                     	R                         	                     	F                    	R                	                     	                     	from ODP Leg 124 SR Chapter 10 Table 6 p 145

  SR	Pleistocene      	                 	NN20              	              	124	 769	A	  3	H	 4	  75.00	     23.1500	Shyu     	Nannofossils                                 	               	                  	F                      	VR                	R                    	F                    	F                      	                         	                        	R                    	R                      	F                    	A                        	C                         	                                  	R                      	F                          	F                   	                      	F                     	                    	VR                  	                       	                     	                      	VR                       	                     	                     	F                         	VR                   	R                    	                 	                     	                     	from ODP Leg 124 SR Chapter 10 Table 6 p 145

  SR	Pleistocene      	                 	NN20              	              	124	 769	A	  3	H	 5	  75.00	     24.6500	Shyu     	Nannofossils                                 	               	                  	F                      	R                 	F                    	F                    	R                      	                         	                        	R                    	F                      	F                    	A                        	A                         	                                  	F                      	C                          	R                   	VR                    	F                     	R                   	R                   	                       	R                    	R                     	                         	VR                   	VR                   	R                         	                     	VR                   	                 	                     	                     	from ODP Leg 124 SR Chapter 10 Table 6 p 145

  SR	Pleistocene      	                 	NN20              	              	124	 769	A	  3	H	CC	  17.00	     27.8500	Shyu     	Nannofossils                                 	               	                  	F                      	R                 	R                    	R                    	                       	                         	                        	F                    	                       	F                    	A                        	A                         	                                  	F                      	C                          	                    	                      	F                     	                    	R                   	                       	                     	                      	R                        	                     	                     	VR                        	                     	                     	                 	                     	                     	from ODP Leg 124 SR Chapter 10 Table 6 p 145

  SR	Pleistocene      	                 	NN20              	              	124	 769	A	  4	H	CC	  16.00	     37.0400	Shyu     	Nannofossils                                 	               	                  	C                      	R                 	F                    	F                    	R                      	                         	                        	F                    	                       	F                    	A                        	A                         	                                  	C                      	C                          	                    	                      	F                     	VR                  	R                   	                       	                     	R                     	R                        	VR                   	                     	VR                        	R                    	                     	                 	                     	                     	from ODP Leg 124 SR Chapter 10 Table 6 p 145

  SR	Pleistocene      	                 	NN19              	              	124	 769	A	  5	H	 1	  75.00	     37.6500	Shyu     	Nannofossils                                 	               	                  	C                      	R                 	F                    	F                    	F                      	                         	R                       	F                    	VR                     	F                    	A                        	A                         	                                  	F                      	C                          	                    	                      	F                     	                    	R                   	                       	                     	R                     	R                        	                     	                     	VR                        	                     	                     	                 	                     	                     	from ODP Leg 124 SR Chapter 10 Table 6 p 145

  SR	Pleistocene      	                 	NN19              	              	124	 769	A	  5	H	 3	  75.00	     40.6500	Shyu     	Nannofossils                                 	               	                  	R                      	VR                	VR                   	                     	                       	                         	R                       	R                    	VR                     	F                    	C                        	A                         	R                                 	F                      	C                          	                    	VR                    	C                     	                    	                    	                       	                     	                      	                         	                     	                     	                          	                     	                     	                 	                     	                     	from ODP Leg 124 SR Chapter 10 Table 6 p 145

  SR	Pleistocene      	                 	NN19              	              	124	 769	A	  5	H	 5	  75.00	     43.6500	Shyu     	Nannofossils                                 	               	                  	F                      	VR                	R                    	                     	                       	                         	R                       	R                    	R                      	F                    	C                        	C                         	F                                 	F                      	C                          	                    	VR                    	C                     	                    	                    	                       	                     	                      	                         	                     	VR                   	                          	                     	                     	                 	                     	                     	from ODP Leg 124 SR Chapter 10 Table 6 p 145

  SR	Pleistocene      	                 	NN19              	              	124	 769	A	  5	H	CC	  37.00	     47.1100	Shyu     	Nannofossils                                 	               	                  	F                      	VR                	R                    	F                    	VR                     	                         	R                       	F                    	                       	F                    	C                        	A                         	R                                 	F                      	C                          	                    	                      	F                     	R                   	R                   	                       	                     	                      	VR                       	R                    	                     	                          	                     	                     	                 	                     	                     	from ODP Leg 124 SR Chapter 10 Table 6 p 145

  SR	Pleistocene      	                 	NN19              	              	124	 769	A	  6	H	CC	  27.00	     56.4100	Shyu     	Nannofossils                                 	               	                  	F                      	R                 	F                    	F                    	VR                     	VR                       	VR                      	F                    	VR                     	F                    	A                        	A                         	F                                 	F                      	C                          	                    	                      	C                     	VR                  	VR                  	R                      	R                    	R                     	                         	                     	                     	                          	                     	                     	                 	                     	                     	from ODP Leg 124 SR Chapter 10 Table 6 p 145

  SR	Pleistocene      	                 	NN19              	              	124	 769	A	  7	H	CC	  29.00	     65.9600	Shyu     	Nannofossils                                 	               	                  	F                      	R                 	F                    	F                    	R                      	VR                       	VR                      	F                    	VR                     	F                    	C                        	A                         	R                                 	F                      	C                          	VR                  	VR                    	F                     	                    	                    	                       	                     	                      	                         	                     	                     	                          	                     	                     	                 	                     	                     	from ODP Leg 124 SR Chapter 10 Table 6 p 145

