Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Stichocorys peregrina,Stichocorys delmontensis,Lychnodictyum audax,Lithopera bacca,Didymocyrtis penultima,Didymocyrtis antepenultima,Diartus hughesi,Dendrospyris bursa,Acrobotrys tritubus,Solenosphaera omnitubus,Phormostichoartus fistula,Siphostichartus corona,Phormostichoartus doliolum,Anthocyrtidium pliocenica,Spongaster berminghami,Didymocyrtis avita,Anthocyrtidium jenghisi,Stylatractus universus,Pterocanium prismatium,Didymocyrtis tetrathalamus,Anthocyrtidium michelinae,Amphirhopalum ypsilon,Theocorythium trachelium,Anthocyrtidium angulare,Lamprocyrtis neoheteroporos,Spongaster tetras,Pterocorys hertwigii,Pterocorys campanula,Lamprocyrtis nigriniae,Anthocyrtidium euryclathrum,Collosphaera tuberosa,Buccinosphaera invaginata,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. angulare RN13  ,              ,115, 709,A,  2,H, 4,  75.00,     15.3500,Johnson  ,Radiolarians                                 ,C              ,G                 ,                     ,                        ,                   ,R              ,                      ,                          ,               ,                  ,                   ,                       ,                         ,                      ,                          ,                         ,                      ,                  ,-                      ,R                     ,-                     ,C                         ,-                        ,F                    ,F                       ,R                      ,R                          ,F                ,-                   ,R                   ,                      ,                           ,                     ,                         ,from 115 SR. Chapter 22. Table 3. page 397.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. angulare RN13  ,              ,115, 709,A,  2,H,CC,  10.00,     18.8000,Johnson  ,Radiolarians                                 ,C              ,G                 ,                     ,                        ,                   ,               ,                      ,                          ,               ,                  ,                   ,                       ,                         ,                      ,                          ,                         ,                      ,                  ,-                      ,C                     ,-                     ,F                         ,R                        ,R                    ,F                       ,R                      ,F                          ,F                ,                    ,                    ,                      ,                           ,                     ,                         ,from 115 SR. Chapter 22. Table 3. page 397.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,RN12              ,              ,115, 709,A,  3,H, 2,  65.00,     21.8500,Johnson  ,Radiolarians                                 ,C              ,G                 ,-                    ,                        ,                   ,F              ,                      ,                          ,               ,                  ,                   ,                       ,                         ,                      ,                          ,                         ,                      ,                  ,-                      ,C                     ,R                     ,R                         ,R                        ,F                    ,F                       ,-                      ,F                          ,F                ,                    ,                    ,                      ,                           ,                     ,                         ,from 115 SR. Chapter 22. Table 3. page 397.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,RN12              ,              ,115, 709,A,  3,H, 4,  65.00,     24.8500,Johnson  ,Radiolarians                                 ,C              ,G                 ,-                    ,                        ,                   ,F              ,                      ,                          ,               ,                  ,                   ,                       ,                         ,                      ,                          ,-                        ,                      ,                  ,R                      ,F                     ,R                     ,C                         ,R                        ,C                    ,-                       ,-                      ,R                          ,                 ,                    ,                    ,                      ,                           ,                     ,                         ,from 115 SR. Chapter 22. Table 3. page 397.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,RN12              ,              ,115, 709,A,  3,H, 6,  65.00,     27.8500,Johnson  ,Radiolarians                                 ,C              ,G                 ,-                    ,                        ,-                  ,               ,                      ,                          ,               ,                  ,                   ,                       ,-                        ,                      ,-                         ,-                        ,                      ,                  ,C                      ,                      ,F                     ,F                         ,R                        ,C                    ,-                       ,-                      ,                           ,                 ,                    ,                    ,                      ,                           ,                     ,                         ,from 115 SR. Chapter 22. Table 3. page 397.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,S. pentas         ,              ,115, 709,A,  3,H,CC,  16.00,     29.4000,Johnson  ,Radiolarians                                 ,C              ,G                 ,F                    ,                        ,-                  ,               ,                      ,                          ,               ,                  ,                   ,                       ,-                        ,                      ,-                         ,-                        ,                      ,                  ,F                      ,F                     ,F                     ,F                         ,R                        ,VR                   ,-                       ,                       ,                           ,                 ,                    ,                    ,                      ,                           ,                     ,                         ,from 115 SR. Chapter 22. Table 3. page 397.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,S. pentas         ,              ,115, 709,A,  4,H, 2,  70.00,     31.6000,Johnson  ,Radiolarians                                 ,F              ,P                 ,F                    ,                        ,-                  ,               ,                      ,                          ,               ,                  ,                   ,                       ,-                        ,                      ,-                         ,VR                       ,                      ,                  ,R                      ,                      ,                      ,R                         ,R                        ,R                    ,-                       ,                       ,                           ,                 ,                    ,                    ,                      ,                           ,                     ,                         ,from 115 SR. Chapter 22. Table 3. page 397.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,S. pentas         ,              ,115, 709,A,  4,H,CC,   7.00,     36.0000,Johnson  ,Radiolarians                                 ,F              ,P                 ,F                    ,                        ,F                  ,R              ,                      ,                          ,               ,                  ,                   ,-                      ,R                        ,                      ,-                         ,VR                       ,                      ,                  ,R                      ,F                     ,                      ,                          ,R                        ,R                    ,-                       ,                       ,                           ,                 ,                    ,                    ,                      ,                           ,                     ,                         ,from 115 SR. Chapter 22. Table 3. page 397.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,S. pentas         ,              ,115, 709,A,  6,H, 2,  65.00,     50.8500,Johnson  ,Radiolarians                                 ,F              ,M                 ,F                    ,-                       ,R                  ,               ,                      ,                          ,               ,                  ,                   ,-                      ,R                        ,                      ,F                         ,R                        ,                      ,R                 ,R                      ,                      ,                      ,                          ,R                        ,-                    ,                        ,                       ,                           ,                 ,                    ,                    ,                      ,                           ,                     ,                         ,from 115 SR. Chapter 22. Table 3. page 397.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,S. pentas         ,              ,115, 709,A,  6,H, 4,  65.00,     53.8500,Johnson  ,Radiolarians                                 ,F              ,M                 ,F                    ,-                       ,R                  ,               ,-                     ,                          ,               ,                  ,                   ,-                      ,R                        ,-                     ,F                         ,R                        ,                      ,                  ,R                      ,                      ,                      ,                          ,R                        ,-                    ,                        ,                       ,                           ,                 ,                    ,                    ,                      ,                           ,                     ,                         ,from 115 SR. Chapter 22. Table 3. page 397.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,S. pentas         ,              ,115, 709,A,  6,H,CC,   7.00,     58.4000,Johnson  ,Radiolarians                                 ,C              ,G                 ,C                    ,-                       ,F                  ,               ,-                     ,                          ,               ,                  ,                   ,-                      ,F                        ,-                     ,C                         ,R                        ,                      ,F                 ,R                      ,                      ,R                     ,                          ,R                        ,-                    ,                        ,                       ,                           ,                 ,                    ,                    ,                      ,                           ,                     ,                         ,from 115 SR. Chapter 22. Table 3. page 397.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,S. pentas         ,              ,115, 709,A,  7,H, 4,  65.00,     63.4500,Johnson  ,Radiolarians                                 ,C              ,G                 ,C                    ,VR                      ,R                  ,               ,VR                    ,                          ,               ,                  ,                   ,-                      ,R                        ,-                     ,C                         ,R                        ,                      ,F                 ,F                      ,                      ,R                     ,F                         ,F                        ,                     ,                        ,                       ,                           ,                 ,                    ,                    ,                      ,                           ,                     ,                         ,from 115 SR. Chapter 22. Table 3. page 397.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,S. peregrina(SWSR85),              ,115, 709,A,  7,H, 6,  65.00,     66.4500,Johnson  ,Radiolarians                                 ,C              ,G                 ,C                    ,VR                      ,C                  ,F              ,R                     ,                          ,               ,                  ,-                  ,R                      ,F                        ,R                     ,F                         ,R                        ,R                     ,F                 ,R                      ,                      ,                      ,                          ,                         ,                     ,                        ,                       ,                           ,                 ,                    ,                    ,                      ,                           ,                     ,                         ,from 115 SR. Chapter 22. Table 3. page 397.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,S. peregrina(SWSR85),              ,115, 709,A,  7,H,CC,  21.00,     68.2400,Johnson  ,Radiolarians                                 ,C              ,G                 ,C                    ,R                       ,F                  ,C              ,F                     ,                          ,               ,                  ,R                  ,R                      ,F                        ,R                     ,C                         ,R                        ,                      ,                  ,R                      ,F                     ,                      ,                          ,                         ,                     ,                        ,                       ,                           ,                 ,                    ,                    ,                      ,                           ,                     ,                         ,from 115 SR. Chapter 22. Table 3. page 397.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,S. peregrina(SWSR85),              ,115, 709,A,  8,H, 4,  65.00,     73.1500,Johnson  ,Radiolarians                                 ,C              ,G                 ,C                    ,R                       ,C                  ,F              ,                      ,                          ,               ,                  ,F                  ,R                      ,R                        ,R                     ,F                         ,C                        ,                      ,                  ,F                      ,                      ,                      ,                          ,                         ,                     ,                        ,                       ,                           ,                 ,                    ,                    ,                      ,                           ,                     ,                         ,from 115 SR. Chapter 22. Table 3. page 397.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,S. peregrina(SWSR85),              ,115, 709,A,  8,H,CC,   7.00,     77.6300,Johnson  ,Radiolarians                                 ,C              ,G                 ,C                    ,R                       ,R                  ,C              ,F                     ,                          ,               ,                  ,R                  ,R                      ,R                        ,R                     ,R                         ,F                        ,                      ,                  ,                       ,                      ,                      ,                          ,                         ,                     ,                        ,                       ,                           ,                 ,                    ,                    ,                      ,                           ,                     ,                         ,from 115 SR. Chapter 22. Table 3. page 397.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,S. peregrina(SWSR85),              ,115, 709,A,  9,H, 4,  65.00,     82.7500,Johnson  ,Radiolarians                                 ,C              ,G                 ,C                    ,R                       ,C                  ,C              ,F                     ,                          ,               ,-                 ,R                  ,F                      ,R                        ,R                     ,C                         ,R                        ,R                     ,F                 ,                       ,                      ,                      ,                          ,                         ,                     ,                        ,                       ,                           ,                 ,                    ,                    ,                      ,                           ,                     ,                         ,from 115 SR. Chapter 22. Table 3. page 397.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,S. peregrina(SWSR85),              ,115, 709,A,  9,H,CC,   8.00,     86.7900,Johnson  ,Radiolarians                                 ,C              ,G                 ,C                    ,R                       ,F                  ,               ,F                     ,                          ,               ,-                 ,R                  ,                       ,R                        ,F                     ,F                         ,                         ,                      ,                  ,                       ,                      ,                      ,                          ,                         ,                     ,                        ,                       ,                           ,                 ,                    ,                    ,                      ,                           ,                     ,                         ,from 115 SR. Chapter 22. Table 3. page 397.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,S. peregrina(SWSR85),              ,115, 709,A, 10,H, 2,  65.00,     89.4500,Johnson  ,Radiolarians                                 ,C              ,G                 ,C                    ,F                       ,F                  ,F              ,F                     ,                          ,               ,-                 ,VR                 ,F                      ,                         ,R                     ,F                         ,F                        ,                      ,                  ,                       ,                      ,                      ,                          ,                         ,                     ,                        ,                       ,                           ,                 ,                    ,                    ,                      ,                           ,                     ,                         ,from 115 SR. Chapter 22. Table 3. page 397.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,D. penultima (RN8),              ,115, 709,A, 10,H, 4,  65.00,     92.4500,Johnson  ,Radiolarians                                 ,C              ,M                 ,R                    ,F                       ,F                  ,F              ,F                     ,                          ,-              ,R                 ,VR                 ,R                      ,R                        ,                      ,R                         ,                         ,                      ,                  ,                       ,                      ,                      ,                          ,                         ,                     ,                        ,                       ,                           ,                 ,                    ,                    ,                      ,                           ,                     ,                         ,from 115 SR. Chapter 22. Table 3. page 397.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,D. penultima (RN8),              ,115, 709,A, 10,H,CC,  16.00,     97.3000,Johnson  ,Radiolarians                                 ,C              ,G                 ,R                    ,C                       ,                   ,               ,C                     ,                          ,-              ,F                 ,R                  ,-                      ,                         ,F                     ,                          ,                         ,                      ,                  ,                       ,                      ,                      ,                          ,                         ,                     ,                        ,                       ,                           ,                 ,                    ,                    ,                      ,                           ,                     ,                         ,from 115 SR. Chapter 22. Table 3. page 397.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,D. penultima (RN8),              ,115, 709,A, 11,H, 4,  65.00,    102.0500,Johnson  ,Radiolarians                                 ,F              ,M                 ,R                    ,F                       ,F                  ,               ,R                     ,-                         ,R              ,R                 ,VR                 ,-                      ,F                        ,                      ,                          ,                         ,                      ,                  ,                       ,                      ,                      ,                          ,                         ,                     ,                        ,                       ,                           ,                 ,                    ,                    ,                      ,                           ,                     ,                         ,from 115 SR. Chapter 22. Table 3. page 397.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,D. penultima (RN8),              ,115, 709,A, 11,H,CC,   6.00,    106.4300,Johnson  ,Radiolarians                                 ,C              ,M                 ,R                    ,F                       ,F                  ,R              ,R                     ,-                         ,-              ,R                 ,-                  ,                       ,                         ,                      ,                          ,                         ,                      ,                  ,                       ,                      ,                      ,                          ,                         ,                     ,                        ,                       ,                           ,                 ,                    ,                    ,                      ,                           ,                     ,                         ,from 115 SR. Chapter 22. Table 3. page 397.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,D. penultima (RN8),              ,115, 709,A, 12,H, 2,  65.00,    108.7500,Johnson  ,Radiolarians                                 ,R              ,M                 ,R                    ,F                       ,R                  ,R              ,R                     ,-                         ,VR             ,R                 ,-                  ,                       ,                         ,                      ,                          ,                         ,                      ,                  ,                       ,                      ,                      ,                          ,                         ,                     ,                        ,                       ,                           ,                 ,                    ,                    ,                      ,                           ,                     ,                         ,from 115 SR. Chapter 22. Table 3. page 397.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
