Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zeugrhabdotus sisyphus ?,Watznaueria barnesae,Vagalapilla matalosa,Tegumentum octiformis,Rhagodiscus angustus,Prediscosphaera ponticula,Prediscosphaera intercisa,Microrhabdulus decoratus,Glaukolithus diplogrammus,Glaukolithus compactus,Eprolithus floralis,Eiffellithus turriseiffelii,Cretarhabdus angustiforatus,Chiastozygus garrisonii,Biscutum constans,Gartnerago obliquum,Tranolithus phacelosus,Tranolithus manifestus,Stradneria crenulata,Prediscosphaera cretacea,Eprolithus sp. 2,Ahmuellerella octoradiata,Broinsonia enormis,Placozygus fibuliformis,Staurolithites crux,Eprolithus sp. 1,Staurolithus sp.,Lucianorhabdus maleformis,Lucianorhabdus cayeuxii,Lithastrinus moratus,Helicolithus trabeculatus,Eiffellithus eximius,Cretarhabdus conicus,Prediscosphaera spinosa,Prediscosphaera sp.,Kamptnerius magnificus,Eiffellithus gorkae,Corollithion signum,Chiastozygus litterarius,Prediscosphaera cantabrigensis,Rhagodiscus sp.,Chiastozygus sp.,Lithastrinus septenarius,Quadrum gartneri,Micula decussata,Broinsonia furtiva,Reinhardtites anthophorus,Lithastrinus grillii,Lithraphidites carniolensis,Broinsonia parca,Cribrosphaerella ehrenbergii,Tegumentum stradneri,Marthasterites furcatus,Phanulithus obscurus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Santonian        ,                 ,CC16              ,              ,121, 755,A,  5,R,CC,   0.00,     67.9900,Resiwati ,Nannofossils                                 ,C              ,M                 ,                        ,C                   ,                    ,                     ,                    ,                         ,                         ,                        ,R                        ,                      ,                   ,                           ,                           ,                       ,                 ,F                  ,                      ,                      ,                    ,                        ,                ,F                        ,                  ,                       ,                   ,                ,                ,                         ,                       ,                    ,                         ,C                   ,                    ,                       ,                   ,F                     ,                   ,                   ,                        ,                              ,               ,C               ,                        ,                ,C               ,                  ,F                        ,                    ,                           ,C               ,                            ,                    ,R                      ,                    ,from ODP Leg 121 SR Chapter 5 Table 4 p 154-156
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Santonian        ,                 ,CC16              ,              ,121, 755,A,  6,R, 1,  14.00,     72.2400,Resiwati ,Nannofossils                                 ,R              ,P                 ,F                       ,C                   ,                    ,                     ,                    ,                         ,                         ,R                       ,                         ,                      ,                   ,R                          ,                           ,                       ,R                ,F                  ,F                     ,                      ,R                   ,                        ,                ,R                        ,                  ,                       ,                   ,                ,R               ,                         ,R                      ,                    ,C                        ,R                   ,                    ,                       ,                   ,R                     ,                   ,                   ,                        ,                              ,               ,                ,                        ,                ,                ,                  ,                         ,                    ,                           ,R               ,                            ,                    ,                       ,                    ,from ODP Leg 121 SR Chapter 5 Table 4 p 154-156
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Santonian        ,                 ,CC16              ,              ,121, 755,A,  6,R, 2, 129.00,     74.8900,Resiwati ,Nannofossils                                 ,F              ,M                 ,                        ,C                   ,                    ,                     ,                    ,                         ,R                        ,R                       ,R                        ,                      ,                   ,F                          ,                           ,                       ,                 ,F                  ,C                     ,                      ,                    ,                        ,                ,                         ,F                 ,                       ,                   ,                ,                ,R                        ,                       ,                    ,C                        ,R                   ,                    ,                       ,R                  ,?                     ,                   ,                   ,?                       ,                              ,               ,                ,                        ,                ,C               ,                  ,F                        ,                    ,                           ,                ,R                           ,?                   ,?                      ,                    ,from ODP Leg 121 SR Chapter 5 Table 4 p 154-156
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Santonian        ,                 ,CC16              ,              ,121, 755,A,  6,R, 3,  46.00,     75.5600,Resiwati ,Nannofossils                                 ,R              ,P                 ,                        ,C                   ,R                   ,                     ,                    ,                         ,R                        ,                        ,                         ,F                     ,                   ,F                          ,                           ,                       ,                 ,                   ,                      ,F                     ,                    ,                        ,                ,                         ,                  ,                       ,                   ,                ,                ,                         ,                       ,                    ,R                        ,R                   ,                    ,                       ,                   ,R                     ,                   ,                   ,                        ,                              ,               ,                ,                        ,F               ,C               ,                  ,?                        ,                    ,                           ,                ,                            ,                    ,                       ,                    ,from ODP Leg 121 SR Chapter 5 Table 4 p 154-156
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Santonian        ,                 ,CC16              ,              ,121, 755,A,  6,R, 4,  15.00,     76.7500,Resiwati ,Nannofossils                                 ,R              ,P                 ,                        ,F                   ,F                   ,                     ,                    ,                         ,F                        ,                        ,                         ,R                     ,                   ,                           ,                           ,                       ,F                ,C                  ,F                     ,                      ,F                   ,                        ,                ,F                        ,R                 ,                       ,                   ,                ,                ,R                        ,                       ,                    ,C                        ,F                   ,                    ,                       ,R                  ,R                     ,                   ,                   ,F                       ,                              ,               ,                ,                        ,                ,F               ,                  ,R                        ,                    ,                           ,                ,R                           ,                    ,                       ,                    ,from ODP Leg 121 SR Chapter 5 Table 4 p 154-156
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Santonian        ,                 ,CC16              ,              ,121, 755,A,  6,R,CC,  19.00,     77.4900,Resiwati ,Nannofossils                                 ,R              ,P                 ,                        ,C                   ,                    ,                     ,                    ,                         ,                         ,                        ,                         ,R                     ,                   ,                           ,                           ,                       ,R                ,R                  ,F                     ,                      ,                    ,                        ,                ,R                        ,R                 ,                       ,                   ,                ,R               ,R                        ,                       ,                    ,C                        ,F                   ,                    ,                       ,                   ,R                     ,                   ,                   ,                        ,                              ,               ,                ,                        ,                ,C               ,                  ,R                        ,                    ,                           ,F               ,                            ,                    ,                       ,                    ,from ODP Leg 121 SR Chapter 5 Table 4 p 154-156
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Santonian        ,                 ,CC16              ,              ,121, 755,A,  7,R, 1,  76.00,     82.5600,Resiwati ,Nannofossils                                 ,R              ,P                 ,                        ,R                   ,                    ,                     ,                    ,                         ,                         ,                        ,                         ,                      ,                   ,                           ,                           ,                       ,                 ,                   ,R                     ,                      ,                    ,                        ,                ,                         ,                  ,                       ,                   ,                ,                ,                         ,                       ,                    ,                         ,                    ,                    ,                       ,                   ,                      ,                   ,                   ,                        ,                              ,               ,                ,                        ,R               ,R               ,                  ,                         ,                    ,                           ,                ,                            ,                    ,                       ,                    ,from ODP Leg 121 SR Chapter 5 Table 4 p 154-156
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Santonian        ,                 ,CC16              ,              ,121, 755,A,  7,R, 2,  37.00,     83.6700,Resiwati ,Nannofossils                                 ,R              ,P                 ,                        ,R                   ,                    ,                     ,                    ,                         ,                         ,                        ,                         ,                      ,                   ,                           ,                           ,                       ,                 ,                   ,R                     ,                      ,                    ,                        ,                ,                         ,                  ,                       ,                   ,                ,                ,                         ,                       ,                    ,                         ,                    ,                    ,                       ,                   ,                      ,                   ,                   ,                        ,                              ,               ,                ,                        ,                ,R               ,                  ,                         ,                    ,                           ,R               ,                            ,                    ,                       ,                    ,from ODP Leg 121 SR Chapter 5 Table 4 p 154-156
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Santonian        ,                 ,CC16              ,              ,121, 755,A,  7,R,CC,   7.00,     84.6700,Resiwati ,Nannofossils                                 ,R              ,P                 ,F                       ,C                   ,                    ,                     ,                    ,                         ,                         ,                        ,                         ,F                     ,                   ,F                          ,                           ,F                      ,                 ,F                  ,C                     ,                      ,R                   ,                        ,                ,                         ,C                 ,                       ,                   ,                ,?               ,R                        ,                       ,                    ,F                        ,?                   ,                    ,                       ,                   ,C                     ,                   ,                   ,F                       ,                              ,               ,                ,                        ,C               ,C               ,R                 ,R                        ,                    ,                           ,F               ,R                           ,                    ,                       ,                    ,from ODP Leg 121 SR Chapter 5 Table 4 p 154-156
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Santonian        ,                 ,CC15              ,              ,121, 755,A,  8,R, 1,  11.00,     91.6100,Resiwati ,Nannofossils                                 ,R              ,P                 ,                        ,C                   ,F                   ,                     ,                    ,                         ,R                        ,                        ,                         ,R                     ,                   ,F                          ,                           ,C                      ,C                ,C                  ,C                     ,                      ,R                   ,                        ,                ,F                        ,R                 ,                       ,                   ,                ,                ,C                        ,                       ,                    ,C                        ,R                   ,                    ,                       ,                   ,C                     ,                   ,                   ,                        ,                              ,               ,                ,                        ,F               ,C               ,C                 ,                         ,                    ,R                          ,C               ,                            ,                    ,                       ,                    ,from ODP Leg 121 SR Chapter 5 Table 4 p 154-156
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Santonian        ,                 ,CC15              ,              ,121, 755,A,  8,R,CC,   0.00,     92.0600,Resiwati ,Nannofossils                                 ,R              ,P                 ,                        ,C                   ,                    ,                     ,                    ,                         ,                         ,R                       ,R                        ,                      ,                   ,R                          ,                           ,R                      ,R                ,R                  ,F                     ,                      ,R                   ,                        ,                ,R                        ,R                 ,                       ,                   ,                ,                ,                         ,                       ,                    ,F                        ,R                   ,                    ,                       ,                   ,                      ,                   ,                   ,                        ,                              ,               ,                ,                        ,R               ,R               ,R                 ,                         ,                    ,R                          ,?               ,                            ,                    ,                       ,                    ,from ODP Leg 121 SR Chapter 5 Table 4 p 154-156
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Santonian        ,                 ,CC15              ,              ,121, 755,A,  9,R, 1,  22.00,    101.4200,Resiwati ,Nannofossils                                 ,R              ,P                 ,                        ,C                   ,                    ,                     ,                    ,                         ,                         ,                        ,                         ,                      ,                   ,?                          ,                           ,                       ,                 ,R                  ,F                     ,                      ,                    ,                        ,                ,                         ,                  ,                       ,                   ,                ,                ,                         ,                       ,                    ,R                        ,                    ,                    ,                       ,                   ,                      ,                   ,                   ,                        ,                              ,               ,                ,                        ,                ,                ,                  ,                         ,                    ,                           ,                ,                            ,                    ,                       ,                    ,from ODP Leg 121 SR Chapter 5 Table 4 p 154-156
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Santonian        ,                 ,CC15              ,              ,121, 755,A,  9,R, 2,  21.00,    102.9100,Resiwati ,Nannofossils                                 ,R              ,P                 ,R                       ,F                   ,                    ,                     ,                    ,                         ,                         ,R                       ,R                        ,                      ,                   ,F                          ,                           ,                       ,R                ,R                  ,F                     ,                      ,                    ,                        ,                ,R                        ,                  ,                       ,                   ,                ,                ,                         ,                       ,R                   ,R                        ,                    ,                    ,                       ,                   ,?                     ,                   ,                   ,                        ,                              ,               ,                ,                        ,                ,F               ,                  ,                         ,R                   ,                           ,                ,                            ,                    ,                       ,                    ,from ODP Leg 121 SR Chapter 5 Table 4 p 154-156
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Santonian        ,                 ,CC15              ,              ,121, 755,A,  9,R,CC,  12.00,    103.9900,Resiwati ,Nannofossils                                 ,F              ,M                 ,                        ,C                   ,                    ,                     ,                    ,                         ,                         ,                        ,                         ,                      ,                   ,C                          ,                           ,R                      ,                 ,F                  ,F                     ,                      ,R                   ,                        ,                ,C                        ,C                 ,                       ,                   ,                ,R               ,                         ,                       ,                    ,                         ,C                   ,                    ,R                      ,                   ,R                     ,                   ,                   ,                        ,                              ,               ,                ,                        ,                ,C               ,                  ,R                        ,                    ,                           ,                ,                            ,                    ,                       ,                    ,from ODP Leg 121 SR Chapter 5 Table 4 p 154-156
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Coniacian        ,                 ,CC15              ,              ,121, 755,A, 10,R, 1,  38.00,    111.2800,Resiwati ,Nannofossils                                 ,R              ,P                 ,                        ,R                   ,                    ,                     ,                    ,                         ,                         ,                        ,R                        ,                      ,                   ,                           ,                           ,                       ,                 ,R                  ,                      ,                      ,                    ,                        ,                ,                         ,                  ,                       ,                   ,                ,                ,                         ,                       ,                    ,                         ,                    ,                    ,                       ,                   ,                      ,                   ,                   ,                        ,                              ,               ,                ,                        ,                ,R               ,                  ,                         ,                    ,                           ,                ,                            ,                    ,                       ,                    ,from ODP Leg 121 SR Chapter 5 Table 4 p 154-156
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Coniacian        ,                 ,CC15              ,              ,121, 755,A, 10,R, 2,  43.00,    112.8300,Resiwati ,Nannofossils                                 ,R              ,M                 ,                        ,C                   ,                    ,                     ,                    ,                         ,                         ,                        ,R                        ,R                     ,                   ,F                          ,                           ,R                      ,                 ,F                  ,C                     ,                      ,R                   ,                        ,                ,R                        ,R                 ,F                      ,                   ,R               ,                ,                         ,                       ,                    ,C                        ,                    ,                    ,R                      ,                   ,F                     ,                   ,                   ,                        ,                              ,               ,                ,                        ,                ,F               ,R                 ,R                        ,                    ,                           ,                ,                            ,                    ,                       ,                    ,from ODP Leg 121 SR Chapter 5 Table 4 p 154-156
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Coniacian        ,                 ,CC14              ,              ,121, 755,A, 10,R,CC,   8.00,    114.1500,Resiwati ,Nannofossils                                 ,R              ,P                 ,                        ,C                   ,                    ,                     ,                    ,                         ,                         ,                        ,                         ,                      ,                   ,                           ,                           ,                       ,                 ,F                  ,F                     ,                      ,                    ,                        ,                ,                         ,                  ,R                      ,                   ,                ,                ,                         ,                       ,                    ,                         ,?                   ,                    ,                       ,                   ,                      ,                   ,                   ,                        ,                              ,               ,                ,                        ,F               ,F               ,F                 ,                         ,                    ,                           ,                ,                            ,                    ,                       ,                    ,from ODP Leg 121 SR Chapter 5 Table 4 p 154-156
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Coniacian        ,                 ,CC14              ,              ,121, 755,A, 11,R, 1,  31.00,    120.8100,Resiwati ,Nannofossils                                 ,R              ,P                 ,                        ,F                   ,                    ,                     ,                    ,                         ,                         ,                        ,                         ,R                     ,                   ,                           ,                           ,                       ,                 ,                   ,R                     ,                      ,                    ,                        ,                ,                         ,                  ,                       ,                   ,                ,                ,                         ,                       ,                    ,                         ,                    ,                    ,                       ,                   ,                      ,                   ,                   ,                        ,                              ,               ,                ,                        ,                ,F               ,                  ,                         ,                    ,                           ,                ,                            ,                    ,                       ,                    ,from ODP Leg 121 SR Chapter 5 Table 4 p 154-156
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Coniacian        ,                 ,CC14              ,              ,121, 755,A, 11,R,CC,  17.00,    121.3500,Resiwati ,Nannofossils                                 ,R              ,P                 ,                        ,C                   ,                    ,                     ,                    ,                         ,                         ,                        ,                         ,F                     ,R                  ,                           ,                           ,                       ,                 ,C                  ,F                     ,                      ,                    ,                        ,                ,                         ,                  ,                       ,                   ,                ,                ,                         ,                       ,                    ,                         ,                    ,                    ,                       ,                   ,?                     ,                   ,                   ,                        ,                              ,               ,                ,                        ,                ,C               ,                  ,                         ,                    ,                           ,                ,                            ,                    ,                       ,                    ,from ODP Leg 121 SR Chapter 5 Table 4 p 154-156
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Coniacian        ,                 ,CC14              ,              ,121, 755,A, 12,R, 1,  63.00,    131.7300,Resiwati ,Nannofossils                                 ,R              ,                  ,                        ,R                   ,                    ,                     ,                    ,                         ,                         ,                        ,                         ,                      ,                   ,                           ,                           ,                       ,R                ,                   ,                      ,                      ,                    ,                        ,                ,                         ,                  ,                       ,                   ,                ,                ,                         ,                       ,                    ,                         ,                    ,                    ,                       ,                   ,                      ,                   ,                   ,                        ,                              ,               ,                ,                        ,                ,                ,                  ,                         ,                    ,                           ,                ,                            ,                    ,                       ,                    ,from ODP Leg 121 SR Chapter 5 Table 4 p 154-156
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Coniacian        ,                 ,CC14              ,              ,121, 755,A, 12,R,CC,   0.00,    132.6000,Resiwati ,Nannofossils                                 ,R              ,P                 ,                        ,F                   ,                    ,                     ,                    ,                         ,                         ,                        ,                         ,                      ,                   ,R                          ,                           ,                       ,                 ,R                  ,R                     ,                      ,                    ,                        ,F               ,R                        ,                  ,                       ,                   ,F               ,                ,                         ,                       ,R                   ,                         ,R                   ,                    ,                       ,                   ,?                     ,                   ,                   ,                        ,                              ,               ,                ,                        ,C               ,R               ,                  ,                         ,                    ,                           ,                ,                            ,                    ,                       ,                    ,from ODP Leg 121 SR Chapter 5 Table 4 p 154-156
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Turonian         ,                 ,                  ,              ,121, 755,A, 13,R, 1,  52.00,    141.3200,Resiwati ,Nannofossils                                 ,R              ,P                 ,                        ,F                   ,                    ,                     ,                    ,                         ,                         ,                        ,                         ,R                     ,                   ,                           ,                           ,                       ,                 ,                   ,F                     ,                      ,                    ,                        ,                ,R                        ,                  ,                       ,                   ,                ,                ,                         ,                       ,                    ,                         ,?                   ,                    ,                       ,                   ,                      ,                   ,                   ,                        ,                              ,               ,                ,                        ,C               ,                ,                  ,                         ,                    ,                           ,                ,                            ,                    ,                       ,                    ,from ODP Leg 121 SR Chapter 5 Table 4 p 154-156
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Turonian         ,                 ,                  ,              ,121, 755,A, 13,R, 2,  52.00,    142.7600,Resiwati ,Nannofossils                                 ,F              ,P                 ,                        ,C                   ,                    ,                     ,                    ,                         ,                         ,                        ,C                        ,                      ,C                  ,                           ,                           ,                       ,                 ,F                  ,?                     ,                      ,                    ,                        ,                ,R                        ,                  ,R                      ,                   ,                ,                ,                         ,                       ,                    ,                         ,                    ,                    ,R                      ,                   ,R                     ,                   ,                   ,                        ,                              ,               ,                ,                        ,C               ,                ,                  ,                         ,                    ,                           ,                ,                            ,                    ,                       ,                    ,from ODP Leg 121 SR Chapter 5 Table 4 p 154-156
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Turonian         ,                 ,                  ,              ,121, 755,A, 13,R, 4,  49.00,    145.5900,Resiwati ,Nannofossils                                 ,R              ,P                 ,                        ,R                   ,                    ,                     ,                    ,                         ,                         ,R                       ,R                        ,R                     ,                   ,R                          ,                           ,R                      ,                 ,                   ,F                     ,                      ,R                   ,                        ,R               ,                         ,                  ,                       ,                   ,R               ,R               ,                         ,                       ,                    ,F                        ,F                   ,                    ,                       ,                   ,R                     ,                   ,                   ,                        ,                              ,               ,                ,                        ,?               ,                ,                  ,                         ,                    ,                           ,                ,                            ,                    ,                       ,                    ,from ODP Leg 121 SR Chapter 5 Table 4 p 154-156
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Turonian         ,                 ,                  ,              ,121, 755,A, 13,R,CC,  16.00,    145.9400,Resiwati ,Nannofossils                                 ,R              ,P                 ,                        ,F                   ,                    ,                     ,                    ,                         ,                         ,                        ,                         ,                      ,                   ,                           ,                           ,                       ,                 ,?                  ,                      ,                      ,                    ,                        ,F               ,                         ,                  ,                       ,                   ,F               ,                ,                         ,                       ,R                   ,                         ,                    ,                    ,                       ,                   ,F                     ,                   ,                   ,                        ,                              ,               ,                ,                        ,                ,                ,                  ,                         ,                    ,                           ,                ,                            ,                    ,                       ,                    ,from ODP Leg 121 SR Chapter 5 Table 4 p 154-156
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Turonian         ,                 ,                  ,              ,121, 755,A, 14,R, 1,  38.00,    150.7800,Resiwati ,Nannofossils                                 ,R              ,P                 ,                        ,C                   ,                    ,                     ,                    ,                         ,                         ,                        ,                         ,R                     ,                   ,                           ,                           ,                       ,R                ,F                  ,C                     ,                      ,                    ,                        ,F               ,                         ,                  ,R                      ,                   ,F               ,                ,                         ,                       ,                    ,                         ,R                   ,                    ,                       ,                   ,R                     ,                   ,                   ,                        ,                              ,               ,                ,                        ,                ,                ,                  ,                         ,                    ,                           ,                ,                            ,                    ,                       ,                    ,from ODP Leg 121 SR Chapter 5 Table 4 p 154-156
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Turonian         ,                 ,                  ,              ,121, 755,A, 14,R, 2,  38.00,    152.2800,Resiwati ,Nannofossils                                 ,R              ,P                 ,                        ,F                   ,                    ,                     ,                    ,                         ,                         ,                        ,R                        ,                      ,                   ,                           ,                           ,                       ,                 ,                   ,F                     ,                      ,                    ,                        ,                ,                         ,                  ,R                      ,                   ,                ,                ,                         ,                       ,F                   ,                         ,                    ,                    ,                       ,                   ,?                     ,                   ,                   ,                        ,                              ,               ,                ,                        ,                ,?               ,                  ,                         ,                    ,                           ,                ,                            ,                    ,                       ,                    ,from ODP Leg 121 SR Chapter 5 Table 4 p 154-156
