Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Paratrochamminoides spp.	Rhabdammina spp.	Reticulophragmium amplectens	Haplophragmoides walteri	Recurvoides spp.	Glomospira charoides	Arenobulimina sp.	Reophax elongatus	Remesella varians	Hyperammina sp. (fragments)	Haplophragmoides sp.	Glomospira irregularis	Gaudryina sp.	Subreophax scalaris	Glomospira gordialis	Ammodiscus cf. pennyi	Karrerulina conformis	Hyperammina subdiscreta	Ammolagena clavata	Ammodiscus sp.	Comment
  SR	Late Eocene      	                 	                  	              	149	 899	B	 14	R	 2	  22.00	    352.3200	Kuhnt    	Benthic Foraminifers                         	               	                  	                        	9               	                            	                        	                	                    	                 	                 	                 	2                          	                    	                      	             	                   	2                   	                     	                     	                       	                  	              	30 indet aggl. fragments. redeposited calcareous foraminifera recorded as xx. from 149 SR. Chapter 8. Table 3. page 205.

  SR	Late Eocene      	                 	                  	              	149	 899	B	 14	R	 2	 100.00	    353.1000	Kuhnt    	Benthic Foraminifers                         	               	                  	6                       	27              	1                           	1                       	2               	2                   	                 	9                	                 	                           	                    	2                     	             	                   	                    	                     	2                    	                       	                  	              	25 indet aggl. fragments. 18 ichthyoliths. from 149 SR. Chapter 8. Table 3. page 205.

  SR	Late Eocene      	                 	                  	              	149	 899	B	 14	R	 3	  21.00	    353.8100	Kuhnt    	Benthic Foraminifers                         	               	                  	1                       	12              	5                           	                        	                	1                   	                 	4                	                 	                           	                    	                      	             	                   	                    	1                    	                     	                       	                  	              	39 indet aggl. fragments. from 149 SR. Chapter 8. Table 3. page 205.

  SR	Late Eocene      	                 	                  	              	149	 899	B	 14	R	 4	  30.00	    355.4000	Kuhnt    	Benthic Foraminifers                         	               	                  	                        	23              	                            	                        	1               	20                  	                 	6                	                 	                           	                    	                      	             	                   	                    	                     	                     	                       	                  	              	21 indet aggl. fragments. 6 ichthyoliths. from 149 SR. Chapter 8. Table 3. page 205.

  SR	Late Eocene      	                 	                  	              	149	 899	B	 14	R	 5	  40.00	    357.0000	Kuhnt    	Benthic Foraminifers                         	               	                  	5                       	78              	3                           	                        	4               	11                  	                 	19               	                 	                           	1                   	1                     	             	                   	                    	                     	                     	                       	                  	              	45 indet aggl. fragments. 11 ichthyoliths. from 149 SR. Chapter 8. Table 3. page 205.

  SR	Late Eocene      	                 	                  	              	149	 899	B	 14	R	 6	   9.00	    358.1900	Kuhnt    	Benthic Foraminifers                         	               	                  	1                       	15              	8                           	                        	                	12                  	                 	24               	                 	                           	                    	2                     	             	1                  	6                   	                     	                     	                       	                  	              	19 indet aggl. fragments. radiolaria recorded as x(?). 9 ichthyoliths. from 149 SR. Chapter 8. Table 3. page 205.

  SR	Late Eocene      	                 	                  	              	149	 899	B	 14	R	CC	   0.00	    358.3600	Kuhnt    	Benthic Foraminifers                         	               	                  	5                       	53              	1                           	1                       	2               	33                  	                 	14               	3                	18                         	2                   	1                     	1            	                   	                    	                     	                     	                       	                  	              	113 indet aggl. fragments. autochthonous calcareous benthic foraminifera recorded as xx. from 149 SR. Chapter 8. Table 3. page 205.

  SR	Late Eocene      	                 	                  	              	149	 899	B	 15	R	 1	  40.00	    360.6000	Kuhnt    	Benthic Foraminifers                         	               	                  	3                       	2               	                            	                        	                	6                   	                 	                 	                 	                           	                    	                      	             	                   	                    	                     	                     	                       	                  	              	10 indet aggl. fragments. 4 ichthyoliths. from 149 SR. Chapter 8. Table 3. page 205.

  SR	Late Eocene      	                 	                  	              	149	 899	B	 15	R	 1	 120.00	    361.4000	Kuhnt    	Benthic Foraminifers                         	               	                  	4                       	9               	                            	                        	                	1                   	                 	                 	                 	                           	                    	                      	             	                   	                    	                     	                     	                       	                  	              	4 indet aggl. fragments. 25 ichthyoliths. from 149 SR. Chapter 8. Table 3. page 205.

  SR	Late Eocene      	                 	                  	              	149	 899	B	 15	R	 2	  40.00	    362.1000	Kuhnt    	Benthic Foraminifers                         	               	                  	                        	3               	                            	                        	                	                    	                 	                 	                 	                           	                    	                      	             	                   	                    	                     	                     	                       	                  	              	14 indet aggl. fragments. 10 ichthyoliths. from 149 SR. Chapter 8. Table 3. page 205.

  SR	Late Eocene      	                 	                  	              	149	 899	B	 15	R	 2	 120.00	    362.9000	Kuhnt    	Benthic Foraminifers                         	               	                  	                        	4               	                            	                        	                	                    	                 	                 	                 	                           	                    	                      	             	                   	                    	                     	                     	                       	                  	              	3 indet aggl. fragments. from 149 SR. Chapter 8. Table 3. page 205.

  SR	Late Eocene      	                 	                  	              	149	 899	B	 15	R	 3	  40.00	    363.6000	Kuhnt    	Benthic Foraminifers                         	               	                  	1                       	3               	                            	                        	1               	4                   	1                	                 	                 	                           	                    	                      	             	                   	                    	                     	                     	                       	                  	              	34 indet aggl. fragments. from 149 SR. Chapter 8. Table 3. page 205.

  SR	Late Eocene      	                 	                  	              	149	 899	B	 15	R	 3	 120.00	    364.4000	Kuhnt    	Benthic Foraminifers                         	               	                  	5                       	17              	18                          	1                       	                	                    	                 	                 	                 	                           	                    	                      	             	                   	                    	                     	                     	                       	                  	              	Haplophragmoides walteri questionable identification. 1 indet aggl. fragments. 8 ichthyoliths. from 149 SR. Chapter 8. Table 3. page 205.

  SR	Late Eocene      	                 	                  	              	149	 899	B	 15	R	 4	  61.00	    365.3100	Kuhnt    	Benthic Foraminifers                         	               	                  	2                       	                	                            	                        	                	                    	                 	                 	                 	                           	                    	                      	             	                   	                    	                     	                     	                       	                  	              	3 indet aggl. fragments. 1 ichthyoliths. from 149 SR. Chapter 8. Table 3. page 205.

