Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Paragloborotalia nympha	Paragloborotalia nana	Paragloborotalia continuosa	Orbulina universa	Orbulina suturalis	Globoturborotalita woodi	Globoturborotalita decoraperta	Globoturborotalita apertura	Globorotalia panda	Globorotalia miotumida	Globorotalia juanai	Globorotalia conoidea	Globoquadrina dehiscens	Globigerinita uvula	Globigerinita glutinata	Globigerinella obesa	Globigerina quinqueloba	Globigerina praebulloides	Globigerina falconensis	Globigerina bulloides	Paragloborotalia mayeri	Globorotalia scitula	Globorotalia peripheroronda	Globigerina eamesi	Globorotalia explicationis	Neogloboquadrina pachyderma (sinistral)	Globorotalia conomiozea	Globorotalia sphericomiozea	Globigerinoides immaturus	Neogloboquadrina humerosa	Globorotalia puncticuloides	Globorotalia challengeri	Neogloboquadrina pachyderma	Globorotalia puncticulata	Globorotalia pliozea	Globorotalia crassaformis	Globorotalia crassaconica	Globorotalia truncatulinoides	Globorotalia triangula	Globorotalia inflata	Globigerinoides ruber	Globigerinita parkerae	Globigerinella aequilateralis	Comment
  IR	                 	                 	                  	SN11          	189	1172	B	 11	H	CC	   0.00	     98.0600	forams   	Planktonic Foraminifers                      	A              	G                 	                       	                     	                           	+                	                  	                        	+                             	                           	                  	                      	                   	                     	                       	+                  	+                      	                    	+                      	                         	+                      	+                    	                       	+                   	                           	                  	                          	+                                      	+                      	+                          	                         	+                        	                           	                        	                           	                         	                    	                         	                         	                             	                      	                    	                     	                      	                             	       

  IR	                 	                 	                  	SN11          	189	1172	B	 12	H	CC	  33.00	    107.9500	forams   	Planktonic Foraminifers                      	C              	G                 	                       	                     	                           	+                	                  	                        	+                             	                           	                  	                      	                   	                     	                       	+                  	+                      	                    	+                      	                         	+                      	+                    	                       	                    	                           	                  	                          	+                                      	+                      	+                          	+                        	                         	                           	                        	                           	                         	                    	                         	                         	                             	                      	                    	                     	                      	                             	       

  IR	                 	                 	                  	SN11          	189	1172	B	 13	H	CC	  69.00	    116.5200	forams   	Planktonic Foraminifers                      	C              	G                 	                       	                     	                           	+                	                  	+                       	                              	                           	                  	                      	                   	                     	                       	+                  	+                      	                    	+                      	                         	                       	+                    	                       	+                   	                           	                  	                          	+                                      	+                      	                           	                         	                         	                           	                        	                           	                         	                    	                         	                         	                             	                      	                    	                     	                      	                             	       

  IR	                 	                 	                  	SN10          	189	1172	B	 14	H	CC	   9.00	    126.4600	forams   	Planktonic Foraminifers                      	C              	G                 	                       	                     	                           	+                	                  	+                       	                              	                           	                  	+                     	                   	+                    	                       	                   	+                      	                    	+                      	                         	+                      	+                    	                       	                    	                           	                  	                          	+                                      	                       	                           	                         	                         	                           	                        	                           	                         	                    	                         	                         	                             	                      	                    	                     	                      	                             	       

  IR	                 	                 	                  	SN10          	189	1172	B	 15	H	CC	  16.00	    136.1100	forams   	Planktonic Foraminifers                      	C              	G                 	                       	                     	                           	+                	                  	+                       	+                             	                           	                  	+                     	                   	+                    	                       	+                  	+                      	                    	+                      	                         	+                      	+                    	                       	                    	                           	                  	                          	+                                      	                       	                           	                         	                         	                           	                        	                           	                         	                    	                         	                         	                             	                      	                    	                     	                      	                             	       

  IR	                 	                 	                  	SN9           	189	1172	B	 16	H	CC	  30.00	    145.8200	forams   	Planktonic Foraminifers                      	A              	VG                	                       	                     	+                          	+                	+                 	+                       	+                             	                           	                  	+                     	                   	+                    	                       	+                  	+                      	                    	+                      	                         	                       	+                    	                       	                    	                           	                  	+                         	                                       	                       	                           	                         	                         	                           	                        	                           	                         	                    	                         	                         	                             	                      	                    	                     	                      	                             	       

  IR	                 	                 	                  	SN9           	189	1172	B	 17	H	CC	   0.00	    154.3000	forams   	Planktonic Foraminifers                      	A              	VG                	                       	                     	+                          	+                	+                 	+                       	+                             	+                          	                  	+                     	                   	+                    	                       	+                  	+                      	                    	+                      	                         	+                      	+                    	                       	                    	                           	                  	+                         	                                       	                       	                           	                         	                         	                           	                        	                           	                         	                    	                         	                         	                             	                      	                    	                     	                      	                             	       

  IR	                 	                 	                  	SN8           	189	1172	B	 18	H	CC	  14.00	    164.1200	forams   	Planktonic Foraminifers                      	A              	G                 	+                      	+                    	+                          	+                	+                 	+                       	+                             	                           	+                 	+                     	                   	+                    	+                      	+                  	+                      	+                   	+                      	+                        	+                      	+                    	                       	                    	                           	+                 	                          	                                       	                       	                           	                         	                         	                           	                        	                           	                         	                    	                         	                         	                             	                      	                    	                     	                      	                             	       

  IR	                 	                 	                  	SN8           	189	1172	B	 19	H	CC	  16.00	    174.0300	forams   	Planktonic Foraminifers                      	A              	G                 	+                      	                     	+                          	+                	+                 	+                       	+                             	+                          	+                 	+                     	                   	+                    	                       	+                  	+                      	+                   	+                      	+                        	+                      	+                    	                       	                    	+                          	                  	                          	                                       	                       	                           	                         	                         	                           	                        	                           	                         	                    	                         	                         	                             	                      	                    	                     	                      	                             	       

  IR	                 	                 	                  	SN7           	189	1172	B	 20	H	CC	   8.00	    183.1000	forams   	Planktonic Foraminifers                      	A              	VG                	+                      	                     	+                          	+                	+                 	+                       	+                             	+                          	+                 	+                     	+                  	+                    	+                      	+                  	+                      	+                   	+                      	+                        	+                      	+                    	+                      	+                   	                           	                  	                          	                                       	                       	                           	                         	                         	                           	                        	                           	                         	                    	                         	                         	                             	                      	                    	                     	                      	                             	       

  IR	                 	                 	                  	SN7           	189	1172	B	 21	H	CC	  14.00	    192.6400	forams   	Planktonic Foraminifers                      	C              	VG                	+                      	+                    	+                          	+                	+                 	+                       	+                             	+                          	+                 	+                     	+                  	+                    	+                      	+                  	+                      	+                   	+                      	+                        	+                      	+                    	                       	                    	                           	                  	                          	                                       	                       	                           	                         	                         	                           	                        	                           	                         	                    	                         	                         	                             	                      	                    	                     	                      	                             	       

