Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thalassiothrix antarctica,Proboscia barboi,Odontella aurita,Denticulopsis dimorpha,Azpeitia nodulifera,Sponge spicules,Pyxilla fragments,Coscinodiscus marginatus,Actinocyclus fryxellae,Denticulopsis hustedtii,Azpeitia tabularis,Silicoflagellate tests,Thalassionema nitzschioides  var. parva,Hemidiscus karstenii,Hemidiscus cuneiformis,Asteromphalus kennettii,Fragilariopsis reinholdii,Actinocyclus ingens var. ovalis,Thalassiosira insigna,Actinoptychus senarius,Thalassiosira complicata,Fragilariopsis weaveri,Fragilariopsis spp.,Dactyliosolen antarcticus,Thalassiosira striata,Thalassiosira oliverana,Thalassiosira inura,Stephanopyxis turris,Chaetoceros spp. (resting spores),Azpeitia cf. nodulifer,Thalassiosira kolbei,Actinocyclus karstenii,Thalassiosira tetraoestrupii var. reimeri,Thalassiosira leptopus,Thalassiosira lentiginosa,Thalassiosira gracilis,Thalassionema nitzschioides,Fragilariopsis kerguelensis,Fragilariopsis barronii,Thalassiosira trifulta,Thalassiosira fasciculata,Thalassiosira elliptipora,Thalassiosira eccentrica,Rhizosolenia styliformis,Fragilariopsis doliolus,Asteromphalus parvulus,Actinocyclus dimorphus,Thalassiosira oestrupii,Eucampia antarctica,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,A,  5,H,CC,  18.00,     45.3600,diatoms  ,Diatoms                                      ,F              ,P                 ,F                        ,R               ,C               ,                      ,                   ,F              ,                 ,R                       ,                      ,                       ,                  ,F                     ,                                       ,C                   ,R                     ,                       ,R                        ,                               ,                     ,                      ,                        ,F                     ,                   ,F                        ,R                    ,R                      ,R                  ,R                   ,R                                ,C                     ,                    ,                      ,                                         ,                      ,                         ,                      ,                           ,                           ,                       ,                      ,                         ,                         ,                        ,                        ,                       ,                      ,                      ,                       ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,A,  6,H,CC,  17.00,     55.1700,diatoms  ,Diatoms                                      ,C              ,P                 ,C                        ,C               ,C               ,                      ,R                  ,F              ,R                ,R                       ,                      ,                       ,                  ,F                     ,C                                      ,                    ,                      ,                       ,C                        ,                               ,R                    ,                      ,R                       ,C                     ,R                  ,R                        ,                     ,                       ,                   ,                    ,                                 ,                      ,                    ,                      ,                                         ,                      ,                         ,                      ,                           ,                           ,                       ,                      ,                         ,                         ,                        ,                        ,                       ,                      ,                      ,                       ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,A,  7,H,CC,  25.00,     64.2000,diatoms  ,Diatoms                                      ,C              ,M                 ,C                        ,R               ,C               ,                      ,                   ,F              ,                 ,                        ,                      ,                       ,                  ,F                     ,                                       ,                    ,                      ,                       ,                         ,R                              ,R                    ,R                     ,                        ,                      ,                   ,                         ,                     ,                       ,                   ,                    ,                                 ,                      ,                    ,                      ,                                         ,                      ,                         ,                      ,                           ,                           ,                       ,                      ,                         ,                         ,                        ,                        ,                       ,                      ,                      ,                       ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,A,  8,H,CC,  14.00,     73.0500,diatoms  ,Diatoms                                      ,A              ,G                 ,C                        ,R               ,D               ,                      ,                   ,F              ,                 ,F                       ,R                     ,C                      ,                  ,F                     ,                                       ,                    ,                      ,                       ,C                        ,F                              ,                     ,                      ,                        ,                      ,                   ,                         ,                     ,                       ,                   ,                    ,                                 ,                      ,                    ,                      ,                                         ,                      ,                         ,                      ,                           ,                           ,                       ,                      ,                         ,                         ,                        ,                        ,                       ,                      ,                      ,                       ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,A,  9,H,CC,  19.00,     82.4000,diatoms  ,Diatoms                                      ,C              ,G                 ,C                        ,R               ,R               ,                      ,                   ,F              ,                 ,C                       ,R                     ,C                      ,                  ,C                     ,R                                      ,R                   ,F                     ,R                      ,                         ,                               ,                     ,                      ,                        ,                      ,                   ,                         ,                     ,                       ,                   ,                    ,                                 ,                      ,                    ,                      ,                                         ,                      ,                         ,                      ,                           ,                           ,                       ,                      ,                         ,                         ,                        ,                        ,                       ,                      ,                      ,                       ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,A, 10,H,CC,  14.00,     92.6600,diatoms  ,Diatoms                                      ,A              ,G                 ,C                        ,R               ,D               ,                      ,                   ,R              ,R                ,F                       ,F                     ,F                      ,                  ,F                     ,                                       ,                    ,                      ,                       ,                         ,                               ,                     ,                      ,                        ,                      ,                   ,                         ,                     ,                       ,                   ,                    ,                                 ,                      ,                    ,                      ,                                         ,                      ,                         ,                      ,                           ,                           ,                       ,                      ,                         ,                         ,                        ,                        ,                       ,                      ,                      ,                       ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,A, 11,H,CC,  13.00,    102.4900,diatoms  ,Diatoms                                      ,A              ,MG                ,C                        ,                ,D               ,C                     ,                   ,F              ,                 ,R                       ,F                     ,C                      ,R                 ,                      ,                                       ,                    ,                      ,                       ,                         ,                               ,                     ,                      ,                        ,                      ,                   ,                         ,                     ,                       ,                   ,                    ,                                 ,                      ,                    ,                      ,                                         ,                      ,                         ,                      ,                           ,                           ,                       ,                      ,                         ,                         ,                        ,                        ,                       ,                      ,                      ,                       ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,A, 12,H,CC,   5.00,    110.6200,diatoms  ,Diatoms                                      ,A              ,G                 ,C                        ,R               ,C               ,A                     ,                   ,F              ,R                ,R                       ,R                     ,R                      ,                  ,                      ,                                       ,                    ,                      ,                       ,                         ,                               ,                     ,                      ,                        ,                      ,                   ,                         ,                     ,                       ,                   ,                    ,                                 ,                      ,                    ,                      ,                                         ,                      ,                         ,                      ,                           ,                           ,                       ,                      ,                         ,                         ,                        ,                        ,                       ,                      ,                      ,                       ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,A, 13,X,CC,  20.00,    113.6600,diatoms  ,Diatoms                                      ,A              ,MG                ,C                        ,                ,C               ,A                     ,                   ,F              ,F                ,R                       ,F                     ,                       ,                  ,                      ,                                       ,                    ,                      ,                       ,                         ,                               ,                     ,                      ,                        ,                      ,                   ,                         ,                     ,                       ,                   ,                    ,                                 ,                      ,                    ,                      ,                                         ,                      ,                         ,                      ,                           ,                           ,                       ,                      ,                         ,                         ,                        ,                        ,                       ,                      ,                      ,                       ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,A, 14,X,CC,  15.00,    120.5300,diatoms  ,Diatoms                                      ,A              ,MP                ,C                        ,R               ,C               ,A                     ,R                  ,               ,                 ,                        ,                      ,                       ,                  ,                      ,                                       ,                    ,                      ,                       ,                         ,                               ,                     ,                      ,                        ,                      ,                   ,                         ,                     ,                       ,                   ,                    ,                                 ,                      ,                    ,                      ,                                         ,                      ,                         ,                      ,                           ,                           ,                       ,                      ,                         ,                         ,                        ,                        ,                       ,                      ,                      ,                       ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
