Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Truncorotalia crassaformis hessi	Pulleniatina obliquiloculata	Neogloboquadrina dutertrei	Hastigerina digitata	Globorotalia tumida flexuosa	Globorotalia tumida	Globorotalia truncatulinoides	Globorotalia tosaensis	Globorotalia menardii	Globorotalia inflata	Globorotalia hexagonus	Globorotalia fimbriata	Globorotalia crassaformis viola	Globorotalia crassaformis crassaformis	Globigerinoides trilobus trilobus	Globigerinoides trilobus sacculifer	Globigerinoides ruber (white)	Globigerinoides ruber (pink)	Globigerina calida calida	Globigerina bulloides	Bolliella adamsi	Comment
  IR	Late Pleistocene 	                 	Y                 	              	155	 936	A	  3	H	CC	  34.00	     26.2100	Showers  	Planktonic Foraminifers                      	R              	M                 	-                               	-                           	C                         	-                   	-                           	-                  	-                            	-                     	-                    	-                   	-                     	-                     	-                              	-                                     	C                                	C                                  	F                            	-                           	-                        	-                    	-               	S; from Leg 155IR p. 346-347 Table 4

  IR	Late Pleistocene 	                 	Y                 	              	155	 936	A	  4	H	CC	  41.00	     35.7700	Showers  	Planktonic Foraminifers                      	R              	G                 	-                               	-                           	A                         	-                   	-                           	-                  	-                            	-                     	-                    	-                   	-                     	-                     	-                              	-                                     	C                                	-                                  	F                            	F                           	R                        	-                    	-               	from Leg 155IR p. 346-347 Table 4

  IR	                 	                 	                  	              	155	 936	A	  5	H	CC	  40.00	     45.2900	Showers  	Planktonic Foraminifers                      	B              	                  	-                               	-                           	-                         	-                   	-                           	-                  	-                            	-                     	-                    	-                   	-                     	-                     	-                              	-                                     	-                                	-                                  	-                            	-                           	-                        	-                    	-               	from Leg 155IR p. 346-347 Table 4

  IR	Late Pleistocene 	                 	Y                 	              	155	 936	A	  6	H	CC	  41.00	     54.7900	Showers  	Planktonic Foraminifers                      	F              	G                 	-                               	-                           	C                         	-                   	-                           	-                  	-                            	-                     	-                    	-                   	-                     	-                     	-                              	-                                     	C                                	A                                  	-                            	-                           	-                        	-                    	-               	from Leg 155IR p. 346-347 Table 4

  IR	Late Pleistocene 	                 	Y                 	              	155	 936	A	  7	H	CC	   1.00	     63.4300	Showers  	Planktonic Foraminifers                      	R              	G                 	-                               	-                           	C                         	-                   	-                           	-                  	F                            	-                     	-                    	-                   	-                     	-                     	-                              	-                                     	C                                	-                                  	C                            	-                           	-                        	-                    	-               	M; from Leg 155IR p. 346-347 Table 4

  IR	                 	                 	                  	              	155	 936	A	  8	H	CC	  16.00	     73.5200	Showers  	Planktonic Foraminifers                      	B              	                  	-                               	-                           	-                         	-                   	-                           	-                  	-                            	-                     	-                    	-                   	-                     	-                     	-                              	-                                     	-                                	-                                  	-                            	-                           	-                        	-                    	-               	S; from Leg 155IR p. 346-347 Table 4

  IR	                 	                 	                  	              	155	 936	A	  9	H	 2	   0.00	     74.5000	Showers  	Planktonic Foraminifers                      	B              	                  	-                               	-                           	-                         	-                   	-                           	-                  	-                            	-                     	-                    	-                   	-                     	-                     	-                              	-                                     	-                                	-                                  	-                            	-                           	-                        	-                    	-               	S; from Leg 155IR p. 346-347 Table 4

  IR	                 	                 	                  	              	155	 936	A	 10	H	CC	   1.00	     90.9800	Showers  	Planktonic Foraminifers                      	B              	                  	-                               	-                           	-                         	-                   	-                           	-                  	-                            	-                     	-                    	-                   	-                     	-                     	-                              	-                                     	-                                	-                                  	-                            	-                           	-                        	-                    	-               	S; M; from Leg 155IR p. 346-347 Table 4

  IR	                 	                 	                  	              	155	 936	A	 11	X	CC	  17.00	     93.1600	Showers  	Planktonic Foraminifers                      	B              	                  	-                               	-                           	-                         	-                   	-                           	-                  	-                            	-                     	-                    	-                   	-                     	-                     	-                              	-                                     	-                                	-                                  	-                            	-                           	-                        	-                    	-               	S; W; from Leg 155IR p. 346-347 Table 4

  IR	Late Pleistocene 	                 	R                 	W             	155	 936	A	 12	X	CC	   0.00	     96.7000	Showers  	Planktonic Foraminifers                      	R              	G                 	-                               	-                           	-                         	-                   	-                           	-                  	-                            	-                     	-                    	-                   	R                     	-                     	-                              	-                                     	-                                	-                                  	R                            	-                           	-                        	-                    	-               	S; W; SF; from Leg 155IR p. 346-347 Table 4

  IR	Late Pleistocene 	                 	R                 	W             	155	 936	A	 13	X	CC	   0.00	    112.2600	Showers  	Planktonic Foraminifers                      	R              	M                 	-                               	-                           	-                         	-                   	-                           	-                  	-                            	-                     	-                    	-                   	-                     	-                     	-                              	-                                     	-                                	-                                  	R                            	-                           	-                        	-                    	-               	S; W; M; from Leg 155IR p. 346-347 Table 4

  IR	                 	                 	                  	              	155	 936	A	 14	X	CC	  19.00	    117.4100	Showers  	Planktonic Foraminifers                      	B              	                  	-                               	-                           	-                         	-                   	-                           	-                  	-                            	-                     	-                    	-                   	-                     	-                     	-                              	-                                     	-                                	-                                  	-                            	-                           	-                        	-                    	-               	S; from Leg 155IR p. 346-347 Table 4

  IR	                 	                 	                  	              	155	 936	A	 15	X	CC	   2.00	    125.8200	Showers  	Planktonic Foraminifers                      	B              	                  	-                               	-                           	-                         	-                   	-                           	-                  	-                            	-                     	-                    	-                   	-                     	-                     	-                              	-                                     	-                                	-                                  	-                            	-                           	-                        	-                    	-               	S; W; from Leg 155IR p. 346-347 Table 4

  IR	Late Pleistocene 	                 	R                 	W             	155	 936	A	 16	X	CC	  17.00	    135.8000	Showers  	Planktonic Foraminifers                      	               	M                 	-                               	-                           	-                         	-                   	-                           	-                  	-                            	-                     	-                    	-                   	-                     	-                     	-                              	-                                     	R                                	-                                  	-                            	-                           	-                        	-                    	-               	S; W; SP; from Leg 155IR p. 346-347 Table 4

  IR	Late Pleistocene 	                 	Y                 	              	155	 936	A	 17	X	 3	  99.00	    148.7900	Showers  	Planktonic Foraminifers                      	A              	G                 	-                               	R                           	F                         	-                   	-                           	F                  	-                            	-                     	-                    	R                   	-                     	-                     	-                              	-                                     	F                                	F                                  	C                            	-                           	R                        	-                    	-               	P. obliq datum; F; from Leg 155IR p. 346-347 Table 4

  IR	Late Pleistocene 	                 	Y                 	              	155	 936	A	 17	X	CC	   7.00	    150.8000	Showers  	Planktonic Foraminifers                      	C              	G                 	-                               	-                           	C                         	-                   	-                           	-                  	C                            	-                     	-                    	-                   	-                     	-                     	-                              	-                                     	C                                	C                                  	C                            	R                           	R                        	-                    	-               	from Leg 155IR p. 346-347 Table 4

  IR	Late Pleistocene 	                 	R                 	W             	155	 936	A	 18	X	CC	  28.00	    163.9300	Showers  	Planktonic Foraminifers                      	C              	G                 	-                               	-                           	C                         	-                   	-                           	-                  	C                            	-                     	-                    	-                   	-                     	-                     	-                              	-                                     	C                                	C                                  	C                            	F                           	-                        	-                    	-               	SP; IS; from Leg 155IR p. 346-347 Table 4

  IR	Late Pleistocene 	                 	R                 	W             	155	 936	A	 19	X	CC	  18.00	    172.2500	Showers  	Planktonic Foraminifers                      	C              	M                 	-                               	C                           	C                         	-                   	-                           	-                  	C                            	-                     	-                    	-                   	-                     	-                     	-                              	-                                     	C                                	C                                  	F                            	R                           	-                        	-                    	-               	from Leg 155IR p. 346-347 Table 4

  IR	Late Pleistocene 	                 	R                 	W             	155	 936	A	 20	X	CC	  26.00	    181.4500	Showers  	Planktonic Foraminifers                      	F              	M                 	-                               	C                           	C                         	-                   	-                           	-                  	C                            	-                     	-                    	-                   	-                     	-                     	-                              	-                                     	F                                	R                                  	C                            	-                           	-                        	-                    	-               	W; SP; IS; from Leg 155IR p. 346-347 Table 4

  IR	Late Pleistocene 	                 	R                 	W             	155	 936	A	 21	X	CC	   7.00	    191.2000	Showers  	Planktonic Foraminifers                      	R              	M                 	-                               	C                           	C                         	-                   	-                           	-                  	A                            	-                     	-                    	-                   	-                     	-                     	-                              	-                                     	F                                	-                                  	F                            	R                           	-                        	-                    	-               	BN; SP; from Leg 155IR p. 346-347 Table 4

  IR	Late Pleistocene 	                 	R                 	W             	155	 936	A	 22	X	CC	  11.00	    199.6900	Showers  	Planktonic Foraminifers                      	F              	M                 	-                               	C                           	C                         	-                   	-                           	-                  	C                            	-                     	-                    	-                   	-                     	-                     	-                              	-                                     	-                                	-                                  	C                            	-                           	-                        	-                    	-               	SP; BN; from Leg 155IR p. 346-347 Table 4

  IR	Late Pleistocene 	                 	R                 	W             	155	 936	A	 23	X	CC	  22.00	    210.0500	Showers  	Planktonic Foraminifers                      	F              	M                 	-                               	R                           	C                         	-                   	-                           	-                  	F                            	-                     	-                    	-                   	-                     	-                     	-                              	-                                     	F                                	F                                  	C                            	-                           	-                        	-                    	-               	IS; from Leg 155IR p. 346-347 Table 4

  IR	Late Pleistocene 	                 	R                 	W             	155	 936	A	 24	X	CC	  67.00	    220.6700	Showers  	Planktonic Foraminifers                      	F              	                  	-                               	F                           	R                         	-                   	-                           	-                  	F                            	-                     	-                    	-                   	-                     	-                     	-                              	-                                     	F                                	R                                  	R                            	-                           	-                        	-                    	-               	SP; from Leg 155IR p. 346-347 Table 4

  IR	Late Pleistocene 	                 	R                 	W             	155	 936	A	 25	X	CC	  32.00	    229.6800	Showers  	Planktonic Foraminifers                      	F              	M                 	-                               	-                           	R                         	-                   	-                           	-                  	-                            	-                     	-                    	-                   	-                     	-                     	-                              	-                                     	F                                	R                                  	F                            	-                           	-                        	-                    	-               	IS; SF; SP; from Leg 155IR p. 346-347 Table 4

  IR	Late Pleistocene 	                 	R                 	W             	155	 936	A	 26	X	CC	  32.00	    241.4200	Showers  	Planktonic Foraminifers                      	C              	M                 	-                               	R                           	F                         	-                   	-                           	-                  	F                            	-                     	-                    	-                   	-                     	-                     	-                              	-                                     	F                                	R                                  	F                            	-                           	-                        	-                    	-               	IS; SP; SF; from Leg 155IR p. 346-347 Table 4

  IR	Late Pleistocene 	                 	R                 	W             	155	 936	A	 27	X	CC	  15.00	    251.4900	Showers  	Planktonic Foraminifers                      	F              	M                 	-                               	C                           	C                         	-                   	-                           	-                  	-                            	-                     	-                    	-                   	-                     	-                     	-                              	-                                     	C                                	F                                  	R                            	R                           	-                        	-                    	-               	IS; SP; from Leg 155IR p. 346-347 Table 4

  IR	Late Pleistocene 	                 	R                 	W             	155	 936	A	 28	X	CC	  10.00	    259.5000	Showers  	Planktonic Foraminifers                      	R              	M                 	-                               	C                           	C                         	-                   	-                           	-                  	C                            	-                     	-                    	-                   	-                     	-                     	-                              	-                                     	-                                	R                                  	F                            	-                           	-                        	-                    	-               	IS; IN; from Leg 155IR p. 346-347 Table 4

  IR	Late Pleistocene 	                 	R                 	W             	155	 936	A	 29	X	CC	  26.00	    268.3700	Showers  	Planktonic Foraminifers                      	F              	G                 	-                               	R                           	C                         	-                   	-                           	-                  	C                            	-                     	-                    	-                   	-                     	-                     	-                              	-                                     	C                                	F                                  	F                            	-                           	-                        	-                    	-               	IS; from Leg 155IR p. 346-347 Table 4

  IR	Late Pleistocene 	                 	R                 	W             	155	 936	A	 30	X	CC	  35.00	    279.0200	Showers  	Planktonic Foraminifers                      	F              	G                 	-                               	F                           	C                         	-                   	-                           	-                  	C                            	-                     	-                    	-                   	-                     	-                     	-                              	-                                     	C                                	R                                  	F                            	-                           	-                        	-                    	-               	SP; from Leg 155IR p. 346-347 Table 4

  IR	Late Pleistocene 	                 	R                 	W             	155	 936	A	 31	X	CC	  29.00	    286.6300	Showers  	Planktonic Foraminifers                      	C              	G                 	-                               	F                           	C                         	-                   	-                           	-                  	C                            	-                     	-                    	-                   	-                     	-                     	-                              	-                                     	C                                	F                                  	C                            	R                           	-                        	-                    	-               	SP; from Leg 155IR p. 346-347 Table 4

  IR	                 	                 	                  	              	155	 936	A	 32	X	CC	  23.00	    299.0200	Showers  	Planktonic Foraminifers                      	B              	                  	-                               	-                           	-                         	-                   	-                           	-                  	-                            	-                     	-                    	-                   	-                     	-                     	-                              	-                                     	-                                	-                                  	-                            	-                           	-                        	-                    	-               	from Leg 155IR p. 346-347 Table 4

  IR	                 	                 	                  	              	155	 936	A	 33	X	CC	  20.00	    307.5500	Showers  	Planktonic Foraminifers                      	B              	                  	-                               	-                           	-                         	-                   	-                           	-                  	-                            	-                     	-                    	-                   	-                     	-                     	-                              	-                                     	-                                	-                                  	-                            	-                           	-                        	-                    	-               	M; W; from Leg 155IR p. 346-347 Table 4

  IR	Middle Pleistocene	Late Pleistocene 	R                 	W             	155	 936	A	 35	X	CC	  10.00	    319.6300	Showers  	Planktonic Foraminifers                      	R              	M                 	-                               	R                           	R                         	-                   	R                           	-                  	-                            	-                     	-                    	-                   	-                     	-                     	-                              	-                                     	R                                	-                                  	-                            	-                           	-                        	-                    	-               	IS; W; S; from Leg 155IR p. 346-347 Table 4

  IR	                 	                 	                  	              	155	 936	A	 36	X	CC	   0.00	    327.9000	Showers  	Planktonic Foraminifers                      	B              	                  	-                               	-                           	-                         	-                   	-                           	-                  	-                            	-                     	-                    	-                   	-                     	-                     	-                              	-                                     	-                                	-                                  	-                            	-                           	-                        	-                    	-               	S; from Leg 155IR p. 346-347 Table 4

  IR	                 	                 	                  	              	155	 936	A	 38	X	CC	   0.00	    347.2000	Showers  	Planktonic Foraminifers                      	B              	                  	-                               	-                           	-                         	-                   	-                           	-                  	-                            	-                     	-                    	-                   	-                     	-                     	-                              	-                                     	-                                	-                                  	-                            	-                           	-                        	-                    	-               	S; from Leg 155IR p. 346-347 Table 4

  IR	Middle Pleistocene	Late Pleistocene 	R                 	W             	155	 936	A	 39	X	CC	   6.00	    357.7300	Showers  	Planktonic Foraminifers                      	R              	P                 	-                               	R                           	R                         	-                   	R                           	F                  	R                            	-                     	R                    	-                   	-                     	-                     	-                              	-                                     	R                                	-                                  	R                            	-                           	-                        	-                    	-               	IS; S; W; SF; SP; from Leg 155IR p. 346-347 Table 4

  IR	Middle Pleistocene	Late Pleistocene 	                  	              	155	 936	A	 41	X	CC	   9.00	    382.0900	Showers  	Planktonic Foraminifers                      	R              	G                 	-                               	-                           	-                         	-                   	-                           	R                  	-                            	-                     	-                    	-                   	-                     	-                     	-                              	-                                     	-                                	-                                  	R                            	-                           	-                        	-                    	-               	S; from Leg 155IR p. 346-347 Table 4

  IR	Middle Pleistocene	Late Pleistocene 	                  	              	155	 936	A	 42	X	 1	  67.00	    386.3700	Showers  	Planktonic Foraminifers                      	C              	G                 	-                               	C                           	C                         	-                   	-                           	F                  	-                            	-                     	-                    	-                   	-                     	-                     	-                              	-                                     	F                                	-                                  	C                            	R                           	-                        	-                    	-               	S; SP; from Leg 155IR p. 346-347 Table 4

  IR	Middle Pleistocene	Late Pleistocene 	                  	              	155	 936	A	 42	X	 2	 113.00	    388.3300	Showers  	Planktonic Foraminifers                      	A              	G                 	-                               	F                           	C                         	-                   	F                           	C                  	C                            	-                     	C                    	-                   	R                     	-                     	-                              	-                                     	C                                	-                                  	C                            	-                           	-                        	-                    	-               	from Leg 155IR p. 346-347 Table 4

  IR	Middle Pleistocene	Late Pleistocene 	                  	              	155	 936	A	 42	X	CC	   8.00	    388.7000	Showers  	Planktonic Foraminifers                      	F              	G                 	-                               	F                           	F                         	-                   	R                           	F                  	F                            	-                     	F                    	R                   	-                     	-                     	-                              	-                                     	F                                	F                                  	C                            	-                           	-                        	-                    	-               	BN; AM; from Leg 155IR p. 346-347 Table 4

  IR	Middle Pleistocene	Late Pleistocene 	                  	              	155	 936	A	 43	X	 3	  67.00	    398.3100	Showers  	Planktonic Foraminifers                      	R              	M                 	-                               	C                           	C                         	-                   	-                           	C                  	-                            	-                     	F                    	-                   	-                     	-                     	-                              	-                                     	R                                	R                                  	C                            	-                           	-                        	-                    	-               	IS; from Leg 155IR p. 346-347 Table 4

  IR	Middle Pleistocene	Late Pleistocene 	R                 	W             	155	 936	A	 43	X	CC	  54.00	    405.3900	Showers  	Planktonic Foraminifers                      	F              	G                 	-                               	-                           	F                         	-                   	-                           	F                  	R                            	-                     	R                    	-                   	-                     	-                     	-                              	-                                     	C                                	R                                  	C                            	-                           	-                        	-                    	-               	Uncertain zonal assignments; S; from Leg 155IR p. 346-347 Table 4

  IR	Middle Pleistocene	Late Pleistocene 	                  	              	155	 936	A	 44	X	 2	  76.00	    407.2600	Showers  	Planktonic Foraminifers                      	A              	M                 	-                               	-                           	C                         	-                   	F                           	F                  	C                            	-                     	F                    	-                   	R                     	-                     	-                              	R                                     	C                                	C                                  	F                            	-                           	-                        	-                    	-               	from Leg 155IR p. 346-347 Table 4

  IR	Middle Pleistocene	Late Pleistocene 	R                 	W             	155	 936	A	 44	X	CC	  35.00	    408.5800	Showers  	Planktonic Foraminifers                      	A              	P                 	F                               	F                           	F                         	-                   	F                           	C                  	-                            	-                     	-                    	-                   	R                     	-                     	-                              	-                                     	-                                	-                                  	F                            	-                           	-                        	-                    	-               	Uncertain zonal assignments; from Leg 155IR p. 346-347 Table 4

  IR	Middle Pleistocene	Late Pleistocene 	                  	              	155	 936	A	 45	X	CC	  33.00	    422.7100	Showers  	Planktonic Foraminifers                      	C              	M                 	R                               	F                           	F                         	-                   	R                           	F                  	-                            	-                     	-                    	-                   	-                     	-                     	-                              	-                                     	C                                	-                                  	C                            	-                           	-                        	-                    	-               	from Leg 155IR p. 346-347 Table 4

  IR	Middle Pleistocene	Late Pleistocene 	                  	              	155	 936	A	 46	X	CC	  28.00	    426.1000	Showers  	Planktonic Foraminifers                      	R              	P                 	-                               	-                           	R                         	-                   	-                           	R                  	-                            	-                     	-                    	-                   	-                     	-                     	-                              	-                                     	-                                	-                                  	R                            	-                           	-                        	-                    	-               	Broken tests; from Leg 155IR p. 346-347 Table 4

