Label ID,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name [short],Abundance,Preservation,Mixing,Diartus petterssoni,Cyrtocapsella japonica,Lithopera neotera,Calocycletta robusta,Stichocorys armata,Acrocubus octopylus,Didymocyrtis mammifera,Liriospyris parkerae,Calocycletta caepa,Eucyrtidium diaphanes,Didymocyrtis violina,Calocycletta costata,Calocycletta virginis,Carpocanopsis bramlettei,Didymocyrtis tubaria,Dorcadospyris dentata,Dorcadospyris forcipata,Liriospyris stauropora,Dorcadospyris alata,Carpocanopsis cingulata,Lychnocanoma elongata,Didymocyrtis prismatica,Didymocyrtis laticonus,Carpocanopsis cristata,Lithopera renzae,Dorcadospyris scambos n. sp.,Dorcadospyris ateuchus,Stichocorys wolffii,Dorcadospyris simplex s.s.,Dorcadospyris praeforcipata,Calocycletta serrata,Stichocorys delmontensis,Lophocyrtis pegetrum,Theocyrtis annosa,Calocycletta virginis,Lophocyrtis leptetrum,Eucyrtidium mitodes n. sp.,Cyrtocapsella cornuta,Cyrtocapsella tetrapera,Artophormis gracilis,Anthocyrtidium  marieae,Didymocyrtis bassanii,Dorcadospyris cyclacantha n. sp.,Dorcadospyris riedeli,Dorcadospyris circulus,Dorcadospyris papilio,Liriospyris longicornuta,Acrocubus octopylus ,Eucyrtidium plesiodiaphanes,Theocyrtis setanios,Theocorys puriri ,Lychnocanoma apodora,Comments,File data
320-U1334A-10H-4-W,320,U1334,A,10,10-4,H,4,W,,105,107,89.75,89.77,RP22,A,G,1,,,,F,,,,,,R,,,,,,,,,,R,F,R,,,,R,R,,,R,,,R,F,,,R,-,-,R,R,-,,,,,,,,,,,,
320-U1334A-10H-CC-PAL-RADS,320,U1334,A,10,10-CC,H,CC,PAL,RADS,0,0,93.95,93.95,RP22,A,M,1,,,,F,,,,,,-,,,,,,,,,,,F,R,,,,R,R,,,R,,,R,F,,,R,-,-,R,R,-,,,,-,-,,,,,,,
320-U1334A-11H-2-W,320,U1334,A,11,11-2,H,2,W,,105,107,96.25,96.27,RP22,A,M,2,,,,F,,,,,,,,,,,R,,,,,R,R,R,,,,R,,,,R,,,R,R,,,R,,,R,-,,R,R,-,R,-,,,,,,,
320-U1334A-11H-4-W,320,U1334,A,11,11-4,H,4,W,,105,107,99.25,99.27,RP22,A,M,1,,,,F,,,,,,,,,,,R,,,,,R,R,R,,,,R,R,,,R,,,R,R,,,R,,,R,,,R,,-,R,-,,,,,,,
320-U1334A-11H-CC-PAL-RADS,320,U1334,A,11,11-CC,H,CC,PAL,RADS,0,0,103.75,103.75,RP22,A,M,1,,,,F,,,,,,,,,,,R,,,,,,R,R,,,,R,R,,,R,,,R,R,,,R,,,R,-,-,,,vR,R,R,-,,,,-,,
320-U1334A-12H-2-W 105/107,320,U1334,A,12,12-2,H,2,W,105/107,105,107,106.8,106.82,RP22,A,M,1,,,,F,,,,,,,,,,,R,,,,,,R,R,,,,R,R,,,R,,,R,R,,,R,,,R,,,,,,R,R,-,,,,-,,
320-U1334A-12H-4-W 105/107,320,U1334,A,12,12-4,H,4,W,105/107,105,107,109.8,109.82,RP22,A,M,,,,,F,,,,,,,,,,,R,,,,,,R,R,,,,R,R,,,R,,,R,R,,,R,,,R,,,,,,R,,,,,,,,
320-U1334A-12H-CC-PAL-RADS,320,U1334,A,12,12-CC,H,CC,PAL,RADS,0,0,112.85,112.85,RP22,A,M,1,,,,F,,,,,,,,,,,R,,,,,,R,R,,,,R,R,,,R,,,R,R,,,R,,,R,-,,,,-,R,R,-,,,,-,,
320-U1334A-13H-2-W 105/107,320,U1334,A,13,13-2,H,2,W,105/107,105,107,115.3,115.32,RP22,A,M,,,,,F,,,,,,,,,,,R,,,,,,-,R,,,,R,R,,,R,,,R,R,,,R,,,R,,,,R,,R,R,-,,,,-,,
320-U1334A-13H-4-W,320,U1334,A,13,13-4,H,4,W,,105,107,117.25,117.27,RP22,A,M,,,,,F,,,,,,,,,,,R,,,,,,R,R,,,,R,R,,,R,,,R,R,,,R,,,R,,,,,,R,R,R,,,,R,,
320-U1334A-13H-CC-PAL-RADS,320,U1334,A,13,13-CC,H,CC,PAL,RADS,0,0,122.55,122.55,RP21,A,,2,,,,R,,,,,,,,,,,R,,,,,,-,R,,,,,R,,,R,,,R,R,,,R,,,R,,,,,-,,R,-,,,,R,,
320-U1334A-14H-2-W 105/107,320,U1334,A,14,14-2,H,2,W,105/107,105,107,125.8,125.82,RP21,A,M,,,,,R,,,,,,,,,,,,,,,,,,R,,,,,R,,,,,,R,R,,,R,,,R,,,,,,R,R,R,,,,R,EARLY BIZZARE FORM OF PAPILIO,
320-U1334A-14H-4-W 105/107,320,U1334,A,14,14-4,H,4,W,105/107,105,107,128.8,128.82,RP21,A,M,,,,,R,,,,,,,,,,,,,,,,,,R,,,,,R,,,,,,R,R,,,R,,,R,,,,,,R,R,,,,,R,EARLY BIZZARE FORM OF PAPILIO,
320-U1334A-14H-CC-PAL-RADS,320,U1334,A,14,14-CC,H,CC,PAL,RADS,0,0,131.96,131.96,RP21,A,M,2,,,,-,,,,,,,,,,,,,,,,,-,R,,,,-,R,,,-,,,R,R,,,R,,,R,,,,,-,,-,,,,,R,,
320-U1334A-15H-2-W 105/107,320,U1334,A,15,15-2,H,2,W,105/107,105,107,135.3,135.32,RP21,A,M,,,,,,,,,,,,,,,,,,,,,,,R,,,,,R,,,,,,R,R,,,R,,,R,,,,R,,R,,,,,R,F,,
320-U1334A-15H-4-W 105/107,320,U1334,A,15,15-4,H,4,W,105/107,105,107,138.3,138.32,RP21,A,P,,,,,,,,,,,,,,,,,,,,,,,R,,,,,R,,,,,,R,R,,,R,,,R,,,,,,,,,,,,F,,
320-U1334A-15H-CC-PAL-RADS,320,U1334,A,15,15-CC,H,CC,PAL,RADS,0,0,141.2,141.2,RP21,A,M,1,,,,-,,,,,,,,,,,,,,,,,,R,,,,-,R,,,-,,,R,R,,,R,,,R,,,,,-,,-,,-,,,-,,
320-U1334A-16H-2-W 104/106,320,U1334,A,16,16-2,H,2,W,104/106,104,106,144.78,144.8,RP21,C,P,,,,,,,,,,,,,,,,,,,,,,,R,,,,,R,,,,,,R,R,,,R,,,R,,,,,,,,,,,,,"DIATOMS, SPINES",
320-U1334A-16H-4-W 104/106,320,U1334,A,16,16-4,H,4,W,104/106,104,106,147.78,147.8,RP21,C,P,,,,,,,,,,,,,,,,,,,,,,,R,,,,,R,,,,,,R,R,,,R,,,R,,,,R,R,,,,,,,,"DIATOMS, SPINES",
320-U1334A-16H-CC-PAL-RADS,320,U1334,A,16,16-CC,H,CC,PAL,RADS,0,0,149.57,149.57,RP21,A,M,2,,,,,,,,,,,,,,,,,,,,,,R,,,,,R,,,,,,R,R,,,R,,,R,,,,,R,,,,-,,,-,,
320-U1334A-17H-CC-PAL-RADS,320,U1334,A,17,17-CC,H,CC,PAL,RADS,0,0,158.96,158.96,RP21,A,M,2,,,,,,,,,,,,,,,,,,,,,,R,,,,,R,,,,,,R,R,,,R,,,R,,,,,R,,,,R,,,,,
320-U1334A-18H-CC-PAL-RADS,320,U1334,A,18,18-CC,H,CC,PAL,RADS,0,0,170.17,170.17,RP21,A,M,1,,,,,,,,,,,,,,,,,,,,,,R,,,,,R,,,,,,R,R,,,R,,,R,,,,,R,,,,R,,,,,
320-U1334A-22H-CC-PAL-RADS,320,U1334,A,22,22-CC,H,CC,PAL,RADS,0,0,206.86,206.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,R,,,,,,,,,,,R,,,
