Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Vulvulina spinosa	Uvigerina spp.	Unilocular species	Stilostomella rugosa	Stilostomella lepidula	Pleurostomella spp.	Osangularia mexicana	Oridorsalis umbonatus	Nuttallides truempyi	Gyroidinoides spp.	Globocassidulina sp.	Globocassidulina globosa	Gaudryina laevigata	Dentalina/Nodosaria spp.	Cibicidoides praemundulus	Cibicidoides havanensis	Cibicidoides grimsdalei	Cibicidoides eocaenus	Anomalinoides spissiformis	Anomalinoides semicribratus	Abyssamina quadrata	Siphonodosaria abyssorum	Spiroplectammina spectabilis	Lenticulina spp.	Cibicidoides hyphalus	Anomalinoides capitatus	Pullenia bulloides	Nuttallides umbonifera	Gyroidinoides girardanus	Cibicidoides subspiratus	Pyrulina spp.	Pullenia subcarinata	Gyroidinoides lamarckianus	Cibicidoides dohmi	Karreriella subglabra	Stilostomella subspinosa	Gyroidinoides planulatus	Buliminella carseyae	Buliminella beaumonti	Karreriella chapapotensis	Eggerella spp.	Heronallenia sp.	Ammodiscus sp.	Bathysiphon spp.	Recurvoides sp.	Pullenia osloensis	Anomalinoides pseudogrosserugosus	Martinottiella communis	Gyroidinoides soldanii	Glomospira gordialis	Cribrostomoides spp.	Arenobulimina sp.	Laticarinina pauperata	Glomospira sp.	Rhizammina sp.	Nodosarella rotundata	Epistominella exigua	Anomalinoides globulosus	Subreophax sp.	Comment

  IR	                 	                 	                  	              	199	1218	A	  9	H	CC	  14.00	     84.6800	nannos   	Benthic Foraminifers                         	F              	G                 	                 	              	F                 	                    	F                     	F                  	                    	C                    	                    	                  	F                   	                        	                   	R                       	                         	R                      	                       	                     	                          	                           	                   	R                       	                            	                	                     	                       	                  	R                     	                        	                        	             	R                   	                          	                  	                     	F                       	                        	                    	                     	                         	              	                	              	                	               	F                 	                                 	R                      	F                     	                    	                    	                 	R                     	              	              	R                    	F                   	                        	              	       

  IR	                 	                 	                  	              	199	1218	A	 10	H	CC	  13.00	     93.8600	nannos   	Benthic Foraminifers                         	R              	G                 	R                	              	R                 	                    	                      	F                  	                    	F                    	                    	                  	F                   	F                       	                   	                        	F                        	R                      	R                      	                     	                          	                           	                   	                        	R                           	                	                     	                       	R                 	                      	                        	                        	             	F                   	                          	R                 	                     	F                       	                        	                    	                     	                         	R             	R               	              	R               	               	                  	                                 	R                      	F                     	                    	                    	                 	                      	R             	R             	R                    	                    	                        	              	       

  IR	                 	                 	                  	              	199	1218	A	 11	H	CC	  19.00	    103.7200	nannos   	Benthic Foraminifers                         	R              	G                 	                 	              	R                 	                    	                      	F                  	                    	R                    	                    	                  	C                   	                        	                   	R                       	                         	F                      	F                      	                     	                          	                           	                   	F                       	R                           	                	                     	                       	                  	R                     	                        	                        	             	F                   	                          	F                 	R                    	F                       	                        	                    	                     	                         	R             	                	              	R               	               	                  	F                                	                       	F                     	                    	                    	                 	R                     	R             	              	                     	                    	                        	              	       

  IR	                 	                 	                  	              	199	1218	A	 12	H	CC	   0.00	    112.8100	nannos   	Benthic Foraminifers                         	R              	G                 	R                	              	F                 	                    	                      	                   	                    	R                    	                    	                  	C                   	                        	                   	                        	                         	                       	F                      	                     	R                         	                           	                   	F                       	R                           	                	                     	                       	                  	                      	                        	                        	             	R                   	                          	F                 	R                    	F                       	                        	R                   	R                    	                         	              	                	              	                	               	                  	R                                	                       	F                     	                    	                    	                 	                      	              	              	                     	                    	                        	              	       

  IR	                 	                 	                  	              	199	1218	A	 13	H	CC	  22.00	    122.7600	nannos   	Benthic Foraminifers                         	F              	G                 	                 	              	R                 	                    	R                     	F                  	                    	F                    	                    	                  	                    	                        	                   	F                       	                         	R                      	R                      	                     	R                         	R                          	                   	F                       	R                           	                	                     	                       	                  	R                     	                        	                        	             	F                   	F                         	R                 	                     	F                       	                        	                    	                     	                         	              	                	              	                	               	                  	                                 	                       	                      	                    	R                   	R                	                      	              	              	                     	                    	                        	              	       

  IR	                 	                 	                  	              	199	1218	A	 14	H	CC	   0.00	    131.6700	nannos   	Benthic Foraminifers                         	F              	M                 	R                	              	                  	                    	                      	F                  	                    	F                    	                    	                  	                    	                        	                   	F                       	                         	                       	R                      	R                    	R                         	R                          	                   	F                       	R                           	                	                     	                       	                  	R                     	                        	                        	             	F                   	R                         	R                 	R                    	F                       	                        	                    	                     	                         	              	                	              	                	               	                  	                                 	R                      	F                     	F                   	                    	                 	                      	              	              	                     	                    	                        	              	       

  IR	                 	                 	                  	              	199	1218	A	 15	H	CC	  19.00	    141.8200	nannos   	Benthic Foraminifers                         	F              	G                 	                 	              	R                 	R                   	                      	R                  	                    	F                    	                    	                  	F                   	                        	                   	                        	                         	                       	R                      	                     	R                         	F                          	                   	R                       	                            	                	                     	                       	                  	R                     	F                       	                        	             	                    	R                         	R                 	                     	F                       	                        	                    	                     	R                        	              	                	              	                	R              	R                 	F                                	                       	                      	                    	                    	                 	                      	              	              	                     	                    	                        	              	       

  IR	                 	                 	                  	              	199	1218	A	 16	H	CC	   0.00	    150.8000	nannos   	Benthic Foraminifers                         	F              	G                 	R                	              	R                 	                    	                      	                   	                    	F                    	                    	                  	R                   	                        	                   	R                       	                         	F                      	F                      	                     	                          	F                          	                   	R                       	R                           	                	                     	                       	                  	                      	F                       	                        	             	R                   	                          	F                 	R                    	                        	                        	F                   	F                    	                         	R             	                	              	R               	               	                  	                                 	                       	                      	                    	                    	                 	                      	              	              	                     	                    	                        	              	       

  IR	                 	                 	                  	              	199	1218	A	 17	H	CC	  20.00	    160.7900	nannos   	Benthic Foraminifers                         	F              	G                 	                 	              	R                 	                    	F                     	F                  	                    	R                    	                    	                  	R                   	                        	                   	C                       	C                        	                       	R                      	                     	                          	                           	                   	F                       	                            	                	                     	                       	                  	                      	                        	                        	             	F                   	F                         	                  	                     	                        	                        	                    	                     	                         	R             	R               	              	                	               	                  	                                 	                       	                      	                    	                    	                 	                      	              	              	                     	                    	                        	              	       

  IR	                 	                 	                  	              	199	1218	A	 18	H	CC	  12.00	    169.6600	nannos   	Benthic Foraminifers                         	F              	G                 	                 	              	F                 	                    	                      	F                  	                    	F                    	                    	                  	R                   	                        	                   	                        	C                        	                       	R                      	R                    	                          	R                          	                   	                        	R                           	                	                     	                       	                  	                      	F                       	                        	             	                    	                          	R                 	                     	F                       	                        	R                   	R                    	                         	              	R               	R             	                	               	                  	                                 	                       	                      	                    	                    	                 	                      	              	              	                     	                    	                        	              	       

  IR	                 	                 	                  	              	199	1218	A	 19	H	CC	  22.00	    179.7800	nannos   	Benthic Foraminifers                         	F              	G                 	R                	              	R                 	                    	                      	C                  	                    	F                    	                    	                  	F                   	C                       	                   	                        	                         	                       	                       	F                    	                          	R                          	                   	F                       	R                           	                	                     	                       	                  	                      	                        	C                       	             	                    	                          	                  	                     	F                       	                        	                    	                     	R                        	F             	                	              	                	               	                  	                                 	                       	                      	                    	                    	                 	                      	              	              	                     	                    	                        	              	       

  IR	                 	                 	                  	              	199	1218	A	 20	H	CC	   0.00	    188.4700	nannos   	Benthic Foraminifers                         	F              	G                 	R                	              	R                 	                    	                      	                   	                    	A                    	                    	                  	                    	C                       	                   	                        	                         	                       	F                      	R                    	R                         	                           	                   	                        	                            	                	                     	                       	R                 	                      	                        	F                       	             	                    	                          	F                 	R                    	R                       	R                       	R                   	R                    	                         	              	                	              	                	               	                  	                                 	                       	                      	                    	                    	                 	                      	              	              	                     	                    	                        	              	       

  IR	                 	                 	                  	              	199	1218	A	 21	X	CC	   0.00	    188.7000	nannos   	Benthic Foraminifers                         	R              	G                 	R                	              	                  	                    	F                     	                   	                    	F                    	                    	F                 	F                   	                        	                   	                        	C                        	                       	F                      	R                    	                          	                           	                   	                        	R                           	                	                     	                       	R                 	                      	F                       	                        	             	                    	                          	F                 	R                    	                        	                        	                    	                     	                         	              	                	              	                	               	                  	                                 	                       	                      	                    	                    	                 	                      	              	              	                     	                    	                        	              	       

  IR	                 	                 	                  	              	199	1218	A	 22	X	CC	  10.00	    203.5800	nannos   	Benthic Foraminifers                         	R              	G                 	R                	              	                  	                    	                      	F                  	                    	R                    	                    	                  	                    	                        	                   	                        	                         	                       	F                      	                     	F                         	                           	                   	F                       	                            	                	                     	                       	                  	                      	R                       	C                       	R            	F                   	R                         	F                 	                     	                        	                        	                    	                     	                         	              	                	              	                	               	                  	                                 	                       	                      	                    	                    	                 	                      	              	              	                     	                    	                        	              	       

  IR	                 	                 	                  	              	199	1218	A	 23	X	CC	  37.00	    215.3400	nannos   	Benthic Foraminifers                         	F              	G                 	                 	              	                  	                    	                      	R                  	                    	A                    	                    	                  	F                   	                        	                   	                        	                         	                       	                       	                     	F                         	                           	                   	F                       	                            	                	                     	                       	F                 	R                     	F                       	R                       	             	                    	                          	                  	                     	                        	                        	                    	                     	                         	              	                	              	                	               	                  	                                 	                       	                      	                    	                    	                 	                      	              	              	                     	                    	                        	              	       

  IR	                 	                 	                  	              	199	1218	A	 24	X	CC	  27.00	    224.8700	nannos   	Benthic Foraminifers                         	R              	P                 	                 	              	                  	                    	                      	                   	                    	F                    	                    	                  	                    	                        	                   	                        	F                        	                       	                       	F                    	                          	                           	                   	F                       	                            	                	                     	                       	                  	                      	                        	                        	             	                    	                          	                  	                     	                        	                        	                    	                     	                         	              	                	              	                	               	                  	                                 	                       	                      	                    	                    	                 	                      	              	              	                     	                    	                        	              	       

  IR	                 	                 	                  	              	199	1218	A	 25	X	CC	  21.00	    234.2600	nannos   	Benthic Foraminifers                         	R              	P                 	                 	              	                  	                    	                      	                   	                    	F                    	                    	                  	                    	                        	                   	                        	                         	                       	C                      	                     	                          	                           	                   	F                       	                            	                	                     	                       	                  	                      	                        	                        	             	                    	                          	                  	                     	                        	                        	                    	                     	                         	              	                	              	                	               	                  	                                 	                       	                      	                    	                    	                 	                      	              	              	                     	                    	                        	              	       

  IR	                 	                 	                  	              	199	1218	A	 26	X	CC	  30.00	    244.1200	nannos   	Benthic Foraminifers                         	R              	P                 	                 	              	                  	                    	                      	                   	                    	F                    	                    	                  	                    	                        	                   	F                       	                         	                       	F                      	                     	                          	                           	                   	F                       	                            	                	                     	                       	                  	                      	                        	                        	             	                    	                          	                  	                     	                        	                        	                    	                     	                         	              	                	              	                	               	                  	                                 	                       	                      	                    	                    	                 	                      	              	              	                     	                    	                        	              	       

  IR	                 	                 	                  	              	199	1218	A	 27	X	CC	  27.00	    250.3800	nannos   	Benthic Foraminifers                         	R              	P                 	                 	              	                  	                    	                      	                   	F                   	F                    	                    	                  	                    	                        	                   	                        	                         	                       	                       	F                    	                          	                           	                   	F                       	                            	                	                     	                       	                  	                      	                        	                        	             	                    	                          	                  	                     	                        	                        	                    	                     	                         	              	                	              	                	               	                  	                                 	                       	                      	                    	                    	                 	                      	              	              	                     	                    	                        	              	       

  IR	                 	                 	                  	              	199	1218	A	 28	X	CC	  15.00	    262.9400	nannos   	Benthic Foraminifers                         	C              	M                 	R                	              	R                 	                    	                      	                   	                    	F                    	C                   	F                 	                    	                        	                   	                        	F                        	                       	F                      	                     	F                         	R                          	                   	                        	R                           	R               	F                    	F                      	                  	                      	                        	                        	             	                    	                          	                  	                     	                        	                        	                    	                     	                         	              	                	              	                	               	                  	                                 	                       	                      	                    	                    	                 	                      	              	              	                     	                    	                        	              	       

  IR	                 	                 	                  	              	199	1218	A	 29	X	CC	  33.00	    268.8700	nannos   	Benthic Foraminifers                         	F              	M                 	                 	              	R                 	                    	                      	F                  	F                   	F                    	C                   	                  	                    	                        	                   	                        	                         	                       	C                      	F                    	F                         	                           	                   	R                       	                            	                	                     	                       	                  	                      	                        	                        	             	                    	                          	                  	                     	                        	                        	                    	                     	                         	              	                	              	                	               	                  	                                 	                       	                      	                    	                    	                 	                      	              	              	                     	                    	                        	              	       

  IR	                 	                 	                  	              	199	1218	A	 30	X	CC	  20.00	    274.2300	nannos   	Benthic Foraminifers                         	F              	P                 	R                	R             	R                 	R                   	F                     	F                  	R                   	R                    	F                   	F                 	R                   	R                       	R                  	F                       	F                        	R                      	C                      	F                    	F                         	R                          	R                  	                        	                            	                	                     	                       	                  	                      	                        	                        	             	                    	                          	                  	                     	                        	                        	                    	                     	                         	              	                	              	                	               	                  	                                 	                       	                      	                    	                    	                 	                      	              	              	                     	                    	                        	              	       

