Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Cytherella sp.,Robsoniella cf. falklandensis,Cytherella bensoni,Arculicythere tumida,Krithe sp. sp.,Cytherelloidea cf. carnavonensis,Cytherella cf. atypica,Genus X sp.,Paramunsayella? exmouthensis,Hystricocythere sp.,Apateloschizocythere geniculata,Cytherella cf. jonesi,Karsteneis aspericava,Eucytherura ? aff. pyramidatus,Henryhowella? reticulata,Cytherella spp.,Actinocythereis orientalis orientalis,Bairdioidea (inspecified taxon or taxa),Cytheropteron spp.,Bythoceratina sp.,Bradleya ossa,Bythocythere sp.,Bradleya gr. johnsoni,Abyssocypris sp.,Krithe spp.,Actinocythereis orientalis,Poseidonamicus? sp.,Argillocea? sp.,Macrocypris? sp.,Henryhowella sp.,Rockallia sp.,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 762,C,  5,X, 2,  20.00,    200.2000,Guernet  ,Ostracodes                                   ,               ,                  ,              ,                             ,                  ,                    ,              ,                                ,                      ,           ,                            ,                   ,                               ,                     ,                     ,                              ,+                       ,+              ,+                                    ,                                       ,                  ,                 ,             ,                ,                     ,                ,           ,                          ,                   ,               ,                ,                ,             ,from ODP Leg 122 SR Chapter 49 Table 1 p 836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 762,C,  7,X, 2,  91.00,    219.9100,Guernet  ,Ostracodes                                   ,               ,                  ,              ,                             ,                  ,                    ,              ,                                ,                      ,           ,                            ,                   ,                               ,                     ,                     ,                              ,+                       ,+              ,+                                    ,                                       ,                  ,                 ,             ,                ,                     ,                ,           ,                          ,                   ,               ,                ,                ,             ,from ODP Leg 122 SR Chapter 49 Table 1 p 836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 762,C,  7,X, 3,  24.00,    220.7400,Guernet  ,Ostracodes                                   ,               ,                  ,              ,                             ,                  ,                    ,              ,                                ,                      ,           ,                            ,                   ,                               ,                     ,                     ,                              ,+                       ,               ,+                                    ,+                                      ,                  ,                 ,             ,                ,                     ,                ,           ,                          ,                   ,               ,                ,                ,             ,from ODP Leg 122 SR Chapter 49 Table 1 p 836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 762,C,  8,X, 2,  30.00,    228.8000,Guernet  ,Ostracodes                                   ,               ,                  ,              ,                             ,                  ,                    ,              ,                                ,                      ,           ,                            ,                   ,                               ,                     ,                     ,                              ,+                       ,+              ,+                                    ,                                       ,                  ,                 ,             ,                ,                     ,                ,           ,                          ,+                  ,               ,                ,                ,             ,from ODP Leg 122 SR Chapter 49 Table 1 p 836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 762,C,  8,X, 5,  25.00,    233.2500,Guernet  ,Ostracodes                                   ,               ,                  ,              ,                             ,                  ,                    ,              ,                                ,                      ,           ,                            ,                   ,                               ,                     ,                     ,                              ,+                       ,+              ,                                     ,+                                      ,                  ,                 ,             ,                ,+                    ,                ,+          ,                          ,+                  ,+              ,                ,+               ,             ,from ODP Leg 122 SR Chapter 49 Table 1 p 836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 762,C,  9,X,CC,  22.00,    237.5000,Guernet  ,Ostracodes                                   ,               ,                  ,              ,                             ,                  ,                    ,              ,                                ,                      ,           ,                            ,                   ,                               ,                     ,                     ,                              ,+                       ,+              ,                                     ,+                                      ,                  ,                 ,             ,                ,                     ,                ,+          ,                          ,+                  ,               ,                ,                ,             ,from ODP Leg 122 SR Chapter 49 Table 1 p 836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 762,C, 10,X, 2,  50.00,    248.0000,Guernet  ,Ostracodes                                   ,               ,                  ,              ,                             ,                  ,                    ,              ,                                ,                      ,           ,                            ,                   ,                               ,                     ,                     ,                              ,+                       ,+              ,                                     ,+                                      ,                  ,                 ,             ,                ,                     ,+               ,           ,                          ,+                  ,               ,                ,                ,             ,from ODP Leg 122 SR Chapter 49 Table 1 p 836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 762,C, 10,X, 4,  50.00,    251.0000,Guernet  ,Ostracodes                                   ,               ,                  ,              ,                             ,                  ,                    ,              ,                                ,                      ,           ,                            ,                   ,                               ,                     ,                     ,                              ,                        ,               ,                                     ,+                                      ,                  ,                 ,+            ,                ,                     ,                ,           ,                          ,+                  ,               ,                ,                ,+            ,from ODP Leg 122 SR Chapter 49 Table 1 p 836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 762,C, 11,X, 2,  60.00,    257.6000,Guernet  ,Ostracodes                                   ,               ,                  ,              ,                             ,                  ,                    ,              ,                                ,                      ,           ,                            ,                   ,                               ,                     ,                     ,                              ,+                       ,+              ,+                                    ,                                       ,                  ,                 ,             ,                ,                     ,                ,+          ,                          ,+                  ,               ,                ,                ,+            ,from ODP Leg 122 SR Chapter 49 Table 1 p 836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 762,C, 11,X, 5,  60.00,    262.1000,Guernet  ,Ostracodes                                   ,               ,                  ,              ,                             ,                  ,                    ,              ,                                ,                      ,           ,                            ,                   ,                               ,                     ,                     ,                              ,                        ,+              ,                                     ,                                       ,                  ,                 ,             ,                ,                     ,+               ,           ,+                         ,+                  ,               ,                ,                ,             ,from ODP Leg 122 SR Chapter 49 Table 1 p 836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 762,C, 12,X, 3,  88.00,    268.8800,Guernet  ,Ostracodes                                   ,               ,                  ,              ,                             ,                  ,                    ,              ,                                ,                      ,           ,                            ,                   ,                               ,                     ,                     ,                              ,+                       ,+              ,+                                    ,+                                      ,                  ,                 ,             ,                ,                     ,                ,+          ,                          ,+                  ,               ,                ,                ,             ,from ODP Leg 122 SR Chapter 49 Table 1 p 836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 762,C, 12,X, 5,  88.00,    271.8800,Guernet  ,Ostracodes                                   ,               ,                  ,              ,                             ,                  ,                    ,              ,                                ,                      ,           ,                            ,                   ,                               ,                     ,                     ,                              ,+                       ,+              ,+                                    ,+                                      ,                  ,                 ,+            ,                ,+                    ,+               ,+          ,                          ,+                  ,               ,+               ,+               ,             ,from ODP Leg 122 SR Chapter 49 Table 1 p 836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 762,C, 13,X, 1,  87.00,    275.3700,Guernet  ,Ostracodes                                   ,               ,                  ,              ,                             ,                  ,                    ,              ,                                ,                      ,           ,                            ,                   ,                               ,                     ,                     ,                              ,+                       ,+              ,+                                    ,+                                      ,                  ,                 ,             ,                ,                     ,                ,           ,                          ,                   ,+              ,                ,                ,             ,from ODP Leg 122 SR Chapter 49 Table 1 p 836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 762,C, 13,X, 2,  87.00,    276.8700,Guernet  ,Ostracodes                                   ,               ,                  ,              ,                             ,                  ,                    ,              ,                                ,                      ,           ,                            ,                   ,                               ,                     ,                     ,                              ,+                       ,+              ,+                                    ,+                                      ,                  ,                 ,             ,                ,+                    ,                ,           ,                          ,+                  ,               ,                ,                ,             ,from ODP Leg 122 SR Chapter 49 Table 1 p 836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 762,C, 14,X, 1,  86.00,    284.8600,Guernet  ,Ostracodes                                   ,               ,                  ,              ,                             ,                  ,                    ,              ,                                ,                      ,           ,                            ,                   ,                               ,                     ,                     ,                              ,+                       ,+              ,                                     ,+                                      ,+                 ,                 ,+            ,                ,+                    ,                ,           ,                          ,+                  ,               ,                ,                ,             ,from ODP Leg 122 SR Chapter 49 Table 1 p 836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 762,C, 14,X, 3,  86.00,    287.8600,Guernet  ,Ostracodes                                   ,               ,                  ,              ,                             ,                  ,                    ,              ,                                ,                      ,           ,                            ,                   ,                               ,                     ,                     ,                              ,+                       ,+              ,                                     ,                                       ,                  ,                 ,             ,                ,                     ,+               ,           ,+                         ,                   ,               ,                ,                ,             ,from ODP Leg 122 SR Chapter 49 Table 1 p 836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 762,C, 15,X, 3,  12.00,    296.6200,Guernet  ,Ostracodes                                   ,               ,                  ,              ,                             ,                  ,                    ,              ,                                ,                      ,           ,                            ,                   ,                               ,                     ,                     ,                              ,+                       ,               ,+                                    ,                                       ,                  ,                 ,             ,                ,+                    ,                ,+          ,                          ,                   ,               ,                ,                ,             ,from ODP Leg 122 SR Chapter 49 Table 1 p 836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 762,C, 16,X, 1, 136.00,    304.3600,Guernet  ,Ostracodes                                   ,               ,                  ,              ,                             ,                  ,                    ,              ,                                ,                      ,           ,                            ,                   ,                               ,                     ,                     ,                              ,+                       ,+              ,                                     ,                                       ,                  ,+                ,             ,                ,                     ,                ,           ,                          ,                   ,               ,                ,                ,             ,from ODP Leg 122 SR Chapter 49 Table 1 p 836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 762,C, 16,X, 3, 137.00,    307.3700,Guernet  ,Ostracodes                                   ,               ,                  ,              ,                             ,                  ,                    ,              ,                                ,                      ,           ,                            ,                   ,                               ,                     ,                     ,                              ,+                       ,+              ,+                                    ,+                                      ,                  ,                 ,             ,                ,                     ,+               ,           ,                          ,                   ,               ,                ,                ,             ,from ODP Leg 122 SR Chapter 49 Table 1 p 836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 762,C, 17,X, 1,  49.00,    312.9900,Guernet  ,Ostracodes                                   ,               ,                  ,              ,                             ,                  ,                    ,              ,                                ,                      ,           ,                            ,                   ,                               ,                     ,                     ,                              ,+                       ,+              ,                                     ,+                                      ,                  ,                 ,             ,                ,                     ,+               ,           ,                          ,                   ,               ,                ,                ,             ,from ODP Leg 122 SR Chapter 49 Table 1 p 836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 762,C, 17,X, 4,  49.00,    317.4900,Guernet  ,Ostracodes                                   ,               ,                  ,              ,                             ,                  ,                    ,              ,                                ,                      ,           ,                            ,                   ,                               ,                     ,                     ,                              ,+                       ,+              ,+                                    ,                                       ,                  ,                 ,             ,+               ,+                    ,+               ,           ,                          ,                   ,               ,                ,                ,             ,from ODP Leg 122 SR Chapter 49 Table 1 p 836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 762,C, 18,X, 2,  21.00,    323.7100,Guernet  ,Ostracodes                                   ,               ,                  ,              ,                             ,                  ,                    ,              ,                                ,                      ,           ,                            ,                   ,                               ,                     ,                     ,                              ,+                       ,+              ,+                                    ,+                                      ,                  ,                 ,+            ,                ,                     ,                ,           ,                          ,                   ,               ,                ,                ,             ,questionable identity of Bradley ossa; from ODP Leg 122 SR Chapter 49 Table 1 p 836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 762,C, 18,X, 4,  21.00,    326.7100,Guernet  ,Ostracodes                                   ,               ,                  ,              ,                             ,                  ,                    ,              ,                                ,                      ,           ,                            ,                   ,                               ,                     ,                     ,                              ,+                       ,               ,+                                    ,                                       ,+                 ,+                ,             ,                ,                     ,                ,           ,                          ,                   ,               ,                ,                ,             ,from ODP Leg 122 SR Chapter 49 Table 1 p 836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 762,C, 19,X, 4,  19.00,    336.1900,Guernet  ,Ostracodes                                   ,               ,                  ,              ,                             ,                  ,                    ,              ,                                ,                      ,           ,                            ,                   ,                               ,                     ,                     ,                              ,                        ,               ,                                     ,+                                      ,                  ,                 ,             ,                ,                     ,                ,           ,                          ,                   ,               ,                ,                ,             ,from ODP Leg 122 SR Chapter 49 Table 1 p 836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 762,C, 20,X, 1,  49.00,    341.4900,Guernet  ,Ostracodes                                   ,               ,                  ,              ,                             ,                  ,                    ,              ,                                ,                      ,           ,                            ,                   ,                               ,                     ,                     ,                              ,                        ,+              ,                                     ,                                       ,                  ,                 ,             ,                ,                     ,                ,           ,                          ,                   ,               ,                ,                ,             ,from ODP Leg 122 SR Chapter 49 Table 1 p 836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 762,C, 21,X, 1,  20.00,    350.7000,Guernet  ,Ostracodes                                   ,               ,                  ,              ,                             ,                  ,                    ,              ,                                ,                      ,           ,                            ,                   ,                               ,                     ,                     ,                              ,+                       ,+              ,                                     ,                                       ,                  ,                 ,             ,                ,                     ,                ,           ,                          ,                   ,               ,                ,                ,             ,from ODP Leg 122 SR Chapter 49 Table 1 p 836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 762,C, 21,X, 2,  56.00,    352.5600,Guernet  ,Ostracodes                                   ,               ,                  ,              ,                             ,                  ,                    ,              ,                                ,                      ,           ,                            ,                   ,                               ,                     ,                     ,                              ,+                       ,+              ,                                     ,                                       ,+                 ,                 ,             ,                ,                     ,                ,           ,                          ,                   ,               ,                ,                ,             ,from ODP Leg 122 SR Chapter 49 Table 1 p 836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 762,C, 25,X, 1,  90.00,    389.4000,Guernet  ,Ostracodes                                   ,               ,                  ,              ,                             ,                  ,                    ,              ,                                ,                      ,           ,                            ,                   ,                               ,                     ,                     ,                              ,                        ,+              ,                                     ,                                       ,                  ,                 ,             ,                ,                     ,                ,           ,                          ,                   ,               ,                ,                ,             ,from ODP Leg 122 SR Chapter 49 Table 1 p 836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 762,C, 25,X, 3, 101.00,    392.5100,Guernet  ,Ostracodes                                   ,               ,                  ,              ,                             ,                  ,                    ,              ,                                ,                      ,           ,                            ,                   ,                               ,                     ,                     ,                              ,                        ,+              ,                                     ,+                                      ,                  ,                 ,             ,                ,                     ,                ,           ,                          ,                   ,               ,                ,                ,             ,questionable identity of Bairdoidea taxa; from ODP Leg 122 SR Chapter 49 Table 1 p 836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 762,C, 27,X, 1, 135.00,    403.8500,Guernet  ,Ostracodes                                   ,               ,                  ,              ,                             ,                  ,                    ,              ,                                ,                      ,           ,                            ,                   ,                               ,                     ,                     ,                              ,+                       ,+              ,                                     ,                                       ,                  ,                 ,             ,                ,                     ,                ,           ,                          ,                   ,               ,                ,                ,             ,from ODP Leg 122 SR Chapter 49 Table 1 p 836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 762,C, 27,X, 4,  30.00,    407.3000,Guernet  ,Ostracodes                                   ,               ,                  ,              ,                             ,                  ,                    ,              ,                                ,                      ,           ,                            ,                   ,                               ,                     ,                     ,                              ,+                       ,               ,                                     ,                                       ,                  ,                 ,             ,                ,                     ,                ,           ,                          ,                   ,               ,                ,                ,             ,from ODP Leg 122 SR Chapter 49 Table 1 p 836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 762,C, 29,X, 3,  27.00,    424.7700,Guernet  ,Ostracodes                                   ,               ,                  ,              ,                             ,                  ,                    ,              ,                                ,                      ,           ,                            ,                   ,                               ,                     ,                     ,                              ,+                       ,               ,                                     ,                                       ,                  ,                 ,             ,                ,                     ,                ,           ,                          ,                   ,               ,                ,                ,             ,from ODP Leg 122 SR Chapter 49 Table 1 p 836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 762,C, 30,X,CC,  35.00,    436.5500,Guernet  ,Ostracodes                                   ,               ,                  ,              ,                             ,                  ,                    ,              ,                                ,                      ,           ,                            ,                   ,                               ,                     ,                     ,                              ,+                       ,+              ,+                                    ,                                       ,                  ,                 ,             ,                ,                     ,                ,           ,                          ,                   ,               ,                ,                ,             ,from ODP Leg 122 SR Chapter 49 Table 1 p 836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 762,C, 31,X, 5,  78.00,    447.2800,Guernet  ,Ostracodes                                   ,               ,                  ,              ,                             ,                  ,                    ,              ,                                ,                      ,           ,                            ,                   ,                               ,                     ,                     ,                              ,+                       ,               ,                                     ,                                       ,                  ,                 ,             ,                ,                     ,                ,           ,                          ,                   ,               ,                ,                ,             ,from ODP Leg 122 SR Chapter 49 Table 1 p 836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 762,C, 39,X, 2,  60.00,    518.6000,Guernet  ,Ostracodes                                   ,               ,                  ,              ,                             ,                  ,                    ,              ,                                ,                      ,           ,                            ,                   ,                               ,                     ,                     ,                              ,                        ,+              ,                                     ,                                       ,                  ,                 ,             ,                ,                     ,                ,           ,                          ,                   ,               ,                ,                ,             ,from ODP Leg 122 SR Chapter 49 Table 1 p 836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 762,C, 40,X, 2,  60.00,    528.1000,Guernet  ,Ostracodes                                   ,               ,                  ,              ,                             ,                  ,                    ,              ,                                ,                      ,           ,                            ,                   ,                               ,                     ,                     ,                              ,                        ,+              ,+                                    ,                                       ,                  ,                 ,             ,                ,                     ,                ,           ,                          ,                   ,               ,                ,                ,             ,questionable identity of Actinocythereis o. orientalis;  from ODP Leg 122 SR Chapter 49 Table 1 p 836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 762,C, 40,X, 5,  60.00,    532.6000,Guernet  ,Ostracodes                                   ,               ,                  ,              ,                             ,                  ,                    ,              ,                                ,                      ,           ,                            ,                   ,                               ,                     ,                     ,                              ,                        ,+              ,                                     ,                                       ,                  ,                 ,             ,                ,                     ,                ,           ,                          ,                   ,               ,                ,                ,             ,from ODP Leg 122 SR Chapter 49 Table 1 p 836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 762,C, 41,X, 4, 100.00,    541.0000,Guernet  ,Ostracodes                                   ,               ,                  ,              ,                             ,                  ,                    ,              ,                                ,                      ,           ,                            ,                   ,                               ,                     ,                     ,                              ,+                       ,               ,                                     ,                                       ,                  ,                 ,             ,                ,                     ,                ,           ,                          ,                   ,               ,                ,                ,             ,from ODP Leg 122 SR Chapter 49 Table 1 p 836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 762,C, 43,X, 5,  45.00,    560.9500,Damotte  ,Ostracodes                                   ,               ,                  ,+             ,                             ,                  ,                    ,              ,                                ,                      ,           ,                            ,                   ,                               ,                     ,                     ,                              ,                        ,               ,                                     ,                                       ,                  ,                 ,             ,                ,                     ,                ,           ,                          ,                   ,               ,                ,                ,             ,from ODP Leg 122 SR Chapter 48 Table 2 p 822
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 762,C, 47,X, 4,  63.00,    597.6300,Damotte  ,Ostracodes                                   ,               ,                  ,              ,                             ,                  ,                    ,              ,                                ,                      ,           ,+                           ,                   ,+                              ,                     ,                     ,+                             ,                        ,               ,                                     ,                                       ,                  ,                 ,             ,                ,                     ,                ,           ,                          ,                   ,               ,                ,                ,             ,from ODP Leg 122 SR Chapter 48 Table 2 p 822
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 762,C, 49,X, 2,  64.00,    613.6400,Damotte  ,Ostracodes                                   ,               ,                  ,              ,                             ,                  ,                    ,              ,                                ,                      ,           ,+                           ,                   ,                               ,                     ,+                    ,                              ,                        ,               ,                                     ,                                       ,                  ,                 ,             ,                ,                     ,                ,           ,                          ,                   ,               ,                ,                ,             ,from ODP Leg 122 SR Chapter 48 Table 2 p 822
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 762,C, 52,X, 3, 106.00,    644.0600,Damotte  ,Ostracodes                                   ,               ,                  ,+             ,                             ,                  ,                    ,+             ,                                ,                      ,           ,                            ,                   ,                               ,                     ,                     ,                              ,                        ,               ,                                     ,                                       ,                  ,                 ,             ,                ,                     ,                ,           ,                          ,                   ,               ,                ,                ,             ,from ODP Leg 122 SR Chapter 48 Table 2 p 822
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 762,C, 53,X, 4,  15.00,    654.1500,Damotte  ,Ostracodes                                   ,               ,                  ,              ,                             ,                  ,                    ,              ,                                ,                      ,           ,+                           ,                   ,                               ,+                    ,                     ,                              ,                        ,               ,                                     ,                                       ,                  ,                 ,             ,                ,                     ,                ,           ,                          ,                   ,               ,                ,                ,             ,from ODP Leg 122 SR Chapter 48 Table 2 p 822
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 762,C, 54,X, 4, 148.00,    665.0900,Damotte  ,Ostracodes                                   ,               ,                  ,              ,                             ,                  ,                    ,              ,                                ,                      ,+          ,+                           ,                   ,+                              ,                     ,                     ,                              ,                        ,               ,                                     ,                                       ,                  ,                 ,             ,                ,                     ,                ,           ,                          ,                   ,               ,                ,                ,             ,from ODP Leg 122 SR Chapter 48 Table 2 p 822
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
