Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sphaeroidinellopsis seminulina	Sphaeroidinellopsis paenedehiscens	Sphaeroidinellopsis kochi	Neogloboquadrina humerosa	Neogloboquadrina acostaensis (dextral)	Globorotaloides hexagona	Globorotalia plesiotumida	Globorotalia margaritae	Globorotalia limbata	Globorotalia crassaformis crassaformis	Globoquadrina altispira	Globigerinoides trilobus	Globigerinoides sacculifer	Globigerinoides obliquus obliquus	Globigerinoides obliquus extremus	Globigerina nepenthes	Globigerina bulloides	Pulleniatina primalis	Neogloboquadrina pachyderma (dextral)	Globorotalia puncticulata	Globorotalia multicamerata	Globorotalia menardii	Globorotalia conomiozea	Globoquadrina venezuelana	Pulleniatina praecursor	Orbulina universa	Globorotalia scitula	Globorotalia miocenica	Globigerinoides conglobatus	Neogloboquadrina dutertrei	Neogloboquadrina continuosa	Globorotalia tumida tumida	Globigerinoides ruber (white)	Globigerinita glutinata	Globigerina falconensis	Globigerina decoraperta	Globorotalia exilis	Globorotalia crassula	Globigerinella calida	Neogloboquadrina pseudopima	Globorotalia tumida flexuosa	Sphaeroidinella dehiscens	Beella digitata	Globigerinoides sp. cf. G. fistulosus	Pulleniatina obliquiloculata	Globorotalia triangula	Candeina nitida	Globorotalia inflata	Globorotalia crassaformis viola	Globorotalia truncatulinoides	Globorotalia crassaformis hessi	Globorotalia ungulata	Globigerinoides ruber (pink)	Comment

  SR	                 	                 	                  	              	108	 666	A	  4	H	CC	   7.00	     35.7000	Weaver   	Planktonic Foraminifers                      	A              	G                 	                              	                                  	                         	                         	                                      	R                       	                         	R                      	                    	R                                     	F                      	C                       	R                         	R                                	R                                	                     	                     	                     	                                     	                         	                          	                     	                       	                         	                       	F                	                    	R                     	R                          	R                         	                           	                          	C                            	R                      	                       	                       	R                  	R                    	                     	                           	                            	R                        	               	                                     	R                           	                      	               	                    	                               	                             	                               	                     	                            	sample with a large number of reworked species from ODP Leg 108 SR Chapter 5 Table 15 p 89

  SR	                 	                 	PL6               	              	108	 666	A	  5	H	CC	  15.00	     45.8400	Weaver   	Planktonic Foraminifers                      	A              	M                 	                              	                                  	                         	F                        	                                      	                        	                         	                       	R                   	R                                     	                       	C                       	F                         	R                                	                                 	                     	R                    	                     	C                                    	                         	                          	                     	                       	                         	                       	R                	R                   	                      	R                          	F                         	                           	                          	F                            	F                      	                       	                       	R                  	                     	                     	F                          	                            	R                        	R              	P                                    	R                           	R                     	               	R                   	R                              	                             	                               	                     	                            	from ODP Leg 108 SR Chapter 5 Table 15 p 89

  SR	                 	                 	PL5               	              	108	 666	A	  6	H	 6	 114.00	     54.6400	Weaver   	Planktonic Foraminifers                      	C              	M                 	                              	                                  	                         	C                        	                                      	                        	                         	                       	                    	R                                     	                       	C                       	R                         	R                                	                                 	                     	                     	                     	                                     	                         	                          	                     	                       	                         	                       	R                	R                   	F                     	R                          	                          	                           	                          	F                            	R                      	                       	R                      	                   	R                    	                     	F                          	                            	F                        	               	                                     	                            	                      	               	                    	                               	                             	                               	                     	                            	from ODP Leg 108 SR Chapter 5 Table 15 p 89

  SR	                 	                 	                  	              	108	 666	A	  6	H	CC	  11.00	     55.5500	Weaver   	Planktonic Foraminifers                      	A              	G                 	                              	                                  	                         	R                        	                                      	R                       	                         	                       	                    	R                                     	                       	F                       	F                         	F                                	R                                	                     	F                    	                     	R                                    	R                        	                          	                     	                       	                         	                       	R                	R                   	F                     	R                          	                          	                           	                          	F                            	C                      	                       	C                      	R                  	R                    	                     	F                          	                            	R                        	R              	                                     	                            	                      	R              	                    	                               	                             	                               	                     	                            	sample with a large number of reworked species from ODP Leg 108 SR Chapter 5 Table 15 p 89

  SR	                 	                 	                  	              	108	 666	A	  7	H	CC	  10.00	     64.4300	Weaver   	Planktonic Foraminifers                      	A              	G                 	R                             	                                  	                         	F                        	                                      	                        	                         	R                      	R                   	R                                     	R                      	C                       	F                         	                                 	F                                	R                    	                     	                     	R                                    	R                        	R                         	                     	                       	                         	                       	R                	R                   	C                     	R                          	R                         	                           	                          	F                            	R                      	                       	R                      	                   	                     	                     	F                          	                            	R                        	               	P                                    	R                           	R                     	               	                    	                               	                             	                               	                     	                            	sample with a large number of reworked species from ODP Leg 108 SR Chapter 5 Table 15 p 89

  SR	                 	                 	PL5               	              	108	 666	A	  8	H	 7	   8.00	     74.0800	Weaver   	Planktonic Foraminifers                      	A              	G                 	                              	                                  	                         	C                        	                                      	                        	                         	                       	                    	R                                     	                       	C                       	F                         	R                                	                                 	                     	R                    	                     	                                     	                         	                          	                     	                       	                         	R                      	R                	R                   	R                     	R                          	                          	                           	                          	F                            	R                      	                       	                       	                   	                     	                     	F                          	                            	R                        	               	P                                    	                            	                      	               	                    	                               	                             	                               	                     	                            	from ODP Leg 108 SR Chapter 5 Table 15 p 89

  SR	                 	                 	                  	              	108	 666	A	  8	H	CC	  10.00	     74.3100	Weaver   	Planktonic Foraminifers                      	A              	M                 	                              	                                  	                         	C                        	                                      	R                       	                         	                       	                    	R                                     	                       	F                       	F                         	F                                	R                                	                     	F                    	                     	F                                    	F                        	                          	                     	                       	                         	                       	R                	                    	F                     	R                          	                          	                           	                          	F                            	R                      	                       	F                      	                   	R                    	                     	                           	                            	R                        	R              	P                                    	                            	                      	               	                    	                               	                             	                               	                     	                            	sample with a large number of reworked species from ODP Leg 108 SR Chapter 5 Table 15 p 89

  SR	                 	                 	PL5               	              	108	 666	A	  9	H	CC	  15.00	     84.1000	Weaver   	Planktonic Foraminifers                      	A              	M                 	R                             	                                  	                         	F                        	                                      	R                       	                         	                       	                    	R                                     	                       	C                       	C                         	                                 	R                                	                     	F                    	                     	R                                    	R                        	                          	                     	                       	                         	                       	R                	                    	R                     	R                          	                          	                           	                          	F                            	R                      	                       	R                      	R                  	R                    	                     	R                          	                            	C                        	R              	                                     	                            	                      	               	                    	                               	                             	                               	                     	                            	from ODP Leg 108 SR Chapter 5 Table 15 p 89

  SR	                 	                 	PL5               	              	108	 666	A	 10	H	 6	 144.00	     92.9400	Weaver   	Planktonic Foraminifers                      	A              	M                 	                              	                                  	                         	C                        	                                      	                        	                         	                       	                    	                                      	                       	F                       	R                         	F                                	F                                	                     	R                    	                     	F                                    	R                        	R                         	C                    	                       	                         	                       	R                	                    	R                     	R                          	                          	                           	                          	F                            	R                      	                       	F                      	                   	                     	                     	                           	                            	R                        	               	                                     	                            	                      	               	                    	                               	                             	                               	                     	                            	from ODP Leg 108 SR Chapter 5 Table 15 p 89

  SR	                 	                 	                  	              	108	 666	A	 10	H	CC	   6.00	     93.5600	Weaver   	Planktonic Foraminifers                      	A              	M                 	R                             	                                  	                         	F                        	                                      	R                       	                         	                       	R                   	R                                     	R                      	F                       	F                         	F                                	F                                	                     	R                    	                     	R                                    	F                        	R                         	C                    	                       	                         	                       	R                	R                   	F                     	R                          	                          	                           	F                         	F                            	F                      	                       	F                      	                   	R                    	                     	                           	                            	R                        	               	                                     	                            	                      	               	                    	                               	                             	                               	                     	                            	sample with a large number of reworked species from ODP Leg 108 SR Chapter 5 Table 15 p 89

  SR	                 	                 	PL5               	              	108	 666	A	 11	H	CC	  16.00	    103.0400	Weaver   	Planktonic Foraminifers                      	A              	M                 	R                             	                                  	                         	F                        	                                      	R                       	                         	                       	F                   	R                                     	R                      	C                       	F                         	F                                	                                 	                     	R                    	                     	                                     	R                        	R                         	F                    	                       	R                        	                       	R                	                    	R                     	R                          	R                         	                           	R                         	R                            	F                      	                       	R                      	R                  	R                    	                     	R                          	F                           	                         	               	                                     	                            	                      	               	                    	                               	                             	                               	                     	                            	from ODP Leg 108 SR Chapter 5 Table 15 p 89

  SR	                 	                 	PL3               	              	108	 666	A	 12	H	 4	  54.00	    108.0400	Weaver   	Planktonic Foraminifers                      	A              	M                 	F                             	                                  	R                        	R                        	                                      	R                       	                         	                       	                    	R                                     	R                      	C                       	F                         	R                                	R                                	                     	                     	                     	F                                    	                         	C                         	C                    	                       	F                        	                       	R                	                    	R                     	R                          	                          	                           	                          	                             	                       	                       	R                      	                   	R                    	                     	                           	                            	                         	               	                                     	                            	                      	               	                    	                               	                             	                               	                     	                            	from ODP Leg 108 SR Chapter 5 Table 15 p 89

  SR	                 	                 	PL3               	              	108	 666	A	 12	H	CC	  11.00	    112.1400	Weaver   	Planktonic Foraminifers                      	A              	G                 	R                             	                                  	                         	F                        	                                      	R                       	                         	                       	R                   	R                                     	F                      	F                       	F                         	F                                	F                                	                     	R                    	                     	                                     	                         	R                         	                     	                       	R                        	R                      	R                	R                   	F                     	R                          	F                         	                           	                          	F                            	F                      	                       	R                      	R                  	R                    	R                    	                           	                            	                         	               	                                     	                            	                      	               	                    	                               	                             	                               	                     	                            	from ODP Leg 108 SR Chapter 5 Table 15 p 89

  SR	                 	                 	PL2               	              	108	 666	A	 13	H	CC	  15.00	    121.8100	Weaver   	Planktonic Foraminifers                      	A              	M                 	R                             	                                  	                         	F                        	                                      	R                       	                         	R                      	R                   	R                                     	F                      	F                       	F                         	F                                	F                                	                     	R                    	                     	R                                    	R                        	                          	                     	                       	R                        	                       	                 	R                   	R                     	                           	R                         	R                          	F                         	R                            	F                      	R                      	F                      	                   	                     	                     	                           	                            	                         	               	                                     	                            	                      	               	                    	                               	                             	                               	                     	                            	from ODP Leg 108 SR Chapter 5 Table 15 p 89

  SR	                 	                 	PL2               	              	108	 666	A	 14	H	 7	   3.00	    131.0300	Weaver   	Planktonic Foraminifers                      	A              	M                 	R                             	                                  	R                        	F                        	                                      	R                       	                         	                       	                    	R                                     	F                      	C                       	R                         	R                                	R                                	                     	                     	R                    	                                     	                         	F                         	C                    	                       	F                        	R                      	R                	R                   	R                     	R                          	                          	                           	                          	                             	                       	                       	                       	                   	                     	                     	                           	                            	                         	               	                                     	                            	                      	               	                    	                               	                             	                               	                     	                            	from ODP Leg 108 SR Chapter 5 Table 15 p 89

  SR	                 	                 	PL2               	              	108	 666	A	 15	H	CC	  21.00	    141.1800	Weaver   	Planktonic Foraminifers                      	A              	M                 	C                             	                                  	F                        	                         	                                      	R                       	                         	                       	                    	                                      	R                      	R                       	                          	R                                	                                 	                     	                     	R                    	R                                    	R                        	R                         	C                    	R                      	R                        	                       	                 	                    	                      	                           	                          	                           	                          	                             	                       	                       	                       	                   	                     	                     	                           	                            	                         	               	                                     	                            	                      	               	                    	                               	                             	                               	                     	                            	from ODP Leg 108 SR Chapter 5 Table 15 p 89

  SR	                 	                 	PL1               	              	108	 666	A	 16	H	 3	  79.00	    144.7900	Weaver   	Planktonic Foraminifers                      	C              	P                 	F                             	R                                 	R                        	R                        	F                                     	R                       	F                        	R                      	R                   	R                                     	R                      	C                       	R                         	C                                	F                                	R                    	R                    	                     	                                     	                         	                          	                     	                       	                         	                       	                 	                    	                      	                           	                          	                           	                          	                             	                       	                       	                       	                   	                     	                     	                           	                            	                         	               	                                     	                            	                      	               	                    	                               	                             	                               	                     	                            	from ODP Leg 108 SR Chapter 5 Table 15 p 89

