Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Gephyrocapsa aperta,Cyclococcolithus leptoporus,Coccolithus pelagicus,Pseudoemiliania lacunosa,Gephyrocapsa oceanica,Helicosphaera carteri,Cyclococcolithus macintyrei,Discolithina japonica,Cyclococcolithus sp. cf. C. macintyrei,Cyclococcolithus sp. cf. C. leptoporus,Helicosphaera sellii,Emiliania sp. cf. E. huxleyi,Comment
  SR,Quaternary       ,                 ,NN19              ,              ,112, 688,A,  6,H,CC,   9.00,     56.3000,Martini  ,Nannofossils                                 ,               ,P/M               ,F                  ,R                          ,R                    ,                        ,F                    ,R                    ,                           ,                     ,R                                     ,                                      ,                    ,                            ,from ODP Leg 112 SR Chapter 14 Table 12 p 234
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,NN19              ,              ,112, 688,A,  7,H,CC,  17.00,     65.9000,Martini  ,Nannofossils                                 ,               ,P/M               ,F                  ,R                          ,F                    ,R                       ,F                    ,R                    ,                           ,                     ,                                      ,                                      ,                    ,                            ,from ODP Leg 112 SR Chapter 14 Table 12 p 234
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,NN19              ,              ,112, 688,A,  8,X,CC,  22.00,     68.7700,Martini  ,Nannofossils                                 ,               ,P/M               ,F                  ,                           ,R                    ,                        ,R                    ,R                    ,                           ,                     ,                                      ,R                                     ,                    ,                            ,from ODP Leg 112 SR Chapter 14 Table 12 p 234
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,NN19              ,              ,112, 688,A,  9,X,CC,  10.00,     84.3300,Martini  ,Nannofossils                                 ,               ,P                 ,F                  ,R                          ,                     ,                        ,R                    ,R                    ,                           ,                     ,R                                     ,                                      ,                    ,                            ,reworked Miocene; from ODP Leg 112 SR Chapter 14 Table 12 p 234
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,NN19              ,              ,112, 688,A, 10,X,CC,  22.00,     88.2800,Martini  ,Nannofossils                                 ,               ,P                 ,F                  ,R                          ,                     ,R                       ,R                    ,                     ,                           ,                     ,                                      ,                                      ,                    ,                            ,from ODP Leg 112 SR Chapter 14 Table 12 p 234
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,NN19              ,              ,112, 688,A, 12,X,CC,  13.00,    105.7000,Martini  ,Nannofossils                                 ,               ,P                 ,F                  ,R                          ,                     ,                        ,R                    ,                     ,                           ,R                    ,                                      ,                                      ,                    ,                            ,from ODP Leg 112 SR Chapter 14 Table 12 p 234
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,NN19              ,              ,112, 688,A, 13,X,CC,  13.00,    122.3100,Martini  ,Nannofossils                                 ,               ,P/M               ,C                  ,F                          ,R                    ,C                       ,C                    ,F                    ,                           ,                     ,                                      ,                                      ,                    ,                            ,from ODP Leg 112 SR Chapter 14 Table 12 p 234
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,NN19              ,              ,112, 688,A, 17,X,CC,  22.00,    159.4200,Martini  ,Nannofossils                                 ,               ,P                 ,F                  ,R                          ,                     ,                        ,R                    ,R                    ,                           ,                     ,                                      ,                                      ,                    ,                            ,from ODP Leg 112 SR Chapter 14 Table 12 p 234
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,NN19              ,              ,112, 688,A, 18,X,CC,   9.00,    161.8900,Martini  ,Nannofossils                                 ,               ,P                 ,F                  ,                           ,                     ,                        ,R                    ,                     ,                           ,R                    ,                                      ,                                      ,                    ,                            ,from ODP Leg 112 SR Chapter 14 Table 12 p 234
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,NN19              ,              ,112, 688,A, 19,X,CC,  20.00,    176.9000,Martini  ,Nannofossils                                 ,               ,P/M               ,C                  ,F                          ,                     ,R                       ,C                    ,                     ,R                          ,                     ,                                      ,                                      ,                    ,                            ,from ODP Leg 112 SR Chapter 14 Table 12 p 234
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,NN19              ,              ,112, 688,A, 20,X,CC,  10.00,    179.9400,Martini  ,Nannofossils                                 ,               ,P                 ,F                  ,R                          ,R                    ,R                       ,F                    ,                     ,                           ,                     ,                                      ,                                      ,                    ,                            ,from ODP Leg 112 SR Chapter 14 Table 12 p 234
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,NN19              ,              ,112, 688,A, 21,X,CC,  18.00,    193.1600,Martini  ,Nannofossils                                 ,               ,P                 ,R                  ,R                          ,R                    ,                        ,R                    ,                     ,                           ,                     ,                                      ,                                      ,                    ,                            ,from ODP Leg 112 SR Chapter 14 Table 12 p 234
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,NN19              ,              ,112, 688,A, 22,X, 1,  40.00,    198.7000,Martini  ,Nannofossils                                 ,               ,P                 ,F                  ,R                          ,R                    ,R                       ,F                    ,R                    ,                           ,                     ,                                      ,                                      ,                    ,                            ,from ODP Leg 112 SR Chapter 14 Table 12 p 234
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 688,A, 24,X, 1, 115.00,    218.4500,Martini  ,Nannofossils                                 ,               ,P                 ,R                  ,R                          ,                     ,                        ,R                    ,                     ,                           ,                     ,                                      ,                                      ,                    ,                            ,uncertain age; from ODP Leg 112 SR Chapter 14 Table 12 p 234
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 688,A, 28,X,CC,   7.00,    257.1000,Martini  ,Nannofossils                                 ,               ,P                 ,R                  ,R                          ,R                    ,                        ,                     ,                     ,                           ,                     ,                                      ,                                      ,                    ,                            ,uncertain age; from ODP Leg 112 SR Chapter 14 Table 12 p 234
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 688,A, 29,X,CC,  23.00,    274.4500,Martini  ,Nannofossils                                 ,               ,P                 ,F                  ,                           ,F                    ,R                       ,R                    ,                     ,                           ,                     ,                                      ,                                      ,                    ,                            ,uncertain age; from ODP Leg 112 SR Chapter 14 Table 12 p 234
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 688,A, 32,X,CC,  17.00,    304.8300,Martini  ,Nannofossils                                 ,               ,P                 ,R                  ,                           ,R                    ,                        ,                     ,                     ,                           ,                     ,                                      ,                                      ,                    ,                            ,uncertain age; from ODP Leg 112 SR Chapter 14 Table 12 p 234
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 688,A, 33,X,CC,  16.00,    310.8800,Martini  ,Nannofossils                                 ,               ,P                 ,R                  ,                           ,R                    ,                        ,                     ,                     ,                           ,                     ,                                      ,                                      ,                    ,                            ,uncertain age; from ODP Leg 112 SR Chapter 14 Table 12 p 234
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 688,A, 34,X,CC,   9.00,    321.8800,Martini  ,Nannofossils                                 ,               ,P                 ,F                  ,R                          ,                     ,                        ,                     ,                     ,                           ,                     ,                                      ,                                      ,                    ,                            ,uncertain age; from ODP Leg 112 SR Chapter 14 Table 12 p 234
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
