Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Distephanus speculum speculum,Dictyocha varia,Dictyocha epiodon,Actiniscus pentasterias s.l.,Mesocena elliptica,Actiniscus cf. elongatus,Hermesinella conata,Distephanus crux crux,Paramesocena circulus apiculata,Naviculopsis lata,Naviculopsis biapiculata,Ebriopsis crenulata,Corbisema triacantha,Corbisema hexacantha,Naviculopsis constricta,Dictyocha medusa,Dictyocha fibula fibula,Distephanus sp. 1,Mesocena quadrangula,Dictyocha messanensis stapedia,Dictyocha messanensis aculeata,Distephanus sp. 2,Dictyocha perlaevis perlaevis,Distephanus bioctonarius bioctonarius,Dictyocha messaensis m. aspinosa,Distephanus speculum  pentagonus,Distephanus bioctonarius binonarius,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,D. mess. aculeata ,              ,112, 685,A,  5,X,CC,  10.00,     40.2500,Martini  ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,R                            ,               ,                 ,R                           ,                  ,                        ,                   ,                     ,                               ,                 ,                        ,                   ,                    ,                    ,                       ,                ,                       ,                 ,                    ,R                             ,R                             ,                 ,R                            ,                                     ,C                               ,                                ,                                   ,from ODP Leg 112 SR Chapter 10 Table3 p 161
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,D. mess. aculeata ,              ,112, 685,A,  6,X,CC,  13.00,     51.5300,Martini  ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,R                            ,               ,                 ,                            ,                  ,                        ,                   ,                     ,                               ,                 ,                        ,                   ,                    ,                    ,                       ,                ,                       ,                 ,                    ,                              ,R                             ,                 ,R                            ,                                     ,C                               ,                                ,                                   ,from ODP Leg 112 SR Chapter 10 Table3 p 161
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,D. mess. aculeata ,              ,112, 685,A,  7,X,CC,  15.00,     56.2500,Martini  ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,R                            ,               ,                 ,                            ,                  ,                        ,                   ,                     ,                               ,                 ,                        ,                   ,                    ,                    ,                       ,                ,                       ,                 ,                    ,                              ,F                             ,                 ,                             ,R                                    ,C                               ,                                ,                                   ,from ODP Leg 112 SR Chapter 10 Table3 p 161
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,B. quadrangula    ,              ,112, 685,A,  8,X,CC,  25.00,     70.7000,Martini  ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                             ,               ,                 ,                            ,                  ,                        ,                   ,                     ,                               ,                 ,                        ,                   ,                    ,                    ,                       ,                ,                       ,                 ,R                   ,C                             ,                              ,                 ,R                            ,R                                    ,F                               ,                                ,                                   ,from ODP Leg 112 SR Chapter 10 Table3 p 161
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,B. quadrangula    ,              ,112, 685,A,  9,X,CC,  18.00,     82.0700,Martini  ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,R                            ,               ,                 ,                            ,                  ,                        ,                   ,                     ,                               ,                 ,                        ,                   ,                    ,                    ,                       ,                ,                       ,                 ,                    ,F                             ,                              ,                 ,                             ,                                     ,F                               ,                                ,                                   ,from ODP Leg 112 SR Chapter 10 Table3 p 161
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,B. quadrangula    ,              ,112, 685,A, 10,X,CC,  14.00,     88.1400,Martini  ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                             ,               ,                 ,                            ,                  ,                        ,R                  ,                     ,                               ,                 ,                        ,                   ,                    ,                    ,                       ,                ,                       ,                 ,                    ,R                             ,                              ,                 ,                             ,                                     ,R                               ,                                ,                                   ,from ODP Leg 112 SR Chapter 10 Table3 p 161
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,B. quadrangula    ,              ,112, 685,A, 11,X,CC,  19.00,     99.2100,Martini  ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                             ,               ,                 ,                            ,                  ,                        ,                   ,                     ,                               ,                 ,                        ,                   ,                    ,                    ,                       ,                ,                       ,                 ,                    ,C                             ,F                             ,                 ,                             ,                                     ,C                               ,                                ,                                   ,from ODP Leg 112 SR Chapter 10 Table3 p 161
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,B. quadrangula    ,              ,112, 685,A, 12,X,CC,  13.00,    110.1200,Martini  ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                             ,               ,                 ,                            ,                  ,                        ,                   ,                     ,                               ,                 ,                        ,                   ,                    ,                    ,                       ,                ,                       ,                 ,                    ,F                             ,                              ,                 ,R                            ,                                     ,R                               ,                                ,                                   ,from ODP Leg 112 SR Chapter 10 Table3 p 161
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,B. quadrangula    ,              ,112, 685,A, 13,X,CC,  15.00,    112.4200,Martini  ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,R                            ,               ,                 ,                            ,                  ,                        ,                   ,r                    ,                               ,                 ,                        ,                   ,                    ,                    ,                       ,                ,                       ,                 ,                    ,F                             ,                              ,                 ,                             ,                                     ,R                               ,                                ,                                   ,from ODP Leg 112 SR Chapter 10 Table3 p 161
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,B. quadrangula    ,              ,112, 685,A, 14,X,CC,  15.00,    123.2300,Martini  ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                             ,               ,                 ,R                           ,                  ,                        ,                   ,                     ,                               ,                 ,                        ,                   ,                    ,                    ,                       ,                ,                       ,                 ,R                   ,F                             ,R                             ,                 ,                             ,                                     ,                                ,                                ,                                   ,from ODP Leg 112 SR Chapter 10 Table3 p 161
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,B. quadrangula    ,              ,112, 685,A, 15,X,CC,   0.00,    133.9000,Martini  ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                             ,               ,                 ,                            ,                  ,                        ,                   ,                     ,                               ,                 ,                        ,                   ,                    ,                    ,                       ,                ,                       ,                 ,                    ,F                             ,R                             ,                 ,                             ,                                     ,R                               ,                                ,                                   ,from ODP Leg 112 SR Chapter 10 Table3 p 161
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,B. quadrangula    ,              ,112, 685,A, 16,X,CC,  10.00,    142.2500,Martini  ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                             ,               ,                 ,                            ,                  ,                        ,                   ,                     ,                               ,                 ,                        ,                   ,                    ,                    ,                       ,                ,                       ,                 ,R                   ,F                             ,R                             ,                 ,                             ,R                                    ,                                ,                                ,                                   ,from ODP Leg 112 SR Chapter 10 Table3 p 161
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,B. quadrangula    ,              ,112, 685,A, 17,X,CC,  30.00,    158.2700,Martini  ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                             ,               ,                 ,                            ,                  ,                        ,                   ,                     ,                               ,                 ,                        ,                   ,                    ,                    ,                       ,                ,                       ,                 ,                    ,F                             ,                              ,                 ,                             ,R                                    ,                                ,                                ,                                   ,from ODP Leg 112 SR Chapter 10 Table3 p 161
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,B. quadrangula    ,              ,112, 685,A, 18,X,CC,  60.00,    168.8700,Martini  ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                             ,               ,                 ,                            ,                  ,                        ,                   ,                     ,                               ,                 ,                        ,                   ,                    ,                    ,                       ,                ,                       ,                 ,R                   ,C                             ,                              ,R                ,                             ,                                     ,                                ,                                ,                                   ,from ODP Leg 112 SR Chapter 10 Table3 p 161
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,B. quadrangula    ,              ,112, 685,A, 19,X,CC,  20.00,    166.4500,Martini  ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,r                            ,               ,                 ,                            ,                  ,                        ,                   ,                     ,                               ,                 ,                        ,                   ,                    ,                    ,                       ,                ,                       ,                 ,                    ,C                             ,                              ,                 ,R                            ,                                     ,                                ,                                ,                                   ,from ODP Leg 112 SR Chapter 10 Table3 p 161
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,B. quadrangula    ,              ,112, 685,A, 20,X,CC,  15.00,    185.7500,Martini  ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                             ,               ,                 ,R                           ,                  ,                        ,                   ,                     ,                               ,                 ,                        ,                   ,                    ,                    ,                       ,                ,                       ,                 ,F                   ,F                             ,                              ,                 ,                             ,                                     ,                                ,                                ,                                   ,from ODP Leg 112 SR Chapter 10 Table3 p 161
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,B. quadrangula    ,              ,112, 685,A, 21,X,CC,  43.00,    195.6900,Martini  ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                             ,               ,                 ,R                           ,                  ,                        ,                   ,                     ,                               ,                 ,                        ,                   ,                    ,                    ,                       ,                ,                       ,                 ,F                   ,F                             ,                              ,                 ,                             ,                                     ,                                ,                                ,                                   ,from ODP Leg 112 SR Chapter 10 Table3 p 161
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,B. quadrangula    ,              ,112, 685,A, 22,X,CC,  22.00,    200.0100,Martini  ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                             ,               ,                 ,                            ,                  ,                        ,                   ,                     ,                               ,                 ,                        ,                   ,                    ,                    ,                       ,                ,                       ,                 ,F                   ,R                             ,r                             ,                 ,                             ,                                     ,                                ,                                ,                                   ,from ODP Leg 112 SR Chapter 10 Table3 p 161
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,Late Miocene     ,D. varia          ,              ,112, 685,A, 23,X,CC,  14.00,    203.7400,Martini  ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,R                            ,R              ,                 ,                            ,                  ,                        ,                   ,R                    ,                               ,                 ,                        ,                   ,                    ,                    ,                       ,                ,                       ,                 ,                    ,                              ,                              ,                 ,                             ,                                     ,                                ,                                ,                                   ,D.m. stapedia questionary occurrence from ODP Leg 112 SR Chapter 10 Table3 p 161
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,Late Miocene     ,D. varia          ,              ,112, 685,A, 25,X,CC,  15.00,    223.1000,Martini  ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,R                            ,               ,R                ,R                           ,                  ,                        ,R                  ,                     ,                               ,                 ,                        ,                   ,                    ,                    ,                       ,                ,R                      ,                 ,                    ,                              ,                              ,                 ,                             ,                                     ,                                ,                                ,                                   ,from ODP Leg 112 SR Chapter 10 Table3 p 161
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,Late Miocene     ,D. varia          ,              ,112, 685,A, 26,X,CC,   7.00,    232.1700,Martini  ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                             ,               ,R                ,                            ,                  ,                        ,                   ,                     ,                               ,                 ,                        ,                   ,                    ,                    ,                       ,                ,                       ,                 ,                    ,                              ,                              ,                 ,                             ,                                     ,                                ,                                ,                                   ,from ODP Leg 112 SR Chapter 10 Table3 p 161
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,Late Miocene     ,D. varia          ,              ,112, 685,A, 27,X,CC,  12.00,    235.3200,Martini  ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                             ,R              ,                 ,                            ,                  ,                        ,                   ,                     ,                               ,                 ,                        ,                   ,                    ,                    ,                       ,                ,                       ,                 ,                    ,                              ,                              ,                 ,                             ,                                     ,                                ,                                ,                                   ,from ODP Leg 112 SR Chapter 10 Table3 p 161
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,Late Miocene     ,D. varia          ,              ,112, 685,A, 28,X,CC,   7.00,    255.8000,Martini  ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,F                            ,F              ,R                ,R                           ,                  ,R                       ,                   ,R                    ,R                              ,                 ,                        ,                   ,                    ,                    ,                       ,                ,                       ,R                ,                    ,                              ,                              ,                 ,                             ,                                     ,                                ,                                ,                                   ,from ODP Leg 112 SR Chapter 10 Table3 p 161
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,Late Miocene     ,D. varia          ,              ,112, 685,A, 29,X,CC,  25.00,    256.7500,Martini  ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,F                            ,F              ,R                ,R                           ,                  ,                        ,                   ,R                    ,R                              ,r                ,                        ,                   ,                    ,                    ,r                      ,                ,                       ,                 ,                    ,                              ,                              ,                 ,                             ,                                     ,                                ,                                ,                                   ,from ODP Leg 112 SR Chapter 10 Table3 p 161
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,Late Miocene     ,D. varia          ,              ,112, 685,A, 30,X,CC,  18.00,    265.1500,Martini  ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,R                            ,R              ,F                ,R                           ,                  ,R                       ,                   ,R                    ,                               ,                 ,                        ,                   ,                    ,                    ,                       ,                ,R                      ,                 ,                    ,                              ,                              ,                 ,                             ,                                     ,                                ,                                ,                                   ,from ODP Leg 112 SR Chapter 10 Table3 p 161
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,Late Miocene     ,D. varia          ,              ,112, 685,A, 31,X,CC,  25.00,    272.0000,Martini  ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,R                            ,F              ,R                ,R                           ,                  ,R                       ,                   ,                     ,                               ,                 ,                        ,                   ,                    ,                    ,                       ,                ,                       ,                 ,                    ,                              ,                              ,                 ,                             ,                                     ,                                ,                                ,                                   ,from ODP Leg 112 SR Chapter 10 Table3 p 161
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,Late Miocene     ,D. varia          ,              ,112, 685,A, 32,X,CC,  25.00,    286.8900,Martini  ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                             ,R              ,R                ,R                           ,                  ,R                       ,                   ,                     ,R                              ,                 ,                        ,                   ,                    ,                    ,                       ,                ,                       ,                 ,                    ,                              ,                              ,                 ,                             ,                                     ,                                ,                                ,                                   ,P.c.circulus questionary occurrence from ODP Leg 112 SR Chapter 10 Table3 p 161
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,Late Miocene     ,D. varia          ,              ,112, 685,A, 33,X,CC,  18.00,    291.1800,Martini  ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                             ,               ,R                ,R                           ,                  ,                        ,                   ,R                    ,                               ,                 ,                        ,                   ,                    ,                    ,                       ,                ,                       ,                 ,                    ,                              ,                              ,                 ,                             ,                                     ,                                ,                                ,                                   ,from ODP Leg 112 SR Chapter 10 Table3 p 161
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,Late Miocene     ,D. varia          ,              ,112, 685,A, 34,X,CC,  28.00,    310.2400,Martini  ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,R                            ,               ,R                ,                            ,                  ,                        ,                   ,                     ,                               ,                 ,                        ,                   ,                    ,                    ,                       ,                ,R                      ,                 ,                    ,                              ,                              ,                 ,                             ,                                     ,                                ,                                ,                                   ,from ODP Leg 112 SR Chapter 10 Table3 p 161
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,Late Miocene     ,D. varia          ,              ,112, 685,A, 35,X,CC,  30.00,    319.0500,Martini  ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,R                            ,R              ,R                ,                            ,                  ,                        ,                   ,                     ,                               ,                 ,                        ,                   ,                    ,                    ,                       ,                ,                       ,                 ,                    ,                              ,                              ,                 ,                             ,                                     ,                                ,                                ,                                   ,from ODP Leg 112 SR Chapter 10 Table3 p 161
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,Late Miocene     ,D. varia          ,              ,112, 685,A, 36,X,CC,  20.00,    330.8500,Martini  ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,R                            ,R              ,                 ,R                           ,                  ,                        ,                   ,                     ,                               ,                 ,                        ,                   ,                    ,                    ,                       ,R               ,                       ,                 ,                    ,                              ,                              ,                 ,                             ,                                     ,                                ,                                ,                                   ,from ODP Leg 112 SR Chapter 10 Table3 p 161
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,Late Miocene     ,D. varia          ,              ,112, 685,A, 37,X,CC,  19.00,    332.4500,Martini  ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                             ,R              ,                 ,                            ,                  ,                        ,                   ,                     ,                               ,                 ,                        ,                   ,                    ,                    ,                       ,                ,                       ,                 ,                    ,                              ,                              ,                 ,                             ,                                     ,                                ,                                ,                                   ,from ODP Leg 112 SR Chapter 10 Table3 p 161
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,Late Miocene     ,D. varia          ,              ,112, 685,A, 38,X,CC,  16.00,    338.7800,Martini  ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                             ,               ,R                ,                            ,                  ,                        ,                   ,                     ,                               ,                 ,                        ,                   ,                    ,                    ,                       ,                ,                       ,                 ,                    ,                              ,                              ,                 ,                             ,                                     ,                                ,                                ,                                   ,from ODP Leg 112 SR Chapter 10 Table3 p 161
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,Late Miocene     ,D. varia          ,              ,112, 685,A, 39,X,CC,   5.00,    358.9700,Martini  ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                             ,R              ,R                ,R                           ,                  ,                        ,                   ,                     ,                               ,                 ,                        ,                   ,                    ,                    ,                       ,                ,                       ,                 ,                    ,                              ,                              ,                 ,                             ,                                     ,                                ,                                ,                                   ,from ODP Leg 112 SR Chapter 10 Table3 p 161
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,Late Miocene     ,D. varia          ,              ,112, 685,A, 40,X,CC,   4.00,    360.7500,Martini  ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,R                            ,R              ,                 ,                            ,                  ,                        ,                   ,                     ,R                              ,                 ,                        ,                   ,                    ,                    ,                       ,R               ,                       ,                 ,                    ,                              ,                              ,                 ,                             ,                                     ,                                ,                                ,                                   ,from ODP Leg 112 SR Chapter 10 Table3 p 161
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,Late Miocene     ,D. varia          ,              ,112, 685,A, 41,X,CC,  23.00,    367.4600,Martini  ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                             ,R              ,R                ,                            ,                  ,                        ,                   ,                     ,                               ,                 ,                        ,                   ,                    ,                    ,                       ,                ,                       ,                 ,                    ,                              ,                              ,                 ,                             ,                                     ,                                ,                                ,                                   ,from ODP Leg 112 SR Chapter 10 Table3 p 161
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,Late Miocene     ,D. varia          ,              ,112, 685,A, 42,X,CC,  24.00,    378.9400,Martini  ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,R                            ,R              ,R                ,                            ,                  ,R                       ,                   ,R                    ,                               ,                 ,                        ,                   ,                    ,                    ,                       ,                ,                       ,                 ,                    ,                              ,                              ,                 ,                             ,                                     ,                                ,                                ,                                   ,from ODP Leg 112 SR Chapter 10 Table3 p 161
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,Late Miocene     ,D. varia          ,              ,112, 685,A, 43,X,CC,  20.00,    386.4500,Martini  ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                             ,               ,                 ,                            ,                  ,                        ,                   ,                     ,                               ,                 ,                        ,r                  ,                    ,r                   ,r                      ,                ,                       ,                 ,                    ,                              ,                              ,                 ,                             ,                                     ,                                ,                                ,                                   ,from ODP Leg 112 SR Chapter 10 Table3 p 161
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,Late Miocene     ,D. varia          ,              ,112, 685,A, 44,X,CC,  31.00,    396.4100,Martini  ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                             ,               ,                 ,                            ,                  ,                        ,                   ,                     ,                               ,r                ,r                       ,r                  ,r                   ,r                   ,                       ,                ,                       ,                 ,                    ,                              ,                              ,                 ,                             ,                                     ,                                ,                                ,                                   ,from ODP Leg 112 SR Chapter 10 Table3 p 161
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,Late Miocene     ,D. varia          ,              ,112, 685,A, 45,X,CC,  25.00,    402.7600,Martini  ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,R                            ,F              ,R                ,                            ,                  ,                        ,                   ,R                    ,R                              ,                 ,                        ,                   ,                    ,                    ,                       ,                ,                       ,                 ,                    ,                              ,                              ,                 ,                             ,                                     ,                                ,                                ,                                   ,from ODP Leg 112 SR Chapter 10 Table3 p 161
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,Late Miocene     ,D. varia          ,              ,112, 685,A, 46,X,CC,  20.00,    413.8000,Martini  ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,R                            ,F              ,R                ,R                           ,                  ,                        ,R                  ,R                    ,                               ,                 ,                        ,                   ,                    ,                    ,                       ,                ,                       ,                 ,                    ,                              ,                              ,                 ,                             ,                                     ,                                ,                                ,                                   ,from ODP Leg 112 SR Chapter 10 Table3 p 161
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,Late Miocene     ,D. varia          ,              ,112, 685,A, 47,X,CC,  23.00,    422.7100,Martini  ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                             ,               ,R                ,                            ,                  ,                        ,                   ,                     ,                               ,                 ,                        ,                   ,                    ,                    ,                       ,                ,                       ,                 ,                    ,                              ,                              ,                 ,                             ,                                     ,                                ,                                ,                                   ,D.varia questionary occurrence from ODP Leg 112 SR Chapter 10 Table3 p 161
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
