Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Oligosphaeridium spp.,Leptodinium eumorphum,Fromea cylindrica,Egmontodinium torynum,Cribroperidinium spp.,Batioladinium reticulatum,Apteodinium granulatum,Systematophora areolata,Tubotuberella vlamingii,Impagidinium spp.,Phoberocysta neocomica,Stelladinium spp.,Muderongia testudinaria,Muderongia australis,Dingodinium cerviculum,Muderongia tetracantha,Kaiwaradinium scrutillinum,Belodinium dysculum,Circulodinium deflandrei,Cassiculosphaeridia magna,Herendeenia postprojecta,Epitricysta vinckensis,Ovoidinium cinctum,Carpodinium granulatum,Odontochitina operculata,Muderongia macwhaei,Batioladinium micropodum,Circulodinium colliveri,Atlantodinium sp. A,Yalkalpodinium scutum,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Aptian           ,                 ,2c                ,              ,122, 763,B, 41,X, 2,  47.00,    562.4700,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                     ,                     ,                 ,                     ,                     ,                         ,+                     ,                       ,                       ,                 ,                      ,                 ,                       ,+                   ,                      ,                      ,                          ,                   ,                        ,                         ,                        ,                      ,                  ,                      ,                        ,                   ,                        ,                       ,+                  ,                     ,from ODP Leg 122 SR Chapter 31 Figure 4 p 515 and Fig 2 p 513
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Aptian           ,                 ,2c                ,              ,122, 763,B, 42,X, 2,  45.00,    570.7900,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,+                    ,                     ,                 ,                     ,                     ,                         ,                      ,                       ,                       ,                 ,                      ,+                ,                       ,                    ,                      ,                      ,                          ,                   ,                        ,                         ,                        ,                      ,                  ,                      ,                        ,                   ,                        ,+                      ,                   ,                     ,from ODP Leg 122 SR Chapter 31 Figure 4 p 515 and Fig 2 p 513
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Aptian           ,                 ,2c                ,              ,122, 763,B, 42,X, 3,  44.00,    572.2800,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,R                    ,                     ,                 ,                     ,F                    ,                         ,R                     ,                       ,                       ,C                ,                      ,F                ,                       ,R                   ,C                     ,R                     ,                          ,                   ,                        ,                         ,                        ,                      ,R                 ,                      ,F                       ,F                  ,R                       ,                       ,                   ,                     ,from ODP Leg 122 SR Chapter 31 Figure 4 p 515 and Fig 2 p 513
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Aptian           ,                 ,2c                ,              ,122, 763,B, 42,X, 4,  45.00,    573.7900,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                     ,                     ,                 ,                     ,F                    ,                         ,R                     ,                       ,                       ,F                ,                      ,R                ,                       ,                    ,R                     ,                      ,                          ,                   ,                        ,                         ,                        ,                      ,R                 ,F                     ,R                       ,R                  ,                        ,                       ,                   ,                     ,from ODP Leg 122 SR Chapter 31 Figure 4 p 515 and Fig 2 p 513
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Berriasian       ,Aptian           ,2dii-iii          ,2c            ,122, 763,B, 42,X, 5,  46.00,    575.3000,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                     ,                     ,                 ,                     ,+                    ,                         ,                      ,                       ,                       ,+                ,                      ,                 ,                       ,                    ,                      ,                      ,                          ,                   ,+                       ,                         ,                        ,                      ,                  ,                      ,                        ,                   ,                        ,                       ,                   ,                     ,from ODP Leg 122 SR Chapter 31 Figure 4 p 515 and Fig 2 p 513
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Berriasian       ,Aptian           ,2dii-iii          ,2c            ,122, 763,B, 42,X, 6,  47.00,    576.8100,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                     ,                     ,                 ,                     ,                     ,                         ,                      ,                       ,                       ,+                ,                      ,+                ,                       ,                    ,                      ,                      ,                          ,                   ,                        ,                         ,                        ,                      ,                  ,                      ,                        ,                   ,                        ,                       ,                   ,                     ,from ODP Leg 122 SR Chapter 31 Figure 4 p 515 and Fig 2 p 513
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Berriasian       ,Aptian           ,2dii-iii          ,2c            ,122, 763,B, 42,X, 7,  47.00,    578.3100,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,+                    ,                     ,                 ,                     ,+                    ,                         ,                      ,                       ,                       ,+                ,                      ,+                ,                       ,                    ,                      ,+                     ,                          ,                   ,                        ,                         ,                        ,                      ,                  ,                      ,                        ,                   ,                        ,                       ,                   ,                     ,from ODP Leg 122 SR Chapter 31 Figure 4 p 515 and Fig 2 p 513
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Berriasian       ,Aptian           ,2dii-iii          ,2c            ,122, 763,B, 42,X, 7,  50.00,    578.3400,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                     ,                     ,                 ,                     ,                     ,                         ,                      ,                       ,                       ,+                ,                      ,                 ,                       ,                    ,+                     ,                      ,                          ,                   ,                        ,                         ,                        ,                      ,                  ,+                     ,                        ,                   ,                        ,                       ,                   ,                     ,from ODP Leg 122 SR Chapter 31 Figure 4 p 515 and Fig 2 p 513
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Berriasian       ,Aptian           ,2dii-iii          ,2c            ,122, 763,B, 43,X, 1,  44.00,    579.9400,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                     ,                     ,                 ,                     ,                     ,                         ,+                     ,                       ,                       ,                 ,                      ,                 ,                       ,                    ,+                     ,                      ,                          ,                   ,                        ,                         ,                        ,                      ,                  ,                      ,+                       ,                   ,                        ,                       ,                   ,                     ,from ODP Leg 122 SR Chapter 31 Figure 4 p 515 and Fig 2 p 513
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Hauterivian      ,Berriasian       ,2dii-iii          ,              ,122, 763,B, 43,X, 3,  48.00,    582.9800,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,R                    ,                     ,                 ,                     ,R                    ,                         ,F                     ,                       ,                       ,F                ,                      ,F                ,                       ,                    ,F                     ,                      ,F                         ,                   ,                        ,                         ,R                       ,F                     ,                  ,                      ,                        ,                   ,                        ,                       ,                   ,                     ,from ODP Leg 122 SR Chapter 31 Figure 4 p 515 and Fig 2 p 513
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Hauterivian      ,Berriasian       ,2dii-iii          ,              ,122, 763,B, 43,X,CC,  48.00,    584.3300,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                     ,                     ,                 ,                     ,F                    ,                         ,F                     ,                       ,                       ,F                ,                      ,F                ,                       ,R                   ,R                     ,R                     ,R                         ,F                  ,R                       ,                         ,F                       ,                      ,                  ,                      ,                        ,                   ,                        ,                       ,                   ,                     ,from ODP Leg 122 SR Chapter 31 Figure 4 p 515 and Fig 2 p 513
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Hauterivian      ,Berriasian       ,2dii-iii          ,              ,122, 763,B, 44,X, 1, 104.00,    590.0400,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,F                    ,                     ,                 ,                     ,C                    ,                         ,                      ,                       ,                       ,F                ,                      ,F                ,                       ,                    ,F                     ,F                     ,R                         ,F                  ,R                       ,R                        ,F                       ,                      ,                  ,+                     ,                        ,                   ,                        ,                       ,                   ,                     ,from ODP Leg 122 SR Chapter 31 Figure 4 p 515 and Fig 2 p 513
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Hauterivian      ,Berriasian       ,2dii-iii          ,              ,122, 763,B, 44,X, 2, 101.00,    591.5100,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,F                    ,                     ,                 ,                     ,C                    ,                         ,C                     ,                       ,                       ,F                ,                      ,F                ,                       ,F                   ,R                     ,R                     ,R                         ,F                  ,                        ,                         ,R                       ,R                     ,                  ,                      ,                        ,                   ,                        ,                       ,                   ,                     ,from ODP Leg 122 SR Chapter 31 Figure 4 p 515 and Fig 2 p 513
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Hauterivian      ,Berriasian       ,2dii-iii          ,              ,122, 763,B, 44,X, 3,  35.00,    592.3500,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,F                    ,                     ,                 ,                     ,                     ,                         ,+                     ,                       ,                       ,+                ,                      ,+                ,                       ,+                   ,+                     ,                      ,                          ,+                  ,                        ,                         ,+                       ,                      ,+                 ,                      ,                        ,                   ,                        ,                       ,                   ,                     ,from ODP Leg 122 SR Chapter 31 Figure 4 p 515 and Fig 2 p 513
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Hauterivian      ,Berriasian       ,2dii-iii          ,              ,122, 763,B, 44,X, 3,  37.00,    592.3700,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,R                    ,                     ,                 ,                     ,R                    ,                         ,F                     ,                       ,                       ,F                ,                      ,F                ,                       ,F                   ,C                     ,                      ,R                         ,F                  ,R                       ,R                        ,R                       ,                      ,R                 ,                      ,                        ,                   ,                        ,                       ,                   ,                     ,from ODP Leg 122 SR Chapter 31 Figure 4 p 515 and Fig 2 p 513
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Hauterivian      ,Berriasian       ,2dii-iii          ,              ,122, 763,B, 44,X, 4,  82.00,    594.3200,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,R                    ,                     ,                 ,                     ,R                    ,                         ,F                     ,                       ,                       ,F                ,                      ,                 ,                       ,R                   ,C                     ,                      ,                          ,F                  ,R                       ,R                        ,R                       ,                      ,                  ,                      ,                        ,                   ,                        ,                       ,                   ,                     ,from ODP Leg 122 SR Chapter 31 Figure 4 p 515 and Fig 2 p 513
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Hauterivian      ,Berriasian       ,2dii-iii          ,              ,122, 763,B, 44,X, 5, 101.00,    596.0100,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,R                    ,                     ,                 ,                     ,F                    ,                         ,C                     ,                       ,                       ,                 ,                      ,                 ,                       ,F                   ,F                     ,                      ,                          ,F                  ,R                       ,                         ,R                       ,                      ,                  ,                      ,                        ,                   ,                        ,                       ,                   ,                     ,from ODP Leg 122 SR Chapter 31 Figure 4 p 515 and Fig 2 p 513
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Hauterivian      ,Berriasian       ,2dii-iii          ,              ,122, 763,B, 44,X, 6,  40.00,    596.9000,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,R                    ,                     ,                 ,                     ,R                    ,                         ,C                     ,                       ,                       ,                 ,                      ,                 ,                       ,F                   ,R                     ,                      ,                          ,F                  ,                        ,                         ,                        ,                      ,                  ,                      ,                        ,                   ,                        ,                       ,                   ,                     ,from ODP Leg 122 SR Chapter 31 Figure 4 p 515 and Fig 2 p 513
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Hauterivian      ,Berriasian       ,2dii-iii          ,              ,122, 763,B, 45,X, 1,  48.00,    598.9800,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,F                    ,                     ,                 ,                     ,R                    ,                         ,F                     ,                       ,                       ,                 ,                      ,                 ,                       ,R                   ,F                     ,                      ,R                         ,F                  ,                        ,                         ,                        ,                      ,                  ,                      ,                        ,                   ,                        ,                       ,                   ,                     ,from ODP Leg 122 SR Chapter 31 Figure 4 p 515 and Fig 2 p 513
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Hauterivian      ,Berriasian       ,2dii-iii          ,              ,122, 763,B, 45,X, 2,  48.00,    600.4800,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,F                    ,                     ,                 ,                     ,R                    ,                         ,F                     ,                       ,                       ,F                ,                      ,                 ,                       ,F                   ,C                     ,                      ,                          ,F                  ,                        ,R                        ,                        ,                      ,                  ,                      ,                        ,                   ,                        ,                       ,                   ,                     ,from ODP Leg 122 SR Chapter 31 Figure 4 p 515 and Fig 2 p 513
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Hauterivian      ,Berriasian       ,2dii-iii          ,              ,122, 763,B, 45,X, 2,  88.00,    600.8800,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,F                    ,                     ,                 ,                     ,F                    ,                         ,F                     ,                       ,                       ,F                ,                      ,                 ,                       ,F                   ,C                     ,                      ,R                         ,R                  ,                        ,F                        ,R                       ,R                     ,                  ,                      ,                        ,                   ,                        ,                       ,                   ,                     ,from ODP Leg 122 SR Chapter 31 Figure 4 p 515 and Fig 2 p 513
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Hauterivian      ,Berriasian       ,2dii-iii          ,              ,122, 763,B, 45,X, 3,  47.00,    601.9700,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,F                    ,                     ,                 ,                     ,F                    ,                         ,F                     ,                       ,                       ,                 ,                      ,                 ,                       ,                    ,F                     ,                      ,                          ,F                  ,                        ,                         ,                        ,R                     ,                  ,                      ,                        ,                   ,                        ,                       ,                   ,                     ,from ODP Leg 122 SR Chapter 31 Figure 4 p 515 and Fig 2 p 513
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Hauterivian      ,Berriasian       ,2dii-iii          ,              ,122, 763,B, 45,X, 4,  50.00,    603.5000,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,R                    ,                     ,                 ,                     ,R                    ,                         ,F                     ,                       ,                       ,                 ,                      ,                 ,                       ,R                   ,C                     ,                      ,                          ,F                  ,R                       ,R                        ,R                       ,                      ,                  ,                      ,                        ,                   ,                        ,                       ,                   ,                     ,from ODP Leg 122 SR Chapter 31 Figure 4 p 515 and Fig 2 p 513
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Hauterivian      ,Berriasian       ,2dii-iii          ,              ,122, 763,B, 46,X, 1,  43.00,    608.4300,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,F                    ,                     ,                 ,                     ,F                    ,                         ,C                     ,                       ,                       ,R                ,                      ,                 ,                       ,                    ,F                     ,                      ,R                         ,                   ,R                       ,                         ,                        ,                      ,                  ,                      ,                        ,                   ,                        ,                       ,                   ,                     ,from ODP Leg 122 SR Chapter 31 Figure 4 p 515 and Fig 2 p 513
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Hauterivian      ,Berriasian       ,2dii-iii          ,              ,122, 763,B, 46,X, 2,  45.00,    609.2400,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,F                    ,                     ,                 ,                     ,F                    ,                         ,F                     ,                       ,                       ,R                ,                      ,                 ,                       ,                    ,R                     ,                      ,R                         ,                   ,                        ,                         ,                        ,                      ,                  ,                      ,                        ,                   ,                        ,                       ,                   ,                     ,from ODP Leg 122 SR Chapter 31 Figure 4 p 515 and Fig 2 p 513
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Hauterivian      ,Berriasian       ,2dii-iii          ,              ,122, 763,B, 46,X, 3,  45.00,    610.7400,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,F                    ,                     ,                 ,                     ,R                    ,                         ,F                     ,                       ,                       ,F                ,                      ,                 ,                       ,                    ,R                     ,F                     ,R                         ,                   ,R                       ,                         ,                        ,                      ,                  ,                      ,                        ,                   ,                        ,                       ,                   ,                     ,from ODP Leg 122 SR Chapter 31 Figure 4 p 515 and Fig 2 p 513
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Hauterivian      ,Berriasian       ,2dii-iii          ,              ,122, 763,B, 46,X, 4,  48.00,    612.2700,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,R                    ,                     ,                 ,                     ,F                    ,                         ,                      ,                       ,                       ,F                ,                      ,                 ,                       ,                    ,R                     ,                      ,                          ,                   ,R                       ,                         ,                        ,                      ,                  ,                      ,                        ,                   ,                        ,                       ,                   ,                     ,from ODP Leg 122 SR Chapter 31 Figure 4 p 515 and Fig 2 p 513
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Hauterivian      ,Berriasian       ,2dii-iii          ,              ,122, 763,B, 46,X, 5,  45.00,    613.7400,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,R                    ,                     ,                 ,                     ,F                    ,                         ,                      ,                       ,                       ,F                ,                      ,                 ,                       ,R                   ,R                     ,                      ,R                         ,R                  ,                        ,                         ,                        ,                      ,                  ,                      ,                        ,                   ,                        ,                       ,                   ,                     ,from ODP Leg 122 SR Chapter 31 Figure 4 p 515 and Fig 2 p 513
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Hauterivian      ,                 ,2div              ,              ,122, 763,B, 46,X, 6,  44.00,    615.2300,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                     ,                     ,                 ,                     ,R                    ,                         ,R                     ,                       ,                       ,F                ,                      ,                 ,C                      ,                    ,R                     ,                      ,                          ,R                  ,R                       ,                         ,                        ,                      ,                  ,                      ,                        ,                   ,                        ,                       ,                   ,                     ,from ODP Leg 122 SR Chapter 31 Figure 4 p 515 and Fig 2 p 513
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Hauterivian      ,                 ,2div              ,              ,122, 763,B, 46,X, 7,  47.00,    616.7600,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,R                    ,                     ,                 ,                     ,                     ,                         ,R                     ,                       ,                       ,F                ,R                     ,                 ,A                      ,                    ,R                     ,                      ,R                         ,                   ,R                       ,                         ,                        ,                      ,                  ,                      ,                        ,                   ,                        ,                       ,                   ,                     ,from ODP Leg 122 SR Chapter 31 Figure 4 p 515 and Fig 2 p 513
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Hauterivian      ,                 ,2div              ,              ,122, 763,B, 47,X, 1,  10.00,    617.6000,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,R                    ,                     ,                 ,                     ,F                    ,                         ,C                     ,                       ,                       ,C                ,                      ,R                ,                       ,                    ,F                     ,                      ,R                         ,                   ,F                       ,                         ,                        ,                      ,                  ,                      ,                        ,                   ,                        ,                       ,                   ,                     ,from ODP Leg 122 SR Chapter 31 Figure 4 p 515 and Fig 2 p 513
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Hauterivian      ,                 ,2div              ,              ,122, 763,B, 47,X, 2,  46.00,    619.4600,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,R                    ,                     ,                 ,                     ,F                    ,                         ,F                     ,                       ,                       ,F                ,                      ,F                ,R                      ,                    ,F                     ,                      ,R                         ,                   ,R                       ,R                        ,                        ,                      ,                  ,                      ,                        ,                   ,                        ,                       ,                   ,                     ,from ODP Leg 122 SR Chapter 31 Figure 4 p 515 and Fig 2 p 513
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Hauterivian      ,                 ,2div              ,              ,122, 763,B, 47,X, 2, 130.00,    620.3000,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,R                    ,                     ,                 ,                     ,F                    ,                         ,F                     ,                       ,                       ,F                ,                      ,F                ,                       ,                    ,F                     ,                      ,R                         ,                   ,R                       ,                         ,                        ,                      ,                  ,                      ,                        ,                   ,                        ,                       ,                   ,                     ,from ODP Leg 122 SR Chapter 31 Figure 4 p 515 and Fig 2 p 513
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Hauterivian      ,                 ,2div              ,              ,122, 763,B, 47,X, 3,  44.00,    620.9400,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,R                    ,                     ,                 ,                     ,R                    ,                         ,R                     ,                       ,                       ,R                ,                      ,                 ,C                      ,                    ,C                     ,R                     ,R                         ,R                  ,                        ,                         ,                        ,                      ,                  ,                      ,                        ,                   ,                        ,                       ,                   ,                     ,from ODP Leg 122 SR Chapter 31 Figure 4 p 515 and Fig 2 p 513
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Hauterivian      ,                 ,2div              ,              ,122, 763,B, 47,X,CC,  27.00,    621.8600,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,F                    ,                     ,                 ,                     ,R                    ,                         ,R                     ,                       ,                       ,F                ,                      ,R                ,R                      ,                    ,C                     ,R                     ,R                         ,                   ,                        ,                         ,                        ,                      ,                  ,                      ,                        ,                   ,                        ,                       ,                   ,                     ,from ODP Leg 122 SR Chapter 31 Figure 4 p 515 and Fig 2 p 513
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Hauterivian      ,                 ,2div              ,              ,122, 763,B, 47,X,CC,  46.00,    622.0500,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,F                    ,                     ,                 ,                     ,                     ,                         ,R                     ,                       ,                       ,F                ,R                     ,R                ,R                      ,R                   ,R                     ,                      ,                          ,                   ,                        ,                         ,                        ,                      ,                  ,                      ,                        ,                   ,                        ,                       ,                   ,                     ,from ODP Leg 122 SR Chapter 31 Figure 4 p 515 and Fig 2 p 513
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Valanginian      ,Hauterivian      ,3a-c              ,              ,122, 763,B, 48,X, 1, 108.00,    623.5800,Brenner  ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,F                    ,                     ,                 ,                     ,                     ,                         ,                      ,C                      ,                       ,                 ,F                     ,                 ,                       ,                    ,                      ,                      ,                          ,                   ,                        ,                         ,                        ,                      ,                  ,                      ,                        ,                   ,                        ,                       ,                   ,                     ,from ODP Leg 122 SR Chapter 31 Figure 4 p 515 and Fig 2 p 513
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
