Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Zeaglobigerina nepenthes	Sphaeroidinellopsis seminulina	Orbulina universa	Globorotalia pseudopima	Globorotalia miotumida r.c.	Globoquadrina dehiscens	Globigerina bulloides	Paragloborotalia mayeri	Bolboforma pentaspinosa	Globorotalia miotumida	Zeaglobigerina woodi	Neogloboquadrina continuosa	Neogloboquadrina pachyderma	Globorotalia scitula	Globigerinoides trilobus	Zeaglobigerina decoraperta	Globorotalia partimlabiata	Globorotalia miotumida conoidea	Catapsydrax parvulus	Globigerinoides quadrilobatus	Bolboforma aff. metzmacheri	Globigerina quinqueloba	Globorotalia menardii	Globorotalia juanai	Globorotalia explicationis	Neogloboquadrina acostaensis	Globigerina falconensis	Globorotalia sphericomiozea	Globorotalia pliozea	Globorotalia mons	Globorotalia puncticulata	Globorotalia crassaformis	Globigerinella aequilateralis	Comment
  IR	                 	                 	                  	              	181	1125	B	 33	X	CC	  24.00	    312.6900	forams   	Planktonic Foraminifers                      	A              	G                 	P                       	                              	R                	                       	                           	                       	F                    	                       	                       	F                     	P                   	                           	A                          	P                   	                        	                          	                          	                               	                    	                             	                           	                       	                     	                   	                          	P                           	F                      	                           	                    	                 	                         	                         	                             	       

  IR	                 	                 	                  	              	181	1125	B	 35	X	CC	  30.00	    331.6900	forams   	Planktonic Foraminifers                      	C              	G                 	P                       	                              	                 	                       	                           	                       	A                    	                       	                       	R                     	R                   	                           	D                          	P                   	                        	                          	                          	                               	                    	                             	                           	                       	                     	                   	                          	                            	                       	                           	                    	                 	                         	                         	                             	       

  IR	                 	                 	                  	              	181	1125	B	 37	X	CC	  30.00	    348.3100	forams   	Planktonic Foraminifers                      	C              	M                 	                        	                              	R                	                       	                           	                       	                     	                       	                       	R                     	                    	                           	R                          	                    	                        	                          	                          	R                              	                    	                             	                           	                       	P                    	P                  	P                         	                            	                       	                           	                    	                 	                         	                         	                             	       

  IR	                 	                 	                  	              	181	1125	B	 39	X	CC	  21.00	    369.9900	forams   	Planktonic Foraminifers                      	C              	M                 	                        	                              	R                	                       	                           	                       	                     	                       	                       	R                     	                    	                           	                           	                    	                        	                          	                          	R                              	P                   	                             	                           	                       	P                    	                   	                          	                            	                       	                           	                    	                 	                         	                         	                             	       

  IR	                 	                 	                  	              	181	1125	B	 41	X	CC	  23.00	    389.3600	forams   	Planktonic Foraminifers                      	C              	M                 	P                       	                              	R                	                       	                           	                       	R                    	                       	                       	P                     	                    	                           	                           	                    	                        	                          	P                         	P                              	                    	                             	                           	F                      	                     	                   	                          	                            	                       	                           	                    	                 	                         	                         	                             	       

  IR	                 	                 	                  	              	181	1125	B	 43	X	CC	  33.00	    406.7300	forams   	Planktonic Foraminifers                      	C              	M                 	R                       	                              	R                	                       	                           	                       	                     	                       	                       	R                     	                    	                           	P                          	                    	                        	                          	P                         	P                              	P                   	                             	                           	                       	                     	                   	                          	                            	                       	                           	                    	                 	                         	                         	                             	       

  IR	                 	                 	                  	              	181	1125	B	 44	X	CC	  31.00	    412.0300	forams   	Planktonic Foraminifers                      	C              	M                 	                        	                              	F                	                       	                           	                       	                     	                       	                       	R                     	                    	                           	R                          	                    	                        	                          	                          	R                              	P                   	                             	                           	                       	                     	                   	                          	                            	                       	                           	                    	                 	                         	                         	                             	       

  IR	                 	                 	                  	              	181	1125	B	 45	X	CC	  14.00	    427.8100	forams   	Planktonic Foraminifers                      	A              	M                 	R                       	                              	F                	                       	                           	                       	                     	                       	R                      	A                     	                    	                           	R                          	                    	                        	                          	                          	F                              	                    	R                            	P                          	                       	                     	                   	                          	                            	                       	                           	                    	                 	                         	                         	                             	       

  IR	                 	                 	                  	              	181	1125	B	 48	X	CC	  26.00	    450.7700	forams   	Planktonic Foraminifers                      	C              	P                 	R                       	                              	F                	                       	                           	                       	                     	P                      	                       	R                     	                    	                           	R                          	                    	                        	R                         	R                         	R                              	P                   	                             	                           	                       	                     	                   	                          	                            	                       	                           	                    	                 	                         	                         	                             	       

  IR	                 	                 	                  	              	181	1125	B	 50	X	CC	   0.00	    475.0000	forams   	Planktonic Foraminifers                      	F              	M                 	F                       	                              	R                	                       	                           	P                      	R                    	                       	                       	F                     	F                   	P                          	P                          	P                   	P                       	                          	                          	                               	                    	                             	                           	                       	                     	                   	                          	                            	                       	                           	                    	                 	                         	                         	                             	       

  IR	                 	                 	                  	              	181	1125	B	 52	X	CC	  20.00	    494.4900	forams   	Planktonic Foraminifers                      	R              	G                 	R                       	                              	P                	                       	                           	F                      	A                    	                       	                       	F                     	R                   	R                          	P                          	R                   	                        	                          	                          	                               	                    	                             	                           	                       	                     	                   	                          	                            	                       	                           	                    	                 	                         	                         	                             	       

  IR	                 	                 	                  	              	181	1125	B	 54	X	CC	  22.00	    512.6300	forams   	Planktonic Foraminifers                      	C              	M                 	F                       	                              	P                	                       	                           	F                      	A                    	                       	                       	A                     	F                   	P                          	                           	                    	                        	                          	                          	                               	                    	                             	                           	                       	                     	                   	                          	                            	                       	                           	                    	                 	                         	                         	                             	       

  IR	                 	                 	                  	              	181	1125	B	 55	X	CC	   0.00	    520.9800	forams   	Planktonic Foraminifers                      	A              	M                 	                        	                              	                 	                       	                           	F                      	A                    	                       	                       	A                     	                    	                           	                           	                    	                        	                          	                          	                               	                    	                             	                           	                       	                     	                   	                          	                            	                       	                           	                    	                 	                         	                         	                             	       

  IR	                 	                 	                  	              	181	1125	B	 56	X	CC	  26.00	    532.8900	forams   	Planktonic Foraminifers                      	A              	M                 	                        	                              	                 	                       	                           	F                      	                     	                       	                       	F                     	                    	                           	                           	                    	                        	                          	                          	                               	                    	                             	                           	                       	                     	                   	                          	                            	                       	                           	                    	                 	                         	                         	                             	       

  IR	                 	                 	                  	              	181	1125	B	 57	X	CC	  25.00	    542.2200	forams   	Planktonic Foraminifers                      	C              	P                 	F                       	                              	R                	                       	F                          	R                      	                     	P                      	R                      	                      	                    	                           	                           	                    	                        	                          	                          	                               	                    	                             	                           	                       	                     	                   	                          	                            	                       	                           	                    	                 	                         	                         	                             	       

  IR	                 	                 	                  	              	181	1125	B	 58	X	CC	   0.00	    548.2200	forams   	Planktonic Foraminifers                      	C              	P                 	R                       	P                             	R                	P                      	F                          	F                      	R                    	                       	                       	                      	                    	                           	                           	                    	                        	                          	                          	                               	                    	                             	                           	                       	                     	                   	                          	                            	                       	                           	                    	                 	                         	                         	                             	       

