Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Truncorotalia crassaformis	Menardella miocenica	Hirsutella hirsuta	Globoturborotalita woodi	Globigerinoides extremus	Globigerina falconensis	Sphaeroidinellopsis paenedehiscens	Sphaeroidinella dehiscens	Globigerinoides obliquus	Dentoglobigerina altispira	Globoquadrina venezuelana	Globoconella puncticulata	Neogloboquadrina pachyderma	Globoturborotalita rubescens	Globoconella inflata	Globoturborotalita apertura	Globigerina bulloides	Truncorotalia crassaformis hessi	Globigerina quinqueloba	Pulleniatina obliquiloculata	Truncorotalia crassula	Truncorotalia truncatulinoides (dex.)	Sphaeroidinellopsis seminulina	Truncorotalia truncatulinoides (sin.)	Globorotalia tumida	Menardella menardii (sinistral)	Globorotalia tumida flexuosa	Truncorotalia tosaensis	Comment	 
  IR	                 	Pleistocene      	                  	N22           	172	1063	A	4	H	5	75	31.05	Chaisson 	Planktonic Foraminifers                      	F              	G                 	                          	                    	F                 	                        	                        	R                      	                                  	                         	                        	                          	                         	                         	                           	                            	F                   	                           	R                    	                                	                       	R                           	                      	                                     	                              	F                                    	R                  	                               	F                           	                       	LO flexuosa >0.068 Ma	
																																														
  IR	                 	Pleistocene      	                  	N22           	172	1063	A	4	H	6	70	32.5	Chaisson 	Planktonic Foraminifers                      	R              	P                 	                          	                    	                  	                        	                        	+                      	                                  	                         	                        	                          	                         	                         	+                          	                            	+                   	                           	+                    	                                	                       	                            	                      	+                                    	                              	                                     	                   	                               	                            	                       	rads	
																																														
  IR	                 	Pleistocene      	                  	N22           	172	1063	A	4	H	7	67	33.97	Chaisson 	Planktonic Foraminifers                      	F              	M                 	                          	                    	F                 	                        	                        	F                      	                                  	                         	                        	                          	                         	                         	                           	                            	F                   	                           	F                    	                                	                       	R                           	                      	                                     	                              	F                                    	R                  	                               	R                           	                       	       	
																																														
  IR	                 	Pleistocene      	                  	N22           	172	1063	A	4	H	CC	14	34.14	Chaisson 	Planktonic Foraminifers                      	A              	G                 	                          	                    	A                 	                        	                        	                       	                                  	                         	                        	                          	                         	                         	                           	                            	A                   	                           	                     	                                	                       	                            	                      	                                     	                              	A                                    	A                  	+                              	A                           	                       	all pk abundant>0.068	
																																														
  IR	                 	Pleistocene      	                  	N22           	172	1063	A	5	H	1	70	34.5	Chaisson 	Planktonic Foraminifers                      	F              	M                 	                          	                    	F                 	                        	                        	F                      	                                  	                         	                        	                          	                         	                         	                           	R                           	F                   	                           	R                    	                                	                       	                            	                      	R                                    	                              	                                     	                   	                               	                            	                       	       	
																																														
  IR	                 	Pleistocene      	                  	N22           	172	1063	A	5	H	2	70	36	Chaisson 	Planktonic Foraminifers                      	R              	P                 	                          	                    	+                 	                        	                        	+                      	                                  	                         	                        	                          	                         	                         	                           	                            	+                   	                           	                     	                                	                       	                            	                      	+                                    	                              	+                                    	                   	                               	                            	                       	       	
																																														
  IR	                 	Pleistocene      	                  	N22           	172	1063	A	5	H	CC	0	43.12	Chaisson 	Planktonic Foraminifers                      	C              	P                 	                          	                    	A                 	                        	                        	                       	                                  	                         	                        	                          	                         	                         	                           	                            	A                   	                           	                     	                                	                       	                            	                      	F                                    	                              	                                     	                   	                               	                            	                       	pyrite	
																																														
  IR	                 	Pleistocene      	                  	N22           	172	1063	A	6	H	CC	7	52.76	Chaisson 	Planktonic Foraminifers                      	A              	VG                	+                         	                    	+                 	                        	                        	                       	                                  	                         	                        	                          	                         	                         	                           	                            	A                   	                           	                     	                                	                       	+                           	                      	A                                    	                              	A                                    	+                  	                               	R                           	                       	       	
																																														
  IR	                 	Pleistocene      	                  	N22           	172	1063	A	7	H	2	70	55	Chaisson 	Planktonic Foraminifers                      	F              	P                 	                          	                    	                  	                        	                        	                       	                                  	                         	                        	                          	                         	                         	                           	                            	A                   	                           	                     	                                	                       	                            	                      	                                     	                              	                                     	+                  	                               	+                           	                       	no volcanic glass	
																																														
  IR	                 	Pleistocene      	                  	N22           	172	1063	A	7	H	3	70	56.5	Chaisson 	Planktonic Foraminifers                      	F              	P                 	                          	                    	+                 	                        	                        	                       	                                  	                         	                        	                          	                         	                         	                           	                            	+                   	                           	                     	                                	                       	                            	                      	+                                    	                              	                                     	                   	                               	                            	                       	volcanic ash (1)	
																																														
  IR	                 	Pleistocene      	                  	N22           	172	1063	A	7	H	4	70	58	Chaisson 	Planktonic Foraminifers                      	F              	M                 	                          	                    	A                 	                        	                        	                       	                                  	                         	                        	                          	                         	                         	                           	                            	A                   	                           	                     	                                	                       	R                           	                      	F                                    	                              	F                                    	                   	                               	                            	                       	       	
																																														
  IR	                 	Pleistocene      	                  	N22           	172	1063	A	7	H	5	70	59.5	Chaisson 	Planktonic Foraminifers                      	F              	M                 	+                         	                    	                  	                        	                        	                       	                                  	                         	                        	                          	                         	                         	                           	                            	+                   	                           	                     	                                	                       	                            	                      	+                                    	                              	                                     	+                  	                               	                            	                       	ostracodes	
																																														
  IR	                 	Pleistocene      	                  	N22           	172	1063	A	7	H	6	70	61	Chaisson 	Planktonic Foraminifers                      	T              	P                 	                          	                    	2	                        	                        	                       	                                  	                         	                        	                          	                         	                         	1	                            	A                   	                           	                     	                                	                       	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	pyrite	
																																														
  IR	                 	Pleistocene      	                  	N22           	172	1063	A	7	H	CC	0	62.3	Chaisson 	Planktonic Foraminifers                      	F              	P                 	                          	                    	A                 	                        	                        	                       	                                  	                         	                        	                          	                         	                         	                           	                            	A                   	                           	                     	                                	                       	                            	                      	+                                    	                              	                                     	                   	                               	                            	                       	volcanic glass pyrite abundant	
																																														
  IR	                 	Pleistocene      	                  	N22           	172	1063	A	8	H	CC	0	71.85	Chaisson 	Planktonic Foraminifers                      	F              	P                 	                          	                    	+                 	                        	                        	                       	                                  	                         	                        	                          	                         	                         	                           	                            	A                   	                           	                     	                                	                       	                            	                      	+                                    	                              	+                                    	                   	                               	                            	                       	"volcanic glass (brown, green, black) ostracodes plastic rich"	
																																														
  IR	                 	Pleistocene      	                  	N22           	172	1063	A	9	H	CC	0	81.27	Chaisson 	Planktonic Foraminifers                      	A              	M                 	+                         	                    	                  	                        	                        	                       	                                  	                         	                        	                          	                         	                         	                           	                            	A                   	                           	                     	                                	                       	                            	                      	                                     	                              	                                     	R                  	                               	R                           	                       	"volcanic glass rich (green, brown, black) flexuosa"	
																																														
  IR	                 	Pleistocene      	                  	N22           	172	1063	A	10	H	1	70	82	Chaisson 	Planktonic Foraminifers                      	F              	M                 	                          	                    	+                 	                        	                        	                       	                                  	                         	                        	                          	                         	                         	                           	                            	A                   	                           	                     	                                	                       	                            	                      	F                                    	                              	R                                    	F                  	                               	F                           	                       	       	
																																														
  IR	                 	Pleistocene      	                  	N22           	172	1063	A	10	H	2	70	83.5	Chaisson 	Planktonic Foraminifers                      	R              	P                 	                          	                    	                  	                        	                        	                       	                                  	+                        	                        	                          	                         	                         	                           	                            	A                   	                           	                     	                                	                       	                            	                      	+                                    	                              	+                                    	+                  	                               	                            	                       	       	
																																														
  IR	                 	Pleistocene      	                  	N22           	172	1063	A	10	H	3	70	85	Chaisson 	Planktonic Foraminifers                      	F              	G                 	+                         	                    	                  	                        	                        	                       	                                  	                         	                        	                          	                         	                         	                           	                            	A                   	                           	                     	                                	                       	R                           	                      	R                                    	                              	F                                    	F                  	                               	F                           	                       	       	
																																														
  IR	                 	Pleistocene      	                  	N22           	172	1063	A	10	H	4	70	86.5	Chaisson 	Planktonic Foraminifers                      	T              	P                 	                          	                    	                  	                        	                        	                       	                                  	                         	                        	                          	                         	                         	                           	                            	A                   	                           	                     	                                	                       	                            	                      	+                                    	                              	                                     	                   	                               	                            	                       	dissolved	
																																														
  IR	                 	Pleistocene      	                  	N22           	172	1063	A	10	H	5	70	88	Chaisson 	Planktonic Foraminifers                      	T              	P                 	                          	                    	                  	                        	                        	                       	                                  	                         	                        	                          	                         	                         	                           	                            	A                   	                           	                     	                                	                       	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	pyrite dissolved	
																																														
  IR	                 	Pleistocene      	                  	N22           	172	1063	A	10	H	6	45	89.25	Chaisson 	Planktonic Foraminifers                      	T              	P                 	                          	                    	                  	                        	                        	                       	                                  	                         	                        	                          	                         	                         	                           	                            	A                   	                           	                     	                                	                       	                            	                      	1	                              	                                     	                   	                               	                            	                       	dissolved	
																																														
  IR	                 	Pleistocene      	                  	N22           	172	1063	A	10	H	CC	12	89.44	Chaisson 	Planktonic Foraminifers                      	F              	P                 	                          	                    	                  	                        	                        	                       	                                  	                         	                        	                          	                         	                         	                           	                            	A                   	                           	                     	                                	                       	                            	                      	+                                    	                              	                                     	R                  	                               	                            	                       	pyrite volcanic glass ostracodes mica	
																																														
  IR	                 	Pleistocene      	                  	N22           	172	1063	A	11	H	1	68	91.48	Chaisson 	Planktonic Foraminifers                      	R              	P                 	                          	                    	                  	                        	                        	                       	                                  	                         	                        	                          	                         	                         	                           	                            	A                   	                           	                     	                                	                       	                            	                      	+                                    	                              	                                     	                   	                               	                            	                       	dissolved	
																																														
  IR	                 	Pleistocene      	                  	N22           	172	1063	A	11	H	2	68	92.98	Chaisson 	Planktonic Foraminifers                      	R              	M                 	+                         	                    	                  	                        	                        	                       	                                  	                         	                        	                          	                         	                         	                           	                            	A                   	                           	                     	                                	                       	                            	                      	F                                    	                              	R                                    	                   	                               	                            	                       	       	
																																														
  IR	                 	Pleistocene      	                  	N22           	172	1063	A	11	H	3	68	94.48	Chaisson 	Planktonic Foraminifers                      	T              	P                 	                          	                    	                  	                        	                        	                       	                                  	                         	                        	                          	                         	                         	                           	                            	1	                           	                     	                                	                       	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	clays	
																																														
  IR	                 	Pleistocene      	                  	N22           	172	1063	A	11	H	4	68	95.98	Chaisson 	Planktonic Foraminifers                      	T              	P                 	                          	                    	                  	                        	                        	                       	                                  	                         	                        	                          	                         	                         	                           	                            	+                   	                           	                     	                                	                       	                            	                      	2	                              	                                     	                   	                               	                            	                       	clays around 10 forams	
																																														
  IR	                 	Pleistocene      	                  	N22           	172	1063	A	11	H	5	68	97.48	Chaisson 	Planktonic Foraminifers                      	R              	M                 	A                         	                    	                  	                        	                        	                       	                                  	                         	                        	                          	                         	                         	                           	                            	A                   	                           	                     	                                	                       	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	       	
																																														
  IR	                 	                 	                  	              	172	1063	A	11	H	6	68	98.98	Chaisson 	Planktonic Foraminifers                      	R              	P                 	                          	                    	                  	                        	                        	                       	                                  	                         	                        	                          	                         	                         	                           	                            	+                   	                           	                     	                                	                       	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	       	
																																														
  IR	                 	Pleistocene      	                  	N22           	172	1063	A	11	H	CC	0	100.27	Chaisson 	Planktonic Foraminifers                      	F              	M                 	                          	                    	                  	                        	                        	R                      	                                  	F                        	                        	                          	                         	                         	F                          	                            	+                   	                           	                     	                                	                       	                            	                      	F                                    	                              	                                     	                   	                               	                            	R                      	"volcanic glass: brown, light green, light yellow w/ bubbles"	
																																														
  IR	                 	Pleistocene      	                  	N22           	172	1063	A	12	H	CC	0	109.94	Chaisson 	Planktonic Foraminifers                      	C              	VG                	F                         	                    	                  	                        	                        	F                      	                                  	R                        	                        	                          	                         	                         	R                          	R                           	F                   	                           	R                    	R                               	                       	R                           	                      	F                                    	                              	R                                    	                   	                               	                            	                       	rare volcanic glass	
																																														
  IR	                 	Pleistocene      	                  	N22           	172	1063	A	13	H	CC	39	118.64	Chaisson 	Planktonic Foraminifers                      	C              	G                 	F                         	                    	                  	                        	                        	R                      	                                  	R                        	                        	                          	                         	                         	R                          	                            	+                   	                           	R                    	R                               	                       	                            	                      	R                                    	                              	                                     	                   	R                              	                            	                       	one piece of volcanic glass	
																																														
  IR	                 	Pleistocene      	                  	N22           	172	1063	A	14	H	CC	0	128.66	Chaisson 	Planktonic Foraminifers                      	C              	G                 	F                         	                    	                  	                        	                        	+                      	                                  	                         	                        	                          	                         	                         	                           	R                           	R                   	                           	                     	                                	                       	R                           	                      	F                                    	                              	R                                    	                   	R                              	                            	                       	       	
																																														
  IR	                 	Pleistocene      	                  	N22           	172	1063	A	15	H	3	68	132.13	Chaisson 	Planktonic Foraminifers                      	F              	G                 	A                         	                    	                  	                        	                        	                       	                                  	                         	                        	                          	                         	                         	                           	                            	+                   	                           	+                    	F                               	                       	                            	                      	+                                    	                              	                                     	+                  	+                              	                            	                       	hessi present	
																																														
  IR	                 	Pleistocene      	                  	N22           	172	1063	A	15	H	4	68	133.52	Chaisson 	Planktonic Foraminifers                      	R              	P                 	                          	                    	                  	                        	                        	+                      	                                  	                         	                        	                          	                         	                         	+                          	                            	+                   	                           	+                    	+                               	                       	                            	                      	+                                    	                              	                                     	1	                               	                            	                       	       	
																																														
  IR	                 	Pleistocene      	                  	N22           	172	1063	A	15	H	5	68	135.02	Chaisson 	Planktonic Foraminifers                      	R              	P                 	+                         	                    	                  	                        	                        	R                      	                                  	                         	                        	                          	                         	                         	                           	                            	A                   	                           	R                    	                                	                       	                            	                      	+                                    	                              	+                                    	                   	                               	                            	                       	       	
																																														
  IR	                 	Pleistocene      	                  	N22           	172	1063	A	15	H	CC	11	138.03	Chaisson 	Planktonic Foraminifers                      	F              	P                 	+                         	                    	                  	                        	                        	                       	                                  	                         	                        	                          	                         	                         	                           	                            	+                   	                           	                     	                                	                       	                            	                      	                                     	                              	                                     	R                  	                               	                            	                       	"many large fragments, rare volcanic glass"	
																																														
  IR	                 	Pleistocene      	                  	N22           	172	1063	A	16	H	CC	0	147.99	Chaisson 	Planktonic Foraminifers                      	F              	G                 	F                         	                    	R                 	                        	                        	F                      	                                  	                         	                        	                          	                         	                         	                           	R                           	                    	                           	F                    	                                	                       	R                           	                      	F                                    	                              	                                     	                   	                               	                            	                       	       	
																																														
  IR	                 	Pleistocene      	                  	N22           	172	1063	A	17	H	1	70	148.5	Chaisson 	Planktonic Foraminifers                      	F              	G                 	F                         	                    	R                 	                        	                        	F                      	                                  	R                        	                        	                          	                         	                         	                           	                            	+                   	                           	F                    	                                	                       	R                           	                      	R                                    	                              	                                     	+                  	R                              	                            	                       	       	
																																														
  IR	                 	Pleistocene      	                  	N22           	172	1063	A	17	H	CC	19	155.9	Chaisson 	Planktonic Foraminifers                      	               	                  	                          	                    	+                 	                        	                        	+                      	                                  	                         	                        	                          	                         	                         	                           	                            	F                   	                           	+                    	                                	                       	                            	                      	+                                    	                              	                                     	                   	                               	                            	                       	sponge spicules many cibs	
																																														
  IR	                 	Pleistocene      	                  	N22           	172	1063	A	18	H	CC	0	166.75	Chaisson 	Planktonic Foraminifers                      	T              	P                 	                          	                    	                  	                        	                        	                       	                                  	                         	                        	                          	                         	                         	                           	                            	+                   	                           	                     	                                	                       	                            	                      	                                     	                              	+                                    	                   	                               	                            	                       	       	
																																														
  IR	                 	Pleistocene      	                  	N22           	172	1063	A	19	H	CC	17	176.32	Chaisson 	Planktonic Foraminifers                      	C              	M                 	+                         	                    	                  	                        	                        	                       	                                  	                         	                        	                          	                         	                         	                           	                            	A                   	                           	                     	                                	                       	+                           	                      	                                     	                              	                                     	                   	                               	                            	                       	pyrite few volcanic ash	
																																														
  IR	                 	Pleistocene      	                  	N22           	172	1063	A	20	H	CC	12	186.03	Chaisson 	Planktonic Foraminifers                      	R              	M                 	+                         	                    	+                 	                        	                        	R                      	                                  	                         	                        	                          	                         	                         	                           	                            	A                   	                           	R                    	                                	                       	                            	                      	+                                    	                              	+                                    	                   	                               	                            	                       	pyrite	
																																														
  IR	                 	Pleistocene      	                  	N22           	172	1063	A	21	H	CC	12	195.6	Chaisson 	Planktonic Foraminifers                      	R              	P                 	+                         	                    	+                 	                        	                        	                       	                                  	                         	                        	                          	                         	                         	                           	                            	A                   	                           	                     	                                	                       	                            	                      	+                                    	                              	+                                    	+                  	                               	                            	                       	pyrite clay	
																																														
  IR	                 	Pleistocene      	                  	N22           	172	1063	A	22	H	CC	10	201.35	Chaisson 	Planktonic Foraminifers                      	C              	M                 	+                         	                    	                  	                        	                        	                       	                                  	                         	                        	                          	                         	                         	                           	                            	A                   	                           	                     	                                	                       	                            	                      	+                                    	                              	+                                    	                   	                               	                            	                       	pyrite few volcanic glass	
																																														
  IR	                 	Pleistocene      	                  	N22           	172	1063	A	23	X	CC	26	209.16	Chaisson 	Planktonic Foraminifers                      	R              	P                 	                          	                    	                  	                        	                        	                       	                                  	                         	                        	                          	                         	                         	                           	                            	A                   	                           	                     	                                	                       	                            	                      	                                     	                              	+                                    	                   	                               	                            	                       	abundant pyrite	
																																														
  IR	                 	                 	                  	              	172	1063	A	24	X	1	67	208.27	Chaisson 	Planktonic Foraminifers                      	T              	P                 	+                         	                    	                  	                        	                        	+                      	                                  	                         	                        	                          	                         	                         	                           	                            	                    	                           	                     	                                	                       	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	       	
																																														
  IR	                 	Pleistocene      	                  	N22           	172	1063	A	24	X	2	70	209.8	Chaisson 	Planktonic Foraminifers                      	R              	M                 	R                         	                    	                  	                        	                        	F                      	                                  	R                        	                        	                          	                         	                         	R                          	F                           	+                   	                           	F                    	                                	                       	R                           	                      	R                                    	                              	                                     	                   	                               	                            	                       	no obliquus	
																																														
  IR	                 	                 	                  	              	172	1063	A	24	X	3	71	211.31	Chaisson 	Planktonic Foraminifers                      	R              	P                 	+                         	                    	                  	                        	                        	                       	                                  	                         	                        	                          	                         	                         	                           	                            	+                   	                           	+                    	                                	                       	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	       	
																																														
  IR	                 	Pleistocene      	                  	N22           	172	1063	A	24	X	4	67	212.77	Chaisson 	Planktonic Foraminifers                      	R              	P                 	+                         	                    	                  	                        	                        	                       	                                  	                         	                        	                          	                         	                         	                           	                            	A                   	                           	                     	                                	                       	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	       	
																																														
  IR	                 	Pleistocene      	                  	N22           	172	1063	A	24	X	5	65	214.25	Chaisson 	Planktonic Foraminifers                      	F              	G                 	+                         	                    	R                 	                        	                        	                       	                                  	                         	R                       	                          	                         	                         	                           	R                           	A                   	                           	+                    	                                	                       	R                           	                      	+                                    	                              	                                     	                   	                               	                            	                       	       	
																																														
  IR	Late Pliocene    	Pleistocene      	                  	N22           	172	1063	A	24	X	6	66	215.76	Chaisson 	Planktonic Foraminifers                      	T              	P                 	                          	                    	                  	                        	                        	                       	                                  	                         	                        	                          	                         	                         	                           	                            	A                   	                           	                     	                                	                       	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	dissolved	
																																														
  IR	Late Pliocene    	Pleistocene      	                  	N22           	172	1063	A	24	X	CC	25	217.4	Chaisson 	Planktonic Foraminifers                      	C              	M                 	+                         	                    	                  	                        	                        	                       	                                  	                         	                        	                          	                         	                         	                           	                            	A                   	                           	F                    	                                	                       	+                           	                      	F                                    	                              	                                     	                   	                               	                            	                       	pyrite	
																																														
  IR	Late Pliocene    	Pleistocene      	N21               	N22           	172	1063	A	25	X	1	70	217.9	Chaisson 	Planktonic Foraminifers                      	R              	M                 	+                         	                    	                  	                        	                        	+                      	                                  	                         	                        	                          	                         	                         	+                          	+                           	+                   	                           	+                    	                                	+                      	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	no obliquus found	
																																														
  IR	Late Pliocene    	Pleistocene      	                  	N22           	172	1063	A	25	X	CC	35	226.66	Chaisson 	Planktonic Foraminifers                      	F              	M                 	                          	                    	                  	                        	                        	                       	                                  	                         	                        	                          	                         	                         	                           	                            	A                   	                           	R                    	                                	                       	                            	                      	R                                    	                              	R                                    	                   	                               	                            	                       	       	
																																														
  IR	Late Pliocene    	Pleistocene      	N21               	N22           	172	1063	A	26	X	CC	37	236.44	Chaisson 	Planktonic Foraminifers                      	F              	P                 	+                         	                    	                  	                        	                        	                       	                                  	                         	                        	                          	                         	                         	                           	                            	A                   	                           	                     	                                	                       	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	bubbled pyrite	
																																														
  IR	Late Pliocene    	Pleistocene      	                  	N22           	172	1063	A	27	X	CC	24	245.75	Chaisson 	Planktonic Foraminifers                      	C              	M                 	+                         	                    	                  	                        	                        	                       	                                  	+                        	                        	                          	                         	                         	                           	                            	A                   	                           	                     	                                	                       	+                           	                      	+                                    	                              	+                                    	R                  	                               	                            	                       	       	
																																														
  IR	Late Pliocene    	Pleistocene      	N21               	N22           	172	1063	A	28	X	CC	60	255.6	Chaisson 	Planktonic Foraminifers                      	C              	M                 	+                         	                    	                  	                        	                        	+                      	                                  	R                        	R                       	                          	                         	                         	                           	                            	A                   	                           	                     	                                	                       	R                           	                      	                                     	                              	                                     	+                  	+                              	R                           	                       	       	
																																														
  IR	Late Pliocene    	Pleistocene      	                  	N22           	172	1063	A	29	X	CC	25	264.95	Chaisson 	Planktonic Foraminifers                      	C              	G                 	                          	                    	                  	                        	                        	                       	                                  	+                        	                        	                          	                         	                         	                           	                            	A                   	                           	F                    	                                	                       	                            	                      	F                                    	                              	F                                    	                   	                               	                            	                       	ostracodes	
																																														
  IR	Late Pliocene    	Pleistocene      	N21               	N22           	172	1063	A	30	X	CC	36	274.54	Chaisson 	Planktonic Foraminifers                      	F              	M                 	R                         	                    	R                 	                        	                        	                       	                                  	R                        	                        	                          	                         	                         	+                          	+                           	F                   	                           	R                    	                                	                       	R                           	                      	                                     	                              	                                     	                   	                               	                            	                       	many shell fragments	
																																														
  IR	Late Pliocene    	Pleistocene      	N21               	N22           	172	1063	A	31	X	7	67	282.9	Chaisson 	Planktonic Foraminifers                      	F              	M                 	+                         	                    	F                 	                        	                        	                       	                                  	F                        	                        	                          	                         	                         	                           	                            	A                   	                           	R                    	                                	                       	                            	                      	                                     	                              	                                     	R                  	                               	                            	                       	       	
																																														
  IR	Late Pliocene    	Pleistocene      	                  	N22           	172	1063	A	31	X	CC	25	284.28	Chaisson 	Planktonic Foraminifers                      	F              	M                 	R                         	                    	F                 	R                       	                        	F                      	                                  	R                        	R                       	                          	                         	                         	F                          	                            	F                   	                           	F                    	                                	                       	                            	R                     	                                     	                              	R                                    	R                  	                               	                            	                       	       	
																																														
  IR	Late Pliocene    	Pleistocene      	N21               	N22           	172	1063	A	32	X	1	70	284.8	Chaisson 	Planktonic Foraminifers                      	R              	P                 	                          	                    	+                 	                        	                        	                       	                                  	                         	                        	                          	                         	                         	                           	                            	A                   	                           	                     	                                	                       	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	no truncat	
																																														
  IR	                 	                 	                  	              	172	1063	A	32	X	2	61	286.21	Chaisson 	Planktonic Foraminifers                      	R              	P                 	                          	                    	                  	                        	                        	                       	                                  	                         	                        	                          	                         	                         	3	                            	                    	                           	                     	                                	                       	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	pyrite no marker spp.	
																																														
  IR	Late Pliocene    	Pleistocene      	                  	N22           	172	1063	A	32	X	3	67	287.77	Chaisson 	Planktonic Foraminifers                      	R              	P                 	                          	                    	                  	                        	                        	                       	                                  	+                        	                        	                          	                         	                         	+                          	                            	+                   	                           	                     	                                	                       	                            	                      	+                                    	                              	                                     	                   	                               	                            	                       	       	
																																														
  IR	Late Pliocene    	Pleistocene      	N21               	N22           	172	1063	A	32	X	4	70	289.22	Chaisson 	Planktonic Foraminifers                      	R              	P                 	                          	                    	+                 	                        	                        	+                      	                                  	                         	                        	                          	                         	                         	+                          	                            	+                   	                           	                     	                                	                       	                            	                      	                                     	+                             	                                     	                   	                               	                            	                       	no truncat	
																																														
  IR	Late Pliocene    	Pleistocene      	                  	N22           	172	1063	A	32	X	5	68	290.7	Chaisson 	Planktonic Foraminifers                      	F              	M                 	                          	                    	R                 	R                       	                        	F                      	                                  	                         	R                       	                          	                         	                         	R                          	                            	R                   	                           	R                    	                                	                       	                            	                      	R                                    	                              	                                     	                   	                               	                            	                       	       	
																																														
  IR	                 	Late Pliocene    	                  	N21           	172	1063	A	32	X	CC	50	293.52	Chaisson 	Planktonic Foraminifers                      	C              	G                 	R                         	                    	R                 	                        	                        	F                      	                                  	R                        	R                       	                          	                         	                         	R                          	                            	F                   	                           	F                    	                                	                       	                            	R                     	                                     	                              	                                     	                   	                               	                            	                       	no truncat  >2.0 Ma	
																																														
  IR	                 	                 	                  	              	172	1063	A	33	X	1	70	294.5	Chaisson 	Planktonic Foraminifers                      	T              	P                 	                          	                    	                  	                        	                        	                       	                                  	                         	                        	                          	                         	                         	                           	                            	+                   	                           	                     	                                	                       	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	       	
																																														
