Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Subbotina linaperta,Acarinina primitiva,Acarinina bullbrooki,Turborotalia cerroazulensis frontosa,Turborotalia boweri,Pseudohastigerina micra,Acarinina triplex,Subbotina eocaenica,Muricoglobigerina senni,Acarinina sp. aff. pentacamerata,Acarinina sp. aff. nitida,Morozovella sp. aff. subbotinae,Subbotina eocaena,Morozovella sp. aff. aragonensis,Comment
  SR,Middle Eocene    ,                 ,                  ,              ,145, 884,B, 83,X, 3,  53.00,    770.9300,Basov    ,Planktonic Foraminifers                      ,R              ,P                 ,                   ,                   ,                    ,                                    ,R                  ,                       ,                 ,                   ,                       ,                                ,                         ,                               ,                 ,                                ,from Leg 145 SR; Ch 9; Table 3; p. 163
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,145, 884,B, 83,X, 6,  44.00,    775.3400,Basov    ,Planktonic Foraminifers                      ,R              ,P                 ,                   ,                   ,                    ,                                    ,R                  ,                       ,                 ,                   ,                       ,                                ,                         ,                               ,                 ,                                ,from Leg 145 SR; Ch 9; Table 3; p. 163
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,145, 884,B, 83,X,CC,  36.00,    777.0000,Basov    ,Planktonic Foraminifers                      ,R              ,P                 ,R                  ,                   ,R                   ,                                    ,                   ,R                      ,                 ,R                  ,R                      ,                                ,                         ,                               ,                 ,                                ,from Leg 145 SR; Ch 9; Table 3; p. 163
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,145, 884,B, 84,X, 2,  22.00,    778.7200,Basov    ,Planktonic Foraminifers                      ,R              ,P                 ,                   ,                   ,R                   ,R                                   ,                   ,                       ,                 ,                   ,                       ,                                ,                         ,                               ,                 ,                                ,from Leg 145 SR; Ch 9; Table 3; p. 163
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,145, 884,B, 84,X, 3,  24.00,    780.2400,Basov    ,Planktonic Foraminifers                      ,R              ,P                 ,R                  ,                   ,R                   ,                                    ,                   ,                       ,                 ,R                  ,                       ,                                ,                         ,                               ,                 ,                                ,from Leg 145 SR; Ch 9; Table 3; p. 163
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,145, 884,B, 84,X, 4,  27.00,    781.7700,Basov    ,Planktonic Foraminifers                      ,F              ,P                 ,R                  ,                   ,F                   ,F                                   ,R                  ,                       ,                 ,                   ,                       ,R                               ,R                        ,                               ,                 ,                                ,from Leg 145 SR; Ch 9; Table 3; p. 163
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,145, 884,B, 84,X, 5,  29.00,    783.2900,Basov    ,Planktonic Foraminifers                      ,R              ,P                 ,                   ,                   ,                    ,R                                   ,                   ,                       ,                 ,R                  ,                       ,                                ,                         ,                               ,                 ,                                ,from Leg 145 SR; Ch 9; Table 3; p. 163
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,145, 884,B, 85,X, 4,  30.00,    791.5000,Basov    ,Planktonic Foraminifers                      ,F              ,M                 ,                   ,                   ,F                   ,F                                   ,                   ,                       ,                 ,R                  ,F                      ,R                               ,                         ,                               ,                 ,                                ,from Leg 145 SR; Ch 9; Table 3; p. 163
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,145, 884,B, 85,X, 6,  31.00,    794.5100,Basov    ,Planktonic Foraminifers                      ,R              ,P                 ,                   ,                   ,                    ,                                    ,                   ,                       ,                 ,R                  ,                       ,                                ,                         ,                               ,                 ,                                ,from Leg 145 SR; Ch 9; Table 3; p. 163
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,145, 884,B, 85,X, 7,  34.00,    796.0400,Basov    ,Planktonic Foraminifers                      ,R              ,P                 ,                   ,                   ,R                   ,                                    ,R                  ,                       ,                 ,R                  ,R                      ,                                ,                         ,                               ,                 ,                                ,from Leg 145 SR; Ch 9; Table 3; p. 163
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,145, 884,B, 85,X,CC,  17.00,    796.2600,Basov    ,Planktonic Foraminifers                      ,R              ,P                 ,                   ,                   ,R                   ,R                                   ,R                  ,R                      ,R                ,                   ,                       ,                                ,                         ,                               ,                 ,                                ,from Leg 145 SR; Ch 9; Table 3; p. 163
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,145, 884,B, 86,X, 3,  28.00,    799.6800,Basov    ,Planktonic Foraminifers                      ,R              ,P                 ,                   ,                   ,R                   ,                                    ,                   ,                       ,                 ,                   ,                       ,                                ,                         ,                               ,                 ,                                ,from Leg 145 SR; Ch 9; Table 3; p. 163
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,145, 884,B, 86,X, 4,  25.00,    801.1500,Basov    ,Planktonic Foraminifers                      ,R              ,P                 ,R                  ,R                  ,                    ,                                    ,                   ,                       ,                 ,                   ,                       ,                                ,                         ,                               ,                 ,                                ,from Leg 145 SR; Ch 9; Table 3; p. 163
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
