Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group,Group Abundance,Group Preservation,Xanthiopyxis ovalis,Thalassiosira lentiginosa,Stephanopyxis turris turris,Sponge spicules,Paralia sulcata,Navicula sp.,Diploneis sp.,Achnanthes sp.,Nitzschia weaveri,Grammatophora sp.,Diatom fragments,Aulacosira granulata,Hyalodiscus sp.,Cavitatus lanceolatus,Xanthiopyxis sp.,Thalassiothrix longissima,Thalassiosira oestrupii,Thalassionema nitzschioides,Pleurosigma sp.,Nitzschia pseudokerguelenis,Nitzschia praeinterfrigidaria,Nitzschia panduriformis,Nitzschia kerguelenis,Nitzschia barronii,Hyalodiscus ?scotticus,Coscinodiscus radiatus,Chaetoceros spp. (resting spores),Actinoptychus senarius,Symbolophora sp.,Hemidiscus cuneiformis,Cocconeis sp.,Azpeitia tabularis,Stephanopyxis turris intermedia,Cyclotella striata,Thalassiosira leptopus,Rhizosolenia styliformis,Rhaphoneis surirelloides,Rhaphoneis amphiceros,Actinoptychus splendens,Actinocyclus ingens var. ovalis,Thalassiosira burckliana,Eunotia sp.,Thalassionema nitzschioides  var. parva,Proboscia alata,Coscinodiscus marginatus,Rhizosolenia hebetata f. hiemalis,Actinocyclus ingens var. planus,Nitzschia ritscherii,Navicula directa,Coscinodiscus asteromphalus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,,,,,181,1119,C,21,X,CC,45.00,196.5200,diatoms,Diatoms,C,,R,,,C,F,,,,,,,,,F,,F,,,,,,F,,,R,,R,T,,,,R,,,,,,,,,,,,,,,R,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,,,,,181,1119,C,22,X,CC,24.00,206.8300,diatoms,Diatoms,F,,R,T,,C,,,,,,,,,,F,,F,,,,,,,R,,,,F,,,,,,,,,,,,,,,,,,,T,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,,,,,181,1119,C,25,X,2,31.00,228.2100,diatoms,Diatoms,T,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,,,,,181,1119,C,25,X,2,138.00,229.2800,diatoms,Diatoms,T,,,,,R,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,,,,,181,1119,C,25,X,5,31.00,232.7100,diatoms,Diatoms,F,,R,,T,F,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,R,,,T,,,,,,,F,T,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,,,,,181,1119,C,25,X,5,111.00,233.5100,diatoms,Diatoms,C,,,,T,F,,,,,,,,,,,,,R,C,,,,F,,F,,,,T,,,,,C,,,,R,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,,,,,181,1119,C,25,X,6,68.00,234.5800,diatoms,Diatoms,B,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,,,,,181,1119,C,27,X,CC,50.00,254.6300,diatoms,Diatoms,F,,,,,C,,,,,,,,,,F,,F,,,,,,,,,,T,,,,,,,,,,,,,,,,T,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,,,,,181,1119,C,28,X,CC,95.00,264.8700,diatoms,Diatoms,A,,,,T,C,R,,,,,,,,,C,,R,,,,,,R,,T,,,R,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,,,,,181,1119,C,30,X,CC,50.00,284.0000,diatoms,Diatoms,T,,R,,,C,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,,,,,181,1119,C,31,X,CC,29.00,293.7300,diatoms,Diatoms,F,,,,,F,,,T,,,,,,,F,,,,F,,,,,,,T,,,,,,,,,,,,,,,,T,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,,,,,181,1119,C,32,X,CC,39.00,303.1900,diatoms,Diatoms,A,,F,,,F,R,,,,,,,,,F,,,R,F,,,,F,,F,T,,R,T,,,,,,R,T,T,F,T,R,T,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,,,,,181,1119,C,34,X,CC,26.00,319.1700,diatoms,Diatoms,T,,,,,R,T,,,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,,,,,181,1119,C,35,X,CC,24.00,331.9600,diatoms,Diatoms,A,,F,,R,C,,,T,,,,,,,R,,F,T,F,,,,,,F,,,R,R,T,,T,T,T,R,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,,,,,181,1119,C,36,X,CC,23.00,338.7800,diatoms,Diatoms,A,,R,,R,F,R,,T,,,,,,,,F,R,,F,,,,T,,,,,,,T,R,T,T,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,,,,,181,1119,C,37,X,CC,16.00,343.1600,diatoms,Diatoms,R,,,,,F,R,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,,,,,181,1119,C,38,X,CC,28.00,360.1200,diatoms,Diatoms,A,,F,R,,F,R,,R,T,,,,R,,R,F,T,R,C,R,T,F,F,T,C,F,R,F,R,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,,,,,181,1119,C,39,X,CC,22.00,363.3900,diatoms,Diatoms,T,,,,,F,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,,,,,181,1119,C,40,X,CC,20.00,373.4600,diatoms,Diatoms,B,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,,,,,181,1119,C,41,X,CC,29.00,382.2400,diatoms,Diatoms,B,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,,,,,181,1119,C,42,X,CC,19.00,396.2400,diatoms,Diatoms,B,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,,,,,181,1119,C,43,X,CC,29.00,402.5900,diatoms,Diatoms,B,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,,,,,181,1119,C,44,X,CC,38.00,418.8500,diatoms,Diatoms,R,,,,R,A,,,R,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,,,,,181,1119,C,45,X,CC,13.00,419.3700,diatoms,Diatoms,B,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,,,,,181,1119,C,46,X,CC,57.00,437.7700,diatoms,Diatoms,R,,,,,R,T,T,T,,,T,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,,,,,181,1119,C,47,X,CC,14.00,447.4900,diatoms,Diatoms,R,,,,,F,R,,T,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,,,,,181,1119,C,48,X,CC,39.00,456.9500,diatoms,Diatoms,F,,R,,,F,R,,,,T,R,T,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,,,,,181,1119,C,49,X,CC,27.00,465.5200,diatoms,Diatoms,F,,F,,,F,R,T,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,,,,,181,1119,C,50,X,CC,27.00,476.0200,diatoms,Diatoms,T,,,,,F,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,,,,,181,1119,C,51,X,CC,23.00,483.5600,diatoms,Diatoms,T,,,,,F,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,,,,,181,1119,C,52,X,CC,18.00,494.6200,diatoms,Diatoms,F,,R,T,T,C,F,R,F,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
