Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group,Group Abundance,Group Preservation,Reticulofenestra pseudoumbilicus,Pontosphaera spp.,Helicosphaera sellii,Helicosphaera carteri,Discoaster asymmetricus,Dictyococcites productus,Coccolithus pelagicus,Calcidiscus leptoporus,Pseudoemiliania lacunosa,Helicosphaera ampliaperta,Cyclicargolithus floridanus,Triquetrorhabdulus rugosus,Syracosphaera pulchra,Reticulofenestra small-sized,Gephyrocapsa (small),Thoracosphaera spp.,Watznaueria barnesae,Dictyococcites bisectus,Gephyrocapsa medium-sized,Discoaster deflandrei,Gephyrocapsa large,Gephyrocapsa parallela,Braarudosphaera bigelowii,Sphenolithus heteromorphus,Reticulofenestra umbilica,Cyclicargolithus abisectus,Crenalithus sp.,Sphenolithus moriformis,Comment
IR,Pleistocene,Pleistocene,,,181,1119,C,25,X,CC,30.00,235.7000,nannos,Nannofossils,F,G,,,,,,C,C,F,F,,,R,,,A,,R,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""  IR",Pleistocene,Pleistocene,,,181,1119,C,26,X,CC,72.00,245.9100,nannos,Nannofossils,A,VG,,R,,,,,C,C,F,,,,R,C,D,,,R,,,,,,,,,,,"diverse, good preser. good for photo work"""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,Pleistocene,Pleistocene,,,181,1119,C,27,X,CC,50.00,254.6300,nannos,Nannofossils,C,G,,F,C,C,,C,F,C,C,,,,,C,F,,,,,,A,,R,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,Pleistocene,Pleistocene,,,181,1119,C,28,X,CC,95.00,264.8700,nannos,Nannofossils,A,G,,,F,,,C,C,F,F,,,,R,F,F,,,R,,,C,R,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,Pleistocene,Pleistocene,,,181,1119,C,29,X,CC,47.00,274.4200,nannos,Nannofossils,A,G,,R,C,F,,C,C,F,F,,,,,F,F,,,,C,,F,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""  IR",Pleistocene,Pleistocene,,,181,1119,C,30,X,CC,50.00,284.0000,nannos,Nannofossils,F,P,,R,,,,A,R,R,R,,R,,,F,F,,,,C,,,,,,,,,,"calcareous framgments, overgrown"""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,Pleistocene,Pleistocene,,,181,1119,C,31,X,CC,29.00,293.7300,nannos,Nannofossils,C,G,,,,,,A,C,F,,,,,,C,C,,,,,R,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,Neogene,Pleistocene,,,181,1119,C,32,X,CC,39.00,303.1900,nannos,Nannofossils,A,G,,,R,R,,C,,,,,,,,R,C,,,R,A,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,Neogene,Pleistocene,,,181,1119,C,33,X,CC,49.00,312.8300,nannos,Nannofossils,R,G,,,C,R,,A,C,F,,,,,,C,C,,,,R,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""  IR",Neogene,Neogene,,,181,1119,C,34,X,CC,26.00,319.1700,nannos,Nannofossils,F,P,,,,,,C,F,F,,,,,,,F,,,,,,,,,,,,,,"calcareous framgments, overgrown"""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,Neogene,Neogene,,,181,1119,C,35,X,CC,24.00,331.9600,nannos,Nannofossils,C,M,,,C,,,C,D,R,F,,,,,C,C,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""  IR",Neogene,Neogene,,,181,1119,C,36,X,CC,23.00,338.7800,nannos,Nannofossils,C,M,,,R,,,C,A,,,,,,,F,,,,R,,,,,,,,,,,"winnowed, mainly large specimens"""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,Neogene,Neogene,,,181,1119,C,37,X,CC,16.00,343.1600,nannos,Nannofossils,A,P,,,F,,,D,C,F,,,,,R,C,F,,R,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""  IR",Neogene,Neogene,,,181,1119,C,38,X,CC,28.00,360.1200,nannos,Nannofossils,C,M,,,R,,,,D,R,,,,,R,F,,,,,,,,,,,,,,,"winnowed, dominated by C. pelagicus"""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""  IR",Neogene,Neogene,,,181,1119,C,39,X,CC,22.00,363.3900,nannos,Nannofossils,F,P,,,,,,F,D,,,,F,,,,,,,,,,,,,,,,,,"calcite fragment, few Coccosphaera"""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,,,,,181,1119,C,41,X,CC,29.00,382.2400,nannos,Nannofossils,T,,,,,,,F,F,,,,,,,R,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""  IR",Neogene,Neogene,,,181,1119,C,42,X,CC,19.00,396.2400,nannos,Nannofossils,A,M,,,,,,D,F,,,,,,,F,F,,,,,,,,,,,,,,"winnowed, overgrown/dissolution"""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,Neogene,Neogene,,,181,1119,C,43,X,CC,29.00,402.5900,nannos,Nannofossils,A,M,,R,,,,D,F,C,,,,,,,C,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""  IR",Neogene,Neogene,,,181,1119,C,44,X,CC,38.00,418.8500,nannos,Nannofossils,A,M,,,R,,,D,C,,,,,,,F,F,,,,,,,,,,,,,,"overgrown/dissolution, calcareous fragments"""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,Neogene,Neogene,,,181,1119,C,45,X,CC,13.00,419.3700,nannos,Nannofossils,A,M,,,,,,D,C,,,,,,R,C,A,,,,,,,,,,,,,,overgrown / dissolution
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,Neogene,Neogene,,,181,1119,C,46,X,CC,57.00,437.7700,nannos,Nannofossils,A,G,R,,F,,,A,F,,R,,R,,,,,R,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,Neogene,Neogene,,,181,1119,C,47,X,CC,14.00,447.4900,nannos,Nannofossils,C,G,,,F,,,C,C,F,F,,,,R,,C,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,Neogene,Neogene,,,181,1119,C,48,X,CC,39.00,456.9500,nannos,Nannofossils,A,G,,,R,R,,D,C,C,F,,R,R,R,C,,,,,,,,,,,,,,,Few Coccosphaera
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,Neogene,Neogene,,,181,1119,C,49,X,CC,27.00,465.5200,nannos,Nannofossils,A,G,,,R,,,A,A,C,R,,R,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,Neogene,Neogene,,,181,1119,C,50,X,CC,27.00,476.0200,nannos,Nannofossils,F,G,,,R,,,D,C,,,R,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,Neogene,Neogene,,,181,1119,C,51,X,CC,23.00,483.5600,nannos,Nannofossils,A,G,,R,C,C,,A,C,F,F,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,Neogene,Neogene,,,181,1119,C,52,X,CC,18.00,494.6200,nannos,Nannofossils,A,G,R,R,C,C,R,A,C,R,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
