Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Reticulofenestra spp. small,Reticulofenestra doronicoides,Pseudoemiliania lacunosa,Helicosphaera kamptneri,Discoaster variabilis,Discoaster triradiatus,Discoaster surculus,Discoaster pentaradiatus,Discoaster brouweri,Discoaster asymmetricus,Coccolithus pelagicus,Calcidiscus macintyrei,Calcidiscus leptoporus,Pontosphaera japonica,Helicosphaera sellii,Rhabdosphaera clavigera,Ceratolithus rugosus,Syracosphaera pulchra,Scyphosphaera pulcherrima,Rhabdosphaera stylifera,Gephyrocapsa caribbeanica,Gephyrocapsa spp.,Discoaster prepentaradiatus,Umbilicosphaera mirabilis,Pontosphaera syracusana,Syracosphaera histrica,Gephyrocapsa oceanica,Sphenolithus abies/neoabies,Reticulofenestra pseudoumbilica,Ceratolithus telesmus,Emiliania huxleyi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN14a             ,CN14b         ,108, 663,A,  3,H, 1, 130.00,     15.5000,Manivit  ,Nannofossils                                 ,A              ,M                 ,                           ,A                            ,R                       ,F                      ,                     ,                      ,                   ,                        ,                   ,                       ,                     ,                      ,C                     ,                     ,                    ,F                      ,R                   ,R                    ,                         ,                       ,A                        ,A                ,                           ,F                        ,                       ,R                     ,C                    ,                           ,                               ,                     ,                 ,from ODP Leg 108 SR Chapter 4 Table 9 p 53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN14a             ,CN14b         ,108, 663,A,  3,H, 2,   7.00,     15.7700,Manivit  ,Nannofossils                                 ,A              ,M                 ,                           ,A                            ,F                       ,F                      ,                     ,                      ,                   ,                        ,                   ,                       ,                     ,                      ,C                     ,R                    ,                    ,F                      ,                    ,F                    ,R                        ,                       ,A                        ,A                ,                           ,F                        ,                       ,                      ,A                    ,                           ,                               ,                     ,                 ,from ODP Leg 108 SR Chapter 4 Table 9 p 53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN14a             ,              ,108, 663,A,  3,H,CC,   6.00,     23.8100,Manivit  ,Nannofossils                                 ,A              ,M                 ,                           ,A                            ,F                       ,F                      ,                     ,                      ,                   ,                        ,                   ,                       ,                     ,                      ,C                     ,                     ,                    ,F                      ,R                   ,F                    ,                         ,R                      ,A                        ,A                ,                           ,F                        ,                       ,                      ,A                    ,rR                         ,rR                             ,                     ,                 ,from ODP Leg 108 SR Chapter 4 Table 9 p 53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN13b             ,CN14a         ,108, 663,A,  4,H,CC,  13.00,     33.1800,Manivit  ,Nannofossils                                 ,A              ,G                 ,                           ,A                            ,C                       ,C                      ,                     ,                      ,                   ,                        ,                   ,                       ,                     ,                      ,C                     ,R                    ,                    ,R                      ,                    ,F                    ,                         ,                       ,A                        ,A                ,                           ,C                        ,R                      ,R                     ,C                    ,                           ,                               ,                     ,                 ,from ODP Leg 108 SR Chapter 4 Table 9 p 53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN13b             ,CN14a         ,108, 663,A,  6,H,CC,  13.00,     50.1500,Manivit  ,Nannofossils                                 ,A              ,M                 ,                           ,A                            ,C                       ,C                      ,                     ,                      ,                   ,rR                      ,                   ,                       ,                     ,                      ,F                     ,F                    ,rR                  ,F                      ,R                   ,R                    ,                         ,                       ,A                        ,A                ,                           ,C                        ,                       ,                      ,                     ,                           ,                               ,                     ,                 ,from ODP Leg 108 SR Chapter 4 Table 9 p 53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN13b             ,CN14a         ,108, 663,A,  8,H, 3,  97.00,     65.6700,Manivit  ,Nannofossils                                 ,A              ,P                 ,                           ,A                            ,F                       ,F                      ,rR                   ,                      ,                   ,                        ,                   ,                       ,F                    ,rR                    ,F                     ,F                    ,                    ,R                      ,                    ,F                    ,                         ,                       ,A                        ,C                ,                           ,F                        ,R                      ,                      ,                     ,                           ,                               ,                     ,                 ,from ODP Leg 108 SR Chapter 4 Table 9 p 53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN13b             ,CN14a         ,108, 663,A,  8,H,CC,  15.00,     70.1900,Manivit  ,Nannofossils                                 ,A              ,P                 ,                           ,A                            ,C                       ,F                      ,                     ,rR                    ,rR                 ,                        ,rR                 ,rR                     ,F                    ,rR                    ,C                     ,F                    ,rR                  ,F                      ,                    ,F                    ,                         ,R                      ,A                        ,C                ,                           ,F                        ,                       ,                      ,                     ,                           ,                               ,                     ,                 ,from ODP Leg 108 SR Chapter 4 Table 9 p 53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN13b             ,              ,108, 663,A,  9,H,CC,  16.00,     79.3600,Manivit  ,Nannofossils                                 ,A              ,P                 ,                           ,A                            ,F                       ,C                      ,rR                   ,                      ,                   ,                        ,rR                 ,                       ,F                    ,rR                    ,F                     ,R                    ,                    ,F                      ,R                   ,                     ,                         ,                       ,C                        ,C                ,rR                         ,                         ,                       ,                      ,                     ,                           ,                               ,                     ,                 ,from ODP Leg 108 SR Chapter 4 Table 9 p 53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN13a             ,CN13b         ,108, 663,A, 10,H, 2,  70.00,     82.9000,Manivit  ,Nannofossils                                 ,A              ,M                 ,                           ,C                            ,F                       ,C                      ,                     ,                      ,                   ,                        ,                   ,                       ,F                    ,R                     ,C                     ,                     ,R                   ,                       ,                    ,                     ,R                        ,R                      ,C                        ,                 ,                           ,                         ,                       ,                      ,                     ,                           ,                               ,                     ,                 ,from ODP Leg 108 SR Chapter 4 Table 9 p 53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN13a             ,              ,108, 663,A, 10,H, 5,  80.00,     87.5000,Manivit  ,Nannofossils                                 ,A              ,M                 ,A                          ,C                            ,F                       ,C                      ,                     ,                      ,                   ,                        ,                   ,                       ,F                    ,F                     ,F                     ,                     ,F                   ,R                      ,                    ,R                    ,                         ,                       ,                         ,                 ,                           ,                         ,                       ,                      ,                     ,                           ,                               ,                     ,                 ,from ODP Leg 108 SR Chapter 4 Table 9 p 53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN12d             ,CN13a         ,108, 663,A, 12,H, 3,  40.00,    103.1000,Manivit  ,Nannofossils                                 ,A              ,M                 ,A                          ,A                            ,C                       ,F                      ,                     ,                      ,                   ,                        ,                   ,                       ,F                    ,C                     ,C                     ,R                    ,C                   ,                       ,R                   ,                     ,                         ,                       ,                         ,                 ,                           ,                         ,                       ,                      ,                     ,                           ,                               ,                     ,                 ,from ODP Leg 108 SR Chapter 4 Table 9 p 53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12d             ,CN13a         ,108, 663,A, 12,H, 3, 100.00,    103.7000,Manivit  ,Nannofossils                                 ,A              ,M                 ,A                          ,A                            ,F                       ,F                      ,                     ,R                     ,                   ,                        ,F                  ,                       ,F                    ,C                     ,C                     ,                     ,F                   ,F                      ,                    ,                     ,                         ,                       ,                         ,                 ,                           ,                         ,                       ,                      ,                     ,                           ,                               ,                     ,                 ,from ODP Leg 108 SR Chapter 4 Table 9 p 53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12d             ,CN13a         ,108, 663,A, 12,H, 5,  80.00,    106.5000,Manivit  ,Nannofossils                                 ,A              ,M                 ,A                          ,C                            ,F                       ,C                      ,                     ,F                     ,                   ,                        ,C                  ,                       ,F                    ,C                     ,C                     ,                     ,F                   ,                       ,                    ,                     ,                         ,                       ,                         ,                 ,                           ,                         ,                       ,                      ,                     ,                           ,                               ,                     ,                 ,from ODP Leg 108 SR Chapter 4 Table 9 p 53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12d             ,CN13a         ,108, 663,A, 12,H,CC,  21.00,    108.6900,Manivit  ,Nannofossils                                 ,A              ,M                 ,A                          ,A                            ,F                       ,F                      ,                     ,F                     ,                   ,                        ,C                  ,                       ,F                    ,F                     ,F                     ,R                    ,F                   ,                       ,                    ,                     ,                         ,                       ,                         ,                 ,                           ,                         ,                       ,                      ,                     ,                           ,                               ,                     ,                 ,from ODP Leg 108 SR Chapter 4 Table 9 p 53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12d             ,              ,108, 663,A, 13,H, 1,  60.00,    109.8000,Manivit  ,Nannofossils                                 ,A              ,M                 ,A                          ,A                            ,F                       ,F                      ,                     ,F                     ,                   ,                        ,C                  ,                       ,C                    ,F                     ,F                     ,                     ,F                   ,R                      ,                    ,                     ,                         ,                       ,                         ,                 ,                           ,                         ,                       ,                      ,                     ,                           ,                               ,                     ,                 ,from ODP Leg 108 SR Chapter 4 Table 9 p 53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12c             ,CN12d         ,108, 663,A, 13,H,CC,  15.00,    118.0000,Manivit  ,Nannofossils                                 ,A              ,M                 ,A                          ,A                            ,R                       ,C                      ,                     ,R                     ,                   ,                        ,C                  ,                       ,C                    ,C                     ,F                     ,                     ,F                   ,                       ,                    ,                     ,                         ,                       ,                         ,                 ,                           ,                         ,                       ,                      ,                     ,                           ,                               ,                     ,                 ,from ODP Leg 108 SR Chapter 4 Table 9 p 53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12c             ,CN12d         ,108, 663,A, 14,H,CC,  19.00,    127.3300,Manivit  ,Nannofossils                                 ,A              ,M                 ,A                          ,C                            ,F                       ,C                      ,                     ,                      ,                   ,                        ,C                  ,                       ,C                    ,F                     ,F                     ,R                    ,R                   ,                       ,                    ,                     ,                         ,                       ,                         ,                 ,                           ,                         ,                       ,                      ,                     ,                           ,                               ,                     ,                 ,from ODP Leg 108 SR Chapter 4 Table 9 p 53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12c             ,CN12d         ,108, 663,A, 15,H, 4,  30.00,    133.0000,Manivit  ,Nannofossils                                 ,A              ,M                 ,A                          ,A                            ,C                       ,C                      ,                     ,                      ,                   ,                        ,C                  ,                       ,F                    ,F                     ,C                     ,                     ,F                   ,R                      ,                    ,                     ,                         ,                       ,                         ,                 ,                           ,                         ,                       ,                      ,                     ,                           ,                               ,                     ,                 ,from ODP Leg 108 SR Chapter 4 Table 9 p 53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12c             ,              ,108, 663,A, 15,H, 5,  80.00,    135.0000,Manivit  ,Nannofossils                                 ,A              ,M                 ,A                          ,C                            ,C                       ,C                      ,                     ,R                     ,                   ,F                       ,F                  ,                       ,F                    ,F                     ,C                     ,R                    ,C                   ,                       ,                    ,                     ,                         ,                       ,                         ,                 ,                           ,                         ,                       ,                      ,                     ,                           ,                               ,                     ,                 ,from ODP Leg 108 SR Chapter 4 Table 9 p 53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12b             ,CN12c         ,108, 663,A, 16,H, 1,  90.00,    138.6000,Manivit  ,Nannofossils                                 ,A              ,M                 ,A                          ,A                            ,F                       ,C                      ,                     ,                      ,                   ,F                       ,F                  ,                       ,F                    ,F                     ,C                     ,                     ,                    ,                       ,                    ,                     ,                         ,                       ,                         ,                 ,                           ,                         ,                       ,                      ,                     ,                           ,                               ,                     ,                 ,from ODP Leg 108 SR Chapter 4 Table 9 p 53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12b             ,CN12c         ,108, 663,A, 16,H, 4, 100.00,    143.2000,Manivit  ,Nannofossils                                 ,A              ,M                 ,A                          ,A                            ,F                       ,C                      ,                     ,                      ,R                  ,F                       ,F                  ,R                      ,C                    ,F                     ,C                     ,R                    ,                    ,                       ,                    ,                     ,                         ,                       ,                         ,                 ,                           ,                         ,                       ,                      ,                     ,                           ,                               ,                     ,                 ,from ODP Leg 108 SR Chapter 4 Table 9 p 53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12b             ,              ,108, 663,A, 16,H,CC,  15.00,    147.0100,Manivit  ,Nannofossils                                 ,A              ,M                 ,C                          ,C                            ,F                       ,C                      ,R                    ,R                     ,F                  ,F                       ,F                  ,F                      ,C                    ,F                     ,C                     ,                     ,                    ,                       ,                    ,                     ,                         ,                       ,                         ,                 ,                           ,                         ,                       ,                      ,                     ,                           ,                               ,                     ,                 ,from ODP Leg 108 SR Chapter 4 Table 9 p 53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
