Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Globoturborotalita brazieri,Globoturborotalia sp. cf. G. labiacrassata,Globorotaloides suteri,Globigerina sp.,Catapsydrax unicavus,Catapsydrax dissimilis,Paragloborotalia semivera,Paragloborotalita incognita,Globoturborotalita sp.,Globorotalia praescitula,Globorotalia zealandica,Globoturborotalita woodi,Globorotalia miozea,Neogloboquadrina continuosa,Globorotalia scitula,Paragloborotalia siakensis,Globigerinita uvula,Globigerina bulloides,Neogloboquadrina sp.,Globoturorotalita sp. indet.,Neogloboquadrina pachyderma,Comment
  SR,Early Miocene    ,                 ,NK1               ,              ,120, 751,A, 18,H, 4,  32.00,    161.5200,Berggren ,Planktonic Foraminifers                      ,A              ,G                 ,F                          ,F                                         ,F                     ,R              ,R                   ,R                     ,R                        ,                           ,                      ,                        ,                       ,                        ,                   ,                           ,                    ,                          ,                   ,                     ,                    ,                            ,                           ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix C back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,NK1               ,              ,120, 751,A, 18,H, 5,  32.00,    163.0200,Berggren ,Planktonic Foraminifers                      ,A              ,G                 ,F                          ,F                                         ,F                     ,R              ,F                   ,C                     ,                         ,                           ,                      ,                        ,                       ,                        ,                   ,                           ,                    ,                          ,                   ,                     ,                    ,                            ,                           ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix C back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,NK1               ,              ,120, 751,A, 18,H, 6,  32.00,    164.5200,Berggren ,Planktonic Foraminifers                      ,A              ,G                 ,F                          ,C                                         ,F                     ,R              ,F                   ,F                     ,                         ,                           ,                      ,                        ,                       ,                        ,                   ,                           ,                    ,                          ,                   ,                     ,                    ,                            ,                           ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix C back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,NK1               ,              ,120, 751,A, 18,H, 7,  32.00,    166.0200,Berggren ,Planktonic Foraminifers                      ,C              ,G                 ,C                          ,C                                         ,F                     ,R              ,F                   ,F                     ,                         ,                           ,                      ,                        ,                       ,                        ,                   ,                           ,                    ,                          ,                   ,                     ,                    ,                            ,                           ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix C back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,NK1               ,              ,120, 751,A, 18,H,CC,  12.00,    166.6500,Berggren ,Planktonic Foraminifers                      ,C              ,G                 ,C                          ,C                                         ,F                     ,R              ,F                   ,F                     ,                         ,                           ,                      ,                        ,                       ,                        ,                   ,                           ,                    ,                          ,                   ,                     ,                    ,                            ,                           ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix C back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
