Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Globoturborotalita brazieri,Globoturborotalia sp. cf. G. labiacrassata,Globorotaloides suteri,Globigerina sp.,Catapsydrax unicavus,Catapsydrax dissimilis,Paragloborotalia semivera,Paragloborotalita incognita,Globoturborotalita sp.,Globorotalia praescitula,Globorotalia zealandica,Globoturborotalita woodi,Globorotalia miozea,Neogloboquadrina continuosa,Globorotalia scitula,Paragloborotalia siakensis,Globigerinita uvula,Globigerina bulloides,Neogloboquadrina sp.,Globoturorotalita sp. indet.,Neogloboquadrina pachyderma,Comment
  SR,Late Miocene     ,                 ,NK6               ,              ,120, 751,A,  6,H,CC,  16.00,     52.3900,Berggren ,Planktonic Foraminifers                      ,A              ,G                 ,                           ,                                          ,                      ,               ,                    ,                      ,                         ,                           ,                      ,                        ,                       ,                        ,                   ,                           ,                    ,                          ,                   ,A                    ,                    ,                            ,                           ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix C back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,NK5               ,              ,120, 751,A,  7,H, 1, 130.00,     53.5000,Berggren ,Planktonic Foraminifers                      ,R              ,G                 ,                           ,                                          ,                      ,               ,                    ,                      ,                         ,                           ,                      ,                        ,                       ,                        ,                   ,                           ,                    ,                          ,                   ,R                    ,                    ,                            ,                           ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix C back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,NK5               ,              ,120, 751,A,  7,H, 2,  32.00,     54.0200,Berggren ,Planktonic Foraminifers                      ,R              ,G                 ,                           ,                                          ,                      ,               ,                    ,                      ,                         ,                           ,                      ,                        ,                       ,                        ,                   ,                           ,                    ,                          ,                   ,R                    ,                    ,                            ,                           ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix C back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,NK5               ,              ,120, 751,A,  7,H, 3,  32.00,     55.5200,Berggren ,Planktonic Foraminifers                      ,R              ,G                 ,                           ,                                          ,                      ,               ,                    ,                      ,                         ,                           ,                      ,                        ,                       ,                        ,                   ,                           ,R                   ,                          ,                   ,                     ,                    ,                            ,                           ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix C back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,NK5               ,              ,120, 751,A,  7,H, 4,  90.00,     57.6000,Berggren ,Planktonic Foraminifers                      ,R              ,G                 ,                           ,                                          ,                      ,               ,                    ,                      ,                         ,                           ,                      ,                        ,                       ,                        ,                   ,                           ,                    ,                          ,                   ,                     ,                    ,F                           ,                           ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix C back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,NK5               ,              ,120, 751,A,  7,H, 5,  32.00,     58.5200,Berggren ,Planktonic Foraminifers                      ,F              ,G                 ,                           ,                                          ,                      ,               ,                    ,                      ,                         ,                           ,                      ,                        ,                       ,R                       ,                   ,                           ,                    ,                          ,                   ,                     ,                    ,R                           ,                           ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix C back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,NK5               ,              ,120, 751,A,  7,H, 6,  32.00,     60.0200,Berggren ,Planktonic Foraminifers                      ,F              ,G                 ,                           ,                                          ,                      ,               ,                    ,                      ,                         ,                           ,                      ,                        ,                       ,R                       ,                   ,                           ,F                   ,                          ,                   ,R                    ,R                   ,                            ,                           ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix C back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,NK5               ,              ,120, 751,A,  7,H, 7,  32.00,     61.5200,Berggren ,Planktonic Foraminifers                      ,A              ,G                 ,                           ,                                          ,                      ,               ,                    ,                      ,                         ,                           ,                      ,                        ,                       ,A                       ,                   ,                           ,F                   ,                          ,                   ,R                    ,A                   ,                            ,                           ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix C back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,NK5               ,              ,120, 751,A,  7,H,CC,  14.00,     62.1000,Berggren ,Planktonic Foraminifers                      ,C              ,G                 ,                           ,                                          ,                      ,               ,                    ,                      ,                         ,                           ,                      ,                        ,                       ,A                       ,                   ,                           ,F                   ,                          ,                   ,R                    ,R                   ,                            ,                           ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix C back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,NK5               ,              ,120, 751,A,  8,H, 2, 130.00,     64.5000,Berggren ,Planktonic Foraminifers                      ,C              ,G                 ,                           ,                                          ,                      ,               ,                    ,                      ,                         ,                           ,                      ,                        ,                       ,C                       ,                   ,                           ,                    ,                          ,                   ,R                    ,                    ,                            ,                           ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix C back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,NK5               ,              ,120, 751,A,  8,H, 3,  32.00,     65.0200,Berggren ,Planktonic Foraminifers                      ,C              ,G                 ,                           ,                                          ,                      ,               ,                    ,                      ,                         ,                           ,                      ,                        ,                       ,F                       ,                   ,                           ,                    ,                          ,                   ,C                    ,R                   ,                            ,                           ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix C back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,NK5               ,              ,120, 751,A,  8,H, 4,  32.00,     66.5200,Berggren ,Planktonic Foraminifers                      ,C              ,G                 ,                           ,                                          ,                      ,               ,                    ,                      ,                         ,                           ,                      ,                        ,                       ,C                       ,                   ,                           ,                    ,                          ,                   ,F                    ,                    ,                            ,                           ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix C back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,NK5               ,              ,120, 751,A,  8,H, 5,  32.00,     68.0200,Berggren ,Planktonic Foraminifers                      ,R              ,G                 ,                           ,                                          ,                      ,               ,                    ,                      ,                         ,                           ,                      ,                        ,                       ,R                       ,                   ,                           ,                    ,                          ,                   ,R                    ,                    ,                            ,                           ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix C back pocket microfiche
