Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Thalassiosira oestrupii	Stephanopyxis turris	Rhizosolenia barboi	Coscinodiscus marginatus	Thalassiothrix spp.	Thalassiothrix longissima	Thalassiosira antiqua	Neodenticula kamtschatica	Hemidiscus cuneiformis	Thalassionema robusta	Thalassionema nitzschioides	Paralia sulcata	Actinoptychus senarius	Thalassionema schraderi	Nitzschia reinholdii	Neodenticula koizumii	Thalassiosira convexa	Rhaphoneis sp.	Neodenticula seminae (sensu Akiba)	Neodenticula seminae	Thalassiosira sp.	Thalassiosira cf. T. convexa	Diatom fragments (girdle bands)	Comment
  IR	                 	                 	NPD 9             	              	167	1022	A	  8	H	CC	  35.00	     71.6900	Maruyama 	Diatoms                                      	C              	P/M               	                       	+                   	+                  	+                       	                   	                         	                     	                         	                      	+                    	                           	               	                      	                       	                    	+                    	+                    	+             	+                                 	                    	                 	                            	                               	from IR. Ch 16. Table 6.

  IR	                 	                 	NPD 9             	              	167	1022	A	  9	H	CC	  19.00	     80.9900	Maruyama 	Diatoms                                      	F              	P/M               	                       	+                   	+                  	+                       	                   	                         	                     	                         	+                     	                     	+                          	               	                      	                       	                    	+                    	                     	              	                                  	                    	                 	                            	                               	from IR. Ch 16. Table 6.

  IR	                 	                 	NPD 9             	              	167	1022	A	 10	H	CC	  20.00	     90.5200	Maruyama 	Diatoms                                      	C              	P/M               	                       	                    	                   	+                       	                   	+                        	                     	+                        	+                     	+                    	                           	               	                      	                       	                    	+                    	+                    	              	                                  	                    	                 	                            	                               	from IR. Ch 16. Table 6.

  IR	                 	                 	NPD 8             	              	167	1022	A	 11	H	CC	  10.00	     99.7400	Maruyama 	Diatoms                                      	F              	P/M               	+                      	+                   	+                  	+                       	                   	                         	                     	+                        	                      	+                    	                           	               	                      	                       	                    	+                    	                     	              	                                  	                    	                 	                            	                               	from IR. Ch 16. Table 6.

  IR	                 	                 	NPD 8             	              	167	1022	A	 12	H	CC	   0.00	    109.3700	Maruyama 	Diatoms                                      	C              	M                 	                       	+                   	+                  	+                       	                   	+                        	                     	+                        	                      	                     	                           	               	                      	                       	                    	+                    	                     	              	                                  	                    	                 	                            	                               	from IR. Ch 16. Table 6.

  IR	                 	                 	NPD 8             	              	167	1022	A	 13	H	CC	  24.00	    119.1500	Maruyama 	Diatoms                                      	C              	P/M               	                       	+                   	+                  	+                       	                   	+                        	                     	+                        	                      	                     	                           	+              	                      	                       	+                   	+                    	+                    	              	                                  	                    	                 	                            	                               	from IR. Ch 16. Table 6.

  IR	                 	                 	NPD 8             	              	167	1022	A	 14	H	CC	  21.00	    128.6300	Maruyama 	Diatoms                                      	A              	P/M               	                       	+                   	+                  	+                       	                   	+                        	                     	+                        	                      	                     	                           	               	                      	                       	+                   	                     	                     	              	                                  	                    	                 	                            	                               	from IR. Ch 16. Table 6.

  IR	                 	                 	NPD 8             	              	167	1022	A	 15	H	CC	  18.00	    137.9600	Maruyama 	Diatoms                                      	C              	P/M               	                       	                    	+                  	+                       	                   	+                        	                     	+                        	                      	                     	                           	               	                      	+                      	+                   	+                    	                     	              	                                  	                    	                 	                            	                               	from IR. Ch 16. Table 6.

  IR	                 	                 	NPD 8             	              	167	1022	A	 16	H	CC	  24.00	    147.5000	Maruyama 	Diatoms                                      	C              	P/M               	                       	+                   	                   	                        	                   	+                        	                     	+                        	+                     	+                    	+                          	+              	+                     	                       	                    	                     	                     	              	                                  	                    	                 	                            	                               	from IR. Ch 16. Table 6.

  IR	Early Pliocene   	                 	NPD 7C            	              	167	1022	A	 17	H	CC	  19.00	    157.1000	Maruyama 	Diatoms                                      	A              	P/M               	                       	+                   	+                  	+                       	+                  	+                        	+                    	+                        	+                     	                     	                           	               	                      	                       	                    	                     	                     	              	                                  	                    	                 	                            	                               	from IR. Ch 16. Table 6.

  IR	Early Pliocene   	                 	NPD 7C            	              	167	1022	A	 18	H	CC	  28.00	    163.2600	Maruyama 	Diatoms                                      	R              	P                 	+                      	+                   	+                  	+                       	                   	                         	                     	                         	                      	                     	                           	               	                      	                       	                    	                     	                     	              	                                  	                    	                 	                            	                               	from IR. Ch 16. Table 6.

