Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Zeaglobigerina woodi	Zeaglobigerina connecta	Globorotaloides suteri	Globoquadrina dehiscens	Globoconella praescitula	Globoconella panda	Globigerinoides trilobus	Globigerinoides sicanus	Globigerinoides ruber	Globigerina bulloides	Catapsydrax parvulus	Praeorbulina glomerosa	Sphaeroidinellopsis disjuncta	Praeorbulina transitoria	Orbulina universa	Orbulina bilobata	Globoconella miozea	Globigerinoides quadrilobatus	Globigerinita glutinata	Zeaglobigerina decoraperta	Jenkinsella mayeri	Globorotaloides variabilis	Globoquadrina venezuelana	Globoconella conoidea	Globigerinella obesa	Globigerina falconensis	Fohsella peripheroronda	Neogloboquadrina continuosa	Jenkinsella semivera	Globigerina quinqueloba	Sphaeroidinellopsis seminulina	Zeaglobigerina nepenthes	Neogloboquadrina pachyderma	Globorotalia scitula	Globorotalia pliozea	Globorotalia menardii	Globoconella conomiozea	Hastigerina pelagica	Globorotalia praemenardii	Sphaeroidinellopsis kochi	Globoconella sphericomiozea	Globigerinoides sacculifer	Globorotalia tumida	Globorotalia pseudomiocenica	Globigerinoides obliquus	Dentoglobigerina altispira	Globorotalia puncticulata	Globorotalia crassaformis	Globorotalia margaritae	Globorotalia inflata	Globorotalia crassula	Globorotalia crassaconica	Globoconella inflata	Globigerinoides conglobatus	Globigerinita parkerae	Neogloboquadrina dutertrei	Globigerinella siphonifera	Globorotalia truncatulinoides	Globorotalia tosaensis	Globigerinita uvula	Comment

  IR	Late Pliocene    	Pleistocene      	PL6 - IndoPac     	Pt1a          	182	1126	C	  5	H	CC	  12.00	     46.6100	Li       	Planktonic Foraminifers                      	A              	M                 	                    	                       	                      	                       	                        	                  	P                       	                       	R                    	F                    	                    	                      	                             	                        	F                	                 	                   	                             	F                      	                          	                  	                          	                         	                     	                    	F                      	                       	                           	                    	F                      	                              	                        	P                          	R                   	                    	                     	                       	                    	                         	                         	                           	                          	                   	                            	                        	                          	                         	F                        	                       	F                   	R                    	                         	F                   	                           	                      	P                         	P                         	                             	                      	                   	glauconitic; SN13-inflata Zone

  IR	                 	Late Pliocene    	                  	PL3           	182	1126	C	  6	H	CC	  26.00	     56.0200	Li       	Planktonic Foraminifers                      	A              	VG                	                    	                       	                      	                       	                        	                  	P                       	                       	F                    	R                    	                    	                      	                             	                        	P                	                 	                   	                             	F                      	                          	                  	                          	                         	                     	                    	A                      	                       	                           	                    	F                      	                              	                        	P                          	F                   	P                   	                     	                       	                    	                         	                         	                           	                          	                   	                            	                        	                          	                         	F                        	P                      	F                   	P                    	R                        	F                   	R                          	P                     	                          	                          	                             	                      	                   	       

  IR	                 	Early Pliocene   	                  	PL1           	182	1126	C	  7	H	CC	  13.00	     64.9600	Li       	Planktonic Foraminifers                      	C              	G                 	                    	                       	                      	                       	                        	                  	P                       	                       	P                    	F                    	                    	                      	                             	                        	P                	                 	                   	P                            	                       	                          	                  	                          	                         	                     	                    	F                      	                       	                           	                    	F                      	                              	                        	                           	P                   	P                   	                     	                       	                    	                         	                         	P                          	                          	                   	                            	                        	                          	R                        	P                        	                       	                    	                     	                         	                    	                           	                      	                          	                          	                             	                      	                   	       

  IR	Late Miocene     	Early Pliocene   	                  	Pl1a          	182	1126	C	  8	H	CC	  43.00	     75.7600	Li       	Planktonic Foraminifers                      	A              	G                 	                    	                       	                      	                       	                        	                  	                        	                       	                     	P                    	                    	                      	                             	                        	P                	                 	                   	                             	                       	                          	                  	                          	                         	P                    	                    	P                      	                       	                           	                    	                       	P                             	P                       	                           	P                   	                    	P                    	                       	                    	                         	                         	P                          	                          	P                  	P                           	P                       	P                         	                         	                         	                       	                    	                     	                         	                    	                           	                      	                          	                          	                             	                      	                   	       

  IR	Late Miocene     	Early Pliocene   	Mt10              	Pl1a          	182	1126	C	  9	H	 5	  45.00	     81.4500	Li       	Planktonic Foraminifers                      	A              	VG                	P                   	                       	                      	                       	                        	                  	F                       	                       	P                    	F                    	                    	                      	                             	                        	F                	                 	                   	F                            	P                      	                          	                  	                          	                         	P                    	                    	F                      	                       	                           	                    	F                      	                              	R                       	                           	F                   	                    	                     	P                      	                    	                         	P                        	F                          	P                         	                   	                            	                        	                          	                         	                         	                       	                    	                     	                         	                    	                           	                      	                          	                          	                             	                      	                   	       

  IR	                 	Late Miocene     	                  	              	182	1126	C	  9	H	 5	 120.00	     82.2000	Li       	Planktonic Foraminifers                      	A              	M                 	P                   	                       	                      	R                      	P                       	                  	P                       	                       	                     	P                    	                    	R                     	P                            	                        	R                	                 	                   	                             	                       	                          	                  	                          	                         	P                    	P                   	P                      	                       	                           	P                   	                       	                              	                        	                           	                    	                    	                     	                       	                    	P                        	                         	                           	                          	                   	                            	                        	                          	                         	                         	                       	                    	                     	                         	                    	                           	                      	                          	                          	                             	                      	                   	mixed; SN10? G. ampliapertura-reworked?

  IR	                 	Late Miocene     	                  	              	182	1126	C	  9	H	CC	  20.00	     84.5900	Li       	Planktonic Foraminifers                      	A              	M                 	                    	                       	                      	P                      	                        	                  	                        	                       	                     	                     	                    	                      	                             	                        	R                	P                	                   	F                            	                       	F                         	                  	                          	                         	P                    	P                   	R                      	                       	                           	                    	                       	                              	P                       	                           	                    	P                   	                     	P                      	P                   	                         	                         	                           	                          	                   	                            	                        	                          	                         	                         	                       	                    	                     	                         	                    	                           	                      	                          	                          	                             	                      	                   	SN10; calcite overgrowths

  IR	                 	Late Miocene     	                  	              	182	1126	C	 10	X	CC	  17.00	     89.1700	Li       	Planktonic Foraminifers                      	A              	M                 	P                   	                       	                      	R                      	                        	                  	                        	                       	                     	P                    	                    	                      	                             	                        	P                	P                	                   	P                            	                       	P                         	                  	                          	                         	P                    	                    	                       	                       	                           	                    	                       	                              	P                       	P                          	P                   	P                   	P                    	P                      	                    	                         	                         	                           	                          	                   	                            	                        	                          	                         	                         	                       	                    	                     	                         	                    	                           	                      	                          	                          	                             	                      	                   	SN10; Sponge spicules

  IR	                 	Late Miocene     	                  	              	182	1126	C	 11	X	CC	  16.00	     99.3600	Li       	Planktonic Foraminifers                      	A              	G                 	P                   	                       	                      	F                      	                        	                  	R                       	                       	                     	P                    	                    	                      	                             	                        	F                	                 	                   	                             	                       	P                         	                  	                          	                         	R                    	                    	                       	                       	                           	                    	P                      	P                             	                        	                           	                    	                    	                     	                       	                    	                         	                         	                           	                          	                   	                            	                        	                          	                         	                         	                       	                    	                     	                         	                    	                           	                      	                          	                          	                             	                      	                   	SN10

  IR	                 	Middle Miocene   	                  	Mt6           	182	1126	C	 12	X	CC	  18.00	    106.9600	Li       	Planktonic Foraminifers                      	A              	G                 	P                   	                       	                      	P                      	P                       	P                 	R                       	                       	                     	P                    	                    	                      	                             	                        	F                	                 	P                  	P                            	                       	P                         	                  	                          	                         	R                    	P                   	                       	R                      	                           	                    	F                      	                              	                        	                           	                    	                    	                     	                       	                    	                         	                         	                           	                          	                   	                            	                        	                          	                         	                         	                       	                    	                     	                         	                    	                           	                      	                          	                          	                             	                      	                   	spicules; also Z. apertura

  IR	                 	Middle Miocene   	                  	Mt6           	182	1126	C	 13	X	CC	  22.00	    118.9400	Li       	Planktonic Foraminifers                      	A              	G                 	P                   	P                      	                      	P                      	P                       	P                 	R                       	                       	                     	                     	P                   	                      	                             	                        	R                	                 	P                  	                             	R                      	P                         	                  	P                         	                         	F                    	R                   	                       	P                      	P                          	P                   	F                      	                              	                        	                           	                    	                    	                     	                       	                    	                         	                         	                           	                          	                   	                            	                        	                          	                         	                         	                       	                    	                     	                         	                    	                           	                      	                          	                          	                             	                      	                   	spicules

  IR	                 	Middle Miocene   	                  	Mt6           	182	1126	C	 14	X	CC	  16.00	    125.1400	Li       	Planktonic Foraminifers                      	A              	G                 	P                   	P                      	                      	P                      	P                       	P                 	R                       	                       	P                    	                     	                    	                      	                             	                        	R                	P                	P                  	                             	P                      	P                         	P                 	P                         	P                        	P                    	P                   	P                      	P                      	                           	                    	                       	                              	                        	                           	                    	                    	                     	                       	                    	                         	                         	                           	                          	                   	                            	                        	                          	                         	                         	                       	                    	                     	                         	                    	                           	                      	                          	                          	                             	                      	                   	spicules

  IR	                 	Middle Miocene   	                  	Mt6           	182	1126	C	 15	X	CC	  29.00	    135.1100	Li       	Planktonic Foraminifers                      	A              	P                 	P                   	P                      	                      	P                      	                        	P                 	P                       	P                      	                     	                     	                    	F                     	P                            	P                       	P                	P                	P                  	P                            	P                      	                          	                  	                          	                         	                     	                    	                       	                       	                           	                    	                       	                              	                        	                           	                    	                    	                     	                       	                    	                         	                         	                           	                          	                   	                            	                        	                          	                         	                         	                       	                    	                     	                         	                    	                           	                      	                          	                          	                             	                      	                   	spicules; radiolarias

  IR	                 	Middle Miocene   	                  	Mt5b          	182	1126	C	 16	H	CC	  10.00	    144.5000	Li       	Planktonic Foraminifers                      	C              	M                 	P                   	P                      	P                     	P                      	P                       	                  	P                       	                       	R                    	                     	                    	P                     	                             	                        	                 	                 	                   	                             	                       	                          	                  	                          	                         	                     	                    	                       	                       	                           	                    	                       	                              	                        	                           	                    	                    	                     	                       	                    	                         	                         	                           	                          	                   	                            	                        	                          	                         	                         	                       	                    	                     	                         	                    	                           	                      	                          	                          	                             	                      	                   	spicules

  IR	                 	Middle Miocene   	                  	Mt5a          	182	1126	C	 17	X	CC	  25.00	    148.8100	Li       	Planktonic Foraminifers                      	A              	G                 	P                   	P                      	P                     	P                      	P                       	P                 	F                       	R                      	R                    	P                    	P                   	                      	                             	                        	                 	                 	                   	                             	                       	                          	                  	                          	                         	                     	                    	                       	                       	                           	                    	                       	                              	                        	                           	                    	                    	                     	                       	                    	                         	                         	                           	                          	                   	                            	                        	                          	                         	                         	                       	                    	                     	                         	                    	                           	                      	                          	                          	                             	                      	                   	spicules

