Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Globoturborotalita woodi,Globorotaloides suteri,Globorotalia zealandica,Globorotalia praescitula,Globorotalia miozea,Globoquadrina dehiscens,Globigerinoides altiapertura,Globigerinita glutinata,Globigerinella praesiphonifera,Globigerina praebulloides,Catapsydrax dissimilis,Globorotalia panda,Globigerinoides trilobus,Globorotalia scitula,Globigerina bulloides,Praeorbulina curva,Orbulina suturalis,Globorotalia conoidea,Dentoglobigerina baroemoenensis,Praeorbulina transitoria,Praeorbulina sicana,Orbulina universa,Globorotalia juanai,Globigerinita parkerae,Globorotalia peripheroronda,Globorotalia miotumida,Globorotalia explicationis,Globigerinoides kennetti,Globigerinoides immaturus,Globigerina quinqueloba,Globigerina falconensis,Globigerina druryi,Tenuitella minutissima,Paragloborotalia mayeri,Paragloborotalia continuosa,Paragloborotalia nympha,Globoturborotalita apertura,Globigerinella obesa,Globoturborotalita decoraperta,Neogloboquadrina pachyderma (sinistral),Globigerinoides obliquus,Globorotalia puncticuloides,Globorotalia conomiozea,Neogloboquadrina humerosa,Globigerinella aequilateralis,Globorotalia puncticulata,Globorotalia pliozea,Globorotalia crassaformis,Globorotalia inflata,Globorotalia crassaconica,Globorotalia tosaensis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SN13          ,189,1168,C,  5,H,CC,  20.00,     47.5700,forams   ,Planktonic Foraminifers                      ,A              ,VG                ,                        ,                      ,                       ,                        ,                   ,                       ,                            ,                       ,                              ,                         ,                      ,                  ,                        ,+                   ,+                    ,                  ,                  ,                     ,                               ,                        ,                   ,+                ,                   ,                      ,                           ,                      ,                          ,                        ,                         ,                       ,+                      ,                  ,                      ,                       ,                           ,                       ,                           ,                    ,                              ,+                                      ,                        ,                           ,                       ,                         ,+                            ,+                        ,                    ,+                        ,+                   ,                         ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SN12b         ,189,1168,C,  6,H,CC,  22.00,     56.2600,forams   ,Planktonic Foraminifers                      ,A              ,VG                ,                        ,                      ,                       ,                        ,                   ,                       ,                            ,                       ,                              ,                         ,                      ,                  ,                        ,+                   ,+                    ,                  ,                  ,                     ,                               ,                        ,                   ,+                ,                   ,                      ,                           ,                      ,                          ,                        ,                         ,                       ,+                      ,                  ,                      ,                       ,                           ,                       ,                           ,                    ,                              ,+                                      ,                        ,                           ,                       ,                         ,+                            ,+                        ,                    ,+                        ,                    ,                         ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SN12a         ,189,1168,C,  7,H,CC,  13.00,     63.0300,forams   ,Planktonic Foraminifers                      ,A              ,G                 ,                        ,                      ,                       ,                        ,                   ,                       ,                            ,                       ,                              ,                         ,                      ,                  ,                        ,+                   ,+                    ,                  ,                  ,                     ,                               ,                        ,                   ,+                ,                   ,                      ,                           ,                      ,                          ,                        ,                         ,                       ,                       ,                  ,                      ,                       ,                           ,                       ,                           ,                    ,                              ,+                                      ,                        ,                           ,+                      ,                         ,+                            ,+                        ,+                   ,                         ,                    ,                         ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SN11          ,189,1168,C,  8,H,CC,   0.00,     74.7000,forams   ,Planktonic Foraminifers                      ,A              ,G                 ,                        ,                      ,                       ,                        ,                   ,                       ,                            ,                       ,                              ,                         ,                      ,                  ,                        ,+                   ,+                    ,                  ,                  ,+                    ,                               ,                        ,                   ,+                ,                   ,                      ,                           ,                      ,                          ,                        ,                         ,                       ,                       ,                  ,                      ,                       ,                           ,                       ,                           ,                    ,                              ,+                                      ,                        ,                           ,+                      ,                         ,+                            ,                         ,                    ,                         ,                    ,                         ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SN11          ,189,1168,C,  9,H,CC,  25.00,     85.9100,forams   ,Planktonic Foraminifers                      ,A              ,G                 ,                        ,                      ,                       ,                        ,                   ,                       ,                            ,                       ,                              ,                         ,                      ,                  ,                        ,                    ,+                    ,                  ,                  ,+                    ,                               ,                        ,                   ,+                ,+                  ,                      ,                           ,                      ,                          ,                        ,                         ,                       ,+                      ,                  ,                      ,                       ,                           ,                       ,                           ,                    ,                              ,+                                      ,                        ,                           ,+                      ,                         ,                             ,                         ,                    ,                         ,                    ,                         ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SN11          ,189,1168,C, 10,H,CC,  16.00,     94.6300,forams   ,Planktonic Foraminifers                      ,A              ,G                 ,                        ,                      ,                       ,                        ,                   ,                       ,                            ,                       ,                              ,                         ,                      ,                  ,                        ,                    ,+                    ,                  ,                  ,+                    ,                               ,                        ,                   ,+                ,                   ,+                     ,                           ,                      ,                          ,                        ,                         ,                       ,+                      ,                  ,                      ,                       ,                           ,                       ,                           ,+                   ,                              ,+                                      ,                        ,                           ,+                      ,                         ,                             ,                         ,                    ,                         ,                    ,                         ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SN11          ,189,1168,C, 11,H,CC,   0.00,    102.7000,forams   ,Planktonic Foraminifers                      ,A              ,G                 ,                        ,                      ,                       ,                        ,                   ,                       ,                            ,                       ,                              ,                         ,                      ,                  ,                        ,                    ,+                    ,                  ,                  ,+                    ,                               ,                        ,                   ,+                ,                   ,                      ,                           ,+                     ,                          ,                        ,                         ,                       ,                       ,                  ,                      ,                       ,                           ,                       ,                           ,                    ,                              ,+                                      ,                        ,                           ,+                      ,                         ,                             ,                         ,                    ,                         ,                    ,                         ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SN11          ,189,1168,C, 12,H,CC,  24.00,    114.4100,forams   ,Planktonic Foraminifers                      ,A              ,VG                ,                        ,                      ,                       ,                        ,                   ,                       ,                            ,+                      ,                              ,                         ,                      ,                  ,                        ,                    ,+                    ,                  ,                  ,+                    ,                               ,                        ,                   ,+                ,                   ,                      ,                           ,                      ,                          ,                        ,                         ,+                      ,                       ,                  ,                      ,                       ,                           ,                       ,+                          ,+                   ,                              ,+                                      ,                        ,                           ,+                      ,                         ,                             ,                         ,                    ,                         ,                    ,                         ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SN11          ,189,1168,C, 13,X,CC,  13.00,    117.4400,forams   ,Planktonic Foraminifers                      ,A              ,M                 ,                        ,                      ,                       ,                        ,                   ,                       ,                            ,+                      ,                              ,                         ,                      ,+                 ,                        ,                    ,+                    ,                  ,                  ,+                    ,                               ,                        ,                   ,+                ,                   ,                      ,                           ,+                     ,+                         ,                        ,                         ,+                      ,                       ,                  ,                      ,                       ,                           ,                       ,+                          ,                    ,                              ,+                                      ,                        ,                           ,+                      ,+                        ,                             ,                         ,                    ,                         ,                    ,                         ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SN11          ,189,1168,C, 14,X,CC,  15.00,    124.8600,forams   ,Planktonic Foraminifers                      ,A              ,M                 ,                        ,                      ,                       ,                        ,                   ,                       ,                            ,+                      ,                              ,                         ,                      ,+                 ,                        ,                    ,+                    ,                  ,                  ,+                    ,                               ,                        ,                   ,+                ,                   ,                      ,                           ,+                     ,+                         ,                        ,                         ,+                      ,                       ,                  ,                      ,                       ,                           ,                       ,+                          ,                    ,                              ,+                                      ,                        ,                           ,+                      ,                         ,                             ,                         ,                    ,                         ,                    ,                         ,                      ,Gr panda present
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SN10          ,189,1168,C, 15,X,CC,  13.00,    133.5400,forams   ,Planktonic Foraminifers                      ,A              ,VG                ,                        ,                      ,                       ,                        ,                   ,                       ,                            ,+                      ,                              ,                         ,                      ,+                 ,                        ,+                   ,+                    ,                  ,                  ,+                    ,                               ,                        ,                   ,+                ,                   ,                      ,                           ,+                     ,+                         ,                        ,                         ,+                      ,                       ,                  ,                      ,                       ,                           ,                       ,+                          ,+                   ,                              ,+                                      ,                        ,+                          ,                       ,                         ,                             ,                         ,                    ,                         ,                    ,                         ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SN9           ,189,1168,C, 16,X,CC,  21.00,    140.5200,forams   ,Planktonic Foraminifers                      ,A              ,G                 ,                        ,                      ,                       ,                        ,                   ,+                      ,                            ,+                      ,                              ,                         ,                      ,+                 ,                        ,                    ,+                    ,                  ,                  ,+                    ,                               ,                        ,                   ,+                ,                   ,                      ,                           ,+                     ,+                         ,                        ,                         ,+                      ,                       ,                  ,                      ,                       ,+                          ,                       ,+                          ,                    ,                              ,+                                      ,                        ,                           ,                       ,                         ,                             ,                         ,                    ,                         ,                    ,                         ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SN9           ,189,1168,C, 17,X,CC,  13.00,    149.1900,forams   ,Planktonic Foraminifers                      ,A              ,VG                ,                        ,                      ,                       ,                        ,                   ,+                      ,                            ,+                      ,                              ,                         ,                      ,+                 ,                        ,                    ,+                    ,                  ,                  ,+                    ,                               ,                        ,                   ,+                ,                   ,                      ,                           ,+                     ,+                         ,                        ,                         ,+                      ,                       ,                  ,                      ,                       ,+                          ,                       ,+                          ,+                   ,+                             ,+                                      ,+                       ,                           ,                       ,                         ,                             ,                         ,                    ,                         ,                    ,                         ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SN9           ,189,1168,C, 18,X,CC,  12.00,    162.1700,forams   ,Planktonic Foraminifers                      ,A              ,VG                ,                        ,                      ,                       ,                        ,                   ,+                      ,                            ,+                      ,                              ,                         ,                      ,+                 ,                        ,+                   ,+                    ,                  ,                  ,+                    ,                               ,                        ,                   ,+                ,                   ,                      ,                           ,+                     ,+                         ,                        ,                         ,+                      ,+                      ,                  ,                      ,                       ,                           ,                       ,+                          ,                    ,+                             ,                                       ,                        ,                           ,                       ,                         ,                             ,                         ,                    ,                         ,                    ,                         ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SN9           ,189,1168,C, 19,X,CC,  13.00,    173.3700,forams   ,Planktonic Foraminifers                      ,A              ,VG                ,                        ,                      ,                       ,                        ,                   ,+                      ,                            ,+                      ,                              ,                         ,                      ,+                 ,                        ,+                   ,+                    ,                  ,                  ,+                    ,                               ,                        ,                   ,+                ,                   ,                      ,                           ,+                     ,+                         ,                        ,                         ,+                      ,+                      ,                  ,                      ,                       ,+                          ,                       ,+                          ,                    ,+                             ,                                       ,                        ,                           ,                       ,                         ,                             ,                         ,                    ,                         ,                    ,                         ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SN8           ,189,1168,C, 20,X,CC,  15.00,    181.4700,forams   ,Planktonic Foraminifers                      ,A              ,G                 ,                        ,                      ,                       ,                        ,                   ,+                      ,                            ,+                      ,                              ,                         ,                      ,+                 ,                        ,                    ,+                    ,                  ,                  ,+                    ,                               ,                        ,                   ,+                ,                   ,                      ,                           ,+                     ,+                         ,                        ,                         ,+                      ,+                      ,                  ,                      ,                       ,+                          ,                       ,+                          ,                    ,+                             ,                                       ,                        ,                           ,                       ,                         ,                             ,                         ,                    ,                         ,                    ,                         ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SN8           ,189,1168,C, 21,X,CC,  21.00,    191.4300,forams   ,Planktonic Foraminifers                      ,A              ,VG                ,                        ,                      ,                       ,                        ,                   ,+                      ,                            ,+                      ,                              ,                         ,                      ,+                 ,                        ,                    ,+                    ,                  ,                  ,+                    ,                               ,                        ,                   ,+                ,                   ,                      ,                           ,+                     ,+                         ,                        ,                         ,+                      ,                       ,                  ,+                     ,                       ,+                          ,+                      ,+                          ,                    ,                              ,                                       ,                        ,                           ,                       ,                         ,                             ,                         ,                    ,                         ,                    ,                         ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SN7           ,189,1168,C, 22,X,CC,  13.00,    203.6700,forams   ,Planktonic Foraminifers                      ,A              ,VG                ,+                       ,                      ,                       ,                        ,+                  ,+                      ,                            ,+                      ,                              ,                         ,                      ,+                 ,                        ,                    ,+                    ,                  ,                  ,+                    ,                               ,                        ,                   ,+                ,                   ,                      ,                           ,+                     ,+                         ,                        ,                         ,+                      ,+                      ,                  ,                      ,+                      ,+                          ,+                      ,+                          ,+                   ,                              ,                                       ,                        ,                           ,                       ,                         ,                             ,                         ,                    ,                         ,                    ,                         ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SN7           ,189,1168,C, 23,X,CC,  21.00,    213.8900,forams   ,Planktonic Foraminifers                      ,A              ,VG                ,+                       ,                      ,                       ,                        ,+                  ,+                      ,                            ,+                      ,                              ,                         ,                      ,                  ,                        ,                    ,+                    ,                  ,                  ,+                    ,                               ,                        ,                   ,+                ,                   ,                      ,+                          ,+                     ,+                         ,                        ,                         ,+                      ,                       ,                  ,+                     ,+                      ,+                          ,                       ,                           ,                    ,                              ,                                       ,                        ,                           ,                       ,                         ,                             ,                         ,                    ,                         ,                    ,                         ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SN6           ,189,1168,C, 24,X,CC,  21.00,    220.6600,forams   ,Planktonic Foraminifers                      ,A              ,G                 ,                        ,                      ,                       ,+                       ,+                  ,+                      ,                            ,                       ,                              ,+                        ,                      ,+                 ,+                       ,                    ,+                    ,                  ,+                 ,+                    ,                               ,                        ,                   ,+                ,+                  ,                      ,+                          ,+                     ,+                         ,+                       ,+                        ,+                      ,+                      ,+                 ,                      ,                       ,                           ,                       ,                           ,                    ,                              ,                                       ,                        ,                           ,                       ,                         ,                             ,                         ,                    ,                         ,                    ,                         ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SN6           ,189,1168,C, 25,X,CC,  25.00,    231.4200,forams   ,Planktonic Foraminifers                      ,A              ,G                 ,                        ,                      ,                       ,+                       ,+                  ,+                      ,                            ,                       ,                              ,                         ,                      ,                  ,+                       ,+                   ,+                    ,+                 ,+                 ,+                    ,                               ,+                       ,+                  ,+                ,+                  ,+                     ,                           ,                      ,                          ,                        ,                         ,                       ,                       ,                  ,                      ,                       ,                           ,                       ,                           ,                    ,                              ,                                       ,                        ,                           ,                       ,                         ,                             ,                         ,                    ,                         ,                    ,                         ,                      ,1 specimen of P. curva found
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SN6           ,189,1168,C, 26,X,CC,  13.00,    240.8400,forams   ,Planktonic Foraminifers                      ,A              ,G                 ,+                       ,                      ,                       ,                        ,+                  ,+                      ,                            ,                       ,                              ,                         ,                      ,+                 ,+                       ,                    ,                     ,+                 ,+                 ,                     ,+                              ,                        ,                   ,                 ,                   ,                      ,                           ,                      ,                          ,                        ,                         ,                       ,                       ,                  ,                      ,                       ,                           ,                       ,                           ,                    ,                              ,                                       ,                        ,                           ,                       ,                         ,                             ,                         ,                    ,                         ,                    ,                         ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SN6           ,189,1168,C, 27,X,CC,  17.00,    252.1700,forams   ,Planktonic Foraminifers                      ,A              ,G                 ,                        ,                      ,                       ,                        ,                   ,+                      ,                            ,                       ,                              ,                         ,                      ,+                 ,+                       ,                    ,+                    ,+                 ,+                 ,+                    ,                               ,                        ,                   ,                 ,                   ,                      ,                           ,                      ,                          ,                        ,                         ,                       ,                       ,                  ,                      ,                       ,                           ,                       ,                           ,                    ,                              ,                                       ,                        ,                           ,                       ,                         ,                             ,                         ,                    ,                         ,                    ,                         ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SN6           ,189,1168,C, 28,X,CC,  32.00,    261.9000,forams   ,Planktonic Foraminifers                      ,C              ,M                 ,                        ,                      ,                       ,+                       ,                   ,+                      ,                            ,                       ,                              ,+                        ,                      ,+                 ,+                       ,+                   ,+                    ,+                 ,+                 ,+                    ,                               ,                        ,                   ,                 ,                   ,                      ,                           ,                      ,                          ,                        ,                         ,                       ,                       ,                  ,                      ,                       ,                           ,                       ,                           ,                    ,                              ,                                       ,                        ,                           ,                       ,                         ,                             ,                         ,                    ,                         ,                    ,                         ,                      ,chalky sediments
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SN4           ,189,1168,C, 29,X,CC,  40.00,    271.6300,forams   ,Planktonic Foraminifers                      ,C              ,G                 ,+                       ,                      ,                       ,+                       ,+                  ,+                      ,                            ,                       ,                              ,+                        ,                      ,+                 ,+                       ,+                   ,+                    ,                  ,                  ,                     ,                               ,                        ,                   ,                 ,                   ,                      ,                           ,                      ,                          ,                        ,                         ,                       ,                       ,                  ,                      ,                       ,                           ,                       ,                           ,                    ,                              ,                                       ,                        ,                           ,                       ,                         ,                             ,                         ,                    ,                         ,                    ,                         ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SN4           ,189,1168,C, 30,X,CC,  32.00,    280.8100,forams   ,Planktonic Foraminifers                      ,A              ,VG                ,+                       ,                      ,                       ,+                       ,+                  ,+                      ,                            ,                       ,                              ,+                        ,                      ,+                 ,+                       ,                    ,                     ,                  ,                  ,                     ,                               ,                        ,                   ,                 ,                   ,                      ,                           ,                      ,                          ,                        ,                         ,                       ,                       ,                  ,                      ,                       ,                           ,                       ,                           ,                    ,                              ,                                       ,                        ,                           ,                       ,                         ,                             ,                         ,                    ,                         ,                    ,                         ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SN3           ,189,1168,C, 31,X,CC,   0.00,    289.9100,forams   ,Planktonic Foraminifers                      ,A              ,VG                ,+                       ,+                     ,+                      ,+                       ,+                  ,+                      ,+                           ,+                      ,+                             ,+                        ,+                     ,                  ,                        ,                    ,                     ,                  ,                  ,                     ,                               ,                        ,                   ,                 ,                   ,                      ,                           ,                      ,                          ,                        ,                         ,                       ,                       ,                  ,                      ,                       ,                           ,                       ,                           ,                    ,                              ,                                       ,                        ,                           ,                       ,                         ,                             ,                         ,                    ,                         ,                    ,                         ,                      ,minor degree of down hole contamination
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
