Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Pulleniatina obliquiloculata obliquiloculata	Orbulina universa	Neogloboquadrina pachyderma (dextral)	Neogloboquadrina dutertrei	Globorotalia truncatulinoides	Globorotalia tosaensis	Globorotalia scitula	Globorotalia inflata	Globorotalia crassaformis viola	Globorotalia cf. Gr. hirsuta	Globigerinoides trilobus	Globigerinoides sacculifer	Globigerinoides ruber	Globigerinita glutinata	Globigerinella aequilateralis	Globigerina rubescens	Globigerina falconensis	Globigerina calida praecalida	Globorotalia crassaformis hessi	Globorotalia crassaformis	Globigerinoides conglobatus	Globigerinella obesa	Globigerina bulloides	Neogloboquadrina humerosa	Globigerina quinqueloba	Neogloboquadrina pachyderma (sinistral)	Globigerinoides ruber (pink)	Globigerinoides tenellus	Orbulina bilobata	Globorotalia cultrata	Globigerina cariacoensis	Globorotalia tumida	Beella digitata	Hastigerina pelagica	Globorotalia hirsuta	Globorotalia flexuosa	Globigerina calida calida	Globigerina bermudezi	Globigerina apertura	Comment
  IR	Pleistocene      	                 	Pt1b              	              	157	 954	A	  2	H	 1	   2.00	      1.0200	Brunner  	Planktonic Foraminifers                      	A              	G                 	                                            	F                	C                                    	R                         	F                            	                      	F                   	C                   	                               	R                           	                        	                          	F                    	C                      	F                            	F                    	F                      	R                            	                               	                         	                           	                    	C                    	                         	C                      	R                                      	R                           	F                       	                 	R                    	                        	                   	               	                    	R                   	                     	R                        	                     	                    	unpublished shipboard data by Brunner(2065) and Maniscalco(5180)

  IR	Pleistocene      	                 	Pt1b              	              	157	 954	A	  2	H	 1	  52.00	      1.5200	Brunner  	Planktonic Foraminifers                      	A              	G                 	                                            	C                	A                                    	R                         	C                            	                      	C                   	C                   	                               	R                           	                        	                          	F                    	A                      	C                            	R                    	C                      	C                            	                               	                         	                           	                    	C                    	                         	R                      	                                       	                            	F                       	                 	                     	                        	                   	               	                    	R                   	                     	R                        	                     	                    	unpublished shipboard data by Brunner(2065) and Maniscalco(5180)

  IR	Pleistocene      	                 	Pt1b              	              	157	 954	A	  2	H	CC	  16.00	      9.8200	Brunner  	Planktonic Foraminifers                      	F              	P                 	                                            	                 	                                     	                          	F                            	                      	                    	                    	                               	                            	                        	                          	                     	                       	                             	                     	                       	R                            	                               	                         	                           	                    	                     	                         	                       	                                       	                            	                        	                 	                     	                        	                   	               	                    	                    	                     	                         	                     	                    	unpublished shipboard data by Brunner(2065) and Maniscalco(5180)

  IR	Pleistocene      	                 	Pt1b              	              	157	 954	A	  3	H	 1	  67.00	     11.1700	Brunner  	Planktonic Foraminifers                      	A              	M                 	                                            	F                	A                                    	                          	C                            	                      	R                   	A                   	                               	R                           	                        	F                         	C                    	A                      	C                            	F                    	F                      	C                            	R                              	F                        	                           	                    	C                    	                         	F                      	                                       	                            	F                       	                 	                     	                        	                   	               	                    	R                   	                     	R                        	                     	                    	unpublished shipboard data by Brunner(2065) and Maniscalco(5180)

  IR	Pleistocene      	                 	Pt1b              	              	157	 954	A	  3	H	 2	  10.00	     12.1000	Brunner  	Planktonic Foraminifers                      	A              	M                 	                                            	C                	A                                    	                          	C                            	                      	F                   	A                   	                               	R                           	                        	                          	C                    	A                      	C                            	F                    	C                      	C                            	R                              	F                        	                           	                    	C                    	                         	F                      	                                       	R                           	F                       	                 	                     	R                       	                   	               	                    	R                   	                     	                         	                     	                    	unpublished shipboard data by Brunner(2065) and Maniscalco(5180)

  IR	Pleistocene      	                 	Pt1b              	              	157	 954	A	  3	H	 2	  61.00	     12.6100	Brunner  	Planktonic Foraminifers                      	A              	G                 	                                            	C                	A                                    	                          	A                            	                      	F                   	A                   	                               	R                           	                        	                          	C                    	A                      	C                            	                     	C                      	C                            	                               	R                        	R                          	                    	C                    	                         	R                      	                                       	R                           	F                       	F                	R                    	                        	                   	               	                    	C                   	                     	                         	                     	                    	unpublished shipboard data by Brunner(2065) and Maniscalco(5180)

  IR	Pleistocene      	                 	Pt1b              	              	157	 954	A	  3	H	CC	  24.00	     19.7400	Brunner  	Planktonic Foraminifers                      	F              	M                 	                                            	C                	A                                    	                          	C                            	                      	                    	A                   	                               	                            	                        	R                         	C                    	                       	                             	                     	R                      	R                            	                               	C                        	                           	                    	F                    	                         	                       	                                       	                            	                        	                 	R                    	                        	                   	               	                    	R                   	                     	                         	                     	                    	unpublished shipboard data by Brunner(2065) and Maniscalco(5180)

  IR	Pleistocene      	                 	Pt1b              	              	157	 954	A	  4	H	 3	  51.00	     23.5100	Brunner  	Planktonic Foraminifers                      	A              	M                 	                                            	F                	C                                    	                          	F                            	                      	F                   	A                   	                               	                            	                        	R                         	F                    	A                      	F                            	F                    	F                      	R                            	                               	F                        	                           	                    	R                    	                         	R                      	                                       	R                           	F                       	                 	                     	                        	                   	               	                    	R                   	                     	                         	                     	                    	unpublished shipboard data by Brunner(2065) and Maniscalco(5180)

  IR	Pleistocene      	                 	Pt1b              	              	157	 954	A	  4	H	 4	  60.00	     25.1000	Brunner  	Planktonic Foraminifers                      	A              	M                 	                                            	F                	A                                    	                          	F                            	                      	F                   	A                   	                               	F                           	R                       	R                         	C                    	A                      	F                            	F                    	F                      	C                            	                               	                         	                           	                    	C                    	                         	                       	                                       	R                           	F                       	                 	F                    	                        	                   	R              	                    	F                   	R                    	                         	                     	                    	unpublished shipboard data by Brunner(2065) and Maniscalco(5180)

  IR	Pleistocene      	                 	Pt1b              	              	157	 954	A	  4	H	CC	  23.00	     29.5000	Brunner  	Planktonic Foraminifers                      	A              	G                 	                                            	C                	A                                    	R                         	C                            	                      	F                   	A                   	                               	R                           	F                       	                          	C                    	A                      	F                            	R                    	R                      	F                            	                               	                         	                           	                    	R                    	                         	                       	                                       	                            	R                       	R                	                     	F                       	                   	R              	R                   	                    	                     	                         	                     	                    	unpublished shipboard data by Brunner(2065) and Maniscalco(5180)

  IR	Pleistocene      	                 	Pt1b              	              	157	 954	A	  5	H	 1	  23.00	     29.7300	Brunner  	Planktonic Foraminifers                      	A              	M                 	                                            	C                	C                                    	                          	C                            	                      	C                   	A                   	                               	                            	                        	F                         	C                    	A                      	F                            	R                    	C                      	C                            	R                              	R                        	                           	                    	C                    	                         	                       	                                       	                            	R                       	                 	                     	                        	                   	R              	                    	                    	                     	                         	                     	                    	unpublished shipboard data by Brunner(2065) and Maniscalco(5180)

  IR	Pleistocene      	                 	Pt1b              	              	157	 954	A	  5	H	 2	  83.00	     31.8300	Brunner  	Planktonic Foraminifers                      	A              	M                 	                                            	C                	A                                    	                          	A                            	                      	F                   	A                   	                               	R                           	R                       	R                         	C                    	A                      	C                            	                     	C                      	R                            	                               	R                        	                           	                    	C                    	                         	                       	                                       	R                           	F                       	                 	                     	                        	                   	               	R                   	                    	                     	                         	                     	                    	unpublished shipboard data by Brunner(2065) and Maniscalco(5180)

  IR	Pleistocene      	                 	Pt1b              	              	157	 954	A	  5	H	 4	  16.00	     34.1600	Brunner  	Planktonic Foraminifers                      	A              	G                 	F                                           	A                	C                                    	F                         	A                            	                      	F                   	C                   	                               	                            	F                       	F                         	C                    	C                      	C                            	                     	                       	F                            	                               	F                        	F                          	                    	F                    	                         	C                      	                                       	R                           	                        	                 	                     	F                       	                   	               	                    	                    	                     	                         	                     	                    	unpublished shipboard data by Brunner(2065) and Maniscalco(5180)

  IR	Pleistocene      	                 	Pt1b              	              	157	 954	A	  5	H	CC	  15.00	     39.0900	Brunner  	Planktonic Foraminifers                      	F              	M                 	                                            	F                	                                     	                          	F                            	                      	                    	F                   	                               	                            	                        	                          	                     	                       	                             	                     	                       	R                            	                               	                         	R                          	                    	                     	                         	                       	                                       	                            	                        	                 	                     	                        	                   	               	                    	                    	                     	                         	                     	                    	unpublished shipboard data by Brunner(2065) and Maniscalco(5180)

  IR	Pleistocene      	                 	Pt1b              	              	157	 954	A	  6	H	 2	  47.00	     40.9700	Brunner  	Planktonic Foraminifers                      	A              	G                 	                                            	A                	A                                    	                          	C                            	                      	F                   	A                   	                               	                            	R                       	R                         	C                    	F                      	C                            	F                    	C                      	C                            	                               	                         	R                          	                    	C                    	                         	R                      	                                       	R                           	F                       	                 	                     	                        	                   	               	                    	                    	                     	                         	                     	                    	unpublished shipboard data by Brunner(2065) and Maniscalco(5180)

  IR	Pleistocene      	                 	Pt1a              	              	157	 954	A	  6	H	 5	  88.00	     45.8800	Brunner  	Planktonic Foraminifers                      	A              	M                 	                                            	A                	A                                    	                          	A                            	F                     	R                   	A                   	                               	                            	                        	                          	C                    	A                      	C                            	R                    	C                      	C                            	R                              	                         	                           	                    	C                    	                         	R                      	                                       	                            	R                       	                 	                     	                        	                   	               	                    	                    	                     	                         	                     	                    	unpublished shipboard data by Brunner(2065) and Maniscalco(5180)

  IR	Pleistocene      	                 	Pt1a              	              	157	 954	A	  6	H	 6	 121.00	     47.7100	Brunner  	Planktonic Foraminifers                      	A              	M                 	R                                           	F                	A                                    	                          	C                            	R                     	F                   	A                   	                               	                            	                        	R                         	C                    	C                      	F                            	F                    	C                      	F                            	F                              	                         	                           	                    	F                    	                         	                       	                                       	                            	F                       	                 	                     	                        	                   	               	                    	                    	                     	                         	                     	                    	unpublished shipboard data by Brunner(2065) and Maniscalco(5180)

  IR	Pleistocene      	                 	Pt1a              	              	157	 954	A	  6	H	CC	   0.00	     48.2300	Brunner  	Planktonic Foraminifers                      	F              	P                 	                                            	F                	A                                    	                          	F                            	R                     	R                   	F                   	                               	                            	                        	                          	F                    	R                      	F                            	                     	R                      	F                            	R                              	                         	R                          	                    	F                    	                         	R                      	R                                      	                            	                        	                 	R                    	                        	                   	               	                    	                    	                     	                         	                     	                    	unpublished shipboard data by Brunner(2065) and Maniscalco(5180)

  IR	Pleistocene      	                 	Pt1a              	              	157	 954	A	  7	H	 2	  51.00	     50.5100	Brunner  	Planktonic Foraminifers                      	A              	M                 	                                            	F                	A                                    	                          	C                            	F                     	R                   	A                   	                               	                            	R                       	                          	C                    	A                      	F                            	F                    	F                      	C                            	C                              	                         	                           	                    	F                    	                         	                       	                                       	                            	F                       	                 	R                    	                        	                   	R              	                    	                    	                     	                         	                     	                    	unpublished shipboard data by Brunner(2065) and Maniscalco(5180)

  IR	Pleistocene      	                 	Pt1a              	              	157	 954	A	  7	H	 7	  30.00	     57.8000	Brunner  	Planktonic Foraminifers                      	A              	M                 	R                                           	C                	A                                    	                          	C                            	F                     	F                   	C                   	                               	R                           	R                       	C                         	C                    	C                      	C                            	C                    	C                      	R                            	F                              	                         	                           	                    	                     	                         	                       	                                       	R                           	                        	                 	                     	                        	R                  	               	                    	                    	                     	                         	                     	                    	unpublished shipboard data by Brunner(2065) and Maniscalco(5180)

  IR	Pleistocene      	                 	Pt1a              	              	157	 954	A	  7	H	CC	   0.00	     58.0600	Brunner  	Planktonic Foraminifers                      	F              	M                 	                                            	C                	F                                    	                          	F                            	                      	                    	F                   	                               	                            	C                       	                          	F                    	                       	                             	                     	                       	R                            	                               	                         	                           	                    	                     	                         	                       	                                       	                            	                        	F                	                     	R                       	                   	               	                    	                    	                     	                         	                     	                    	unpublished shipboard data by Brunner(2065) and Maniscalco(5180)

  IR	Pleistocene      	                 	Pt1a              	              	157	 954	A	  8	H	 1	 140.00	     59.4000	Brunner  	Planktonic Foraminifers                      	A              	M                 	                                            	F                	A                                    	R                         	F                            	F                     	R                   	A                   	                               	                            	                        	                          	C                    	A                      	F                            	                     	F                      	C                            	                               	                         	R                          	                    	A                    	                         	R                      	R                                      	                            	                        	                 	R                    	                        	                   	               	                    	                    	                     	                         	                     	                    	unpublished shipboard data by Brunner(2065) and Maniscalco(5180)

  IR	Pleistocene      	                 	Pt1a              	              	157	 954	A	  8	H	 4	  70.00	     63.2000	Brunner  	Planktonic Foraminifers                      	A              	M                 	F                                           	F                	A                                    	                          	C                            	F                     	F                   	C                   	                               	R                           	                        	                          	C                    	A                      	F                            	R                    	C                      	R                            	F                              	                         	                           	                    	C                    	                         	R                      	                                       	                            	                        	R                	                     	                        	                   	               	                    	                    	                     	                         	                     	                    	unpublished shipboard data by Brunner(2065) and Maniscalco(5180)

  IR	Pleistocene      	                 	Pt1a              	              	157	 954	A	  8	H	CC	  45.00	     68.0900	Brunner  	Planktonic Foraminifers                      	C              	M                 	R                                           	C                	C                                    	R                         	C                            	F                     	F                   	A                   	                               	                            	F                       	                          	C                    	C                      	C                            	                     	F                      	R                            	C                              	F                        	R                          	                    	                     	                         	R                      	                                       	                            	                        	                 	                     	                        	                   	               	                    	                    	                     	                         	                     	                    	unpublished shipboard data by Brunner(2065) and Maniscalco(5180)

  IR	Pleistocene      	                 	Pt1a              	              	157	 954	A	  9	H	 1	  49.00	     67.9900	Brunner  	Planktonic Foraminifers                      	A              	M                 	                                            	                 	                                     	                          	                             	                      	                    	                    	                               	                            	                        	                          	                     	                       	                             	                     	                       	R                            	                               	                         	                           	                    	                     	                         	                       	                                       	                            	                        	                 	                     	                        	                   	               	                    	                    	                     	                         	                     	                    	unpublished shipboard data by Brunner(2065) and Maniscalco(5180)

  IR	Pleistocene      	                 	Pt1a              	              	157	 954	A	  9	H	 2	  28.00	     69.2800	Brunner  	Planktonic Foraminifers                      	A              	M                 	F                                           	F                	C                                    	R                         	F                            	R                     	R                   	C                   	                               	R                           	R                       	F                         	C                    	A                      	F                            	R                    	F                      	F                            	F                              	C                        	                           	                    	R                    	                         	F                      	                                       	F                           	R                       	                 	                     	                        	                   	               	                    	                    	                     	                         	                     	                    	unpublished shipboard data by Brunner(2065) and Maniscalco(5180)

  IR	Pleistocene      	                 	Pt1a              	              	157	 954	A	  9	H	 2	  57.00	     69.5700	Brunner  	Planktonic Foraminifers                      	A              	M                 	F                                           	R                	F                                    	R                         	F                            	R                     	R                   	A                   	                               	                            	R                       	                          	A                    	C                      	F                            	R                    	                       	F                            	R                              	F                        	                           	                    	F                    	R                        	R                      	                                       	R                           	                        	                 	                     	                        	                   	               	                    	                    	                     	                         	                     	                    	unpublished shipboard data by Brunner(2065) and Maniscalco(5180)

  IR	Pleistocene      	                 	Pt1a              	              	157	 954	A	  9	H	 3	  53.00	     71.0300	Brunner  	Planktonic Foraminifers                      	A              	M                 	R                                           	A                	A                                    	R                         	C                            	R                     	R                   	A                   	                               	                            	                        	                          	C                    	R                      	F                            	                     	R                      	F                            	F                              	                         	                           	                    	F                    	                         	                       	                                       	R                           	                        	                 	                     	                        	                   	               	                    	                    	                     	                         	                     	                    	unpublished shipboard data by Brunner(2065) and Maniscalco(5180)

  IR	Pleistocene      	                 	Pt1a              	              	157	 954	A	  9	H	 4	 135.00	     73.3500	Brunner  	Planktonic Foraminifers                      	A              	M                 	F                                           	R                	A                                    	R                         	F                            	R                     	R                   	A                   	                               	                            	R                       	F                         	C                    	A                      	F                            	F                    	R                      	F                            	F                              	C                        	                           	                    	C                    	                         	R                      	                                       	                            	                        	                 	                     	                        	                   	               	                    	                    	                     	                         	                     	                    	unpublished shipboard data by Brunner(2065) and Maniscalco(5180)

  IR	Pleistocene      	                 	Pt1a              	              	157	 954	A	  9	H	 6	 109.00	     76.0900	Brunner  	Planktonic Foraminifers                      	A              	M                 	                                            	                 	                                     	                          	                             	                      	                    	                    	                               	                            	                        	                          	                     	                       	                             	                     	                       	R                            	                               	                         	                           	                    	                     	                         	                       	                                       	                            	                        	                 	                     	                        	                   	               	                    	                    	                     	                         	                     	                    	unpublished shipboard data by Brunner(2065) and Maniscalco(5180)

  IR	Pleistocene      	                 	Pt1a              	              	157	 954	A	  9	H	 7	  69.00	     77.1900	Brunner  	Planktonic Foraminifers                      	A              	M                 	R                                           	F                	A                                    	                          	F                            	R                     	C                   	A                   	                               	                            	R                       	                          	A                    	A                      	F                            	R                    	F                      	R                            	F                              	R                        	                           	                    	F                    	                         	R                      	R                                      	R                           	                        	                 	                     	                        	                   	               	                    	                    	                     	                         	                     	                    	unpublished shipboard data by Brunner(2065) and Maniscalco(5180)

  IR	Pleistocene      	                 	Pt1a              	              	157	 954	A	  9	H	CC	   0.00	     77.4000	Brunner  	Planktonic Foraminifers                      	A              	M                 	F                                           	C                	A                                    	F                         	C                            	R                     	F                   	A                   	                               	                            	                        	F                         	C                    	F                      	C                            	R                    	F                      	F                            	R                              	                         	                           	                    	C                    	F                        	R                      	                                       	                            	                        	                 	                     	                        	                   	               	                    	                    	                     	                         	                     	                    	unpublished shipboard data by Brunner(2065) and Maniscalco(5180)

  IR	Pleistocene      	                 	Pt1a              	              	157	 954	A	 10	H	 1	  26.00	     77.2600	Brunner  	Planktonic Foraminifers                      	A              	M                 	F                                           	C                	C                                    	                          	C                            	R                     	F                   	A                   	                               	                            	                        	R                         	C                    	F                      	F                            	F                    	C                      	C                            	F                              	F                        	                           	                    	C                    	                         	                       	                                       	                            	                        	                 	                     	                        	                   	               	                    	                    	                     	                         	                     	                    	unpublished shipboard data by Brunner(2065) and Maniscalco(5180)

  IR	Pleistocene      	                 	Pt1a              	              	157	 954	A	 10	H	 1	  29.00	     77.2900	Brunner  	Planktonic Foraminifers                      	A              	G                 	R                                           	C                	C                                    	                          	C                            	R                     	F                   	A                   	                               	                            	                        	                          	C                    	C                      	F                            	C                    	C                      	R                            	R                              	                         	R                          	                    	F                    	                         	C                      	                                       	                            	                        	                 	                     	                        	                   	               	                    	                    	                     	                         	                     	                    	unpublished shipboard data by Brunner(2065) and Maniscalco(5180)

  IR	Pleistocene      	                 	Pt1a              	              	157	 954	A	 10	H	 1	  66.00	     77.6600	Brunner  	Planktonic Foraminifers                      	A              	G                 	F                                           	C                	A                                    	                          	F                            	R                     	R                   	A                   	                               	R                           	R                       	R                         	C                    	C                      	R                            	F                    	C                      	R                            	F                              	C                        	R                          	F                   	F                    	                         	                       	                                       	                            	                        	                 	                     	                        	                   	               	                    	                    	                     	                         	                     	                    	unpublished shipboard data by Brunner(2065) and Maniscalco(5180)

  IR	Pleistocene      	                 	Pt1a              	              	157	 954	A	 11	X	CC	   0.00	     79.2000	Brunner  	Planktonic Foraminifers                      	A              	G                 	F                                           	C                	C                                    	R                         	F                            	F                     	F                   	C                   	C                              	R                           	C                       	F                         	C                    	F                      	F                            	R                    	F                      	R                            	                               	                         	                           	                    	                     	                         	                       	                                       	                            	                        	                 	                     	                        	                   	               	                    	                    	                     	                         	                     	                    	unpublished shipboard data by Brunner(2065) and Maniscalco(5180)

