Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Globoquadrina dehiscens,Globigerinoides trilobus,Orbulina universa,Globigerinita juvenilis,Globigerinita glutinata,Globigerina falconensis,Globorotaloides suteri,Globigerina bulloides,Zeaglobigerina woodi,Zeaglobigerina decoraperta,Globoconella conoidea,Catapsydrax parvulus,Neogloboquadrina nympha,Neogloboquadrina continuosa,Globorotalia praemenardii,Globorotalia plesiotumida,Globorotalia menardii,Globoquadrina venezuelana,Globoconella panda,Globoconella conomiozea,Globigerinoides sacculifer,Globigerinoides quadrilobatus,Globigerinella siphonifera,Fohsella peripheroronda,Orbulina suturalis,Globorotalia scitula,Globorotalia inflata,Globorotalia crassaformis,Globigerinoides ruber,Neogloboquadrina pachyderma (dextral),Globorotalia tosaensis,Globigerinoides conglobatus,Sphaeroidinella dehiscens,Globorotalia truncatulinoides,Globigerina quinqueloba,Neogloboquadrina humerosa,Globorotalia sp. cf. tosaensis,Globorotalia hirsuta,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Quaternary       ,                  ,              ,182,1133,B,  4,H, 1,   4.00,     21.4400,Li       ,Planktonic Foraminifers                      ,A              ,G                 ,                       ,                        ,F                ,                       ,P                      ,P                      ,                      ,                     ,                    ,P                         ,                     ,                    ,                       ,                           ,                         ,                         ,                     ,                         ,                  ,                       ,                          ,                             ,P                         ,                       ,                  ,                    ,A                   ,P                        ,A                    ,P                                    ,P                     ,P                          ,                         ,                             ,                       ,                         ,                              ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Quaternary       ,                  ,              ,182,1133,B,  4,H, 1,  62.00,     22.0200,Li       ,Planktonic Foraminifers                      ,A              ,M                 ,                       ,                        ,P                ,                       ,                       ,                       ,                      ,                     ,P                   ,P                         ,                     ,                    ,                       ,                           ,                         ,                         ,                     ,                         ,                  ,                       ,                          ,                             ,                          ,                       ,                  ,P                   ,A                   ,F                        ,F                    ,                                     ,                      ,                           ,                         ,                             ,                       ,                         ,                              ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,Late Miocene     ,                  ,              ,182,1133,B,  4,H,CC,  11.00,     31.3600,Li       ,Planktonic Foraminifers                      ,R              ,P                 ,P                      ,                        ,P                ,                       ,                       ,                       ,                      ,                     ,P                   ,                          ,P                    ,                    ,                       ,                           ,                         ,                         ,                     ,                         ,                  ,                       ,                          ,                             ,P                         ,                       ,P                 ,                    ,                    ,                         ,                     ,                                     ,                      ,                           ,                         ,                             ,                       ,                         ,                              ,                    ,cemented and overgrown forams
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,Late Miocene     ,                  ,              ,182,1133,B,  5,H,CC,   8.00,     38.5400,Li       ,Planktonic Foraminifers                      ,C              ,P                 ,P                      ,                        ,                 ,                       ,                       ,                       ,                      ,                     ,                    ,                          ,P                    ,                    ,P                      ,P                          ,P                        ,P                        ,P                    ,P                        ,P                 ,P                      ,P                         ,P                            ,P                         ,P                      ,                  ,                    ,                    ,                         ,                     ,                                     ,                      ,                           ,                         ,                             ,                       ,                         ,                              ,                    ,"N17, mixed"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1133,B,  6,H,CC,  26.00,     40.6600,Li       ,Planktonic Foraminifers                      ,               ,                  ,P                      ,                        ,                 ,                       ,                       ,                       ,                      ,                     ,                    ,                          ,                     ,                    ,                       ,                           ,                         ,                         ,                     ,                         ,                  ,                       ,                          ,                             ,                          ,                       ,                  ,                    ,                    ,                         ,                     ,                                     ,                      ,                           ,                         ,                             ,                       ,                         ,                              ,                    ,"chert with water-soaked sediment, obvious downhole contamination"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,Late Miocene     ,                  ,              ,182,1133,B,  8,X,CC,  14.00,     55.9100,Li       ,Planktonic Foraminifers                      ,T              ,P                 ,                       ,P                       ,P                ,                       ,                       ,                       ,                      ,                     ,P                   ,P                         ,P                    ,F                   ,                       ,                           ,                         ,                         ,                     ,                         ,                  ,                       ,                          ,                             ,                          ,                       ,                  ,                    ,                    ,                         ,                     ,                                     ,                      ,                           ,                         ,                             ,                       ,                         ,                              ,                    ,"cemented crystals, siliceous stuff"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Miocene   ,                  ,              ,182,1133,B, 13,X,CC,  32.00,     86.3500,Li       ,Planktonic Foraminifers                      ,T              ,P                 ,                       ,P                       ,P                ,                       ,                       ,                       ,P                     ,P                    ,                    ,                          ,                     ,                    ,                       ,                           ,                         ,                         ,                     ,                         ,                  ,                       ,                          ,                             ,                          ,                       ,                  ,                    ,                    ,                         ,                     ,                                     ,                      ,                           ,                         ,                             ,                       ,                         ,                              ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Miocene   ,                  ,              ,182,1133,B, 17,X,CC,  53.00,    123.8300,Li       ,Planktonic Foraminifers                      ,T              ,P                 ,                       ,P                       ,P                ,R                      ,P                      ,P                      ,                      ,                     ,                    ,                          ,                     ,                    ,                       ,                           ,                         ,                         ,                     ,                         ,                  ,                       ,                          ,                             ,                          ,                       ,                  ,                    ,                    ,                         ,                     ,                                     ,                      ,                           ,                         ,                             ,                       ,                         ,                              ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1133,B, 18,X,CC,  30.00,    133.2000,Li       ,Planktonic Foraminifers                      ,T              ,                  ,P                      ,P                       ,                 ,                       ,                       ,                       ,                      ,                     ,                    ,                          ,                     ,                    ,                       ,                           ,                         ,                         ,                     ,                         ,                  ,                       ,                          ,                             ,                          ,                       ,                  ,                    ,                    ,                         ,                     ,                                     ,                      ,                           ,                         ,                             ,                       ,                         ,                              ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
