Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),,Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zeugrhabdotus embergeri,Watznaueria barnesae,Tetrapodorhabdus decorus,Rhagodiscus asper,Nannoconus steinmannii,Nannoconus bucheri,Microstaurus chiastius,Micrantholithus obtusus,Manivitella pemmatoidea,Lithraphidites carniolensis carniolensis,Diazomatolithus lehmanii,Cyclagelosphaera deflandrei,Cretarhabdus angustiforatus,Braarudosphaera regularis,Biscutum constans,Watznaueria britannica,Tegumentum stradneri,Rhagodiscus angustus,Nannoconus truitti,Micrantholithus hoschulzii,Hayesites bulbus,Eprolithus floralis,Radiolithus planus,Braarudosphaera batilliformis,Rucinolithus irregularis,Flabellites oblongus,Chiastozygus platyrhethus,Assipetra infracretacea,Watznaueria supracretacea,Vekshinella stradnerii,Stoverius achylosus,Parhabdolithus embergeri,Nannoconus truitti ssp rectangularis,Haqius circumradiatus,Nannoconus abundans,Braarudosphaera hockwoldensis,Gephyrorhabdus coronadventis,Braarudosphaera africana,Radiolithus orbiculatus,Prediscosphaera columnata,Parhabdolithus infinitus,Hayesites albiensis,Axopodorhabdus dietzmannii,Prediscosphaera spinosa,Watznaueria biporta,Vagalapilla matalosa,Tranolithus gabalus,Rotelapillus laffittei,Placozygus sigmoides,Parhabdolithus achylostaurion,Lithraphidites pseudoquadratus,Glaukolithus compactus,Discorhabdus ignotus,Cribrosphaerella ehrenbergii,Cretarhabdus conicus,Quadrum eneabrachium,Cretarhabdus loriei,Glaukolithus diplogrammus,Quadrum trifidum,Eiffellithus eximius,Aspidolithus parcus constrictus,Zeugrhabdotus pseudanthophorus,Zeugrhabdotus obliqueclausus,Stradneria crenulata,Retemediaformis sp. 1,Retecapsa angustiforata,Prediscosphaera intercisa,Prediscosphaera cretacea,Placozygus fibuliformis,Neocrepidolithus cohenii,Micula decussata,Microrhabdulus decoratus,Microrhabdulus attenuatus,Lithraphidites praequadratus,Gartnerago obliquum,Chiastozygus litterarius,Ceratolithoides aculeus,Braarudosphaera bigelowii,Arkhangelskiella specillata,Arkhangelskiella cymbiformis,Reinhardtites levis,Prediscosphaera grandis,Eiffellithus turriseiffelii,Tranolithus phacelosus,Micula prinsii,Micula murus,Lithraphidites quadratus,Ceratolithoides kamptneri,Aspidolithus parcus parcus,Cylindralithus gallicus,Lithraphidites kennethii,Tranolithus minimus,Microrhabdulus undosus,Rhagodiscus splendens,Prediscosphaera stoveri,Cribrocorona gallica,Ahmuellerella regularis,Thoracosphaera spp.,Microrhabdulus belgicus,Eiffellithus parallelus,Rotelapillus crenulatus,Markalius inversus,Lithraphidites grossopectinatus,Eiffellithus gorkae,Toweius petalosus,Octolithus multiplus,Ericsonia subpertusa,Cyclagelosphaera reinhardtii,Cruciplacolithus primus (small),Cruciplacolithus edwardsii,Biscutum parvulum,Goniolithus fluckigeri,Cyclagelosphaera margerelii,Neochiastozygus primitivus,Ericsonia robusta,Cruciplacolithus primus (large),Thoracosphaera operculata,Prinsius petalosus,Lanternithus duocavus,Cruciplacolithus primus,Cruciplacolithus tenuis,Chiasmolithus danicus,Prinsius dimorphosus,Neocrepidolithus cruciatus,Neochiastozygus modestus,Neochiastozygus imbriei,Micrantholithus pinguis,Hornibrookina teuriensis,Ericsonia cava,Neocrepidolithus neocrassus,Ellipsolithus macellus,Sphenolithus primus,Ellipsolithus bollii,Chiasmolithus edwardsii,Heliolithus kleinpellii,Discoaster mohleri,Discoaster bramlettei,Zygrhablithus bijugatus,Tribrachiatus orthostylus,Discoaster salisburgensis,Sphenolithus conspicuus,Discoaster robustus,Sphenolithus orphanknollensis,Lophodolithus nascens,Discoaster lodoensis,Discoaster anartios,Sphenolithus radians,Sphenolithus moriformis,Ellipsolithus lajollaensis,Discoaster barbadiensis,Chiphragmalithus barbatus,Chiasmolithus consuetus,Campylosphaera dela,Toweius crassus,Discoaster kuepperi,Chiasmolithus expansus,Discoaster cruciformis,Toweius gammation,Discoaster sublodoensis,Chiasmolithus grandis,Toweius callosus,Rhabdosphaera tenuis,Reticulofenestra dictyoda,Pseudotriquetrorhabdulus inversus,Markalius apertus,Lophodolithus mochlophorus,Ericsonia formosa,Discoaster gemmifer,Coronocyclus prionion,Sphenolithus spiniger,Neococcolithes dubius,Rhabdosphaera inflata,Pemma papillatum,Coccolithus pelagicus,Coccolithus eopelagicus,Chiasmolithus solitus,Sphenolithus furcatolithoides,Neococcolithes minutus,Chiasmolithus gigas,Pedinocyclus larvalis,Braarudosphaera discula,Discoaster nodifer,Ericsonia obruta,Sphenolithus elongatus,Helicosphaera lophota,Discoaster wemmelensis,Discoaster tanii,Discoaster saipanensis,Sphenolithus stellatus,Discoaster strictus,Cruciplacolithus vanheckae,Cribrocentrum reticulatum,Discoaster praebifax,Sphenolithus obtusus,Reticulofenestra umbilica,Discoaster bifax,Cyclicargolithus floridanus,Chiasmolithus nitidus,Pseudoemiliania lacunosa,Gephyrocapsa oceanica,Gephyrocapsa caribbeanica,Calcidiscus macintyrei,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,CP13b         ,,171,1049,A,  4,H, 6,  65.00,     38.2500,Watkins  ,Nannofossils                                 ,               ,                  ,                       ,                    ,                        ,                 ,                      ,                  ,                      ,                       ,                       ,                                        ,                        ,                           ,                           ,                         ,                 ,                      ,                    ,                    ,                  ,                          ,                ,                   ,                  ,                             ,                        ,                    ,                         ,                       ,                         ,                      ,                   ,                        ,                                    ,                     ,                   ,                             ,                            ,                        ,                       ,                         ,                        ,                   ,                          ,                       ,                   ,                    ,                   ,                      ,                    ,                             ,                              ,                      ,                    ,                            ,                    ,                    ,                   ,                         ,                ,                    ,                               ,                              ,                            ,                    ,                     ,                       ,                         ,                        ,                       ,                        ,                ,                        ,                         ,                            ,                   ,                        ,                       ,                         ,                           ,                            ,                   ,                       ,                           ,                      ,              ,            ,                        ,                         ,                          ,                       ,                        ,                   ,                      ,                     ,                       ,                    ,                       ,                   ,                       ,                       ,                       ,                  ,                               ,                   ,                 ,                    ,                    ,                            ,                               ,                          ,                 ,                      ,                           ,                          ,                 ,                               ,                         ,                  ,                     ,                       ,                       ,                     ,                    ,                          ,                        ,                       ,                       ,                        ,              ,                           ,                      ,                   ,                    ,                       ,                       ,                  ,                     ,                       ,                         ,                         ,                       ,                   ,                             ,                     ,                    ,                   ,                    ,                       ,                          ,                       ,                         ,                       ,                   ,               ,                   ,+                     ,                      ,                 ,                       ,+                    ,                ,                    ,+                        ,                                 ,                 ,                          ,                 ,                   ,                     ,                     ,                     ,                     ,+               ,                     ,                       ,+                    ,+                            ,                      ,+                  ,                     ,                       ,                  ,                ,                      ,                     ,                      ,                ,                      ,                      ,                   ,                          ,                         ,                    ,                    ,                         ,                ,                           ,                     ,                        ,                     ,                         ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,CP13b         ,,171,1049,A,  4,H, 7,  65.00,     39.7500,Watkins  ,Nannofossils                                 ,               ,                  ,                       ,                    ,                        ,                 ,                      ,                  ,                      ,                       ,                       ,                                        ,                        ,                           ,                           ,                         ,                 ,                      ,                    ,                    ,                  ,                          ,                ,                   ,                  ,                             ,                        ,                    ,                         ,                       ,                         ,                      ,                   ,                        ,                                    ,                     ,                   ,                             ,                            ,                        ,                       ,                         ,                        ,                   ,                          ,                       ,                   ,                    ,                   ,                      ,                    ,                             ,                              ,                      ,                    ,                            ,                    ,                    ,                   ,                         ,                ,                    ,                               ,                              ,                            ,                    ,                     ,                       ,                         ,                        ,                       ,                        ,                ,                        ,                         ,                            ,                   ,                        ,                       ,                         ,                           ,                            ,                   ,                       ,                           ,                      ,              ,            ,                        ,                         ,                          ,                       ,                        ,                   ,                      ,                     ,                       ,                    ,                       ,                   ,                       ,                       ,                       ,                  ,                               ,                   ,                 ,                    ,                    ,                            ,                               ,                          ,                 ,                      ,                           ,                          ,                 ,                               ,                         ,                  ,                     ,                       ,                       ,                     ,                    ,                          ,                        ,                       ,                       ,                        ,              ,                           ,                      ,                   ,                    ,                       ,                       ,                  ,                     ,                       ,                         ,                         ,                       ,                   ,                             ,                     ,                    ,                   ,                    ,                       ,                          ,                       ,                         ,                       ,                   ,               ,                   ,+                     ,                      ,                 ,                       ,+                    ,                ,                    ,+                        ,                                 ,                 ,                          ,                 ,                   ,                     ,                     ,                     ,                     ,+               ,                     ,                       ,+                    ,+                            ,                      ,+                  ,                     ,                       ,                  ,                ,                      ,                     ,                      ,                ,                      ,                      ,                   ,                          ,                         ,                    ,                    ,                         ,                ,                           ,                     ,                        ,                     ,                         ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,CP14a         ,,171,1049,A,  5,H,CC,  23.00,     49.5600,Watkins  ,Nannofossils                                 ,A              ,M                 ,                       ,                    ,                        ,                 ,                      ,                  ,                      ,                       ,                       ,                                        ,                        ,                           ,                           ,                         ,                 ,                      ,                    ,                    ,                  ,                          ,                ,                   ,                  ,                             ,                        ,                    ,                         ,                       ,                         ,                      ,                   ,                        ,                                    ,                     ,                   ,                             ,                            ,                        ,                       ,                         ,                        ,                   ,                          ,                       ,                   ,                    ,                   ,                      ,                    ,                             ,                              ,                      ,                    ,                            ,                    ,                    ,                   ,                         ,                ,                    ,                               ,                              ,                            ,                    ,                     ,                       ,                         ,                        ,                       ,                        ,                ,                        ,                         ,                            ,                   ,                        ,                       ,                         ,                           ,                            ,                   ,                       ,                           ,                      ,              ,            ,                        ,                         ,                          ,                       ,                        ,                   ,                      ,                     ,                       ,                    ,                       ,                   ,                       ,                       ,                       ,                  ,                               ,                   ,                 ,                    ,                    ,                            ,                               ,                          ,                 ,                      ,                           ,                          ,                 ,                               ,                         ,                  ,                     ,                       ,                       ,                     ,                    ,                          ,                        ,                       ,                       ,                        ,              ,                           ,                      ,                   ,                    ,                       ,                       ,                  ,                     ,C                      ,                         ,                         ,                       ,                   ,                             ,                     ,                    ,                   ,                    ,                       ,                          ,F                      ,                         ,                       ,C                  ,               ,                   ,                      ,                      ,                 ,                       ,F                    ,                ,                    ,A                        ,C                                ,R                ,                          ,                 ,                   ,F                    ,C                    ,                     ,                     ,                ,C                    ,                       ,F                    ,C                            ,                      ,                   ,                     ,C                      ,                  ,                ,                      ,                     ,                      ,F               ,C                     ,R                     ,F                  ,F                         ,R                        ,                    ,                    ,                         ,                ,                           ,                     ,                        ,                     ,                         ,                      ,abundant biogenic silica; presence of Cr. vanheckae suggests lower CP14a.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,CP13b         ,,171,1049,A,  6,H, 1,  65.00,     49.7500,Self-Trail,Nannofossils                                 ,A              ,M                 ,                       ,                    ,                        ,                 ,                      ,                  ,                      ,                       ,                       ,                                        ,                        ,                           ,                           ,                         ,                 ,                      ,                    ,                    ,                  ,                          ,                ,                   ,                  ,                             ,                        ,                    ,                         ,                       ,                         ,                      ,                   ,                        ,                                    ,                     ,                   ,                             ,                            ,                        ,                       ,                         ,                        ,                   ,                          ,                       ,                   ,                    ,                   ,                      ,                    ,                             ,                              ,                      ,                    ,                            ,                    ,                    ,                   ,                         ,                ,                    ,                               ,                              ,                            ,                    ,                     ,                       ,                         ,                        ,                       ,                        ,                ,                        ,                         ,                            ,                   ,                        ,                       ,C                        ,                           ,                            ,                   ,                       ,                           ,                      ,              ,            ,                        ,                         ,                          ,                       ,                        ,                   ,                      ,                     ,                       ,                    ,                       ,                   ,                       ,                       ,                       ,                  ,                               ,                   ,                 ,                    ,                    ,                            ,                               ,                          ,                 ,                      ,                           ,                          ,                 ,                               ,                         ,                  ,                     ,                       ,                       ,                     ,                    ,                          ,                        ,                       ,                       ,                        ,              ,                           ,                      ,                   ,                    ,                       ,                       ,                  ,                     ,                       ,                         ,                         ,                       ,                   ,                             ,                     ,                    ,                   ,                    ,                       ,                          ,                       ,                         ,                       ,R                  ,               ,                   ,                      ,                      ,                 ,                       ,R                    ,                ,                    ,A                        ,C                                ,                 ,                          ,                 ,                   ,                     ,                     ,                     ,                     ,                ,                     ,                       ,                     ,F                            ,                      ,R                  ,                     ,                       ,                  ,                ,                      ,                     ,R                     ,R               ,R                     ,                      ,                   ,                          ,                         ,                    ,                    ,                         ,                ,                           ,                     ,                        ,                     ,                         ,                      ,CP 13b--Ch. gigas zone
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,CP13          ,,171,1049,A,  6,H, 2,  65.00,     51.2500,Self-Trail,Nannofossils                                 ,A              ,M                 ,                       ,                    ,                        ,                 ,                      ,                  ,                      ,                       ,                       ,                                        ,                        ,                           ,                           ,                         ,                 ,                      ,                    ,                    ,                  ,                          ,                ,                   ,                  ,                             ,                        ,                    ,                         ,                       ,                         ,                      ,                   ,                        ,                                    ,                     ,                   ,                             ,                            ,                        ,                       ,                         ,                        ,                   ,                          ,                       ,                   ,                    ,                   ,                      ,                    ,                             ,                              ,                      ,                    ,                            ,                    ,                    ,                   ,                         ,                ,                    ,                               ,                              ,                            ,                    ,                     ,                       ,                         ,                        ,                       ,                        ,                ,                        ,                         ,                            ,                   ,                        ,                       ,C                        ,                           ,                            ,                   ,                       ,                           ,                      ,              ,            ,                        ,                         ,                          ,                       ,                        ,                   ,                      ,                     ,                       ,                    ,                       ,                   ,                       ,                       ,                       ,                  ,                               ,                   ,                 ,                    ,                    ,                            ,                               ,                          ,                 ,                      ,                           ,                          ,                 ,                               ,                         ,                  ,                     ,                       ,                       ,                     ,                    ,                          ,                        ,                       ,                       ,                        ,              ,                           ,                      ,                   ,                    ,                       ,                       ,                  ,                     ,                       ,                         ,                         ,                       ,                   ,                             ,                     ,                    ,                   ,                    ,                       ,                          ,                       ,                         ,                       ,F                  ,               ,                   ,F                     ,                      ,                 ,                       ,                     ,                ,                    ,A                        ,C                                ,                 ,                          ,                 ,                   ,                     ,                     ,                     ,                     ,                ,                     ,                       ,R                    ,R                            ,                      ,R                  ,R                    ,                       ,                  ,                ,R                     ,R                    ,                      ,                ,                      ,                      ,                   ,                          ,                         ,                    ,                    ,                         ,                ,                           ,                     ,                        ,                     ,                         ,                      ,"Zone CP 13b, Ch. gigas"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,CP13          ,,171,1049,A,  6,H, 3,  65.00,     52.7500,Self-Trail,Nannofossils                                 ,A              ,M                 ,                       ,                    ,                        ,                 ,                      ,                  ,                      ,                       ,                       ,                                        ,                        ,                           ,                           ,                         ,                 ,                      ,                    ,                    ,                  ,                          ,                ,                   ,                  ,                             ,                        ,                    ,                         ,                       ,                         ,                      ,                   ,                        ,                                    ,                     ,                   ,                             ,                            ,                        ,                       ,                         ,                        ,                   ,                          ,                       ,                   ,                    ,                   ,                      ,                    ,                             ,                              ,                      ,                    ,                            ,                    ,                    ,                   ,                         ,                ,                    ,                               ,                              ,                            ,                    ,                     ,                       ,                         ,                        ,                       ,                        ,                ,                        ,                         ,                            ,                   ,                        ,                       ,F                        ,                           ,                            ,                   ,                       ,                           ,                      ,              ,            ,                        ,                         ,                          ,                       ,                        ,                   ,                      ,                     ,                       ,                    ,                       ,                   ,                       ,                       ,                       ,                  ,                               ,                   ,                 ,                    ,                    ,                            ,                               ,                          ,                 ,                      ,                           ,                          ,                 ,                               ,                         ,                  ,                     ,                       ,                       ,                     ,                    ,                          ,                        ,                       ,                       ,                        ,              ,                           ,                      ,                   ,                    ,                       ,                       ,                  ,                     ,                       ,                         ,                         ,                       ,                   ,                             ,                     ,                    ,                   ,                    ,                       ,                          ,F                      ,                         ,                       ,F                  ,               ,                   ,F                     ,                      ,                 ,                       ,F                    ,                ,                    ,C                        ,C                                ,                 ,                          ,                 ,                   ,                     ,                     ,                     ,                     ,                ,                     ,                       ,                     ,R                            ,                      ,F                  ,                     ,                       ,                  ,R               ,                      ,                     ,                      ,                ,                      ,                      ,                   ,                          ,                         ,                    ,                    ,                         ,                ,                           ,                     ,                        ,                     ,                         ,                      ,"Zone CP 13b, Ch. gigas"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,CP13          ,,171,1049,A,  6,H, 4,  65.00,     54.2500,Self-Trail,Nannofossils                                 ,A              ,M                 ,                       ,                    ,                        ,                 ,                      ,                  ,                      ,                       ,                       ,                                        ,                        ,                           ,                           ,                         ,                 ,                      ,                    ,                    ,                  ,                          ,                ,                   ,                  ,                             ,                        ,                    ,                         ,                       ,                         ,                      ,                   ,                        ,                                    ,                     ,                   ,                             ,                            ,                        ,                       ,                         ,                        ,                   ,                          ,                       ,                   ,                    ,                   ,                      ,                    ,                             ,                              ,                      ,                    ,                            ,                    ,                    ,                   ,                         ,                ,                    ,                               ,                              ,                            ,                    ,                     ,                       ,                         ,                        ,                       ,                        ,                ,                        ,                         ,                            ,                   ,                        ,                       ,F                        ,                           ,                            ,                   ,                       ,                           ,                      ,              ,            ,                        ,                         ,                          ,                       ,                        ,                   ,                      ,                     ,                       ,                    ,                       ,                   ,                       ,                       ,                       ,                  ,                               ,                   ,                 ,                    ,                    ,                            ,                               ,                          ,                 ,                      ,                           ,                          ,                 ,                               ,                         ,                  ,                     ,                       ,                       ,                     ,                    ,                          ,                        ,                       ,                       ,                        ,              ,                           ,                      ,                   ,                    ,                       ,                       ,                  ,                     ,                       ,                         ,                         ,                       ,                   ,                             ,                     ,                    ,                   ,F                   ,                       ,                          ,F                      ,                         ,                       ,F                  ,               ,                   ,                      ,                      ,                 ,                       ,                     ,                ,                    ,A                        ,C                                ,                 ,                          ,F                ,                   ,                     ,R                    ,                     ,                     ,                ,                     ,                       ,                     ,R                            ,                      ,R                  ,R                    ,                       ,R                 ,                ,                      ,                     ,                      ,                ,                      ,                      ,                   ,                          ,                         ,                    ,                    ,                         ,                ,                           ,                     ,                        ,                     ,                         ,                      ,"CP 13b, Ch. gigas"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,CP13b         ,,171,1049,A,  6,H, 5,  65.00,     55.7500,Self-Trail,Nannofossils                                 ,A              ,M                 ,                       ,                    ,                        ,                 ,                      ,                  ,                      ,                       ,                       ,                                        ,                        ,                           ,                           ,                         ,                 ,                      ,                    ,                    ,                  ,                          ,                ,                   ,                  ,                             ,                        ,                    ,                         ,                       ,                         ,                      ,                   ,                        ,                                    ,                     ,                   ,                             ,                            ,                        ,                       ,                         ,                        ,                   ,                          ,                       ,                   ,                    ,                   ,                      ,                    ,                             ,                              ,                      ,                    ,                            ,                    ,                    ,                   ,                         ,                ,                    ,                               ,                              ,                            ,                    ,                     ,                       ,                         ,                        ,                       ,                        ,                ,                        ,                         ,                            ,                   ,                        ,                       ,F                        ,                           ,                            ,                   ,                       ,                           ,                      ,              ,            ,                        ,                         ,                          ,                       ,                        ,                   ,                      ,                     ,                       ,                    ,                       ,                   ,                       ,                       ,                       ,                  ,                               ,                   ,                 ,                    ,                    ,                            ,                               ,                          ,                 ,                      ,                           ,                          ,                 ,                               ,                         ,                  ,                     ,                       ,                       ,                     ,                    ,                          ,                        ,                       ,R                      ,                        ,              ,                           ,                      ,                   ,                    ,                       ,                       ,                  ,                     ,                       ,                         ,                         ,                       ,                   ,                             ,                     ,                    ,                   ,                    ,                       ,                          ,                       ,                         ,                       ,F                  ,               ,                   ,R                     ,                      ,                 ,                       ,R                    ,                ,                    ,A                        ,C                                ,                 ,                          ,                 ,                   ,                     ,                     ,                     ,                     ,                ,                     ,                       ,F                    ,R                            ,                      ,R                  ,R                    ,F                      ,                  ,                ,                      ,                     ,                      ,                ,                      ,                      ,                   ,                          ,                         ,                    ,                    ,                         ,                ,                           ,                     ,                        ,                     ,                         ,                      ,"CP 13b, Ch. gigas"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,CP13b         ,,171,1049,A,  6,H, 6,  65.00,     57.2500,Watkins  ,Nannofossils                                 ,               ,                  ,                       ,                    ,                        ,                 ,                      ,                  ,                      ,                       ,                       ,                                        ,                        ,                           ,                           ,                         ,                 ,                      ,                    ,                    ,                  ,                          ,                ,                   ,                  ,                             ,                        ,                    ,                         ,                       ,                         ,                      ,                   ,                        ,                                    ,                     ,                   ,                             ,                            ,                        ,                       ,                         ,                        ,                   ,                          ,                       ,                   ,                    ,                   ,                      ,                    ,                             ,                              ,                      ,                    ,                            ,                    ,                    ,                   ,                         ,                ,                    ,                               ,                              ,                            ,                    ,                     ,                       ,                         ,                        ,                       ,                        ,                ,                        ,                         ,                            ,                   ,                        ,                       ,                         ,                           ,                            ,                   ,                       ,                           ,                      ,              ,            ,                        ,                         ,                          ,                       ,                        ,                   ,                      ,                     ,                       ,                    ,                       ,                   ,                       ,                       ,                       ,                  ,                               ,                   ,                 ,                    ,                    ,                            ,                               ,                          ,                 ,                      ,                           ,                          ,                 ,                               ,                         ,                  ,                     ,                       ,                       ,                     ,                    ,                          ,                        ,                       ,                       ,                        ,              ,                           ,                      ,                   ,                    ,                       ,                       ,                  ,                     ,                       ,                         ,                         ,                       ,                   ,                             ,                     ,                    ,                   ,                    ,                       ,                          ,                       ,                         ,                       ,                   ,               ,                   ,+                     ,                      ,                 ,                       ,+                    ,                ,                    ,+                        ,                                 ,                 ,                          ,                 ,                   ,                     ,                     ,                     ,                     ,                ,                     ,                       ,+                    ,+                            ,                      ,+                  ,                     ,                       ,                  ,                ,                      ,                     ,                      ,                ,                      ,                      ,                   ,                          ,                         ,                    ,                    ,                         ,                ,                           ,                     ,                        ,                     ,                         ,                      ,       
