Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),,Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Stylosphaera coronata coronata,Podocyrtis acalles,Buryella clinata,Thyrsocyrtis tarsipes,Thyrsocyrtis hirsuta,Theocotyle nigriniae,Spongatractus balbis,Podocyrtis diamesa,Phormocyrtis striata striata,Lychnocanoma bellum,Dictyopora urceolus,Calocycloma castum,Thyrsocyrtis tensa,Theocotyle venezuelensis,Podocyrtis sinuosa,Podocyrtis papalis,Lithocyclia ocellus,Calocyclas hispida,Thyrsocyrtis rhizodon,Dictyoprora mongolfieri,Thyrsocyrtis triacantha,Spongatractus pachystylus,Eusyringium lagena,Eusyringium fistuligerum,Podocyrtis  ampla,Podocyrtis trachodes,Theocotylissa ficus,Comment
  IR,                 ,                 ,                  ,T. cryptocephala,,171,1049,A,  8,X,CC,  18.00,     60.8300,Blome    ,Radiolarians                                 ,               ,                  ,                              ,C                 ,                ,                     ,C                   ,F                   ,                    ,C                 ,C                           ,R                  ,                   ,                  ,F                 ,F                       ,C                 ,F                 ,A                  ,F                 ,                     ,                       ,                       ,                         ,                  ,                        ,                 ,                    ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Eocene     ,                  ,P. striata striata,171,1049,A,  9,H,CC,  20.00,     69.4000,Blome    ,Radiolarians                                 ,               ,VG                ,                              ,F                 ,C               ,C                    ,C                   ,F                   ,C                   ,F                 ,A                           ,F                  ,C                  ,F                 ,                  ,                        ,                  ,                  ,                   ,                  ,                     ,                       ,                       ,                         ,                  ,                        ,                 ,                    ,                   ,       ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Eocene     ,                  ,              ,,171,1049,A, 10,X,CC,  18.00,     73.1400,Blome    ,Radiolarians                                 ,T              ,P                 ,                              ,                  ,T               ,                     ,                    ,                    ,                    ,                  ,                            ,                   ,                   ,                  ,                  ,                        ,                  ,                  ,                   ,                  ,                     ,                       ,                       ,                         ,                  ,                        ,                 ,                    ,                   ,"Sample contains mostly sediments with a trace of radiolarians, mostly broken"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,,171,1049,A, 14,X,CC,  19.00,    100.2900,Blome    ,Radiolarians                                 ,               ,P                 ,                              ,c                 ,                ,                     ,                    ,                    ,                    ,                  ,                            ,                   ,                   ,                  ,                  ,                        ,                  ,                  ,                   ,                  ,                     ,                       ,                       ,                         ,                  ,                        ,                 ,                    ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,,171,1049,A, 15,X,CC,  13.00,    105.9300,Blome    ,Radiolarians                                 ,               ,P                 ,rT1                           ,                  ,                ,                     ,                    ,                    ,                    ,                  ,                            ,                   ,                   ,                  ,                  ,                        ,                  ,                  ,                   ,                  ,                     ,                       ,                       ,                         ,                  ,                        ,                 ,                    ,                   ,"Just a few traces of radiolarians, heavily diluted by sediment; radiolarians broken and fragmentary, probably reworked"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
