Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Triquetrorhabdulus rugosus/rioensis,Pontosphaera spp.,Coccolithus pelagicus,Ceratolithus cristatus,Calcidiscus macintyrei,Sphenolithus spp.,Sphenolithus dissimilis,Sphenolithus conicus,Geminilithella rotula,Reticulofenestra pseudoumbilicus,Minylitha convallis,Discoaster variabilis,Discoaster brouweri,Discoaster tristellifer,Ceratolithus armatus,Discoaster decorus,Amaurolithus primus,Discoaster surculus,Discoaster pentaradiatus,Reticulofenestra spp.,Helicosphaera carteri,Discoaster quinqueramus/berggrenii,Discoaster intercalaris,Dictyococcites spp.,Calcidiscus leptoporus,Amaurolithus delicatus,Reticulofenestra spp. (circular),Discoaster asymmetricus,Amaurolithus amplificus,Ceratolithus acutus,Syracosphaera spp.,Scyphosphaera spp.,Pseudoemiliania lacunosa,Discoaster triradiatus,Discoaster tamalis,Amaurolithus tricorniculatus,Ceratolithus rugosus,Helicosphaera sellii,Gephyrocapsa spp. small (<4 microns),Catinaster coalitus,Rhabdosphaera spp.,Reticulofenestra spp.,Helicosphaera wallichii,Gephyrocapsa oceanica,Ceratolithus telesmus,Gephyrocapsa spp. large (>5.5 microns),Thoracosphaera spp.,Gephyrocapsa sp. 3,Umbilicosphaera spp.,Emiliania huxleyi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,Pleistocene      ,CN14b             ,              ,138, 847,B,  2,H, 1, 120.00,      7.7000,Raffi    ,Nannofossils                                 ,A              ,G                 ,                                   ,                 ,                     ,                      ,                      ,                 ,                       ,                    ,                     ,                                ,                   ,                     ,                   ,                       ,                    ,                  ,                   ,                   ,                        ,                     ,R                    ,                                  ,                       ,                   ,C                     ,                      ,                                ,                       ,                       ,                   ,                  ,                  ,                        ,                      ,                  ,                            ,                    ,                    ,F                                   ,                   ,                  ,                     ,R                      ,A                    ,                     ,                                      ,                   ,F                 ,C                   ,                 ,from ODP Leg 138 Chapter 12 Table 15 pp 262-265
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,Pleistocene      ,CN14b             ,              ,138, 847,B,  2,H, 3, 120.00,     10.7000,Raffi    ,Nannofossils                                 ,A              ,G                 ,                                   ,                 ,                     ,                      ,                      ,                 ,                       ,                    ,                     ,                                ,                   ,                     ,                   ,                       ,                    ,                  ,                   ,                   ,                        ,                     ,                     ,                                  ,                       ,                   ,C                     ,                      ,                                ,                       ,                       ,                   ,                  ,                  ,                        ,                      ,                  ,                            ,                    ,                    ,A                                   ,                   ,                  ,                     ,F                      ,F                    ,                     ,                                      ,                   ,                  ,C                   ,                 ,from ODP Leg 138 Chapter 12 Table 15 pp 262-265
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,Pleistocene      ,CN14b             ,              ,138, 847,B,  2,H, 4, 120.00,     12.2000,Raffi    ,Nannofossils                                 ,A              ,G                 ,                                   ,                 ,                     ,                      ,                      ,                 ,                       ,                    ,                     ,                                ,                   ,                     ,                   ,                       ,                    ,                  ,                   ,                   ,                        ,                     ,                     ,                                  ,                       ,                   ,A                     ,                      ,                                ,                       ,                       ,                   ,C                 ,                  ,                        ,                      ,                  ,                            ,                    ,                    ,A                                   ,                   ,                  ,C                    ,F                      ,C                    ,R                    ,                                      ,R                  ,                  ,                    ,                 ,from ODP Leg 138 Chapter 12 Table 15 pp 262-265
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,Pleistocene      ,CN14b             ,              ,138, 847,B,  2,H, 5,  50.00,     13.0000,Raffi    ,Nannofossils                                 ,A              ,G                 ,                                   ,                 ,                     ,                      ,                      ,                 ,                       ,                    ,                     ,                                ,                   ,                     ,                   ,                       ,                    ,                  ,                   ,                   ,                        ,                     ,                     ,                                  ,                       ,                   ,C                     ,                      ,                                ,                       ,                       ,                   ,                  ,                  ,                        ,                      ,                  ,                            ,                    ,                    ,A                                   ,                   ,                  ,C                    ,C                      ,R                    ,R                    ,                                      ,                   ,                  ,                    ,                 ,from ODP Leg 138 Chapter 12 Table 15 pp 262-265
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,Pleistocene      ,CN14b             ,              ,138, 847,B,  2,H, 5, 120.00,     13.7000,Raffi    ,Nannofossils                                 ,A              ,G                 ,                                   ,                 ,                     ,                      ,                      ,                 ,                       ,                    ,                     ,                                ,                   ,                     ,                   ,                       ,                    ,                  ,                   ,                   ,                        ,                     ,                     ,                                  ,                       ,                   ,C                     ,                      ,                                ,                       ,                       ,                   ,                  ,                  ,                        ,                      ,                  ,                            ,                    ,                    ,A                                   ,                   ,                  ,F                    ,C                      ,C                    ,R                    ,                                      ,                   ,                  ,                    ,                 ,from ODP Leg 138 Chapter 12 Table 15 pp 262-265
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,Pleistocene      ,CN14a             ,              ,138, 847,B,  2,H, 6,  51.00,     14.5100,Raffi    ,Nannofossils                                 ,A              ,G                 ,                                   ,                 ,                     ,                      ,                      ,                 ,                       ,                    ,                     ,                                ,                   ,                     ,                   ,                       ,                    ,                  ,                   ,                   ,                        ,                     ,                     ,                                  ,                       ,                   ,C                     ,                      ,                                ,                       ,                       ,                   ,                  ,                  ,F                       ,                      ,                  ,                            ,                    ,                    ,A                                   ,                   ,                  ,F                    ,C                      ,R                    ,                     ,                                      ,                   ,                  ,                    ,                 ,from ODP Leg 138 Chapter 12 Table 15 pp 262-265
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,Pleistocene      ,CN14a             ,              ,138, 847,B,  2,H, 6, 120.00,     15.2000,Raffi    ,Nannofossils                                 ,A              ,G                 ,                                   ,                 ,                     ,                      ,                      ,                 ,                       ,                    ,                     ,                                ,                   ,                     ,                   ,                       ,                    ,                  ,                   ,                   ,                        ,                     ,                     ,                                  ,                       ,                   ,C                     ,                      ,                                ,                       ,                       ,                   ,                  ,                  ,C                       ,                      ,                  ,                            ,                    ,                    ,A                                   ,                   ,                  ,F                    ,C                      ,F                    ,R                    ,                                      ,                   ,                  ,                    ,                 ,from ODP Leg 138 Chapter 12 Table 15 pp 262-265
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,Pleistocene      ,CN14a             ,              ,138, 847,B,  2,H, 7,  24.00,     15.7400,Raffi    ,Nannofossils                                 ,A              ,G                 ,                                   ,                 ,                     ,                      ,                      ,                 ,                       ,                    ,                     ,                                ,                   ,                     ,                   ,                       ,                    ,                  ,                   ,                   ,                        ,                     ,                     ,                                  ,                       ,                   ,C                     ,                      ,                                ,                       ,                       ,                   ,                  ,                  ,C                       ,                      ,                  ,                            ,                    ,                    ,A                                   ,                   ,                  ,C                    ,C                      ,R                    ,                     ,                                      ,                   ,                  ,                    ,                 ,from ODP Leg 138 Chapter 12 Table 15 pp 262-265
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,Pleistocene      ,CN14a             ,              ,138, 847,B,  3,H, 1,  50.00,     16.5000,Raffi    ,Nannofossils                                 ,A              ,G                 ,                                   ,                 ,                     ,                      ,                      ,                 ,                       ,                    ,                     ,                                ,                   ,                     ,                   ,                       ,                    ,                  ,                   ,                   ,                        ,                     ,                     ,                                  ,                       ,                   ,C                     ,                      ,                                ,                       ,                       ,                   ,                  ,                  ,C                       ,                      ,                  ,                            ,                    ,                    ,A                                   ,                   ,C                 ,C                    ,                       ,R                    ,                     ,                                      ,                   ,                  ,                    ,                 ,from ODP Leg 138 Chapter 12 Table 15 pp 262-265
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,Pleistocene      ,CN14a             ,              ,138, 847,B,  3,H, 3,  50.00,     19.5000,Raffi    ,Nannofossils                                 ,A              ,G                 ,                                   ,C                ,                     ,                      ,                      ,                 ,                       ,                    ,                     ,                                ,                   ,                     ,                   ,                       ,                    ,                  ,                   ,                   ,                        ,                     ,                     ,                                  ,                       ,                   ,C                     ,                      ,                                ,                       ,                       ,                   ,                  ,R                 ,A                       ,                      ,                  ,                            ,                    ,                    ,A                                   ,                   ,C                 ,F                    ,C                      ,F                    ,                     ,                                      ,                   ,F                 ,                    ,                 ,from ODP Leg 138 Chapter 12 Table 15 pp 262-265
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,Pleistocene      ,CN14a             ,              ,138, 847,B,  3,H, 7,  60.00,     25.6000,Raffi    ,Nannofossils                                 ,A              ,G                 ,                                   ,C                ,                     ,F                     ,                      ,                 ,                       ,                    ,                     ,                                ,                   ,                     ,                   ,                       ,                    ,                  ,                   ,                   ,                        ,                     ,F                    ,                                  ,                       ,                   ,C                     ,                      ,                                ,                       ,                       ,                   ,                  ,                  ,A                       ,                      ,                  ,                            ,                    ,                    ,A                                   ,                   ,                  ,C                    ,F                      ,F                    ,                     ,                                      ,                   ,C                 ,                    ,                 ,from ODP Leg 138 Chapter 12 Table 15 pp 262-265
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,Pleistocene      ,CN14a             ,              ,138, 847,B,  4,H, 1,  60.00,     26.1000,Raffi    ,Nannofossils                                 ,A              ,G                 ,                                   ,                 ,                     ,R                     ,                      ,                 ,                       ,                    ,                     ,                                ,                   ,                     ,                   ,                       ,                    ,                  ,                   ,                   ,                        ,                     ,F                    ,                                  ,                       ,                   ,C                     ,                      ,                                ,                       ,                       ,                   ,                  ,                  ,A                       ,                      ,                  ,                            ,                    ,                    ,A                                   ,                   ,                  ,C                    ,R                      ,R                    ,                     ,                                      ,                   ,F                 ,                    ,                 ,from ODP Leg 138 Chapter 12 Table 15 pp 262-265
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,Pleistocene      ,CN14a             ,              ,138, 847,B,  4,H, 1, 120.00,     26.7000,Raffi    ,Nannofossils                                 ,A              ,G                 ,                                   ,                 ,                     ,                      ,                      ,                 ,                       ,                    ,                     ,                                ,                   ,                     ,                   ,                       ,                    ,                  ,                   ,                   ,                        ,                     ,F                    ,                                  ,                       ,                   ,C                     ,                      ,                                ,                       ,                       ,                   ,                  ,                  ,A                       ,                      ,                  ,                            ,                    ,                    ,A                                   ,                   ,F                 ,A                    ,                       ,C                    ,                     ,                                      ,                   ,F                 ,                    ,                 ,from ODP Leg 138 Chapter 12 Table 15 pp 262-265
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,Pleistocene      ,CN14a             ,              ,138, 847,B,  4,H, 2,  60.00,     27.6000,Raffi    ,Nannofossils                                 ,A              ,G                 ,                                   ,F                ,                     ,                      ,T                     ,                 ,                       ,                    ,                     ,                                ,                   ,                     ,                   ,                       ,                    ,                  ,                   ,                   ,                        ,                     ,C                    ,                                  ,                       ,                   ,C                     ,                      ,                                ,                       ,                       ,                   ,                  ,                  ,A                       ,                      ,                  ,                            ,                    ,                    ,A                                   ,                   ,R                 ,C                    ,                       ,R                    ,                     ,                                      ,                   ,F                 ,                    ,                 ,from ODP Leg 138 Chapter 12 Table 15 pp 262-265
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,Pleistocene      ,CN13b             ,              ,138, 847,B,  4,H, 2, 120.00,     28.2000,Raffi    ,Nannofossils                                 ,A              ,G                 ,                                   ,R                ,                     ,R                     ,                      ,                 ,                       ,                    ,                     ,                                ,                   ,                     ,                   ,                       ,                    ,                  ,                   ,                   ,                        ,                     ,C                    ,                                  ,                       ,                   ,A                     ,                      ,                                ,                       ,                       ,                   ,                  ,                  ,A                       ,                      ,                  ,                            ,                    ,                    ,A                                   ,                   ,F                 ,A                    ,                       ,                     ,                     ,                                      ,                   ,T                 ,                    ,                 ,from ODP Leg 138 Chapter 12 Table 15 pp 262-265
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,Pleistocene      ,CN13b             ,              ,138, 847,B,  4,H, 3,  60.00,     29.1000,Raffi    ,Nannofossils                                 ,A              ,G                 ,                                   ,F                ,                     ,                      ,                      ,                 ,                       ,                    ,                     ,                                ,                   ,                     ,                   ,                       ,                    ,                  ,                   ,                   ,                        ,                     ,C                    ,                                  ,                       ,                   ,C                     ,                      ,                                ,                       ,                       ,                   ,                  ,                  ,A                       ,                      ,                  ,                            ,                    ,                    ,F                                   ,                   ,                  ,C                    ,F                      ,T                    ,                     ,                                      ,                   ,                  ,                    ,                 ,from ODP Leg 138 Chapter 12 Table 15 pp 262-265
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,Pleistocene      ,CN13b             ,              ,138, 847,B,  4,H, 3, 120.00,     29.7000,Raffi    ,Nannofossils                                 ,A              ,G                 ,                                   ,                 ,                     ,                      ,                      ,                 ,                       ,                    ,                     ,                                ,                   ,                     ,                   ,                       ,                    ,                  ,                   ,                   ,                        ,                     ,F                    ,                                  ,                       ,                   ,C                     ,                      ,                                ,                       ,                       ,                   ,                  ,                  ,A                       ,                      ,                  ,                            ,                    ,                    ,C                                   ,                   ,                  ,A                    ,                       ,                     ,                     ,                                      ,                   ,                  ,                    ,                 ,from ODP Leg 138 Chapter 12 Table 15 pp 262-265
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,Pleistocene      ,CN13b             ,              ,138, 847,B,  4,H, 4,  60.00,     30.6000,Raffi    ,Nannofossils                                 ,A              ,G                 ,                                   ,                 ,                     ,                      ,                      ,                 ,                       ,                    ,                     ,                                ,                   ,                     ,                   ,                       ,                    ,                  ,                   ,                   ,                        ,                     ,C                    ,                                  ,                       ,                   ,C                     ,                      ,                                ,                       ,                       ,                   ,                  ,                  ,A                       ,                      ,                  ,                            ,                    ,                    ,C                                   ,                   ,F                 ,A                    ,R                      ,                     ,                     ,                                      ,                   ,                  ,                    ,                 ,from ODP Leg 138 Chapter 12 Table 15 pp 262-265
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,Pleistocene      ,CN13b             ,              ,138, 847,B,  4,H, 5,  60.00,     32.1000,Raffi    ,Nannofossils                                 ,A              ,G                 ,                                   ,F                ,                     ,                      ,                      ,                 ,                       ,                    ,                     ,                                ,                   ,                     ,                   ,                       ,                    ,                  ,                   ,                   ,                        ,                     ,C                    ,                                  ,                       ,                   ,C                     ,                      ,                                ,                       ,                       ,                   ,                  ,                  ,A                       ,                      ,                  ,                            ,                    ,                    ,F                                   ,                   ,                  ,F                    ,                       ,                     ,                     ,                                      ,                   ,                  ,                    ,                 ,from ODP Leg 138 Chapter 12 Table 15 pp 262-265
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,Pleistocene      ,CN13b             ,              ,138, 847,B,  4,H, 7,  10.00,     34.6000,Raffi    ,Nannofossils                                 ,A              ,G                 ,                                   ,                 ,                     ,                      ,                      ,                 ,                       ,                    ,                     ,                                ,                   ,                     ,                   ,                       ,                    ,                  ,                   ,                   ,                        ,                     ,C                    ,                                  ,                       ,                   ,A                     ,                      ,                                ,                       ,                       ,                   ,                  ,                  ,A                       ,                      ,                  ,                            ,                    ,                    ,A                                   ,                   ,F                 ,C                    ,                       ,                     ,                     ,                                      ,                   ,                  ,                    ,                 ,from ODP Leg 138 Chapter 12 Table 15 pp 262-265
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,Pleistocene      ,CN13b             ,              ,138, 847,B,  4,H, 7,  60.00,     35.1000,Raffi    ,Nannofossils                                 ,A              ,G                 ,                                   ,F                ,                     ,                      ,                      ,                 ,                       ,                    ,                     ,                                ,                   ,                     ,                   ,                       ,                    ,                  ,                   ,                   ,                        ,                     ,F                    ,                                  ,                       ,                   ,C                     ,                      ,                                ,                       ,                       ,                   ,                  ,                  ,A                       ,                      ,                  ,                            ,                    ,                    ,C                                   ,                   ,F                 ,C                    ,                       ,                     ,                     ,                                      ,                   ,                  ,                    ,                 ,from ODP Leg 138 Chapter 12 Table 15 pp 262-265
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,Pleistocene      ,CN13b             ,              ,138, 847,B,  5,H, 1,  60.00,     35.6000,Raffi    ,Nannofossils                                 ,A              ,G                 ,                                   ,F                ,                     ,                      ,                      ,                 ,                       ,                    ,                     ,                                ,                   ,                     ,                   ,                       ,                    ,                  ,                   ,                   ,                        ,                     ,C                    ,                                  ,                       ,                   ,C                     ,                      ,                                ,                       ,                       ,                   ,                  ,                  ,A                       ,                      ,                  ,                            ,                    ,                    ,A                                   ,                   ,                  ,C                    ,                       ,                     ,                     ,                                      ,                   ,                  ,                    ,                 ,from ODP Leg 138 Chapter 12 Table 15 pp 262-265
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,Pleistocene      ,CN13b             ,              ,138, 847,B,  5,H, 1, 120.00,     36.2000,Raffi    ,Nannofossils                                 ,A              ,G                 ,                                   ,                 ,                     ,                      ,                      ,                 ,                       ,                    ,                     ,                                ,                   ,                     ,                   ,                       ,                    ,                  ,                   ,                   ,                        ,                     ,C                    ,                                  ,                       ,                   ,C                     ,                      ,                                ,                       ,                       ,                   ,                  ,                  ,A                       ,                      ,                  ,                            ,                    ,                    ,C                                   ,                   ,F                 ,A                    ,                       ,C                    ,                     ,C                                     ,                   ,                  ,                    ,                 ,from ODP Leg 138 Chapter 12 Table 15 pp 262-265
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,Pleistocene      ,CN13b             ,              ,138, 847,B,  5,H, 2,  60.00,     37.1000,Raffi    ,Nannofossils                                 ,A              ,G                 ,                                   ,F                ,                     ,                      ,                      ,                 ,                       ,                    ,                     ,                                ,                   ,                     ,                   ,                       ,                    ,                  ,                   ,                   ,                        ,                     ,C                    ,                                  ,                       ,                   ,C                     ,                      ,                                ,                       ,                       ,                   ,                  ,                  ,C                       ,                      ,                  ,                            ,                    ,                    ,C                                   ,                   ,F                 ,A                    ,                       ,C                    ,                     ,C                                     ,F                  ,                  ,                    ,                 ,from ODP Leg 138 Chapter 12 Table 15 pp 262-265
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,Pleistocene      ,CN13b             ,              ,138, 847,B,  5,H, 2, 120.00,     37.7000,Raffi    ,Nannofossils                                 ,A              ,G                 ,                                   ,F                ,                     ,                      ,                      ,                 ,                       ,                    ,                     ,                                ,                   ,                     ,                   ,                       ,                    ,                  ,                   ,                   ,                        ,                     ,C                    ,                                  ,                       ,                   ,C                     ,                      ,                                ,                       ,                       ,                   ,                  ,R                 ,C                       ,                      ,                  ,                            ,                    ,                    ,C                                   ,                   ,C                 ,A                    ,                       ,A                    ,                     ,C                                     ,                   ,                  ,                    ,                 ,from ODP Leg 138 Chapter 12 Table 15 pp 262-265
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,Pleistocene      ,CN13b             ,              ,138, 847,B,  5,H, 3,  60.00,     38.6000,Raffi    ,Nannofossils                                 ,A              ,G                 ,                                   ,C                ,R                    ,R                     ,                      ,                 ,                       ,                    ,                     ,                                ,                   ,                     ,                   ,                       ,                    ,                  ,                   ,                   ,                        ,                     ,C                    ,                                  ,                       ,                   ,C                     ,                      ,                                ,                       ,                       ,                   ,                  ,                  ,C                       ,                      ,                  ,                            ,                    ,                    ,C                                   ,                   ,F                 ,C                    ,                       ,C                    ,R                    ,C                                     ,                   ,                  ,                    ,                 ,from ODP Leg 138 Chapter 12 Table 15 pp 262-265
