Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Verrutriletes sp.,Tricolporopollenites spp.,Tricolpites sp. 3,Tricolpites sp. 2,Tricolpites sp. 1,Tricolpites reticulominutus,Monosulcites spp.,Ephedripites sp. 1,Ephedripites multicostatus,Ephedripites sp. 3,Arecipites sp.,Proxapertites? sp.,Corrugatisporites ivoriensis,Triporopollenites sp.,Striamonocolpites sp.,Rugulatisporites caperatus,Foveotriletes margaritae,Deltoidospora sp.,Dicolpites sp.,Corollina? sp.,Foveotricolpites sp.,Tricolpites sp. 4,Toroisporis sp.,Parvisaccites cf. P. radiatus,Monocolpopollenites sp.,Laevigatosporites gracilis,Longapertites vaneendenburgi,Leiotriletes spp.,Buttinia andreevi,Granulatisporites sp.,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,159, 959,D, 50,R, 1, 105.00,    880.9500,Oboh-Ikuenobe,Pollen/Spores                                ,               ,                  ,                 ,                         ,                 ,                 ,                 ,                           ,                 ,                  ,                          ,                  ,              ,                  ,                            ,                     ,                     ,                          ,                        ,                 ,              ,              ,+                   ,                 ,               ,                             ,                       ,                          ,                            ,                 ,                 ,                     ,From Leg 159SR Ch 25 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,159, 959,D, 52,R, 1,  18.00,    898.9800,Oboh-Ikuenobe,Pollen/Spores                                ,               ,                  ,                 ,                         ,                 ,                 ,                 ,                           ,                 ,                  ,                          ,                  ,              ,                  ,                            ,                     ,                     ,                          ,                        ,                 ,              ,+             ,                    ,                 ,               ,                             ,                       ,                          ,                            ,                 ,                 ,                     ,From Leg 159SR Ch 25 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,159, 959,D, 53,R, 4,  67.00,    912.4600,Oboh-Ikuenobe,Pollen/Spores                                ,               ,                  ,                 ,                         ,+                ,                 ,                 ,                           ,                 ,                  ,                          ,                  ,              ,                  ,                            ,                     ,                     ,                          ,                        ,                 ,              ,              ,                    ,                 ,               ,                             ,                       ,                          ,                            ,                 ,                 ,                     ,From Leg 159SR Ch 25 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,159, 959,D, 55,R, 3,  85.00,    930.4100,Oboh-Ikuenobe,Pollen/Spores                                ,               ,                  ,                 ,                         ,                 ,                 ,                 ,                           ,                 ,                  ,                          ,                  ,              ,                  ,                            ,                     ,                     ,                          ,                        ,+                ,+             ,              ,                    ,                 ,               ,                             ,                       ,                          ,                            ,                 ,                 ,                     ,From Leg 159SR Ch 25 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Campanian        ,                 ,                  ,              ,159, 959,D, 58,R, 1,   2.00,    956.8200,Oboh-Ikuenobe,Pollen/Spores                                ,               ,                  ,                 ,                         ,                 ,                 ,                 ,                           ,+                ,                  ,                          ,                  ,              ,                  ,                            ,                     ,                     ,                          ,                        ,                 ,              ,              ,                    ,                 ,               ,                             ,                       ,                          ,                            ,                 ,                 ,                     ,From Leg 159SR Ch 25 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Campanian        ,                 ,                  ,              ,159, 959,D, 59,R, 2,  45.00,    968.4500,Oboh-Ikuenobe,Pollen/Spores                                ,               ,                  ,                 ,                         ,                 ,                 ,                 ,                           ,+                ,                  ,                          ,                  ,              ,                  ,                            ,                     ,                     ,                          ,+                       ,                 ,              ,              ,                    ,                 ,               ,                             ,                       ,                          ,                            ,                 ,                 ,                     ,From Leg 159SR Ch 25 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Campanian        ,                 ,                  ,              ,159, 959,D, 60,R, 2, 100.00,    978.6000,Oboh-Ikuenobe,Pollen/Spores                                ,               ,                  ,                 ,                         ,                 ,                 ,                 ,                           ,                 ,                  ,                          ,                  ,              ,                  ,                            ,                     ,                     ,                          ,+                       ,+                ,              ,              ,                    ,                 ,               ,                             ,                       ,                          ,                            ,                 ,                 ,                     ,From Leg 159SR Ch 25 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Campanian        ,                 ,                  ,              ,159, 959,D, 60,R, 4,  94.00,    981.5400,Oboh-Ikuenobe,Pollen/Spores                                ,               ,                  ,                 ,                         ,                 ,                 ,                 ,                           ,                 ,                  ,                          ,                  ,              ,                  ,                            ,                     ,+                    ,+                         ,                        ,                 ,              ,              ,                    ,                 ,               ,                             ,                       ,                          ,                            ,                 ,                 ,                     ,From Leg 159SR Ch 25 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Santonian        ,                 ,                  ,              ,159, 959,D, 62,R, 1,  21.00,    995.6100,Oboh-Ikuenobe,Pollen/Spores                                ,               ,                  ,                 ,                         ,                 ,                 ,                 ,                           ,                 ,                  ,                          ,                  ,              ,                  ,                            ,+                    ,                     ,                          ,                        ,                 ,              ,              ,                    ,                 ,               ,                             ,                       ,                          ,                            ,                 ,                 ,                     ,From Leg 159SR Ch 25 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Santonian        ,                 ,                  ,              ,159, 959,D, 62,R,CC,   2.00,    999.9200,Oboh-Ikuenobe,Pollen/Spores                                ,               ,                  ,                 ,                         ,                 ,                 ,                 ,                           ,                 ,                  ,                          ,+                 ,              ,                  ,                            ,                     ,                     ,                          ,                        ,                 ,              ,              ,                    ,                 ,               ,                             ,                       ,                          ,                            ,                 ,                 ,                     ,From Leg 159SR Ch 25 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Santonian        ,                 ,                  ,              ,159, 959,D, 64,R, 5,  89.00,   1021.5900,Oboh-Ikuenobe,Pollen/Spores                                ,               ,                  ,                 ,                         ,                 ,                 ,                 ,                           ,                 ,                  ,                          ,                  ,              ,+                 ,+                           ,                     ,                     ,                          ,                        ,                 ,              ,              ,                    ,                 ,               ,                             ,                       ,                          ,                            ,                 ,                 ,                     ,From Leg 159SR Ch 25 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Santonian        ,                 ,                  ,              ,159, 959,D, 65,R, 6,  10.00,   1031.7000,Oboh-Ikuenobe,Pollen/Spores                                ,               ,                  ,                 ,                         ,+                ,                 ,                 ,                           ,+                ,+                 ,                          ,+                 ,+             ,                  ,                            ,                     ,                     ,                          ,                        ,                 ,              ,              ,                    ,                 ,               ,                             ,                       ,                          ,                            ,                 ,                 ,                     ,From Leg 159SR Ch 25 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Turonian         ,Coniacian        ,                  ,              ,159, 959,D, 67,R, 1,  10.00,   1043.4000,Oboh-Ikuenobe,Pollen/Spores                                ,               ,                  ,+                ,+                        ,+                ,+                ,+                ,+                          ,+                ,+                 ,+                         ,                  ,              ,                  ,                            ,                     ,                     ,                          ,                        ,                 ,              ,              ,                    ,                 ,               ,                             ,                       ,                          ,                            ,                 ,                 ,                     ,From Leg 159SR Ch 25 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
