Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Thalassionema nitzschioides	Denticulopsis hustedtii	Crucidenticula nicobarica s.s.	Coscinodiscus lewisianus	Actinocyclus ingens	Thalassiothrix longissima	Coscinodiscus marginatus	Azpeitia endoi	Thalassiosira praeyabei	Denticulopsis praedimorpha	Denticulopsis hyalina	Actinocyclus tsugaruensis	Thalassionema hirosakiensis	Coscinodiscus marginatus f. fossilis	Rouxia californica	Azpeitia nodulifera	Denticulopsis simonsenii	Aulacosira granulata	Thalassionema cf. T. schraderi	Rhizosolenia barboi	Thalassionema nitzschioides  var. parva	Paralia sulcata	Nitzschia praedim*	Nitzschia pliocena	Neodenticula seminae	Denticulopsis lauta s.l.	Biddulphia aurita	Denticulopsis lauta (miocenica type)	Denticulopsis lauta	Sponge spicules	Comment
  IR	Late Miocene     	                 	NPD 6A            	NPD 6B        	167	1010	C	 12	H	CC	  17.00	    110.2900	Maruyama 	Diatoms                                      	C              	P/M               	F                          	                       	                              	                        	                   	                         	C                       	              	                       	                          	                     	                         	                           	                                    	                  	                   	R                       	T                   	                              	                   	                                       	               	                  	                  	                    	                        	                 	                                    	                   	               	from IR.Ch 4.Table 4.

  IR	Middle Miocene   	Late Miocene     	NPD 5B            	NPD 5C        	167	1010	C	 13	H	CC	  15.00	    119.5300	Maruyama 	Diatoms                                      	A              	M/G               	R                          	F                      	                              	                        	                   	                         	                        	              	                       	R                         	                     	                         	R                          	                                    	                  	                   	                        	                    	                              	                   	                                       	               	                  	                  	                    	                        	                 	                                    	                   	               	from IR.Ch 4.Table 4.

  IR	Middle Miocene   	                 	NPD 5B            	              	167	1010	C	 14	H	CC	  11.00	    129.2900	Maruyama 	Diatoms                                      	A              	M/G               	C                          	A                      	                              	                        	F                  	                         	                        	              	                       	A                         	                     	                         	                           	                                    	R                 	R                  	                        	                    	                              	                   	                                       	               	                  	                  	                    	                        	                 	                                    	                   	               	from IR.Ch 4.Table 4.

  IR	Middle Miocene   	                 	NPD 5B            	              	167	1010	C	 15	H	CC	  24.00	    139.0300	Maruyama 	Diatoms                                      	D              	G                 	R                          	A                      	                              	                        	                   	                         	                        	              	                       	D                         	                     	                         	R                          	R                                   	                  	                   	                        	                    	                              	                   	                                       	               	                  	                  	                    	                        	                 	                                    	                   	               	from IR.Ch 4.Table 4.

  IR	Middle Miocene   	                 	NPD 5B            	              	167	1010	C	 16	H	CC	  12.00	    148.2900	Maruyama 	Diatoms                                      	D              	VG                	A                          	A                      	                              	                        	R                  	A                        	                        	              	                       	D                         	                     	                         	                           	                                    	                  	                   	                        	                    	                              	                   	                                       	               	                  	                  	                    	                        	                 	                                    	                   	               	from IR.Ch 4.Table 4.

  IR	Middle Miocene   	                 	NPD 5B            	              	167	1010	C	 17	H	CC	  19.00	    157.8700	Maruyama 	Diatoms                                      	D              	VG                	A                          	A                      	                              	                        	R                  	C                        	R                       	              	T                      	D                         	T                    	R                        	                           	                                    	                  	                   	                        	                    	                              	                   	                                       	               	                  	                  	                    	                        	                 	                                    	                   	               	from IR.Ch 4.Table 4.

  IR	Middle Miocene   	                 	NPD 5A            	              	167	1010	C	 18	X	CC	  26.00	    166.8900	Maruyama 	Diatoms                                      	D              	VG                	A                          	A                      	C                             	                        	C                  	A                        	R                       	R             	                       	                          	                     	                         	                           	                                    	                  	                   	                        	                    	                              	                   	                                       	               	                  	                  	                    	                        	                 	                                    	                   	               	from IR.Ch 4.Table 4.

  IR	Middle Miocene   	                 	NPD 5A            	              	167	1010	C	 19	X	CC	  23.00	    174.8500	Maruyama 	Diatoms                                      	D              	VG                	D                          	A                      	C                             	R                       	R                  	                         	                        	              	                       	                          	                     	                         	                           	                                    	                  	                   	                        	                    	                              	                   	                                       	               	                  	                  	                    	                        	                 	                                    	                   	               	from IR.Ch 4.Table 4.

