Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Globorotalia inflata,Neogloboquadrina pachyderma (sinistral),Globorotalia puncticuloides,Globigerinita glutinata,Globigerina quinqueloba,Neogloboquadrina pachyderma (dextral),Globorotalia scitula,Globigerina bulloides,Globorotalia crassaformis,Neogloboquadrina humerosa,Globorotalia truncatulinoides,Globigerina woodi,Orbulina universa,Globigerinita uvula,Comment
  IR,                 ,                 ,                  ,              ,177,1089,B,  9,H,CC,  15.00,     80.2400,Andersson,Planktonic Foraminifers                      ,R              ,P                 ,                    ,+                                      ,                           ,                       ,                       ,+                                    ,                    ,+                    ,                         ,+                        ,                             ,                 ,                 ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,177,1089,B, 10,H,CC,  15.00,     88.2500,Andersson,Planktonic Foraminifers                      ,F              ,P                 ,P                   ,P                                      ,                           ,                       ,                       ,P                                    ,                    ,P                    ,                         ,                         ,                             ,                 ,                 ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,177,1089,B, 11,H,CC,   9.00,     99.0900,Andersson,Planktonic Foraminifers                      ,C              ,P                 ,F                   ,D                                      ,A                          ,                       ,                       ,+                                    ,                    ,R                    ,                         ,                         ,                             ,                 ,                 ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,177,1089,B, 12,H,CC,   8.00,    108.4300,Andersson,Planktonic Foraminifers                      ,C              ,P                 ,A                   ,D                                      ,A                          ,                       ,R                      ,                                     ,                    ,F                    ,                         ,                         ,                             ,                 ,                 ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,177,1089,B, 13,H,CC,   0.00,    117.9000,Andersson,Planktonic Foraminifers                      ,F              ,P                 ,R                   ,D                                      ,F                          ,                       ,                       ,R                                    ,                    ,F                    ,                         ,                         ,                             ,                 ,                 ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,177,1089,B, 14,H,CC,  14.00,    127.1400,Andersson,Planktonic Foraminifers                      ,F              ,P                 ,A                   ,D                                      ,R                          ,R                      ,F                      ,R                                    ,                    ,F                    ,                         ,R                        ,                             ,                 ,                 ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,177,1089,B, 15,H,CC,   0.00,    136.6800,Andersson,Planktonic Foraminifers                      ,F              ,P                 ,A                   ,F                                      ,F                          ,                       ,                       ,                                     ,                    ,A                    ,R                        ,                         ,                             ,                 ,                 ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,177,1089,B, 16,H,CC,  12.00,    146.4000,Andersson,Planktonic Foraminifers                      ,F              ,P                 ,F                   ,D                                      ,A                          ,                       ,                       ,                                     ,                    ,F                    ,                         ,                         ,                             ,                 ,                 ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,177,1089,B, 17,H,CC,  18.00,    155.2800,Andersson,Planktonic Foraminifers                      ,F              ,P                 ,F                   ,F                                      ,A                          ,R                      ,                       ,R                                    ,R                   ,F                    ,                         ,                         ,                             ,                 ,                 ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,177,1089,B, 18,H,CC,  13.00,    165.3900,Andersson,Planktonic Foraminifers                      ,C              ,P                 ,R                   ,D                                      ,A                          ,R                      ,R                      ,                                     ,                    ,                     ,                         ,                         ,                             ,                 ,                 ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,177,1089,B, 20,H,CC,   0.00,    185.1500,Andersson,Planktonic Foraminifers                      ,T              ,P                 ,P                   ,                                       ,                           ,                       ,                       ,                                     ,                    ,                     ,                         ,                         ,                             ,                 ,                 ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
