Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sponge spicules	Stephanopyxis turris	Nitzschia cf. N. reinholdii	Denticulopsis lauta s.l.	Denticulopsis hustedtii	Coscinodiscus marginatus	Actinocyclus ingens	Diatom fragments	Thalassionema nitzschioides	Simonseniella curvirostris	Diploneis sp.	Actinoptychus senarius	Thalassiosira antiqua	Rhizosolenia barboi	Grammatophora sp.	Actinocyclus oculatus	Actinocyclus ehrenbergii	Diatom fragments (girdle bands)	Denticulopsis hyalina	Hyalodiscus sp.	Thalassiosira spp.	Coscinodiscus radiatus	Neodenticula sp.	Comment
  IR	                 	                 	                  	              	167	1017	B	  9	H	CC	  30.00	     81.8000	Maruyama 	Diatoms                                      	T              	P                 	C              	                    	                           	                        	                       	                        	                   	                	T                          	                          	             	                      	                     	                   	                 	                     	                        	                               	T                    	               	                  	                      	                	from IR. Ch 11. Table 6.

  IR	                 	                 	                  	              	167	1017	B	 10	H	CC	  34.00	     91.3000	Maruyama 	Diatoms                                      	T              	P                 	F              	                    	                           	                        	                       	                        	                   	T               	                           	                          	             	                      	                     	                   	                 	                     	                        	T                              	                     	               	                  	                      	                	from IR. Ch 11. Table 6.

  IR	                 	                 	                  	              	167	1017	B	 11	H	CC	  33.00	    100.4700	Maruyama 	Diatoms                                      	T              	P                 	C              	T                   	                           	                        	T                      	T                       	                   	                	                           	                          	             	                      	T                    	T                  	T                	T                    	T                       	                               	                     	               	                  	                      	                	from IR. Ch 11. Table 6.

  IR	                 	                 	                  	              	167	1017	B	 12	H	CC	  12.00	    110.2900	Maruyama 	Diatoms                                      	T              	P                 	C              	                    	                           	                        	                       	                        	                   	T               	                           	T                         	T            	T                     	                     	                   	                 	                     	                        	                               	                     	               	                  	                      	                	from IR. Ch 11. Table 6.

  IR	                 	                 	                  	              	167	1017	B	 13	H	CC	  24.00	    110.0400	Maruyama 	Diatoms                                      	T              	P                 	C              	                    	                           	T                       	                       	                        	                   	T               	                           	                          	             	                      	                     	                   	                 	                     	                        	                               	                     	               	                  	                      	                	from IR. Ch 11. Table 6.

  IR	                 	                 	                  	              	167	1017	B	 15	X	CC	  46.00	    127.6900	Maruyama 	Diatoms                                      	T              	P                 	               	T                   	                           	                        	                       	T                       	                   	                	                           	                          	             	                      	                     	                   	                 	                     	                        	                               	                     	               	                  	                      	                	from IR. Ch 11. Table 6.

  IR	                 	                 	                  	              	167	1017	B	 16	X	CC	  29.00	    134.2400	Maruyama 	Diatoms                                      	T              	P                 	C              	                    	                           	                        	                       	T                       	                   	T               	                           	                          	             	                      	                     	                   	                 	                     	                        	                               	                     	               	                  	                      	                	from IR. Ch 11. Table 6.

  IR	                 	                 	                  	              	167	1017	B	 17	X	CC	  30.00	    145.1800	Maruyama 	Diatoms                                      	T              	P                 	C              	                    	                           	                        	                       	T                       	                   	T               	                           	                          	             	                      	                     	                   	                 	                     	                        	                               	                     	               	                  	                      	                	from IR. Ch 11. Table 6.

  IR	                 	                 	                  	              	167	1017	B	 18	X	CC	  18.00	    155.5600	Maruyama 	Diatoms                                      	T              	P                 	C              	                    	                           	                        	                       	                        	                   	T               	T                          	                          	             	                      	                     	                   	                 	                     	                        	                               	                     	               	                  	                      	                	from IR. Ch 11. Table 6.

  IR	                 	                 	                  	              	167	1017	B	 19	X	CC	  24.00	    165.6100	Maruyama 	Diatoms                                      	T              	P                 	C              	                    	                           	                        	                       	T                       	                   	T               	                           	                          	             	                      	                     	                   	                 	                     	                        	                               	                     	               	                  	                      	                	from IR. Ch 11. Table 6.

  IR	                 	                 	                  	              	167	1017	B	 20	X	CC	  60.00	    175.2800	Maruyama 	Diatoms                                      	T              	P                 	C              	                    	                           	                        	                       	T                       	                   	T               	                           	                          	             	                      	                     	                   	                 	                     	                        	                               	                     	               	                  	                      	                	from IR. Ch 11. Table 6.

  IR	                 	                 	                  	              	167	1017	B	 21	X	CC	  33.00	    184.7300	Maruyama 	Diatoms                                      	T              	P                 	C              	                    	                           	                        	                       	                        	T                  	T               	                           	                          	             	                      	                     	                   	                 	                     	                        	                               	                     	               	                  	                      	                	from IR. Ch 11. Table 6.

  IR	                 	                 	                  	              	167	1017	B	 22	X	CC	  29.00	    194.4000	Maruyama 	Diatoms                                      	R              	P                 	C              	F                   	T                          	T                       	T                      	F                       	T                  	                	                           	                          	             	                      	                     	                   	                 	                     	                        	                               	                     	               	                  	                      	                	from IR. Ch 11. Table 6.

  IR	                 	                 	                  	              	167	1017	B	 23	X	CC	  27.00	    197.1900	Maruyama 	Diatoms                                      	B              	                  	F              	                    	                           	                        	                       	                        	                   	                	                           	                          	             	                      	                     	                   	                 	                     	                        	                               	                     	               	                  	                      	                	from IR. Ch 11. Table 6.

