Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top depth [m],Bottom depth [m],Calcareous spp. (indeterminate),Calcarina calcar,Cancris auricula,Cancris sp.,Cassidulina spp.,Cassidulinoides spp.,Cassidulina teretis,Ceratobulimina spp.,Ceratobulimina jonesiana,Chilostomella oolina,Chilostomella ovoidea,Chrysalogonium calomorphum,Chrysalogonium spp.,Cibicides cf. lobatulus,Cibicides lobatulus,Cibicides refulgens,Cibicides spp.,Cibicides/Cibicidoides spp.,Cibicidoides cf. pachyderma,Cibicidoides cf. refulgens,Cibicidoides cf. ungerianus,Cibicidoides cicatricosus,Cibicidoides incrassatus,Cibicidoides kullenbergi,Cibicidoides mollis,Cibicidoides pachyderma,Cibicidoides pseudoungerianus,Cibicidoides robertsonianus,Cibicidoides spp.,Cibicidoides subhaidingerii,Cibicidoides wuellerstorfi,Cibicorbis? sp.,Clavulina mexicana,Conorbina spp.,Cribroloculina sp.,Cribronodosaria sp.,Cribromiliolinella sp.,Cribrostomoides scitulum,Cribrostomoides spp.,Cribrostomoides subglobosus,Crithionina hispida,Crithionina mamilla,Crithionina pisum,Cyclammina cancellata,Cyclammina spp.,Cylindroclavulina spp.?,Dendrophyra spp.,Dentalina advena,Dentalina ariena,Dentalina bradyensis,Dentalina cf. filiformis,Dentalina spp.,Dentalina communis,Deuterammina ochracea,Discammina spp.,Discanomalina coronata,Discanomalina semipunctata,Discanomalina spp.,Discorbis spp.,Dorothia bradyana,Dorothia spp.,Eggerella bradyi,Eggerella spp.,Ehrenbergina pupa?,Ehrenbergina spp.,Elphidid taxa,Elphidiella spp.,Elphidium aculeatum,Elphidium cf. jenseni,Elphidium crispum,Elphidium spp.,Epistomina spp.,Epistominella exigua,Epistominella rugosa,Epistominella spp.,Eponides spp.,Eubuliminella exilis,Cibicidoides cf. wuellerstorfi,Comment,File Data
339-U1391A-25X-CC-PAL-FORAM,339,U1391,A,25,25-CC,X,CC,PAL,FORAM,0,5,227.41,227.46,,,,,,R ,D ,,,,,,,,P ,,,A ,,,,P ,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,R ,,,,,,,P ,,
339-U1391A-26X-CC-PAL-FORAM,339,U1391,A,26,26-CC,X,CC,PAL,FORAM,0,5,238.62,238.67,,,,,,,A ,,,,,,,,,,,R ,,,,P ,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,
339-U1391A-27X-CC-PAL-FORAM,339,U1391,A,27,27-CC,X,CC,PAL,FORAM,0,5,246.53,246.58,,,,,R ,,F ,,,,,,,,,,,A ,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,
339-U1391A-28X-CC-PAL-FORAM,339,U1391,A,28,28-CC,X,CC,PAL,FORAM,0,5,256.92,256.97,,,,,R ,,F ,,,,,,P ,,,,,F ,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,
339-U1391A-29X-CC-PAL-FORAM,339,U1391,A,29,29-CC,X,CC,PAL,FORAM,0,5,265.45,265.5,,,,,R ,P ,F ,,,,,,R ,,R ,,,F ,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1391A-30X-CC-PAL-FORAM,339,U1391,A,30,30-CC,X,CC,PAL,FORAM,0,5,276.47,276.52,,,,,P ,,F ,,,,,,,,P ,,,F ,,,,,P ,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1391A-31X-CC-PAL-FORAM,339,U1391,A,31,31-CC,X,CC,PAL,FORAM,0,5,283.7,283.75,,,,,,,A ,,,,,,R ,,P ,,,P ,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1391A-33X-CC-PAL-FORAM,339,U1391,A,33,33-CC,X,CC,PAL,FORAM,0,5,302.65,302.7,,,,,,,F ,,,P ,,,P ,,P ,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,
339-U1391A-34X-CC-PAL-FORAM,339,U1391,A,34,34-CC,X,CC,PAL,FORAM,0,5,314.51,314.56,,,,,,,P ,,,,,,,,P ,P ,,F ,,,,P ,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,
339-U1391A-35X-CC-PAL-FORAM,339,U1391,A,35,35-CC,X,CC,PAL,FORAM,0,5,324.39,324.44,,,,,,,A ,,,,,,,,R ,,,R ,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1391A-36X-CC-PAL-FORAM,339,U1391,A,36,36-CC,X,CC,PAL,FORAM,0,5,334.05,334.1,,,,,R ,P ,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1391A-37X-CC-PAL-FORAM,339,U1391,A,37,37-CC,X,CC,PAL,FORAM,0,5,343.2,343.25,,,,,R ,R ,R ,,,,,,,,P ,,,P ,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1391A-38X-CC-PAL-FORAM,339,U1391,A,38,38-CC,X,CC,PAL,FORAM,0,5,353.46,353.51,,,,P ,F ,,F ,,,,,,,,P ,P ,,R ,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,P ,,,,,,,,,,,,,,,,P ,,
