Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Neogloboquadrina pachyderma (sinistral),Neogloboquadrina pachyderma (dextral),"Neogloboquadrina pachyderma ""rounded""",Globigerina bulloides,Globigerina apertura,Globigerina quinqueloba,"Neogloboquadrina pachyderma ""5 chambers""",Neogloboquadrina humerosa,Globorotalia scitula,Globigerina quadrilatera,Globorotalia inflata,Globorotalia crassaformis,Globigerinita glutinata,Comment
  IR,                 ,                 ,N22               ,N23           ,167,1019,C,  8,H,CC,  36.00,     75.8700,Kennett  ,Planktonic Foraminifers                      ,A              ,G                 ,A                                      ,                                     ,                                     ,A                    ,F                   ,                       ,                                        ,                         ,                    ,                        ,                    ,                         ,                       ,from IR. Ch 13. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N22               ,N23           ,167,1019,C,  9,X,CC,  26.00,     82.4000,Kennett  ,Planktonic Foraminifers                      ,A              ,G                 ,A                                      ,                                     ,                                     ,A                    ,                    ,C                      ,                                        ,                         ,                    ,                        ,F                   ,C                        ,                       ,from IR. Ch 13. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N22               ,N23           ,167,1019,C, 10,X,CC,  38.00,     92.7200,Kennett  ,Planktonic Foraminifers                      ,F/C            ,G                 ,C                                      ,                                     ,                                     ,C                    ,                    ,                       ,                                        ,                         ,                    ,                        ,                    ,                         ,                       ,from IR. Ch 13. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N22               ,N23           ,167,1019,C, 12,X,CC,  13.00,    111.1900,Kennett  ,Planktonic Foraminifers                      ,A              ,G                 ,                                       ,A                                    ,                                     ,A                    ,                    ,C                      ,C                                       ,F                        ,F                   ,C                       ,                    ,                         ,                       ,from IR. Ch 13. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N22               ,N23           ,167,1019,C, 13,X,CC,  45.00,    118.5400,Kennett  ,Planktonic Foraminifers                      ,C              ,M                 ,A                                      ,                                     ,                                     ,A                    ,                    ,                       ,                                        ,                         ,                    ,                        ,                    ,                         ,                       ,from IR. Ch 13. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N22               ,N23           ,167,1019,C, 14,X,CC,  27.00,    128.2000,Kennett  ,Planktonic Foraminifers                      ,C              ,G                 ,A                                      ,                                     ,C                                    ,A                    ,                    ,C                      ,                                        ,                         ,                    ,                        ,                    ,                         ,                       ,from IR. Ch 13. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N22               ,N23           ,167,1019,C, 15,X,CC,  13.00,    141.0700,Kennett  ,Planktonic Foraminifers                      ,R              ,P                 ,R                                      ,R                                    ,R                                    ,                     ,                    ,                       ,                                        ,                         ,                    ,                        ,                    ,                         ,                       ,from IR. Ch 13. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N22               ,N23           ,167,1019,C, 16,X,CC,  32.00,    149.3900,Kennett  ,Planktonic Foraminifers                      ,R              ,M                 ,R                                      ,                                     ,                                     ,R                    ,                    ,                       ,                                        ,                         ,                    ,                        ,                    ,                         ,                       ,from IR. Ch 13. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N22               ,N23           ,167,1019,C, 17,X,CC,  27.00,    158.4500,Kennett  ,Planktonic Foraminifers                      ,A              ,G                 ,A                                      ,                                     ,F                                    ,A                    ,R                   ,F                      ,R                                       ,                         ,                    ,                        ,                    ,                         ,                       ,from IR. Ch 13. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N22               ,N23           ,167,1019,C, 18,X,CC,  87.00,    168.6700,Kennett  ,Planktonic Foraminifers                      ,A              ,G                 ,A                                      ,                                     ,                                     ,F                    ,                    ,                       ,                                        ,                         ,                    ,                        ,                    ,                         ,                       ,from IR. Ch 13. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N22               ,N23           ,167,1019,C, 19,X,CC,  40.00,    177.1600,Kennett  ,Planktonic Foraminifers                      ,A              ,G                 ,A                                      ,                                     ,A                                    ,A                    ,                    ,                       ,                                        ,                         ,                    ,                        ,                    ,                         ,                       ,from IR. Ch 13. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N22               ,N23           ,167,1019,C, 20,X,CC,  42.00,    186.1800,Kennett  ,Planktonic Foraminifers                      ,R              ,G                 ,R                                      ,                                     ,                                     ,                     ,                    ,                       ,                                        ,                         ,                    ,                        ,                    ,                         ,                       ,from IR. Ch 13. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N22               ,N23           ,167,1019,C, 21,X,CC,  30.00,    199.4300,Kennett  ,Planktonic Foraminifers                      ,R              ,P                 ,R                                      ,                                     ,                                     ,R                    ,                    ,                       ,                                        ,                         ,                    ,                        ,                    ,                         ,                       ,from IR. Ch 13. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N22               ,N23           ,167,1019,C, 22,X,CC,  27.00,    208.9400,Kennett  ,Planktonic Foraminifers                      ,A              ,G                 ,A                                      ,C                                    ,A                                    ,A                    ,                    ,                       ,                                        ,                         ,                    ,                        ,                    ,                         ,                       ,from IR. Ch 13. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N22               ,N23           ,167,1019,C, 23,X,CC,  75.00,    215.3200,Kennett  ,Planktonic Foraminifers                      ,A              ,G                 ,A                                      ,F                                    ,A                                    ,A                    ,                    ,F                      ,                                        ,                         ,                    ,                        ,                    ,                         ,                       ,from IR. Ch 13. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N22               ,N23           ,167,1019,C, 24,X,CC,  24.00,    224.4900,Kennett  ,Planktonic Foraminifers                      ,A              ,G                 ,A                                      ,                                     ,A                                    ,A                    ,R                   ,                       ,                                        ,                         ,                    ,                        ,                    ,                         ,                       ,from IR. Ch 13. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N22               ,N23           ,167,1019,C, 26,X,CC,  38.00,    247.2700,Kennett  ,Planktonic Foraminifers                      ,A              ,G                 ,A                                      ,F                                    ,C                                    ,A                    ,                    ,                       ,                                        ,                         ,                    ,                        ,                    ,                         ,                       ,from IR. Ch 13. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
