Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Ulmus taxa,Tsuga taxa,Trilete spores (unspecified taxon or taxa),Sphagnum taxa,Pterocarya taxa,Poaceae taxa,Pinus taxa,Picea taxa,Monolete spores taxa,Lycospora taxa,Lycopodium  complanatum,Liquidambar taxa,Larix taxa,Ericaceae taxa,Cyperaceae taxa,Cupressaceae taxa,Crumpled pollen  taxa ,Corylus taxa,Cicatricosisporites taxa,Betula taxa,Asteraceae taxa,Alnus taxa,Sciadopitys taxa,Salix taxa,Aquilapollenites taxa,Tilia taxa,Appendicisporites taxa,Carya taxa,Ilex taxa,Castanea taxa,Ranunculaceae taxa,Trilobosporites taxa,Oculopollis taxa,Aquilapollenites scabridus,Carboniferous spores taxa,Abies taxa,Lycospora pusilla,Lycospora granulata,Quercus taxa,Trudopollis taxa,Thymospora taxa,Cicatricosisporites australiensis,Chenopodiaceae taxa,Juglans taxa,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,151, 911,A,  9,H, 5,  54.00,     80.3400,Willard  ,Pollen/Spores                                ,               ,                  ,          ,          ,                                          ,             ,               ,            ,2         ,1         ,                    ,              ,                       ,                ,          ,1             ,               ,                 ,                      ,            ,                        ,           ,               ,          ,                ,          ,                     ,          ,                      ,          ,         ,             ,                  ,                    ,                ,                          ,                         ,          ,                 ,                   ,            ,                ,               ,                                 ,                   ,            ,Total pollen = 4; Total spores = 0; From Leg 151; Ch 16; Table 1; p. 300
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,151, 911,A, 11,H, 5,  54.00,    100.2400,Willard  ,Pollen/Spores                                ,               ,                  ,          ,          ,15                                        ,             ,               ,            ,38        ,11        ,1                   ,              ,                       ,                ,          ,              ,               ,1                ,11                    ,            ,r                       ,           ,               ,1         ,                ,          ,                     ,          ,                      ,          ,         ,             ,                  ,                    ,                ,                          ,                         ,          ,                 ,                   ,            ,                ,               ,                                 ,1                  ,            ,Total pollen = 63; Total spores = 16; From Leg 151; Ch 16; Table 1; p. 300
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,151, 911,A, 13,H, 6,  56.00,    119.4600,Willard  ,Pollen/Spores                                ,               ,                  ,          ,          ,1                                         ,             ,               ,            ,9         ,          ,                    ,              ,1                      ,                ,          ,              ,               ,                 ,                      ,            ,r                       ,           ,               ,          ,                ,          ,                     ,          ,                      ,          ,         ,             ,                  ,                    ,                ,                          ,                         ,          ,                 ,                   ,            ,                ,               ,r                                ,                   ,            ,Total pollen = 9; Total spores = 2; From Leg 151; Ch 16; Table 1; p. 300
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,151, 911,A, 16,X, 1,  57.00,    140.4700,Willard  ,Pollen/Spores                                ,               ,                  ,          ,          ,6                                         ,             ,               ,            ,10        ,2         ,                    ,              ,                       ,                ,          ,              ,               ,3                ,                      ,2           ,r                       ,           ,               ,          ,                ,          ,                     ,          ,                      ,          ,         ,             ,                  ,                    ,                ,                          ,                         ,          ,                 ,                   ,            ,r               ,r              ,                                 ,                   ,            ,Total pollen = 17; Total spores = 6; From Leg 151; Ch 16; Table 1; p. 300
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,151, 911,A, 20,X, 2,  61.00,    180.4100,Willard  ,Pollen/Spores                                ,               ,                  ,          ,          ,13                                        ,1            ,               ,            ,15        ,6         ,1                   ,              ,1                      ,                ,          ,              ,               ,                 ,4                     ,1           ,r                       ,           ,               ,          ,                ,          ,                     ,          ,                      ,          ,         ,             ,                  ,                    ,                ,                          ,                         ,          ,                 ,                   ,1           ,                ,               ,                                 ,                   ,            ,Total pollen = 28; Total spores = 16; From Leg 151; Ch 16; Table 1; p. 300
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,151, 911,A, 22,X, 2,  65.00,    199.6500,Willard  ,Pollen/Spores                                ,               ,                  ,          ,          ,4                                         ,1            ,               ,            ,27        ,6         ,                    ,              ,                       ,                ,          ,              ,               ,1                ,2                     ,            ,r                       ,           ,               ,          ,                ,          ,                     ,1         ,                      ,          ,         ,             ,                  ,                    ,                ,                          ,                         ,          ,                 ,                   ,            ,                ,               ,                                 ,                   ,            ,Total pollen = 37; Total spores = 5; From Leg 151; Ch 16; Table 1; p. 300
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,151, 911,A, 24,X, 3,  62.00,    219.3200,Willard  ,Pollen/Spores                                ,               ,                  ,          ,1         ,3                                         ,             ,               ,            ,18        ,11        ,                    ,              ,                       ,                ,          ,              ,               ,                 ,                      ,1           ,                        ,           ,               ,          ,                ,          ,                     ,          ,                      ,          ,         ,             ,                  ,                    ,                ,                          ,                         ,          ,                 ,                   ,            ,                ,               ,                                 ,                   ,            ,Total pollen = 31; Total spores = 3; From Leg 151; Ch 16; Table 1; p. 300
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,151, 911,A, 26,X, 3,  60.00,    239.7000,Willard  ,Pollen/Spores                                ,               ,                  ,          ,          ,1                                         ,             ,               ,1           ,9         ,6         ,                    ,              ,                       ,                ,          ,              ,               ,                 ,1                     ,            ,r                       ,           ,               ,          ,                ,          ,                     ,          ,                      ,          ,         ,             ,                  ,                    ,                ,                          ,                         ,          ,                 ,                   ,            ,                ,               ,                                 ,                   ,            ,Total pollen = 17; Total spores = 1; From Leg 151; Ch 16; Table 1; p. 300
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,151, 911,A, 28,X, 4,  53.00,    260.5300,Willard  ,Pollen/Spores                                ,               ,                  ,          ,          ,6                                         ,1            ,               ,1           ,69        ,14        ,1                   ,              ,1                      ,                ,          ,              ,               ,                 ,5                     ,            ,r                       ,           ,               ,          ,                ,          ,                     ,          ,                      ,          ,         ,             ,                  ,                    ,                ,                          ,                         ,          ,                 ,                   ,            ,                ,               ,                                 ,                   ,            ,Total pollen = 74; Total spores = 9; From Leg 151; Ch 16; Table 1; p. 300
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,151, 911,A, 30,X, 5,  53.00,    281.1300,Willard  ,Pollen/Spores                                ,               ,                  ,          ,          ,4                                         ,1            ,1              ,            ,23        ,12        ,1                   ,              ,                       ,                ,          ,1             ,1              ,1                ,7                     ,            ,r                       ,           ,               ,1         ,                ,          ,                     ,          ,                      ,          ,         ,             ,                  ,                    ,                ,                          ,                         ,          ,r                ,r                  ,            ,                ,               ,                                 ,                   ,            ,Total pollen = 47; Total spores = 6; From Leg 151; Ch 16; Table 1; p. 300
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,151, 911,A, 32,X, 4,  62.00,    299.1200,Willard  ,Pollen/Spores                                ,               ,                  ,          ,1         ,                                          ,             ,               ,            ,14        ,9         ,1                   ,              ,                       ,                ,          ,1             ,               ,                 ,1                     ,            ,r                       ,           ,               ,1         ,                ,          ,                     ,          ,                      ,          ,         ,             ,                  ,                    ,                ,                          ,                         ,          ,                 ,                   ,            ,                ,               ,                                 ,                   ,            ,Total pollen = 27; Total spores = 1; From Leg 151; Ch 16; Table 1; p. 300
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,151, 911,A, 34,X, 6,  64.00,    321.2600,Willard  ,Pollen/Spores                                ,               ,                  ,          ,1         ,12                                        ,2            ,               ,1           ,28        ,15        ,5                   ,              ,2                      ,                ,          ,2             ,3              ,1                ,10                    ,            ,r                       ,           ,               ,1         ,                ,          ,                     ,          ,                      ,          ,         ,             ,                  ,                    ,                ,                          ,r                        ,3         ,                 ,                   ,            ,                ,               ,                                 ,                   ,            ,Total pollen = 65; Total spores = 21; From Leg 151; Ch 16; Table 1; p. 300
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,151, 911,A, 37,X, 6,  62.00,    349.5400,Willard  ,Pollen/Spores                                ,               ,                  ,          ,          ,14                                        ,3            ,               ,1           ,63        ,29        ,2                   ,              ,                       ,                ,          ,2             ,2              ,1                ,7                     ,            ,r                       ,1          ,               ,5         ,                ,          ,                     ,          ,                      ,          ,         ,2            ,                  ,                    ,r               ,r                         ,                         ,          ,                 ,                   ,            ,                ,               ,                                 ,                   ,            ,Total pollen = 113; Total spores = 19; From Leg 151; Ch 16; Table 1; p. 300
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,151, 911,A, 38,X, 6,  62.00,    359.0600,Willard  ,Pollen/Spores                                ,               ,                  ,          ,          ,1                                         ,             ,               ,            ,35        ,2         ,1                   ,              ,                       ,                ,          ,              ,               ,                 ,2                     ,1           ,r                       ,1          ,               ,          ,                ,          ,                     ,          ,                      ,          ,         ,             ,                  ,r                   ,                ,                          ,                         ,          ,                 ,                   ,            ,                ,               ,                                 ,                   ,            ,Total pollen = 41; Total spores = 2; From Leg 151; Ch 16; Table 1; p. 300
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,151, 911,A, 41,X, 2,  62.00,    382.5200,Willard  ,Pollen/Spores                                ,               ,                  ,          ,          ,15                                        ,1            ,               ,1           ,54        ,9         ,2                   ,              ,2                      ,                ,2         ,              ,2              ,1                ,6                     ,3           ,r                       ,2          ,               ,          ,                ,          ,r                    ,          ,                      ,1         ,         ,             ,1                 ,                    ,                ,                          ,                         ,          ,                 ,                   ,            ,                ,               ,                                 ,                   ,            ,Total pollen = 62; Total spores = 20; From Leg 151; Ch 16; Table 1; p. 300
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,151, 911,A, 42,X, 8,  61.00,    399.0400,Willard  ,Pollen/Spores                                ,               ,                  ,          ,          ,13                                        ,1            ,               ,1           ,29        ,4         ,                    ,              ,4                      ,                ,1         ,1             ,1              ,5                ,9                     ,4           ,r                       ,5          ,               ,1         ,                ,          ,                     ,          ,                      ,          ,1        ,1            ,                  ,                    ,                ,                          ,                         ,          ,                 ,                   ,            ,                ,               ,                                 ,                   ,            ,Total pollen = 63; Total spores = 18; From Leg 151; Ch 16; Table 1; p. 300
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,151, 911,A, 44,X, 3,  61.00,    412.9100,Willard  ,Pollen/Spores                                ,               ,                  ,          ,          ,1                                         ,             ,               ,            ,30        ,7         ,1                   ,              ,                       ,                ,          ,              ,               ,1                ,1                     ,            ,r                       ,           ,               ,          ,                ,          ,                     ,          ,                      ,          ,         ,             ,                  ,                    ,                ,                          ,                         ,          ,                 ,                   ,            ,                ,               ,                                 ,                   ,            ,Total pollen = 39; Total spores = 2; From Leg 151; Ch 16; Table 1; p. 300
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,151, 911,A, 47,X, 2,  55.00,    440.2500,Willard  ,Pollen/Spores                                ,               ,                  ,          ,          ,13                                        ,             ,               ,            ,26        ,13        ,                    ,              ,2                      ,                ,          ,              ,3              ,                 ,11                    ,4           ,r                       ,3          ,               ,1         ,1               ,1         ,                     ,          ,                      ,1         ,         ,             ,                  ,                    ,                ,                          ,                         ,          ,                 ,                   ,            ,                ,               ,                                 ,                   ,            ,Total pollen = 64; Total spores =15; From Leg 151; Ch 16; Table 1; p. 300
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,151, 911,A, 49,X, 2,  62.00,    459.6200,Willard  ,Pollen/Spores                                ,               ,                  ,          ,2         ,15                                        ,             ,               ,            ,73        ,6         ,1                   ,              ,3                      ,                ,          ,4             ,2              ,2                ,12                    ,1           ,r                       ,4          ,               ,6         ,1               ,          ,                     ,1         ,r                     ,          ,         ,             ,                  ,                    ,                ,                          ,                         ,          ,                 ,                   ,            ,                ,               ,                                 ,                   ,            ,Total pollen = 114; Total spores = 19; From Leg 151; Ch 16; Table 1; p. 300
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,151, 911,A, 51,X, 3,  57.00,    480.3700,Willard  ,Pollen/Spores                                ,               ,                  ,          ,          ,25                                        ,1            ,               ,3           ,31        ,7         ,1                   ,              ,3                      ,                ,1         ,              ,6              ,9                ,15                    ,1           ,r                       ,8          ,1              ,4         ,1               ,1         ,r                    ,          ,                      ,          ,         ,             ,                  ,                    ,                ,                          ,                         ,          ,                 ,                   ,            ,                ,               ,                                 ,                   ,            ,Total pollen = 88; Total spores = 30; From Leg 151; Ch 16; Table 1; p. 300
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,151, 911,A, 53,X, 4,  63.00,    500.5700,Willard  ,Pollen/Spores                                ,               ,                  ,1         ,3         ,27                                        ,2            ,1              ,5           ,113       ,13        ,3                   ,r             ,10                     ,1               ,2         ,2             ,4              ,3                ,19                    ,9           ,r                       ,30         ,1              ,9         ,                ,          ,                     ,          ,                      ,          ,         ,             ,                  ,                    ,                ,                          ,                         ,          ,                 ,                   ,            ,                ,               ,                                 ,                   ,            ,Total pollen = 216; Total spores = 42; From Leg 151; Ch 16; Table 1; p. 300
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
