Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Spiniferites spp.,Protoperidinium spp.,Operculodinium sp. A,Operculodinium centrocarpum,Lejeunecysta spp.,Lejeunecysta communis,Impagidinium? pallidum,Habibacysta tectata,Filisphaera filifera s.l.,Dinoflagellate cysts indet.,Brigantedinium spp.,Brigantedinium simplex,Bitectatodinium tepikiense,Operculodinium crassum,Lejeunecysta mariae,Nematosphaeropsis labyrinthea,Pentapharsodinium cf. dalei,Spiniferites elongatus,Impagidinium aculeatum,Achomosphaera spp.,Impagidinium cf. strialatum,Spiniferites mirabilis,Lingulodinium machaerophorum,Ataxiodinium choanum,Acritarch sp.A,Impagidinium spp.,Algidasphaeridium ?minutum s.l.,Trinovantedinium variabile,Lejeunecysta sp.A,Selenopemphix nephroides,Stelladinium stellatum,Selenopemphix quanta,Impagidinium sp. A,Impagidinium paradoxum,Impagidinium patulum,Operculodinium psilatum,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,Assemblage I      ,              ,151, 911,A,  5,H, 4,  68.00,     43.1800,Matthiessen,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,11               ,                    ,                    ,106                        ,                 ,                     ,3                     ,                   ,                         ,5                          ,26                 ,2                     ,6                         ,                      ,                   ,29                           ,5                          ,10                    ,                      ,6                 ,                           ,                      ,                            ,                    ,10            ,                 ,                               ,                          ,                 ,                        ,                      ,                    ,                  ,                      ,                    ,                       ,Total count=219. From Leg 151. Ch 13. Table 1. p. 245
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,Assemblage I      ,              ,151, 911,A,  6,H, 4,  73.00,     52.7300,Matthiessen,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,1                ,                    ,                    ,2                          ,                 ,                     ,                      ,                   ,                         ,                           ,125                ,4                     ,1                         ,                      ,                   ,                             ,                           ,                      ,                      ,                  ,                           ,                      ,                            ,                    ,              ,                 ,                               ,                          ,                 ,                        ,                      ,                    ,                  ,                      ,                    ,                       ,Total count=133. From Leg 151. Ch 13. Table 1. p. 245
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,Assemblage I      ,              ,151, 911,A,  7,H, 4,  68.00,     62.1800,Matthiessen,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,21               ,                    ,                    ,6                          ,                 ,                     ,+                     ,                   ,                         ,1                          ,1                  ,                      ,2                         ,                      ,                   ,8                            ,1                          ,1                     ,                      ,                  ,2                          ,                      ,                            ,                    ,              ,                 ,                               ,                          ,                 ,                        ,                      ,                    ,                  ,                      ,                    ,                       ,Total count=43. From Leg 151. Ch 13. Table 1. p. 245
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,Assemblage I      ,              ,151, 911,A,  9,H, 4,  82.00,     79.1200,Matthiessen,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,5                ,                    ,                    ,11                         ,                 ,                     ,1                     ,                   ,                         ,4                          ,43                 ,2                     ,5                         ,                      ,                   ,52                           ,2                          ,                      ,                      ,                  ,2                          ,1                     ,                            ,                    ,7             ,1                ,                               ,                          ,                 ,                        ,                      ,                    ,                  ,                      ,5                   ,                       ,Total count=141. From Leg 151. Ch 13. Table 1. p. 245
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,Assemblage I      ,              ,151, 911,A, 11,H, 4,  72.00,     98.9200,Matthiessen,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,312              ,                    ,                    ,1183                       ,                 ,                     ,1                     ,3                  ,                         ,75                         ,29                 ,                      ,85                        ,                      ,                   ,89                           ,250                        ,171                   ,                      ,7                 ,1                          ,11                    ,                            ,2                   ,2             ,                 ,                               ,                          ,                 ,8                       ,6                     ,2                   ,12                ,1                     ,                    ,                       ,Total count=2250. From Leg 151. Ch 13. Table 1. p. 245
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,Assemblage II     ,              ,151, 911,A, 12,H, 4,  82.00,    107.2200,Matthiessen,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,15               ,                    ,                    ,19                         ,                 ,                     ,1                     ,                   ,1                        ,4                          ,68                 ,3                     ,5                         ,                      ,                   ,3                            ,                           ,4                     ,                      ,                  ,                           ,2                     ,?1                          ,                    ,              ,                 ,                               ,                          ,                 ,                        ,                      ,                    ,                  ,                      ,                    ,                       ,Total count=126. From Leg 151. Ch 13. Table 1. p. 245
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,Assemblage II     ,              ,151, 911,A, 13,H, 4,  71.00,    116.6100,Matthiessen,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,8                ,                    ,                    ,23                         ,                 ,                     ,10                    ,1                  ,                         ,1                          ,539                ,21                    ,30                        ,                      ,                   ,1                            ,                           ,6                     ,                      ,                  ,                           ,                      ,                            ,                    ,              ,                 ,                               ,                          ,                 ,1                       ,                      ,                    ,                  ,                      ,                    ,                       ,Total count=641. From Leg 151. Ch 13. Table 1. p. 245
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,Assemblage II     ,              ,151, 911,A, 15,H, 4,  71.00,    135.6100,Matthiessen,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,44               ,1                   ,                    ,58                         ,                 ,                     ,20                    ,4                  ,8                        ,8                          ,15                 ,3                     ,7                         ,                      ,                   ,11                           ,16                         ,29                    ,                      ,3                 ,                           ,                      ,                            ,                    ,13            ,                 ,                               ,1                         ,2                ,                        ,                      ,                    ,                  ,                      ,                    ,                       ,Total count=243. From Leg 151. Ch 13. Table 1. p. 245
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,Assemblage II     ,              ,151, 911,A, 16,X, 4,  70.00,    145.1000,Matthiessen,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,1                ,                    ,                    ,10                         ,                 ,                     ,+                     ,                   ,5                        ,1                          ,143                ,9                     ,5                         ,+                     ,                   ,                             ,1                          ,3                     ,                      ,2                 ,                           ,                      ,                            ,                    ,1             ,                 ,                               ,                          ,                 ,                        ,                      ,                    ,                  ,                      ,                    ,                       ,Total count=181. From Leg 151. Ch 13. Table 1. p. 245
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,Assemblage II     ,              ,151, 911,A, 17,X, 3,  71.00,    153.1100,Matthiessen,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,4                ,1                   ,                    ,12                         ,1                ,                     ,                      ,3                  ,15                       ,2                          ,104                ,10                    ,9                         ,1                     ,                   ,3                            ,2                          ,3                     ,                      ,1                 ,                           ,                      ,                            ,                    ,6             ,                 ,                               ,                          ,                 ,                        ,                      ,                    ,                  ,                      ,                    ,                       ,Total count=177. From Leg 151. Ch 13. Table 1. p. 245
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,Assemblage II     ,              ,151, 911,A, 18,X, 4,  68.00,    163.9200,Matthiessen,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,29               ,                    ,                    ,144                        ,                 ,                     ,1                     ,                   ,4                        ,2                          ,66                 ,8                     ,13                        ,1                     ,                   ,                             ,14                         ,4                     ,1                     ,3                 ,                           ,                      ,                            ,                    ,41            ,1                ,1                              ,                          ,                 ,                        ,                      ,                    ,                  ,                      ,                    ,                       ,Total count=333. From Leg 151. Ch 13. Table 1. p. 245
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,Assemblage II     ,              ,151, 911,A, 19,X, 4,  72.00,    173.8200,Matthiessen,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,19               ,2                   ,                    ,49                         ,                 ,                     ,9                     ,1                  ,46                       ,5                          ,148                ,4                     ,10                        ,                      ,                   ,19                           ,                           ,9                     ,                      ,2                 ,                           ,                      ,                            ,                    ,4             ,                 ,                               ,                          ,                 ,                        ,                      ,                    ,                  ,                      ,                    ,                       ,Total count=327. From Leg 151. Ch 13. Table 1. p. 245
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,Assemblage II     ,              ,151, 911,A, 21,X, 4,  70.00,    193.1000,Matthiessen,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,1                ,                    ,                    ,10                         ,                 ,                     ,3                     ,                   ,21                       ,1                          ,346                ,5                     ,                          ,                      ,                   ,                             ,                           ,2                     ,                      ,                  ,                           ,                      ,                            ,                    ,              ,                 ,                               ,                          ,                 ,                        ,                      ,                    ,                  ,                      ,                    ,                       ,Total count=389. From Leg 151. Ch 13. Table 1. p. 245
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,Assemblage II     ,              ,151, 911,A, 22,X, 4,  15.00,    201.8900,Matthiessen,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,5                ,                    ,                    ,1                          ,                 ,                     ,+                     ,                   ,2                        ,1                          ,106                ,4                     ,2                         ,                      ,                   ,1                            ,                           ,                      ,2                     ,2                 ,                           ,                      ,                            ,                    ,              ,                 ,                               ,                          ,                 ,                        ,                      ,                    ,                  ,                      ,                    ,                       ,Total count=126. From Leg 151. Ch 13. Table 1. p. 245
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,Assemblage II     ,              ,151, 911,A, 23,X, 4,  77.00,    212.4700,Matthiessen,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,89               ,                    ,                    ,174                        ,                 ,                     ,4                     ,3                  ,45                       ,14                         ,38                 ,1                     ,68                        ,                      ,                   ,3                            ,30                         ,4                     ,2                     ,15                ,                           ,1                     ,4                           ,1                   ,14            ,                 ,                               ,                          ,                 ,                        ,                      ,                    ,                  ,                      ,                    ,                       ,Total count=510. From Leg 151. Ch 13. Table 1. p. 245
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,Assemblage II     ,              ,151, 911,A, 24,X, 4,  74.00,    220.9400,Matthiessen,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,23               ,                    ,                    ,1                          ,                 ,                     ,1                     ,                   ,6                        ,4                          ,55                 ,                      ,1                         ,                      ,                   ,1                            ,7                          ,8                     ,5                     ,                  ,1                          ,                      ,                            ,                    ,              ,                 ,                               ,                          ,                 ,                        ,                      ,                    ,                  ,                      ,                    ,                       ,Total count=113. From Leg 151. Ch 13. Table 1. p. 245
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,Assemblage II     ,              ,151, 911,A, 27,X, 3,  69.00,    249.4900,Matthiessen,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,6                ,                    ,                    ,29                         ,                 ,                     ,2                     ,                   ,86                       ,3                          ,7                  ,                      ,4                         ,                      ,                   ,                             ,14                         ,                      ,                      ,                  ,                           ,                      ,                            ,                    ,              ,                 ,                               ,                          ,                 ,                        ,                      ,                    ,                  ,                      ,                    ,                       ,Total count=151. From Leg 151. Ch 13. Table 1. p. 245
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,Assemblage II     ,              ,151, 911,A, 29,X, 3,  73.00,    268.3600,Matthiessen,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,13               ,                    ,                    ,12                         ,                 ,                     ,                      ,                   ,32                       ,8                          ,36                 ,2                     ,9                         ,                      ,                   ,8                            ,1                          ,4                     ,1                     ,2                 ,                           ,                      ,                            ,                    ,              ,                 ,                               ,                          ,                 ,                        ,                      ,                    ,                  ,                      ,                    ,                       ,Total count=128. From Leg 151. Ch 13. Table 1. p. 245
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,Assembage III     ,              ,151, 911,A, 31,X, 4,  70.00,    289.5000,Matthiessen,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,1                ,                    ,                    ,                           ,                 ,                     ,3                     ,13                 ,67                       ,                           ,45                 ,3                     ,2                         ,                      ,                   ,1                            ,1                          ,                      ,                      ,                  ,                           ,                      ,                            ,                    ,              ,                 ,                               ,                          ,                 ,                        ,                      ,                    ,                  ,                      ,                    ,                       ,Total count=136. From Leg 151. Ch 13. Table 1. p. 245
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,Assembage III     ,              ,151, 911,A, 32,X, 4,  69.00,    299.1900,Matthiessen,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                 ,                    ,                    ,                           ,                 ,                     ,                      ,3                  ,2                        ,                           ,129                ,10                    ,1                         ,                      ,                   ,                             ,                           ,                      ,                      ,                  ,                           ,                      ,                            ,                    ,              ,                 ,                               ,                          ,                 ,                        ,                      ,                    ,                  ,                      ,                    ,                       ,Total count=145. From Leg 151. Ch 13. Table 1. p. 245
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,Assembage III     ,              ,151, 911,A, 33,X, 4,  74.00,    308.8400,Matthiessen,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                 ,                    ,                    ,1                          ,                 ,                     ,                      ,6                  ,9                        ,                           ,99                 ,4                     ,3                         ,                      ,                   ,                             ,                           ,                      ,                      ,                  ,                           ,                      ,                            ,                    ,              ,                 ,                               ,                          ,                 ,                        ,                      ,                    ,                  ,                      ,                    ,                       ,Total count=122. From Leg 151. Ch 13. Table 1. p. 245
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,Assembage III     ,              ,151, 911,A, 34,X, 4,  70.00,    318.5000,Matthiessen,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,3                ,                    ,                    ,                           ,                 ,                     ,2                     ,1                  ,16                       ,                           ,62                 ,2                     ,2                         ,                      ,                   ,                             ,                           ,                      ,                      ,                  ,                           ,                      ,                            ,                    ,              ,                 ,                               ,                          ,                 ,                        ,                      ,                    ,                  ,                      ,                    ,                       ,Total count=88. From Leg 151. Ch 13. Table 1. p. 245
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,Assembage III     ,              ,151, 911,A, 35,X, 3,  69.00,    326.5900,Matthiessen,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                 ,                    ,                    ,2                          ,                 ,                     ,                      ,                   ,1                        ,2                          ,175                ,9                     ,2                         ,                      ,                   ,                             ,                           ,                      ,                      ,                  ,                           ,                      ,                            ,                    ,              ,                 ,                               ,                          ,                 ,                        ,                      ,                    ,                  ,                      ,                    ,                       ,Total count=191. From Leg 151. Ch 13. Table 1. p. 245
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,Assembage III     ,              ,151, 911,A, 36,X, 4,  67.00,    337.7300,Matthiessen,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,2                ,                    ,+                   ,4                          ,4                ,4                    ,19                    ,13                 ,13                       ,                           ,30                 ,4                     ,2                         ,3                     ,                   ,8                            ,                           ,                      ,                      ,                  ,                           ,                      ,                            ,                    ,              ,                 ,                               ,                          ,                 ,                        ,                      ,                    ,                  ,                      ,                    ,                       ,Total count=106. From Leg 151. Ch 13. Table 1. p. 245
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,Assembage III     ,              ,151, 911,A, 37,X, 4,  69.00,    347.0500,Matthiessen,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,5                ,                    ,2                   ,6                          ,3                ,23                   ,                      ,3                  ,6                        ,1                          ,56                 ,5                     ,2                         ,1                     ,1                  ,                             ,                           ,                      ,                      ,                  ,                           ,                      ,                            ,                    ,              ,                 ,                               ,                          ,                 ,                        ,                      ,                    ,                  ,                      ,                    ,                       ,Total count=114. From Leg 151. Ch 13. Table 1. p. 245
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,Assembage III     ,              ,151, 911,A, 38,X, 4,  73.00,    356.5400,Matthiessen,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                 ,3                   ,                    ,                           ,                 ,1                    ,                      ,                   ,                         ,                           ,166                ,12                    ,                          ,                      ,                   ,                             ,                           ,                      ,                      ,                  ,                           ,                      ,                            ,                    ,              ,                 ,                               ,                          ,                 ,                        ,                      ,                    ,                  ,                      ,                    ,                       ,Total count=182. From Leg 151. Ch 13. Table 1. p. 245
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,Assembage III     ,              ,151, 911,A, 41,X, 4,  70.00,    385.6000,Matthiessen,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,2                ,1                   ,1                   ,13                         ,2                ,4                    ,1                     ,16                 ,13                       ,1                          ,32                 ,1                     ,26                        ,                      ,                   ,                             ,                           ,                      ,                      ,                  ,                           ,                      ,                            ,                    ,              ,                 ,                               ,                          ,                 ,                        ,                      ,                    ,                  ,                      ,                    ,                       ,Total count=113. From Leg 151. Ch 13. Table 1. p. 245
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
