Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Unilocular species,Pyrulina spp.,Pullenia quinqueloba,Pullenia bulloides,Pleurostomella spp.,Oridorsalis umbonatus,Nuttallides umbonifera,Melonis barleeanus,Laticarinina pauperata,Gyroidinoides spp.,Globocassidulina subglobosa,Fontbotia wuellerstorfi,Epistominella exigua,Ehrenbergina spp.,Cibicidoides mundulus,Bolivina huneri,Bolboforma spp.,Bolboforma capsula,Bolboforma aculeata,Uvigerina peregrina,Unidentified benthic forams,Stilostomella spp.,Sphaeroidina bulloides,Pyrgo spp.,Ostracoda spp.,Astrononion spp.,Gyroidina zealandica,Dentalina spp.,Triloculina spp.,Melonis pompilioides,Eggerella bradyi,Cibicidoides spp.,Anomalinoides globulosus,Textularia spp.,Rectuvigerina spp.,Quinqueloculina spp.,Karreriella bradyi,Globobulimina spp.,Bathysiphon spp.,Dorothia spp.,Cassidulina spp.,Uvigerina hispida,Sigmoilina tenuis,Orthomorphina spp.,Parrelloides bradyi,Spiroloculina spp.,Astacolus spp.,Martinottiella communis,Bolivina spp.,Siphotextularia catenata,Sigmoilopsis schlumbergeri,Pullenia spp.,Gyroidina orbicularis,Chilostomella oolina,Nonionella spp.,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1169,A,  5,H,CC,  11.00,     46.7900,benthics ,Benthic Foraminifers                         ,C              ,G                 ,T                 ,             ,                    ,R                 ,R                  ,R                    ,R                     ,R                 ,R                     ,T                 ,R                          ,                       ,R                   ,                 ,                     ,T              ,               ,                  ,                   ,                   ,T                          ,                  ,T                     ,T         ,T             ,R               ,                    ,T             ,                ,C                   ,R               ,T                ,                        ,               ,                  ,T                   ,                  ,                  ,                ,             ,                ,                 ,                 ,                  ,                   ,                  ,              ,T                      ,             ,                        ,                          ,T            ,                     ,                    ,               ,B/P: 1/100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1169,A,  6,H,CC,  14.00,     56.1100,benthics ,Benthic Foraminifers                         ,C              ,G                 ,T                 ,             ,T                   ,T                 ,                   ,F                    ,                      ,T                 ,T                     ,T                 ,T                          ,R                      ,                    ,T                ,                     ,               ,               ,                  ,                   ,R                  ,                           ,T                 ,T                     ,T         ,T             ,                ,                    ,              ,                ,                    ,                ,T                ,                        ,               ,                  ,T                   ,                  ,                  ,                ,             ,                ,                 ,                 ,                  ,                   ,                  ,              ,                       ,             ,                        ,                          ,             ,                     ,                    ,               ,B/P: 1/110
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1169,A,  7,H,CC,  14.00,     66.0000,benthics ,Benthic Foraminifers                         ,F              ,G                 ,T                 ,             ,                    ,F                 ,                   ,R                    ,F                     ,F                 ,T                     ,R                 ,R                          ,                       ,                    ,                 ,                     ,               ,               ,                  ,                   ,T                  ,                           ,                  ,                      ,          ,R             ,R               ,                    ,T             ,                ,                    ,T               ,R                ,                        ,               ,                  ,T                   ,                  ,                  ,                ,             ,                ,                 ,                 ,                  ,                   ,                  ,              ,                       ,             ,                        ,                          ,             ,                     ,F                   ,               ,B/P: 1/150
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1169,A,  8,H,CC,   0.00,     75.3200,benthics ,Benthic Foraminifers                         ,C              ,G                 ,R                 ,             ,R                   ,R                 ,T                  ,A                    ,                      ,                  ,                      ,                  ,R                          ,                       ,C                   ,T                ,                     ,               ,               ,                  ,                   ,                   ,T                          ,R                 ,                      ,T         ,T             ,                ,                    ,              ,                ,R                   ,                ,R                ,                        ,               ,                  ,                    ,                  ,                  ,                ,             ,                ,                 ,                 ,                  ,                   ,                  ,T             ,                       ,             ,                        ,                          ,             ,                     ,                    ,               ,B/P: 1/80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1169,A,  9,H,CC,   9.00,     84.4100,benthics ,Benthic Foraminifers                         ,C              ,G                 ,T                 ,T            ,                    ,R                 ,T                  ,R                    ,                      ,R                 ,T                     ,R                 ,R                          ,C                      ,                    ,T                ,                     ,R              ,               ,                  ,                   ,                   ,T                          ,T                 ,                      ,R         ,T             ,                ,                    ,R             ,                ,T                   ,T               ,R                ,T                       ,               ,                  ,                    ,                  ,                  ,                ,             ,                ,T                ,R                ,                  ,T                  ,                  ,              ,                       ,             ,                        ,                          ,             ,                     ,                    ,               ,B/P: 1/90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1169,A, 10,H,CC,  22.00,     94.5000,benthics ,Benthic Foraminifers                         ,F              ,G                 ,T                 ,T            ,                    ,F                 ,T                  ,R                    ,T                     ,                  ,                      ,                  ,R                          ,                       ,R                   ,                 ,                     ,               ,               ,                  ,                   ,                   ,                           ,T                 ,                      ,R         ,T             ,T               ,T                   ,T             ,                ,F                   ,T               ,R                ,                        ,T              ,                  ,                    ,                  ,                  ,                ,             ,                ,                 ,                 ,T                 ,                   ,                  ,              ,                       ,             ,                        ,                          ,R            ,F                    ,                    ,               ,B/P: 1/110
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1169,A, 11,H,CC,  21.00,    104.1000,benthics ,Benthic Foraminifers                         ,C              ,G                 ,T                 ,             ,                    ,F                 ,                   ,R                    ,T                     ,F                 ,T                     ,T                 ,R                          ,T                      ,                    ,                 ,T                    ,               ,               ,                  ,                   ,                   ,                           ,T                 ,                      ,          ,T             ,                ,                    ,T             ,                ,F                   ,                ,                 ,                        ,               ,                  ,T                   ,                  ,                  ,                ,             ,                ,                 ,T                ,                  ,                   ,                  ,              ,T                      ,             ,                        ,                          ,             ,                     ,                    ,               ,B/P: 1/110
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1169,A, 12,H,CC,  23.00,    113.5000,benthics ,Benthic Foraminifers                         ,C              ,G                 ,T                 ,             ,                    ,R                 ,                   ,F                    ,R                     ,F                 ,T                     ,                  ,F                          ,F                      ,R                   ,                 ,                     ,               ,               ,                  ,                   ,T                  ,                           ,                  ,                      ,T         ,T             ,T               ,                    ,T             ,                ,R                   ,R               ,T                ,                        ,T              ,                  ,                    ,                  ,                  ,                ,             ,                ,                 ,                 ,                  ,                   ,                  ,              ,                       ,             ,                        ,                          ,T            ,                     ,                    ,               ,B/P: 1/110
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1169,A, 13,H,CC,  20.00,    122.3000,benthics ,Benthic Foraminifers                         ,C              ,G                 ,R                 ,             ,                    ,                  ,                   ,                     ,R                     ,R                 ,T                     ,                  ,R                          ,R                      ,                    ,                 ,                     ,               ,               ,                  ,                   ,                   ,T                          ,T                 ,                      ,          ,R             ,T               ,T                   ,T             ,                ,                    ,                ,                 ,                        ,               ,                  ,                    ,                  ,                  ,                ,             ,                ,T                ,T                ,                  ,                   ,                  ,              ,                       ,             ,                        ,T                         ,             ,                     ,                    ,               ,B/P: 1/150
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1169,A, 14,H,CC,  73.00,    132.1600,benthics ,Benthic Foraminifers                         ,C              ,G                 ,R                 ,             ,R                   ,R                 ,                   ,C                    ,F                     ,R                 ,                      ,R                 ,R                          ,F                      ,                    ,                 ,                     ,R              ,               ,                  ,                   ,T                  ,                           ,                  ,                      ,          ,R             ,                ,                    ,T             ,                ,R                   ,F               ,                 ,                        ,               ,                  ,T                   ,                  ,                  ,                ,             ,                ,                 ,T                ,                  ,                   ,                  ,              ,                       ,             ,R                       ,                          ,             ,                     ,                    ,               ,B/P: 1/110
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1169,A, 15,H,CC,  20.00,    142.0900,benthics ,Benthic Foraminifers                         ,C              ,G                 ,R                 ,             ,                    ,T                 ,                   ,R                    ,R                     ,F                 ,R                     ,R                 ,F                          ,F                      ,R                   ,                 ,T                    ,               ,               ,                  ,                   ,                   ,T                          ,                  ,                      ,R         ,              ,                ,                    ,              ,                ,F                   ,T               ,                 ,                        ,               ,                  ,R                   ,                  ,                  ,                ,             ,                ,                 ,T                ,                  ,R                  ,                  ,T             ,T                      ,T            ,                        ,                          ,             ,                     ,                    ,               ,B/P: 1/110
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1169,A, 16,H,CC,  13.00,    151.4600,benthics ,Benthic Foraminifers                         ,C              ,G                 ,R                 ,             ,                    ,                  ,T                  ,R                    ,R                     ,F                 ,R                     ,R                 ,                           ,R                      ,                    ,                 ,                     ,               ,               ,                  ,                   ,                   ,T                          ,R                 ,                      ,          ,T             ,                ,                    ,T             ,                ,F                   ,                ,R                ,                        ,               ,                  ,R                   ,                  ,                  ,                ,             ,                ,                 ,                 ,                  ,T                  ,                  ,T             ,R                      ,             ,                        ,                          ,             ,                     ,                    ,               ,B/P: 1/110
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1169,A, 17,H,CC,  11.00,    161.0500,benthics ,Benthic Foraminifers                         ,C              ,G                 ,R                 ,             ,                    ,F                 ,                   ,R                    ,R                     ,F                 ,T                     ,T                 ,R                          ,T                      ,                    ,R                ,T                    ,               ,               ,                  ,                   ,R                  ,R                          ,                  ,                      ,R         ,T             ,                ,                    ,T             ,                ,                    ,T               ,T                ,                        ,               ,                  ,R                   ,                  ,                  ,                ,             ,                ,R                ,F                ,                  ,                   ,T                 ,T             ,                       ,             ,                        ,                          ,             ,                     ,                    ,               ,B/P: 1/110
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1169,A, 18,H,CC,  13.00,    170.3700,benthics ,Benthic Foraminifers                         ,C              ,G                 ,R                 ,             ,                    ,R                 ,R                  ,C                    ,R                     ,C                 ,                      ,T                 ,R                          ,                       ,                    ,                 ,                     ,T              ,               ,                  ,                   ,                   ,T                          ,T                 ,T                     ,T         ,R             ,                ,                    ,T             ,                ,                    ,R               ,T                ,T                       ,               ,                  ,                    ,                  ,                  ,                ,             ,                ,R                ,R                ,                  ,T                  ,                  ,              ,                       ,             ,                        ,                          ,             ,                     ,                    ,               ,B/P: 1/110
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1169,A, 19,H,CC,   8.00,    178.1600,benthics ,Benthic Foraminifers                         ,C              ,G                 ,T                 ,             ,                    ,R                 ,T                  ,F                    ,R                     ,C                 ,F                     ,T                 ,R                          ,T                      ,                    ,                 ,R                    ,               ,               ,                  ,                   ,T                  ,T                          ,                  ,                      ,T         ,T             ,                ,                    ,              ,                ,                    ,T               ,R                ,                        ,               ,                  ,T                   ,                  ,                  ,                ,             ,                ,T                ,F                ,T                 ,                   ,                  ,              ,                       ,             ,                        ,                          ,             ,                     ,                    ,               ,B/P: 1/110
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1169,A, 20,H,CC,  23.00,    189.3200,benthics ,Benthic Foraminifers                         ,C              ,G                 ,T                 ,             ,                    ,T                 ,T                  ,F                    ,T                     ,R                 ,R                     ,R                 ,R                          ,R                      ,                    ,                 ,                     ,T              ,               ,                  ,                   ,R                  ,T                          ,                  ,                      ,T         ,R             ,                ,                    ,T             ,                ,T                   ,                ,R                ,                        ,               ,                  ,R                   ,T                 ,                  ,                ,             ,                ,R                ,F                ,                  ,                   ,                  ,              ,                       ,             ,                        ,                          ,             ,                     ,                    ,               ,B/P: 1/110
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1169,A, 21,H,CC,  21.00,    198.1900,benthics ,Benthic Foraminifers                         ,C              ,G                 ,T                 ,             ,                    ,                  ,                   ,R                    ,T                     ,R                 ,                      ,R                 ,T                          ,T                      ,T                   ,                 ,T                    ,               ,               ,                  ,                   ,                   ,R                          ,T                 ,                      ,T         ,T             ,T               ,                    ,T             ,                ,R                   ,C               ,                 ,                        ,T              ,                  ,                    ,                  ,                  ,                ,R            ,T               ,                 ,                 ,                  ,                   ,                  ,              ,                       ,             ,                        ,                          ,             ,                     ,                    ,               ,B/P: 1/110
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1169,A, 22,X,CC,   0.00,    202.0600,benthics ,Benthic Foraminifers                         ,C              ,G                 ,R                 ,             ,T                   ,R                 ,T                  ,F                    ,T                     ,R                 ,R                     ,R                 ,F                          ,R                      ,T                   ,R                ,T                    ,               ,               ,                  ,F                  ,                   ,T                          ,F                 ,                      ,          ,T             ,                ,                    ,T             ,                ,                    ,                ,                 ,                        ,R              ,R                 ,R                   ,T                 ,R                 ,T               ,             ,                ,                 ,                 ,                  ,                   ,                  ,              ,                       ,             ,                        ,                          ,             ,                     ,                    ,               ,"B/P: 1/110, sil. spicules"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1169,A, 23,X,CC,  12.00,    214.1900,benthics ,Benthic Foraminifers                         ,A              ,M                 ,F                 ,             ,                    ,T                 ,T                  ,F                    ,                      ,R                 ,R                     ,R                 ,R                          ,R                      ,                    ,T                ,                     ,               ,               ,                  ,R                  ,                   ,T                          ,R                 ,                      ,          ,T             ,                ,                    ,T             ,T               ,R                   ,R               ,R                ,T                       ,               ,                  ,                    ,                  ,                  ,                ,             ,                ,                 ,                 ,                  ,                   ,                  ,              ,                       ,             ,                        ,                          ,             ,                     ,                    ,               ,"B/P: 1/70, small sample"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1169,A, 24,X,CC,   8.00,    222.3300,benthics ,Benthic Foraminifers                         ,C              ,G                 ,                  ,             ,T                   ,T                 ,                   ,R                    ,F                     ,                  ,R                     ,                  ,                           ,                       ,                    ,                 ,                     ,               ,T              ,                  ,R                  ,                   ,                           ,T                 ,                      ,T         ,              ,                ,T                   ,T             ,                ,                    ,                ,                 ,                        ,               ,                  ,                    ,                  ,                  ,                ,             ,                ,                 ,                 ,                  ,                   ,                  ,              ,                       ,             ,                        ,                          ,             ,                     ,                    ,               ,B/P: 1/110
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1169,A, 25,X,CC,  14.00,    231.5800,benthics ,Benthic Foraminifers                         ,A              ,M                 ,T                 ,             ,T                   ,                  ,                   ,                     ,T                     ,                  ,F                     ,T                 ,                           ,F                      ,                    ,T                ,T                    ,T              ,T              ,                  ,R                  ,T                  ,T                          ,R                 ,T                     ,T         ,T             ,T               ,                    ,              ,                ,                    ,                ,                 ,                        ,               ,                  ,                    ,                  ,                  ,                ,             ,                ,                 ,                 ,                  ,                   ,                  ,              ,                       ,             ,                        ,                          ,             ,                     ,                    ,               ,"B/P: 1/70, small sample"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1169,A, 26,X,CC,  11.00,    243.6300,benthics ,Benthic Foraminifers                         ,C              ,G                 ,R                 ,T            ,T                   ,T                 ,T                  ,C                    ,T                     ,T                 ,R                     ,T                 ,R                          ,R                      ,T                   ,T                ,R                    ,T              ,F              ,F                 ,C                  ,                   ,                           ,                  ,                      ,          ,              ,                ,                    ,              ,                ,                    ,                ,                 ,                        ,               ,                  ,                    ,                  ,                  ,                ,             ,                ,                 ,                 ,                  ,                   ,                  ,              ,                       ,             ,                        ,                          ,             ,                     ,                    ,               ,"B/P: 1/70, full of bolboformids"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
