Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Spheraster taxa	Tylostyle taxa	Triaenes taxa	Triact taxa	Style taxa	Strongyle taxa	Sigmas taxa	Hexactines  taxa	Discorhabds taxa	Dichotriaenes  taxa	Calthrop taxa	Asteroid (isochelae)	Amphiasters  taxa	Acanthostyle taxa	Isochelae taxa	Forceps  taxa	Diancistrons taxa	Pentacts  taxa	Toxon taxa	Oxyaster taxa	Oxea taxa	Anisochelae  taxa	Acanthostrongyles taxa	Frameworks  taxa	Pinnules  taxa	Gemmules  taxa	Comment
  SR	                 	                 	                  	              	120	 748	B	 11	H	 4	  47.00	     90.5700	McCartney	Sponge Spicules                              	               	                  	               	1             	             	           	1         	4             	11         	                	2               	                   	             	                    	                 	11               	2             	             	                 	1             	12        	             	40       	                 	                      	                	              	              	from ODP Leg 120 SR Vol 2 Chapter 43 Table 1 p 835

  SR	                 	                 	                  	              	120	 748	B	 12	H	 4	  47.00	    100.0700	McCartney	Sponge Spicules                              	               	                  	2              	8             	6            	10         	11        	7             	11         	17              	8               	1                  	4            	                    	2                	18               	15            	2            	                 	4             	13        	             	56       	                 	                      	                	              	              	from ODP Leg 120 SR Vol 2 Chapter 43 Table 1 p 835

  SR	                 	                 	                  	              	120	 748	B	 13	H	 2	  47.00	    106.5700	McCartney	Sponge Spicules                              	               	                  	               	2             	             	4          	10        	5             	           	7               	1               	1                  	3            	                    	                 	10               	1             	             	                 	1             	15        	             	48       	                 	                      	                	1             	3             	from ODP Leg 120 SR Vol 2 Chapter 43 Table 1 p 835

  SR	                 	                 	                  	              	120	 748	B	 13	H	 5	  47.00	    111.0700	McCartney	Sponge Spicules                              	               	                  	               	4             	             	1          	2         	6             	           	7               	                	2                  	             	                    	                 	8                	4             	             	                 	              	33        	             	69       	                 	1                     	                	1             	              	from ODP Leg 120 SR Vol 2 Chapter 43 Table 1 p 835

  SR	                 	                 	                  	              	120	 748	B	 14	H	 2	  47.00	    116.0700	McCartney	Sponge Spicules                              	               	                  	               	7             	             	3          	15        	6             	1          	10              	4               	7                  	8            	                    	                 	24               	9             	             	                 	              	20        	             	54       	                 	                      	2               	              	              	from ODP Leg 120 SR Vol 2 Chapter 43 Table 1 p 835

  SR	                 	                 	                  	              	120	 748	B	 14	H	 5	  47.00	    120.5700	McCartney	Sponge Spicules                              	               	                  	               	5             	             	2          	6         	2             	1          	6               	12              	12                 	16           	                    	1                	31               	6             	             	                 	              	1         	             	41       	                 	                      	                	              	              	from ODP Leg 120 SR Vol 2 Chapter 43 Table 1 p 835

  SR	                 	                 	                  	              	120	 748	B	 15	H	 2	  47.00	    125.5700	McCartney	Sponge Spicules                              	               	                  	               	5             	1            	8          	26        	5             	1          	14              	5               	10                 	2            	                    	1                	20               	2             	             	                 	              	11        	             	53       	                 	                      	                	              	              	from ODP Leg 120 SR Vol 2 Chapter 43 Table 1 p 835

  SR	                 	                 	                  	              	120	 748	B	 15	H	 5	  47.00	    130.0700	McCartney	Sponge Spicules                              	               	                  	1              	19            	             	10         	20        	18            	4          	6               	7               	                   	3            	                    	                 	62               	5             	             	                 	              	12        	             	50       	                 	5                     	4               	              	              	from ODP Leg 120 SR Vol 2 Chapter 43 Table 1 p 835

  SR	                 	                 	                  	              	120	 748	B	 16	H	 2	  47.00	    134.9000	McCartney	Sponge Spicules                              	               	                  	               	1             	             	           	3         	              	           	                	                	                   	             	                    	                 	                 	              	             	                 	              	          	             	1        	                 	                      	                	              	              	from ODP Leg 120 SR Vol 2 Chapter 43 Table 1 p 835

  SR	                 	                 	                  	              	120	 748	B	 16	H	 5	  47.00	    139.4000	McCartney	Sponge Spicules                              	               	                  	2              	7             	             	8          	15        	9             	           	5               	14              	4                  	4            	                    	2                	32               	2             	             	                 	              	4         	             	17       	                 	1                     	                	              	              	from ODP Leg 120 SR Vol 2 Chapter 43 Table 1 p 835

  SR	                 	                 	                  	              	120	 748	B	 17	H	 2	  47.00	    144.5700	McCartney	Sponge Spicules                              	               	                  	6              	15            	             	3          	23        	7             	7          	30              	27              	5                  	14           	                    	1                	84               	32            	2            	                 	              	14        	             	59       	                 	2                     	7               	              	              	from ODP Leg 120 SR Vol 2 Chapter 43 Table 1 p 835

  SR	                 	                 	                  	              	120	 748	B	 17	H	 5	  47.00	    149.0700	McCartney	Sponge Spicules                              	               	                  	3              	2             	             	6          	15        	6             	1          	8               	12              	3                  	16           	1                   	                 	30               	              	2            	                 	              	18        	             	46       	                 	6                     	                	              	              	from ODP Leg 120 SR Vol 2 Chapter 43 Table 1 p 835

  SR	                 	                 	                  	              	120	 748	B	 18	H	 2	  47.00	    154.0700	McCartney	Sponge Spicules                              	               	                  	2              	12            	             	7          	9         	9             	4          	3               	26              	11                 	16           	4                   	3                	64               	31            	             	3                	              	36        	             	106      	3                	                      	                	              	              	from ODP Leg 120 SR Vol 2 Chapter 43 Table 1 p 835

  SR	                 	                 	                  	              	120	 748	B	 18	H	 5	  47.00	    158.5700	McCartney	Sponge Spicules                              	               	                  	9              	29            	1            	7          	29        	20            	13         	30              	40              	14                 	36           	21                  	12               	153              	65            	             	11               	3             	32        	1            	507      	8                	2                     	                	              	              	from ODP Leg 120 SR Vol 2 Chapter 43 Table 1 p 835

  SR	                 	                 	                  	              	120	 748	B	 19	H	 2	  47.00	    163.5700	McCartney	Sponge Spicules                              	               	                  	3              	16            	             	8          	20        	11            	11         	7               	20              	5                  	17           	2                   	2                	65               	27            	1            	6                	1             	          	             	         	                 	                      	                	              	              	from ODP Leg 120 SR Vol 2 Chapter 43 Table 1 p 835

  SR	                 	                 	                  	              	120	 748	B	 19	H	 5	  47.00	    168.0700	McCartney	Sponge Spicules                              	               	                  	1              	11            	             	6          	21        	20            	22         	7               	11              	3                  	14           	1                   	4                	58               	32            	3            	4                	              	          	             	         	                 	                      	                	              	              	from ODP Leg 120 SR Vol 2 Chapter 43 Table 1 p 835

  SR	                 	                 	                  	              	120	 748	B	 20	H	 2	  47.00	    173.0700	McCartney	Sponge Spicules                              	               	                  	2              	2             	6            	2          	16        	15            	1          	13              	22              	8                  	5            	2                   	3                	43               	              	             	                 	              	          	             	         	                 	                      	                	              	              	from ODP Leg 120 SR Vol 2 Chapter 43 Table 1 p 835

  SR	                 	                 	                  	              	120	 748	B	 20	H	 5	  47.00	    177.5700	McCartney	Sponge Spicules                              	               	                  	1              	              	             	           	          	              	           	                	                	                   	             	                    	                 	                 	              	             	                 	              	          	             	         	                 	                      	                	              	              	from ODP Leg 120 SR Vol 2 Chapter 43 Table 1 p 835

