Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sphenolithus moriformis	Sphenolithus distentus	Sphenolithus ciperoensis	Reticulofenestra bisecta	Discoaster deflandrei	Cyclicargolithus floridanus	Sphenolithus predistentus	Pyrocyclus orangensis	Helicosphaera intermedia	Helicosphaera euphratis	Coccolithus pelagicus	Bicolumnus ovatus	Helicosphaera sp. cf. H. orientalis	Discoaster sp.	Coronocyclus nitescens	Helicosphaera recta	Zygrhablithus bijugatus	Sphenolithus umbrellus	Sphenolithus conicus	Sphenolithus capricornutus	Clausicoccus fenestratus	Helicosphaera perch-nielseniae	Chiasmolithus altus	Triquetrorhabdulus carinatus	Reticulofenestra spp. (small)	Discoaster adamanteus	Sphenolithus dissimilis	Pontosphaera sp.	Lithocyclia angusta	Discoaster calculosus	Discoaster variabilis	Diartus hughesi	Orbulina universa	Globorotalia truncatulinoides (sin.)	Globorotalia truncatulinoides (dex.)	Globorotalia inflata (4 chambered)	Globorotalia inflata (3 chambered)	Globorotalia crassaformis	Globorotalia cf. tosaensis (dex.)	Globigerinoides trilobus	Globigerinoides conglobatus	Theocorythium trachelium dianae	Pulleniatina obliquiloculata	Neogloboquadrina pachyderma (dex.)	Neogloboquadrina dutertrei	Globorotalia tumida	Globigerinoides ruber (white)	Globigerinoides gomitulus	Globigerinita glutinata	Globigerinella aequilateralis (symmetrical)	Globigerinella aequilateralis (asymmetrical)	Globigerina bulloides	Axoprunum angelinum	Lamprocyclas maritalis maritalis	Globorotalia scitula	Globorotalia menardii	Globigerinoides sacculifer	Globigerina quinqueloba	Eucyrtidium calvertense	Globigerinita humilis          	Anthocyrtidium angulare	Comment

  SR	Late Miocene     	                 	D. antepenultima RN7	              	126	 787	B	  5	R	CC	   0.00	     31.2500	Aitchison	Radiolarians                                 	R              	G                 	                       	                      	                        	                        	                     	                           	                         	                     	                        	                       	                     	                 	                                   	              	                      	                   	                       	                      	                    	                          	                        	                              	                   	                            	                             	                     	                       	                	                   	                     	                     	R              	                 	                                    	                                    	                                  	                                  	                         	                                 	                        	                           	                               	                            	                                  	                          	                   	                             	                         	                       	                                           	                                            	                     	                   	                                	                    	                     	                          	                       	                       	                               	                       	from ODP Leg 126 SR Chapter 21 Table 1 p 323

  SR	Late Oligocene   	                 	CP19b             	CN1a          	126	 787	B	  6	R	 1	  87.00	     41.1700	Firth    	Nannofossils                                 	A              	G                 	F                      	                      	                        	R                       	F                    	F                          	                         	R                    	                        	                       	C                    	                 	                                   	              	                      	                   	                       	                      	                    	                          	R                       	                              	                   	                            	                             	                     	                       	                	                   	R                    	R                    	               	                 	                                    	                                    	                                  	                                  	                         	                                 	                        	                           	                               	                            	                                  	                          	                   	                             	                         	                       	                                           	                                            	                     	                   	                                	                    	                     	                          	                       	                       	                               	                       	from ODP Leg 126 Chapter 16 Table 5 p 248-249

  SR	Late Oligocene   	                 	CP19b             	CN1a          	126	 787	B	  6	R	 2	  40.00	     42.2000	Firth    	Nannofossils                                 	C              	M                 	R                      	                      	                        	R                       	C                    	F                          	                         	                     	                        	                       	R                    	                 	                                   	              	                      	                   	                       	                      	                    	                          	                        	                              	                   	                            	                             	                     	                       	                	                   	C                    	R                    	               	                 	                                    	                                    	                                  	                                  	                         	                                 	                        	                           	                               	                            	                                  	                          	                   	                             	                         	                       	                                           	                                            	                     	                   	                                	                    	                     	                          	                       	                       	                               	                       	from ODP Leg 126 Chapter 16 Table 5 p 248-249

  SR	Late Oligocene   	                 	CP19b             	CN1a          	126	 787	B	  7	R	 1	 124.00	     51.0400	Firth    	Nannofossils                                 	C              	M                 	                       	                      	                        	F                       	C                    	F                          	                         	                     	                        	                       	F                    	                 	                                   	              	                      	                   	                       	                      	                    	                          	                        	                              	                   	                            	                             	                     	R                      	                	                   	C                    	                     	               	                 	                                    	                                    	                                  	                                  	                         	                                 	                        	                           	                               	                            	                                  	                          	                   	                             	                         	                       	                                           	                                            	                     	                   	                                	                    	                     	                          	                       	                       	                               	                       	from ODP Leg 126 Chapter 16 Table 5 p 248-249

  SR	Late Oligocene   	                 	CP19b             	CN1a          	126	 787	B	  8	R	 1	  35.00	     59.6500	Firth    	Nannofossils                                 	A              	M                 	C                      	                      	                        	C                       	C                    	                           	                         	                     	                        	                       	C                    	                 	                                   	              	                      	                   	                       	                      	                    	                          	R                       	                              	                   	                            	F                            	F                    	                       	                	                   	F                    	R                    	               	                 	                                    	                                    	                                  	                                  	                         	                                 	                        	                           	                               	                            	                                  	                          	                   	                             	                         	                       	                                           	                                            	                     	                   	                                	                    	                     	                          	                       	                       	                               	                       	from ODP Leg 126 Chapter 16 Table 5 p 248-249

  SR	Late Oligocene   	                 	CP19b             	CN1a          	126	 787	B	  8	R	CC	   2.00	     59.7400	Firth    	Nannofossils                                 	A              	G                 	C                      	                      	                        	C                       	                     	C                          	                         	R                    	                        	                       	C                    	                 	                                   	              	                      	                   	                       	                      	                    	                          	R                       	                              	                   	                            	C                            	F                    	                       	                	                   	C                    	                     	               	                 	                                    	                                    	                                  	                                  	                         	                                 	                        	                           	                               	                            	                                  	                          	                   	                             	                         	                       	                                           	                                            	                     	                   	                                	                    	                     	                          	                       	                       	                               	                       	from ODP Leg 126 Chapter 16 Table 5 p 248-249

  SR	Late Oligocene   	                 	CP19b             	CN1a          	126	 787	B	  9	R	 1	 110.00	     70.1000	Firth    	Nannofossils                                 	C              	M                 	F                      	                      	                        	                        	C                    	C                          	                         	                     	                        	                       	C                    	                 	                                   	              	                      	                   	                       	                      	                    	                          	                        	                              	                   	                            	F                            	                     	R                      	                	                   	C                    	R                    	               	                 	                                    	                                    	                                  	                                  	                         	                                 	                        	                           	                               	                            	                                  	                          	                   	                             	                         	                       	                                           	                                            	                     	                   	                                	                    	                     	                          	                       	                       	                               	                       	from ODP Leg 126 Chapter 16 Table 5 p 248-249

  SR	Late Oligocene   	                 	CP19b             	CN1a          	126	 787	B	  9	R	 3	  79.00	     72.0400	Firth    	Nannofossils                                 	A              	M                 	R                      	                      	                        	R                       	C                    	C                          	                         	R                    	                        	                       	C                    	                 	                                   	              	                      	                   	                       	                      	                    	                          	                        	                              	                   	                            	                             	                     	R                      	                	                   	C                    	                     	               	                 	                                    	                                    	                                  	                                  	                         	                                 	                        	                           	                               	                            	                                  	                          	                   	                             	                         	                       	                                           	                                            	                     	                   	                                	                    	                     	                          	                       	                       	                               	                       	from ODP Leg 126 Chapter 16 Table 5 p 248-249

  SR	Late Oligocene   	                 	CP19b             	CN1a          	126	 787	B	  9	R	CC	  14.00	     72.3600	Firth    	Nannofossils                                 	R              	M                 	                       	                      	                        	R                       	R                    	R                          	                         	                     	                        	                       	R                    	                 	                                   	              	                      	                   	                       	                      	                    	                          	                        	                              	                   	                            	                             	R                    	                       	                	                   	                     	                     	               	                 	                                    	                                    	                                  	                                  	                         	                                 	                        	                           	                               	                            	                                  	                          	                   	                             	                         	                       	                                           	                                            	                     	                   	                                	                    	                     	                          	                       	                       	                               	                       	from ODP Leg 126 Chapter 16 Table 5 p 248-249

  SR	Late Oligocene   	                 	CP19b             	CN1a          	126	 787	B	 10	R	 2	 108.00	     81.2800	Firth    	Nannofossils                                 	C              	M                 	F                      	                      	                        	R                       	F                    	F                          	                         	R                    	                        	                       	F                    	                 	                                   	              	                      	                   	                       	                      	                    	                          	                        	                              	                   	                            	                             	                     	                       	                	                   	F                    	                     	               	                 	                                    	                                    	                                  	                                  	                         	                                 	                        	                           	                               	                            	                                  	                          	                   	                             	                         	                       	                                           	                                            	                     	                   	                                	                    	                     	                          	                       	                       	                               	                       	from ODP Leg 126 Chapter 16 Table 5 p 248-249

  SR	Late Oligocene   	                 	CP19b             	CN1a          	126	 787	B	 10	R	 3	  25.00	     81.9500	Firth    	Nannofossils                                 	C              	P                 	C                      	                      	                        	F                       	C                    	                           	                         	R                    	                        	                       	F                    	                 	                                   	              	                      	                   	                       	                      	                    	                          	                        	                              	                   	                            	R                            	                     	                       	                	                   	                     	                     	               	                 	                                    	                                    	                                  	                                  	                         	                                 	                        	                           	                               	                            	                                  	                          	                   	                             	                         	                       	                                           	                                            	                     	                   	                                	                    	                     	                          	                       	                       	                               	                       	from ODP Leg 126 Chapter 16 Table 5 p 248-249

  SR	Late Oligocene   	                 	CP19b             	CN1a          	126	 787	B	 10	R	CC	  14.00	     82.5000	Firth    	Nannofossils                                 	A              	M                 	F                      	                      	                        	F                       	C                    	C                          	                         	                     	                        	                       	C                    	                 	                                   	              	                      	                   	                       	                      	                    	                          	                        	                              	                   	                            	F                            	F                    	                       	                	                   	C                    	                     	               	                 	                                    	                                    	                                  	                                  	                         	                                 	                        	                           	                               	                            	                                  	                          	                   	                             	                         	                       	                                           	                                            	                     	                   	                                	                    	                     	                          	                       	                       	                               	                       	from ODP Leg 126 Chapter 16 Table 5 p 248-249

  SR	Late Oligocene   	                 	CP19b             	CN1a          	126	 787	B	 11	R	 1	   7.00	     88.4700	Firth    	Nannofossils                                 	A              	M                 	R                      	                      	                        	R                       	C                    	C                          	                         	                     	                        	                       	R                    	                 	                                   	              	                      	                   	                       	                      	                    	                          	                        	                              	                   	                            	                             	                     	                       	                	                   	C                    	                     	               	                 	                                    	                                    	                                  	                                  	                         	                                 	                        	                           	                               	                            	                                  	                          	                   	                             	                         	                       	                                           	                                            	                     	                   	                                	                    	                     	                          	                       	                       	                               	                       	from ODP Leg 126 Chapter 16 Table 5 p 248-249

  SR	Late Oligocene   	                 	CP19b             	CN1a          	126	 787	B	 11	R	 2	  34.00	     90.2400	Firth    	Nannofossils                                 	A              	M                 	R                      	                      	                        	R                       	C                    	C                          	                         	R                    	                        	                       	C                    	                 	                                   	              	                      	                   	                       	                      	                    	                          	                        	                              	                   	                            	                             	R                    	                       	                	                   	F                    	                     	               	                 	                                    	                                    	                                  	                                  	                         	                                 	                        	                           	                               	                            	                                  	                          	                   	                             	                         	                       	                                           	                                            	                     	                   	                                	                    	                     	                          	                       	                       	                               	                       	from ODP Leg 126 Chapter 16 Table 5 p 248-249

  SR	Late Oligocene   	                 	CP19b             	CN1a          	126	 787	B	 11	R	 3	  22.00	     91.6200	Firth    	Nannofossils                                 	C              	M                 	F                      	                      	                        	R                       	C                    	C                          	                         	R                    	                        	                       	C                    	                 	                                   	              	                      	                   	                       	                      	                    	                          	                        	                              	                   	                            	                             	                     	                       	                	                   	C                    	                     	               	                 	                                    	                                    	                                  	                                  	                         	                                 	                        	                           	                               	                            	                                  	                          	                   	                             	                         	                       	                                           	                                            	                     	                   	                                	                    	                     	                          	                       	                       	                               	                       	from ODP Leg 126 Chapter 16 Table 5 p 248-249

  SR	Late Oligocene   	                 	CP19b             	CN1a          	126	 787	B	 11	R	CC	  12.00	     91.7500	Firth    	Nannofossils                                 	C              	P                 	                       	                      	                        	R                       	F                    	F                          	                         	                     	                        	                       	R                    	                 	                                   	              	                      	                   	                       	                      	                    	                          	                        	                              	                   	                            	                             	F                    	                       	                	                   	C                    	                     	               	                 	                                    	                                    	                                  	                                  	                         	                                 	                        	                           	                               	                            	                                  	                          	                   	                             	                         	                       	                                           	                                            	                     	                   	                                	                    	                     	                          	                       	                       	                               	                       	from ODP Leg 126 Chapter 16 Table 5 p 248-249

  SR	Late Oligocene   	                 	CP19b             	CN1a          	126	 787	B	 12	R	 1	 137.00	     99.4700	Firth    	Nannofossils                                 	A              	M                 	F                      	                      	                        	F                       	C                    	C                          	                         	                     	                        	                       	C                    	                 	                                   	C             	                      	                   	                       	                      	                    	                          	                        	                              	                   	                            	                             	                     	                       	                	                   	                     	                     	               	                 	                                    	                                    	                                  	                                  	                         	                                 	                        	                           	                               	                            	                                  	                          	                   	                             	                         	                       	                                           	                                            	                     	                   	                                	                    	                     	                          	                       	                       	                               	                       	from ODP Leg 126 Chapter 16 Table 5 p 248-249

  SR	Late Oligocene   	                 	CP19b             	CN1a          	126	 787	B	 12	R	 2	  15.00	     99.7500	Firth    	Nannofossils                                 	A              	M                 	F                      	                      	                        	                        	C                    	F                          	                         	                     	                        	                       	                     	                 	                                   	R             	R                     	                   	                       	                      	                    	                          	                        	                              	                   	                            	C                            	                     	                       	                	                   	                     	                     	               	                 	                                    	                                    	                                  	                                  	                         	                                 	                        	                           	                               	                            	                                  	                          	                   	                             	                         	                       	                                           	                                            	                     	                   	                                	                    	                     	                          	                       	                       	                               	                       	from ODP Leg 126 Chapter 16 Table 5 p 248-249

  SR	Late Oligocene   	                 	CP19b             	CN1a          	126	 787	B	 12	R	CC	  24.00	    100.5600	Firth    	Nannofossils                                 	C              	P                 	R                      	                      	                        	                        	F                    	C                          	                         	R                    	                        	                       	C                    	                 	                                   	              	                      	                   	                       	                      	                    	                          	                        	                              	                   	                            	                             	                     	                       	                	                   	                     	                     	               	                 	                                    	                                    	                                  	                                  	                         	                                 	                        	                           	                               	                            	                                  	                          	                   	                             	                         	                       	                                           	                                            	                     	                   	                                	                    	                     	                          	                       	                       	                               	                       	from ODP Leg 126 Chapter 16 Table 5 p 248-249

  SR	Late Oligocene   	                 	CP19b             	CN1a          	126	 787	B	 13	R	 3	 140.00	    111.3700	Firth    	Nannofossils                                 	R              	G                 	                       	                      	                        	                        	                     	R                          	                         	                     	                        	                       	R                    	                 	                                   	              	                      	                   	                       	                      	                    	                          	                        	                              	                   	                            	R                            	                     	                       	                	                   	                     	                     	               	                 	                                    	                                    	                                  	                                  	                         	                                 	                        	                           	                               	                            	                                  	                          	                   	                             	                         	                       	                                           	                                            	                     	                   	                                	                    	                     	                          	                       	                       	                               	                       	from ODP Leg 126 Chapter 16 Table 5 p 248-249

  SR	Late Oligocene   	                 	D. ateuchus (RP21)	              	126	 787	B	 13	R	CC	  14.00	    111.6100	Aitchison	Radiolarians                                 	C              	P                 	                       	                      	                        	                        	                     	                           	                         	                     	                        	                       	                     	                 	                                   	              	                      	                   	                       	                      	                    	                          	                        	                              	                   	                            	                             	                     	                       	                	R                  	                     	                     	               	                 	                                    	                                    	                                  	                                  	                         	                                 	                        	                           	                               	                            	                                  	                          	                   	                             	                         	                       	                                           	                                            	                     	                   	                                	                    	                     	                          	                       	                       	                               	                       	from ODP Leg 126 SR Chapter 21 Table 1 p 323

  SR	Late Oligocene   	                 	CP19b             	CN1a          	126	 787	B	 14	R	 1	  16.00	    117.6600	Firth    	Nannofossils                                 	A              	P                 	R                      	                      	                        	F                       	R                    	F                          	                         	                     	                        	                       	C                    	                 	                                   	              	                      	                   	                       	                      	                    	                          	                        	                              	                   	                            	                             	                     	                       	                	                   	                     	                     	               	                 	                                    	                                    	                                  	                                  	                         	                                 	                        	                           	                               	                            	                                  	                          	                   	                             	                         	                       	                                           	                                            	                     	                   	                                	                    	                     	                          	                       	                       	                               	                       	from ODP Leg 126 Chapter 16 Table 5 p 248-249

  SR	Late Oligocene   	                 	CP19b             	CN1a          	126	 787	B	 14	R	 3	 148.00	    121.6900	Firth    	Nannofossils                                 	R              	G                 	                       	                      	                        	                        	                     	R                          	                         	                     	                        	                       	                     	                 	                                   	              	                      	                   	                       	                      	                    	                          	                        	                              	                   	                            	                             	                     	                       	                	                   	                     	                     	               	                 	                                    	                                    	                                  	                                  	                         	                                 	                        	                           	                               	                            	                                  	                          	                   	                             	                         	                       	                                           	                                            	                     	                   	                                	                    	                     	                          	                       	                       	                               	                       	from ODP Leg 126 Chapter 16 Table 5 p 248-249

  SR	Late Oligocene   	                 	CP19b             	CN1a          	126	 787	B	 15	R	 4	  54.00	    132.1600	Firth    	Nannofossils                                 	F              	M                 	                       	                      	                        	F                       	F                    	F                          	                         	                     	                        	                       	                     	                 	                                   	              	                      	                   	R                      	                      	                    	                          	                        	                              	                   	                            	                             	                     	                       	                	                   	                     	                     	               	                 	                                    	                                    	                                  	                                  	                         	                                 	                        	                           	                               	                            	                                  	                          	                   	                             	                         	                       	                                           	                                            	                     	                   	                                	                    	                     	                          	                       	                       	                               	                       	from ODP Leg 126 Chapter 16 Table 5 p 248-249

  SR	Late Oligocene   	                 	CP19b             	CN1a          	126	 787	B	 15	R	CC	  22.00	    133.9000	Firth    	Nannofossils                                 	A              	M                 	F                      	                      	                        	A                       	F                    	C                          	                         	                     	                        	                       	C                    	                 	                                   	              	                      	                   	                       	R                     	                    	                          	                        	                              	                   	                            	                             	                     	                       	                	                   	                     	                     	               	                 	                                    	                                    	                                  	                                  	                         	                                 	                        	                           	                               	                            	                                  	                          	                   	                             	                         	                       	                                           	                                            	                     	                   	                                	                    	                     	                          	                       	                       	                               	                       	from ODP Leg 126 Chapter 16 Table 5 p 248-249

  SR	Late Oligocene   	                 	CP19b             	CN1a          	126	 787	B	 16	R	 2	  83.00	    139.1300	Firth    	Nannofossils                                 	A              	G                 	F                      	                      	                        	F                       	C                    	C                          	                         	                     	                        	                       	F                    	                 	                                   	              	                      	                   	F                      	                      	                    	                          	                        	                              	                   	                            	F                            	                     	                       	                	                   	                     	                     	               	                 	                                    	                                    	                                  	                                  	                         	                                 	                        	                           	                               	                            	                                  	                          	                   	                             	                         	                       	                                           	                                            	                     	                   	                                	                    	                     	                          	                       	                       	                               	                       	from ODP Leg 126 Chapter 16 Table 5 p 248-249

  SR	Late Oligocene   	                 	CP19b             	CN1a          	126	 787	B	 16	R	 4	  82.00	    142.1200	Firth    	Nannofossils                                 	A              	G                 	F                      	                      	                        	C                       	C                    	C                          	                         	                     	                        	                       	F                    	                 	                                   	              	                      	                   	                       	                      	                    	                          	                        	                              	                   	                            	R                            	                     	                       	                	                   	                     	                     	               	                 	                                    	                                    	                                  	                                  	                         	                                 	                        	                           	                               	                            	                                  	                          	                   	                             	                         	                       	                                           	                                            	                     	                   	                                	                    	                     	                          	                       	                       	                               	                       	from ODP Leg 126 Chapter 16 Table 5 p 248-249

  SR	Late Oligocene   	                 	CP19b             	CN1a          	126	 787	B	 16	R	CC	  37.00	    143.1700	Firth    	Nannofossils                                 	C              	M                 	F                      	                      	                        	A                       	F                    	C                          	                         	                     	                        	                       	C                    	                 	                                   	              	                      	                   	                       	                      	                    	                          	                        	                              	                   	                            	                             	                     	                       	                	                   	                     	                     	               	                 	                                    	                                    	                                  	                                  	                         	                                 	                        	                           	                               	                            	                                  	                          	                   	                             	                         	                       	                                           	                                            	                     	                   	                                	                    	                     	                          	                       	                       	                               	                       	from ODP Leg 126 Chapter 16 Table 5 p 248-249

  SR	Late Oligocene   	                 	CP19b             	CN1a          	126	 787	B	 17	R	 1	  82.00	    147.3200	Firth    	Nannofossils                                 	C              	M                 	F                      	                      	                        	C                       	C                    	C                          	                         	                     	                        	                       	F                    	                 	                                   	              	                      	                   	                       	                      	                    	                          	                        	                              	                   	                            	                             	                     	                       	                	                   	                     	                     	               	                 	                                    	                                    	                                  	                                  	                         	                                 	                        	                           	                               	                            	                                  	                          	                   	                             	                         	                       	                                           	                                            	                     	                   	                                	                    	                     	                          	                       	                       	                               	                       	from ODP Leg 126 Chapter 16 Table 5 p 248-249

  SR	Late Oligocene   	                 	CP19b             	CN1a          	126	 787	B	 17	R	 3	   9.00	    149.5900	Firth    	Nannofossils                                 	A              	G                 	C                      	                      	                        	F                       	C                    	C                          	                         	                     	                        	                       	C                    	                 	                                   	              	                      	                   	                       	                      	                    	                          	                        	                              	                   	                            	                             	                     	                       	                	                   	                     	                     	               	                 	                                    	                                    	                                  	                                  	                         	                                 	                        	                           	                               	                            	                                  	                          	                   	                             	                         	                       	                                           	                                            	                     	                   	                                	                    	                     	                          	                       	                       	                               	                       	from ODP Leg 126 Chapter 16 Table 5 p 248-249

  SR	Late Oligocene   	                 	CP19b             	CN1a          	126	 787	B	 17	R	 5	 103.00	    153.4900	Firth    	Nannofossils                                 	A              	G                 	C                      	                      	                        	F                       	C                    	C                          	                         	                     	                        	                       	C                    	                 	                                   	              	                      	                   	                       	                      	                    	                          	                        	                              	                   	F                           	                             	                     	                       	                	                   	                     	                     	               	                 	                                    	                                    	                                  	                                  	                         	                                 	                        	                           	                               	                            	                                  	                          	                   	                             	                         	                       	                                           	                                            	                     	                   	                                	                    	                     	                          	                       	                       	                               	                       	from ODP Leg 126 Chapter 16 Table 5 p 248-249

  SR	Late Oligocene   	                 	CP19b             	CN1a          	126	 787	B	 17	R	CC	  20.00	    153.8700	Firth    	Nannofossils                                 	F              	M                 	                       	                      	                        	F                       	F                    	F                          	                         	                     	                        	                       	F                    	                 	                                   	              	                      	                   	                       	                      	                    	                          	                        	                              	                   	                            	                             	                     	                       	                	                   	                     	                     	               	                 	                                    	                                    	                                  	                                  	                         	                                 	                        	                           	                               	                            	                                  	                          	                   	                             	                         	                       	                                           	                                            	                     	                   	                                	                    	                     	                          	                       	                       	                               	                       	from ODP Leg 126 Chapter 16 Table 5 p 248-249

  SR	Late Oligocene   	                 	CP19b             	CN1a          	126	 787	B	 18	R	 1	  74.00	    156.9400	Firth    	Nannofossils                                 	C              	P                 	R                      	                      	                        	F                       	C                    	C                          	                         	                     	                        	                       	C                    	                 	                                   	              	                      	                   	                       	                      	                    	                          	                        	                              	                   	                            	                             	                     	                       	                	                   	                     	                     	               	                 	                                    	                                    	                                  	                                  	                         	                                 	                        	                           	                               	                            	                                  	                          	                   	                             	                         	                       	                                           	                                            	                     	                   	                                	                    	                     	                          	                       	                       	                               	                       	from ODP Leg 126 Chapter 16 Table 5 p 248-249

  SR	Late Oligocene   	                 	CP19b             	CN1a          	126	 787	B	 18	R	 3	  64.00	    159.2400	Firth    	Nannofossils                                 	C              	M                 	F                      	                      	                        	F                       	C                    	C                          	                         	                     	                        	                       	F                    	                 	                                   	              	                      	                   	                       	                      	                    	                          	                        	                              	                   	                            	                             	                     	                       	                	                   	                     	                     	               	                 	                                    	                                    	                                  	                                  	                         	                                 	                        	                           	                               	                            	                                  	                          	                   	                             	                         	                       	                                           	                                            	                     	                   	                                	                    	                     	                          	                       	                       	                               	                       	from ODP Leg 126 Chapter 16 Table 5 p 248-249

  SR	Late Oligocene   	                 	CP19b             	CN1a          	126	 787	B	 18	R	CC	   0.00	    160.4100	Firth    	Nannofossils                                 	C              	M                 	R                      	                      	                        	F                       	C                    	C                          	                         	                     	                        	                       	R                    	                 	                                   	              	                      	                   	                       	                      	                    	                          	                        	                              	                   	                            	F                            	                     	                       	                	                   	                     	                     	               	                 	                                    	                                    	                                  	                                  	                         	                                 	                        	                           	                               	                            	                                  	                          	                   	                             	                         	                       	                                           	                                            	                     	                   	                                	                    	                     	                          	                       	                       	                               	                       	from ODP Leg 126 Chapter 16 Table 5 p 248-249

  SR	Late Oligocene   	                 	CP19b             	CN1a          	126	 787	B	 19	R	 4	  99.00	    171.2900	Firth    	Nannofossils                                 	C              	P                 	F                      	                      	                        	F                       	C                    	C                          	                         	                     	                        	                       	F                    	                 	                                   	              	                      	                   	                       	                      	                    	                          	                        	                              	                   	                            	C                            	                     	                       	                	                   	                     	                     	               	                 	                                    	                                    	                                  	                                  	                         	                                 	                        	                           	                               	                            	                                  	                          	                   	                             	                         	                       	                                           	                                            	                     	                   	                                	                    	                     	                          	                       	                       	                               	                       	from ODP Leg 126 Chapter 16 Table 5 p 248-249

