Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Tenuitellid gen.et sp. indet.<150 µm	Tenuitella gemma <150 µm	Tenuitella clemenciae <150 µm	Subbotinid gen. et sp. indet (with abortive chambers)	Subbotina utilisindex	Subbotina pseudoeocaena	Subbotina eocaena	Subbotina angiporoides minima	Subbotina angiporoides	Pseudohastigerina barbadoensis <150 µm	Globorotaloides suteri	Globorotaloides spp.	Globigerinatheka index	Globigerina venezuelana	Chiloguembelinid  gen. et sp. indet <150 µm	Chiloguembelinid gen. et sp. indet >150 micron	Chiloguembelina cubensis	Catapsydrax spp.	Acarinina rugosoaculeata	Acarinina primitiva	Acarinina aculeata	Subbotina pseudoeocaena compacta	Subbotina eocaenica irregularis	Subbotina eocaenica	Globigerinatheka rubriformis	Globigerina ampliapertura	Subbotina inaequispira	Subbotina corpulenta	Paragloborotalia opima nana	Globorotaloides oregonensis	Acarinina medizzai	Acarinina echinata	Globigerinatheka luterbacheri	Comment
  SR	Late Eocene      	                 	P15               	              	114	 702	A	  4	H	 2	 130.00	     26.4000	Nocchi   	Planktonic Foraminifers                      	C              	P                 	F                                   	                        	R                            	                                                     	F                    	                       	                 	                             	                      	                                      	F                     	F                   	C                     	F                      	F                                          	                                              	                        	F               	                        	                   	                  	                                	                               	                   	                            	                         	                      	F                   	                           	                           	                  	                  	                             	most specimens broken; from ODP Leg 114 SR Chapter 12 Table 5 (back-pocket)

  SR	Late Eocene      	                 	P15               	              	114	 702	A	  4	H	 3	 130.00	     27.9000	Nocchi   	Planktonic Foraminifers                      	A              	M                 	                                    	                        	                             	F                                                    	F                    	C                      	C                	F                            	F                     	                                      	F                     	C                   	A                     	C                      	C                                          	                                              	                        	F               	F                       	                   	R                 	                                	F                              	F                  	F                           	R                        	R                     	                    	F                          	                           	F                 	                  	F                            	strong etching of chambers; from ODP Leg 114 SR Chapter 12 Table 5 (back-pocket)

  SR	Late Eocene      	                 	P15               	              	114	 702	A	  4	H	 4	 130.00	     29.4000	Nocchi   	Planktonic Foraminifers                      	A              	M                 	F                                   	                        	F                            	F                                                    	C                    	F                      	C                	F                            	C                     	                                      	C                     	C                   	A                     	C                      	C                                          	                                              	                        	F               	F                       	                   	                  	                                	F                              	                   	                            	                         	R                     	R                   	R                          	F                          	F                 	R                 	                             	slight to medium etching of chambers from ODP Leg 114 SR Chapter 12 Table 5 (back-pocket)

  SR	Late Eocene      	                 	P15               	              	114	 702	A	  4	H	 5	 130.00	     30.9000	Nocchi   	Planktonic Foraminifers                      	C              	M                 	F                                   	R                       	F                            	F                                                    	C                    	                       	                 	F                            	C                     	                                      	C                     	                    	A                     	C                      	C                                          	                                              	                        	                	F                       	                   	F                 	                                	F                              	C                  	R                           	R                        	                      	                    	                           	                           	                  	                  	                             	strong etching of chambers; from ODP Leg 114 SR Chapter 12 Table 5 (back-pocket)

  SR	Late Eocene      	                 	P15               	              	114	 702	A	  4	H	 6	 130.00	     32.4000	Nocchi   	Planktonic Foraminifers                      	A              	M                 	F                                   	R                       	F                            	F                                                    	F                    	                       	F                	F                            	                      	                                      	F                     	F                   	C                     	C                      	C                                          	                                              	                        	F               	F                       	                   	                  	F                               	C                              	F                  	R                           	                         	                      	                    	                           	                           	                  	                  	                             	strong etching of chambers; from ODP Leg 114 SR Chapter 12 Table 5 (back-pocket)

  SR	Late Eocene      	                 	P15               	              	114	 702	A	  4	H	CC	  21.00	     33.5800	Nocchi   	Planktonic Foraminifers                      	A              	M                 	F                                   	F                       	R                            	F                                                    	A                    	F                      	F                	F                            	A                     	R                                     	C                     	C                   	C                     	C                      	C                                          	C                                             	R                       	F               	C                       	C                  	F                 	                                	                               	                   	                            	                         	                      	                    	                           	                           	                  	                  	                             	strong etching of chambers; from ODP Leg 114 SR Chapter 12 Table 5 (back-pocket)

