Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Praeorbulina sicana,Praeorbulina glomerosa,Praeorbulina curva,Globorotalia lenguaensis,Paragloborotalia mayeri,Globorotalia plesiotumida,Globorotalia pseudomiocenica,Dentoglobigerina altispira,Truncorotalia truncatulinoides,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,                  ,M13b          ,194,1192,B, 11,X,CC,  18.00,    248.7800,planks   ,Planktonic Foraminifers                      ,A              ,M                 ,                   ,                      ,                  ,                        ,                       ,R                        ,                            ,                          ,                              ,N17. Gr.conomiozea v.rare=contaminant?
,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Miocene   ,M12               ,M11           ,194,1192,B, 12,X,CC,  32.00,    263.4300,planks   ,Planktonic Foraminifers                      ,C              ,M                 ,                   ,                      ,                  ,                        ,R                      ,                         ,                            ,                          ,                              ,>N16. No Gr.plesiotum/margaritae. Age=??
,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,194,1192,B, 13,X,CC,  30.00,    268.1000,planks   ,Planktonic Foraminifers                      ,F              ,P                 ,                   ,                      ,                  ,R                       ,                       ,                         ,                            ,                          ,                              ,Practically barren of zone fossils.
,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Miocene   ,                  ,M5            ,194,1192,B, 17,X,CC,  24.00,    313.3800,planks   ,Planktonic Foraminifers                      ,C              ,M                 ,                   ,                      ,R                 ,                        ,                       ,                         ,                            ,                          ,                              ,"N8? P glomerosa curva, G. mayeri"
,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,Early Miocene    ,M5                ,M4a           ,194,1192,B, 19,X,CC,  36.00,    333.4800,planks   ,Planktonic Foraminifers                      ,C              ,M                 ,R                  ,                      ,R                 ,                        ,                       ,                         ,                            ,                          ,                              ,N7b-N8? Gds.bispherica-sicana lin.
,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,Early Miocene    ,M5                ,M4a           ,194,1192,B, 20,M, 1,  25.00,    335.4500,planks   ,Planktonic Foraminifers                      ,C              ,M                 ,F                  ,R                     ,                  ,                        ,                       ,                         ,                            ,                          ,                              ,N7-N8. P.curva? apertures sealed.
,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,Early Miocene    ,M5                ,M4a           ,194,1192,B, 21,X,CC,  41.00,    344.2700,planks   ,Planktonic Foraminifers                      ,C              ,M                 ,F                  ,                      ,                  ,                        ,                       ,                         ,                            ,                          ,                              ,Top N7-Base N8. No C.dissimlis.
,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,Early Miocene    ,M5                ,M4a           ,194,1192,B, 22,X,CC,  27.00,    346.9800,planks   ,Planktonic Foraminifers                      ,F              ,P                 ,R                  ,                      ,                  ,                        ,                       ,                         ,                            ,                          ,                              ,N7-N8.
,,,,,,,,,,,,,,,,,,,,,,,,,,
