Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Tricolocapsa papillosa,Theocorythium trachelium,Stylatractus universus,Siphocampe crustula,Siphocampe arachnea,Saturnalis circularis,Pterocanium korotnevi,Pseudocubus warreni,Phormostichoartus pitomorphus,Phormostichoartus furcaspiculata,Octopyle stenozona,Lamprocyrtis neoheteroporos,Lamprocyclas maritalis group,Lamprocyclas junonis group,Eucyrtidium teuscheri teuscheri,Eucyrtidium teuscheri orthoporus,Eucyrtidium indiensis,Eucyrtidium hexasticum,Dictyophimus crisiae,Cycladophora davisiana,Cycladophora cornutoides,Botryostrobus bramlettei tumidulus,Botryostrobus auritus/australis,Botryostrobus aquilonaris,Anthocyrtidium ophirense,Actinomma popofskii,Acrosphaera trepanata,Tholospyris capoi,Rhopalastrum profunda group,Pterocanium praetextum eucolpum,Lophospyris pentagona pentagona,Lithostrobus undulatus,Lamprocyrtis nigriniae,Eucyrtidium calvertense,Eucyrtidium acuminatum,Ceratocyrtis histricosa,Tholospyris scaphipes,Spongocore puella,Pterocorys minythorax,Pterocorys clausus,Prunopyle antarctica,Eucyrtidium infundibulum,Didymocyrtis tetrathalamus,Anthocyrtidium zanguebaricum,Anthocyrtidium nosicaae,Spirocyrtis subscalaris,Pterocanium trilobum,Nephrospyris renilla,Eucyrtidium hexacolum,Circodiscus microporus,Acrosphaera murrayana,Acanthodesmia micropora,Tricolospyris baconiana,Spongodiscus setosus,Lithostrobus hexagonalis,Gondwanaria dogieli,Actinomma haysi,Acrosphaera pseudarktios,Stichopilium bicorne,Phorticium clevei,Eucyrtidium octocolum,Botryostrobus bramlettei seriatus,Carpocanium sp.A,Phormostichoartus platycephala,Eucecryphalus gegenbaueri,Spongotrochus glacialis,Desmospyris biceps biceps,Spongaster tetras,Phormostichoartus multiseriatus,Pterocanium praetextum,Lampromitra coronata,Eucyrtidium dufresni,Amphirhopalum ypsilon,Rhizosphaera antarctica,Tricolocampe cylindrica,Eucyrtidium monumentum,Eucyrtidium anomalum,Eucecryphalus cervus,Amphirhopalum virchowi,Acanthodesmia viniculata,Lamprocyclas gamphonycha,Actinomma delicatulum,Dictyophimus infabricatus,Plectacantha cremastoplegma,Pterocanium grandiporus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NR3-NR4           ,              ,112, 688,A,  5,H,CC,  20.00,     46.5500,De Wever ,Radiolarians                                 ,C              ,G                 ,P                     ,                        ,P                     ,P                  ,                   ,P                    ,P                    ,P                  ,                             ,P                               ,                  ,                           ,P                           ,P                         ,P                              ,                                ,P                    ,P                     ,P                   ,P                     ,P                       ,P                                 ,P                              ,P                        ,P                       ,                   ,                     ,P                ,P                          ,P                              ,P                              ,P                     ,P                     ,                       ,                      ,                       ,P                    ,                 ,P                    ,P                 ,P                   ,P                       ,P                         ,                            ,                       ,P                      ,                    ,                    ,                     ,                      ,P                    ,P                      ,                       ,P                   ,P                       ,P                  ,               ,                        ,P                   ,                 ,P                    ,                                 ,P               ,                              ,P                        ,                       ,P                        ,                 ,                               ,                      ,P                   ,P                   ,P                    ,                       ,P                      ,                      ,                    ,                    ,                      ,                        ,                        ,                     ,P                        ,P                          ,                       ,from ODP Leg 112 SR Chapter 12 Table AppxB p.204-207
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NR3-NR4           ,              ,112, 688,A,  6,H,CC,   9.00,     56.3000,De Wever ,Radiolarians                                 ,C              ,G                 ,P                     ,                        ,P                     ,P                  ,                   ,P                    ,P                    ,P                  ,                             ,                                ,P                 ,                           ,P                           ,                          ,P                              ,                                ,P                    ,P                     ,P                   ,P                     ,P                       ,P                                 ,P                              ,P                        ,P                       ,                   ,                     ,P                ,P                          ,P                              ,P                              ,P                     ,P                     ,P                      ,P                     ,P                      ,P                    ,P                ,P                    ,P                 ,P                   ,P                       ,P                         ,                            ,                       ,P                      ,P                   ,                    ,P                    ,                      ,P                    ,P                      ,P                      ,P                   ,P                       ,                   ,               ,P                       ,P                   ,P                ,P                    ,                                 ,P               ,                              ,P                        ,                       ,P                        ,                 ,                               ,P                     ,P                   ,P                   ,P                    ,                       ,                       ,                      ,                    ,                    ,P                     ,                        ,P                       ,                     ,P                        ,P                          ,                       ,from ODP Leg 112 SR Chapter 12 Table AppxB p.204-207
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NR3-NR4           ,              ,112, 688,A,  7,H,CC,  17.00,     65.9000,De Wever ,Radiolarians                                 ,C              ,G                 ,P                     ,                        ,P                     ,P                  ,                   ,P                    ,P                    ,P                  ,                             ,P                               ,                  ,                           ,P                           ,P                         ,P                              ,P                               ,P                    ,                      ,P                   ,P                     ,P                       ,P                                 ,P                              ,                         ,P                       ,P                  ,                     ,                 ,P                          ,P                              ,                               ,                      ,P                     ,                       ,                      ,P                      ,P                    ,P                ,                     ,P                 ,P                   ,                        ,                          ,                            ,                       ,                       ,                    ,                    ,P                    ,                      ,P                    ,P                      ,                       ,P                   ,P                       ,P                  ,               ,P                       ,P                   ,P                ,P                    ,P                                ,                ,P                             ,P                        ,                       ,                         ,                 ,P                              ,                      ,                    ,P                   ,                     ,P                      ,                       ,P                     ,                    ,                    ,                      ,                        ,P                       ,P                    ,P                        ,                           ,                       ,from ODP Leg 112 SR Chapter 12 Table AppxB p.204-207
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NR3-NR4           ,              ,112, 688,A,  8,X,CC,  22.00,     68.7700,De Wever ,Radiolarians                                 ,C              ,G                 ,P                     ,                        ,P                     ,P                  ,                   ,P                    ,P                    ,                   ,                             ,P                               ,                  ,                           ,P                           ,P                         ,P                              ,                                ,P                    ,                      ,P                   ,P                     ,P                       ,P                                 ,P                              ,P                        ,P                       ,P                  ,                     ,                 ,P                          ,P                              ,P                              ,                      ,P                     ,P                      ,                      ,P                      ,                     ,P                ,                     ,P                 ,P                   ,                        ,P                         ,                            ,P                      ,P                      ,                    ,                    ,P                    ,                      ,                     ,                       ,                       ,P                   ,P                       ,P                  ,               ,                        ,P                   ,P                ,P                    ,                                 ,                ,                              ,P                        ,P                      ,                         ,                 ,P                              ,                      ,                    ,P                   ,                     ,P                      ,                       ,                      ,                    ,                    ,                      ,                        ,                        ,P                    ,                         ,                           ,                       ,from ODP Leg 112 SR Chapter 12 Table AppxB p.204-207
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NR3-NR4           ,              ,112, 688,A,  9,X,CC,  10.00,     84.3300,De Wever ,Radiolarians                                 ,C              ,G                 ,                      ,                        ,P                     ,                   ,                   ,P                    ,P                    ,P                  ,                             ,P                               ,                  ,                           ,P                           ,P                         ,                               ,                                ,P                    ,                      ,P                   ,P                     ,                        ,P                                 ,P                              ,P                        ,P                       ,                   ,                     ,P                ,P                          ,                               ,                               ,P                     ,P                     ,P                      ,                      ,P                      ,P                    ,P                ,                     ,P                 ,P                   ,                        ,                          ,                            ,P                      ,                       ,                    ,                    ,P                    ,                      ,P                    ,P                      ,                       ,P                   ,                        ,P                  ,               ,                        ,P                   ,P                ,P                    ,                                 ,                ,                              ,                         ,                       ,                         ,                 ,                               ,                      ,                    ,                    ,                     ,                       ,                       ,                      ,                    ,                    ,                      ,                        ,                        ,                     ,                         ,                           ,                       ,from ODP Leg 112 SR Chapter 12 Table AppxB p.204-207
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NR3-NR4           ,              ,112, 688,A, 10,X,CC,  22.00,     88.2800,De Wever ,Radiolarians                                 ,C              ,G                 ,P                     ,                        ,P                     ,P                  ,                   ,P                    ,P                    ,                   ,P                            ,                                ,                  ,                           ,P                           ,P                         ,P                              ,P                               ,                     ,P                     ,P                   ,P                     ,P                       ,P                                 ,P                              ,P                        ,                        ,                   ,                     ,                 ,P                          ,P                              ,                               ,                      ,P                     ,P                      ,                      ,P                      ,P                    ,                 ,                     ,P                 ,P                   ,                        ,                          ,                            ,P                      ,P                      ,                    ,                    ,                     ,                      ,P                    ,                       ,                       ,                    ,                        ,P                  ,               ,                        ,P                   ,P                ,P                    ,                                 ,                ,                              ,                         ,                       ,                         ,                 ,                               ,                      ,                    ,                    ,                     ,                       ,                       ,                      ,                    ,                    ,                      ,                        ,                        ,                     ,                         ,                           ,                       ,from ODP Leg 112 SR Chapter 12 Table AppxB p.204-207
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NR3-NR4           ,              ,112, 688,A, 11,X,CC,  33.00,    106.0800,De Wever ,Radiolarians                                 ,C              ,G                 ,P                     ,P                       ,P                     ,P                  ,P                  ,                     ,P                    ,P                  ,                             ,P                               ,                  ,                           ,P                           ,P                         ,P                              ,P                               ,P                    ,P                     ,P                   ,P                     ,                        ,P                                 ,P                              ,P                        ,P                       ,                   ,P                    ,P                ,                           ,P                              ,P                              ,                      ,                      ,P                      ,P                     ,                       ,P                    ,P                ,P                    ,P                 ,P                   ,P                       ,                          ,                            ,                       ,P                      ,P                   ,                    ,                     ,                      ,P                    ,                       ,                       ,                    ,P                       ,P                  ,               ,                        ,P                   ,                 ,P                    ,                                 ,                ,                              ,                         ,                       ,P                        ,                 ,P                              ,                      ,                    ,P                   ,                     ,                       ,                       ,P                     ,                    ,P                   ,                      ,                        ,                        ,                     ,                         ,                           ,                       ,from ODP Leg 112 SR Chapter 12 Table AppxB p.204-207
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NR3-NR4           ,              ,112, 688,A, 12,X,CC,  13.00,    105.7000,De Wever ,Radiolarians                                 ,C              ,G                 ,P                     ,                        ,P                     ,P                  ,                   ,P                    ,P                    ,P                  ,                             ,P                               ,                  ,                           ,P                           ,P                         ,P                              ,                                ,                     ,P                     ,P                   ,P                     ,P                       ,P                                 ,P                              ,P                        ,P                       ,                   ,                     ,P                ,P                          ,P                              ,P                              ,P                     ,P                     ,P                      ,P                     ,P                      ,P                    ,P                ,P                    ,P                 ,P                   ,P                       ,                          ,P                           ,P                      ,P                      ,P                   ,                    ,P                    ,                      ,                     ,                       ,P                      ,P                   ,P                       ,P                  ,               ,                        ,P                   ,                 ,                     ,                                 ,                ,                              ,P                        ,                       ,                         ,                 ,P                              ,P                     ,P                   ,                    ,                     ,                       ,P                      ,                      ,                    ,                    ,                      ,                        ,P                       ,                     ,                         ,                           ,                       ,from ODP Leg 112 SR Chapter 12 Table AppxB p.204-207
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NR3-NR4           ,              ,112, 688,A, 13,X,CC,  13.00,    122.3100,De Wever ,Radiolarians                                 ,C              ,G                 ,P                     ,                        ,P                     ,P                  ,                   ,P                    ,P                    ,                   ,P                            ,P                               ,                  ,                           ,P                           ,P                         ,P                              ,P                               ,P                    ,                      ,P                   ,P                     ,P                       ,P                                 ,P                              ,P                        ,                        ,P                  ,                     ,                 ,P                          ,                               ,P                              ,P                     ,P                     ,P                      ,P                     ,P                      ,P                    ,P                ,                     ,P                 ,                    ,P                       ,P                         ,                            ,P                      ,P                      ,P                   ,                    ,                     ,                      ,                     ,P                      ,                       ,P                   ,P                       ,P                  ,               ,P                       ,P                   ,P                ,P                    ,                                 ,                ,                              ,P                        ,                       ,                         ,                 ,                               ,                      ,                    ,                    ,                     ,P                      ,                       ,                      ,                    ,                    ,                      ,                        ,                        ,                     ,                         ,                           ,                       ,from ODP Leg 112 SR Chapter 12 Table AppxB p.204-207
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NR3-NR4           ,              ,112, 688,A, 14,X,CC,  22.00,    134.1900,De Wever ,Radiolarians                                 ,C              ,G                 ,P                     ,                        ,P                     ,P                  ,                   ,P                    ,P                    ,P                  ,                             ,P                               ,                  ,                           ,P                           ,P                         ,P                              ,P                               ,P                    ,P                     ,P                   ,P                     ,P                       ,P                                 ,P                              ,P                        ,P                       ,P                  ,P                    ,P                ,P                          ,                               ,                               ,                      ,P                     ,P                      ,P                     ,P                      ,P                    ,P                ,                     ,P                 ,P                   ,                        ,                          ,                            ,P                      ,                       ,P                   ,P                   ,                     ,                      ,P                    ,                       ,                       ,P                   ,P                       ,P                  ,               ,                        ,P                   ,P                ,P                    ,                                 ,                ,                              ,                         ,P                      ,                         ,                 ,                               ,                      ,                    ,                    ,                     ,P                      ,                       ,P                     ,                    ,                    ,                      ,                        ,                        ,                     ,                         ,                           ,                       ,from ODP Leg 112 SR Chapter 12 Table AppxB p.204-207
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NR3-NR4           ,              ,112, 688,A, 15,X,CC,  11.00,    141.2600,De Wever ,Radiolarians                                 ,F              ,G                 ,P                     ,                        ,P                     ,                   ,                   ,P                    ,P                    ,                   ,                             ,                                ,                  ,                           ,P                           ,P                         ,                               ,                                ,P                    ,                      ,P                   ,P                     ,P                       ,P                                 ,P                              ,P                        ,                        ,                   ,                     ,P                ,P                          ,                               ,                               ,P                     ,P                     ,P                      ,                      ,                       ,P                    ,P                ,                     ,P                 ,P                   ,                        ,                          ,                            ,P                      ,                       ,                    ,                    ,                     ,                      ,P                    ,                       ,                       ,                    ,P                       ,                   ,               ,                        ,P                   ,                 ,                     ,                                 ,                ,                              ,                         ,                       ,                         ,                 ,                               ,                      ,                    ,                    ,                     ,                       ,                       ,                      ,                    ,                    ,                      ,                        ,                        ,                     ,                         ,                           ,                       ,from ODP Leg 112 SR Chapter 12 Table AppxB p.204-207
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NR3-NR4           ,              ,112, 688,A, 16,X,CC,  21.00,    153.0000,De Wever ,Radiolarians                                 ,C              ,G                 ,P                     ,                        ,P                     ,P                  ,                   ,P                    ,P                    ,P                  ,                             ,                                ,P                 ,                           ,P                           ,P                         ,P                              ,                                ,P                    ,P                     ,                    ,P                     ,P                       ,P                                 ,P                              ,P                        ,P                       ,                   ,P                    ,P                ,P                          ,P                              ,P                              ,P                     ,P                     ,P                      ,P                     ,P                      ,P                    ,P                ,P                    ,P                 ,P                   ,P                       ,P                         ,P                           ,                       ,                       ,P                   ,P                   ,P                    ,                      ,P                    ,                       ,                       ,P                   ,P                       ,P                  ,P              ,                        ,P                   ,P                ,P                    ,                                 ,                ,                              ,P                        ,                       ,                         ,                 ,                               ,                      ,                    ,P                   ,P                    ,P                      ,                       ,                      ,                    ,P                   ,                      ,P                       ,                        ,                     ,                         ,                           ,                       ,from ODP Leg 112 SR Chapter 12 Table AppxB p.204-207
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NR3-NR4           ,              ,112, 688,A, 17,X,CC,  22.00,    159.4200,De Wever ,Radiolarians                                 ,C              ,G                 ,P                     ,P                       ,P                     ,P                  ,P                  ,P                    ,                     ,P                  ,                             ,                                ,P                 ,                           ,P                           ,P                         ,                               ,P                               ,P                    ,P                     ,P                   ,P                     ,P                       ,P                                 ,P                              ,P                        ,P                       ,                   ,P                    ,P                ,P                          ,P                              ,P                              ,                      ,P                     ,P                      ,P                     ,P                      ,P                    ,P                ,P                    ,P                 ,                    ,                        ,P                         ,P                           ,P                      ,P                      ,P                   ,P                   ,                     ,P                     ,P                    ,                       ,P                      ,P                   ,P                       ,P                  ,               ,                        ,P                   ,P                ,P                    ,                                 ,P               ,                              ,P                        ,                       ,                         ,P                ,                               ,P                     ,                    ,P                   ,P                    ,P                      ,                       ,P                     ,                    ,                    ,P                     ,P                       ,                        ,                     ,                         ,                           ,                       ,from ODP Leg 112 SR Chapter 12 Table AppxB p.204-207
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NR3-NR4           ,              ,112, 688,A, 18,X,CC,   9.00,    161.8900,De Wever ,Radiolarians                                 ,C              ,G                 ,P                     ,                        ,P                     ,P                  ,P                  ,P                    ,P                    ,P                  ,P                            ,P                               ,P                 ,                           ,P                           ,P                         ,P                              ,P                               ,P                    ,P                     ,P                   ,P                     ,P                       ,P                                 ,P                              ,P                        ,P                       ,                   ,P                    ,P                ,P                          ,                               ,P                              ,P                     ,P                     ,P                      ,                      ,P                      ,P                    ,P                ,P                    ,P                 ,P                   ,P                       ,P                         ,P                           ,P                      ,P                      ,P                   ,P                   ,                     ,P                     ,P                    ,P                      ,P                      ,P                   ,P                       ,P                  ,P              ,P                       ,P                   ,P                ,P                    ,                                 ,                ,P                             ,P                        ,                       ,                         ,                 ,P                              ,P                     ,                    ,P                   ,P                    ,                       ,                       ,P                     ,P                   ,P                   ,                      ,                        ,                        ,                     ,                         ,                           ,                       ,from ODP Leg 112 SR Chapter 12 Table AppxB p.204-207
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NR3-NR4           ,              ,112, 688,A, 19,X,CC,  20.00,    176.9000,De Wever ,Radiolarians                                 ,C              ,M                 ,P                     ,                        ,P                     ,P                  ,P                  ,P                    ,                     ,                   ,P                            ,P                               ,                  ,                           ,P                           ,P                         ,                               ,                                ,                     ,                      ,P                   ,P                     ,P                       ,P                                 ,P                              ,P                        ,                        ,                   ,                     ,P                ,P                          ,                               ,                               ,                      ,P                     ,                       ,P                     ,P                      ,P                    ,P                ,                     ,P                 ,                    ,P                       ,                          ,                            ,                       ,P                      ,P                   ,                    ,                     ,P                     ,                     ,                       ,P                      ,                    ,                        ,P                  ,               ,                        ,P                   ,                 ,                     ,                                 ,P               ,                              ,                         ,                       ,                         ,                 ,                               ,                      ,                    ,                    ,P                    ,P                      ,P                      ,                      ,                    ,                    ,                      ,                        ,                        ,                     ,                         ,                           ,                       ,from ODP Leg 112 SR Chapter 12 Table AppxB p.204-207
